,Rank,Player (age that year),Replay Challenge Success %,Year
0,1.,Lloyd McClendon (61),100.000,2020
1,2.,Ned Yost (64),82.143,2019
2,3.,Joe Girardi (49),80.000,2014
3,3.,Ron Roenicke (58),80.000,2015
4,5.,Pete Mackanin (63),76.191,2015
5,5.,Ron Roenicke (63),76.191,2020
6,7.,Ned Yost (63),75.610,2018
7,8.,Rod Barajas (43),75.000,2019
8,8.,Joe Girardi (52),75.000,2017
9,10.,Aaron Boone (45),74.286,2018
10,11.,Bruce Bochy (63),74.194,2018
11,12.,Dave Martinez (55),73.684,2020
12,13.,Joe Girardi (50),73.333,2015
13,13.,Rick Renteria (58),73.333,2020
14,15.,Mike Matheny (49),71.429,2020
15,16.,Lloyd McClendon (56),71.053,2015
16,17.,Ned Yost (62),70.588,2017
17,18.,Mike Redmond (43),70.370,2014
18,19.,Mike Redmond (44),70.000,2015
19,20.,Aaron Boone (46),68.182,2019
20,21.,Paul Molitor+ (60),67.857,2017
21,22.,Fredi Gonzalez (50),67.647,2014
22,23.,Ned Yost (61),67.568,2016
23,24.,Alex Cora (43),66.667,2019
24,24.,Mike Shildt (51),66.667,2020
25,26.,Matt Williams (48),65.625,2014
26,27.,Buck Showalter (61),65.385,2017
27,28.,Ron Gardenhire (62),64.706,2020
28,28.,Bob Melvin (54),64.706,2016
29,30.,Terry Collins (67),64.286,2016
30,30.,Joe Girardi (51),64.286,2016
31,32.,Don Mattingly (55),64.151,2016
32,33.,Dave Roberts (45),63.889,2017
33,34.,Ned Yost (60),63.636,2015
34,35.,Bruce Bochy (61),63.265,2016
35,35.,Clint Hurdle (59),63.265,2017
36,37.,Chris Woodward (43),63.044,2019
37,38.,Bo Porter (41),62.963,2014
38,38.,Ron Roenicke (57),62.963,2014
39,40.,Bruce Bochy (59),62.857,2014
40,40.,Ned Yost (59),62.857,2014
41,42.,Joe Maddon (64),62.791,2018
42,43.,Paul Molitor+ (58),61.905,2015
43,44.,Chip Hale (50),61.765,2015
44,45.,Gabe Kapler (42),61.364,2018
45,46.,Bruce Bochy (62),61.290,2017
46,47.,Paul Molitor+ (59),60.714,2016
47,48.,Bryan Price (53),60.606,2015
48,49.,Bud Black (58),60.000,2015
49,49.,Mike Scioscia (56),60.000,2015
50,51.,Chip Hale (51),59.460,2016
51,51.,Scott Servais (49),59.460,2016
52,53.,Ron Gardenhire (60),59.375,2018
53,54.,Walt Weiss (52),59.259,2016
54,55.,Kevin Cash (38),59.184,2016
55,56.,Brad Ausmus (45),58.974,2014
56,56.,Terry Collins (68),58.974,2017
57,58.,David Ross (43),58.824,2020
58,59.,Joe Girardi (55),58.621,2020
59,59.,Pete Mackanin (65),58.621,2017
60,61.,Torey Lovullo (53),58.333,2019
61,61.,Joe Maddon (61),58.333,2015
62,63.,Dave Roberts (48),57.895,2020
63,64.,Torey Lovullo (52),57.778,2018
64,65.,Craig Counsell (48),57.143,2019
65,65.,Terry Francona (57),57.143,2016
66,65.,Clint Hurdle (56),57.143,2014
67,65.,Dan Jennings (54),57.143,2015
68,65.,Lloyd McClendon (55),57.143,2014
69,70.,Clint Hurdle (57),56.818,2015
70,71.,Buck Showalter (59),56.667,2015
71,72.,Pete Mackanin (64),56.522,2016
72,72.,Joe Maddon (66),56.522,2020
73,74.,Brad Ausmus (47),55.882,2016
74,74.,John Farrell (51),55.882,2014
75,74.,Dave Roberts (47),55.882,2019
76,77.,Terry Francona (60),55.556,2019
77,77.,Mike Scioscia (55),55.556,2014
78,77.,Buck Showalter (62),55.556,2018
79,80.,Bruce Bochy (60),55.263,2015
80,80.,Don Mattingly (53),55.263,2014
81,80.,Mike Scioscia (57),55.263,2016
82,83.,Brad Ausmus (50),54.839,2019
83,84.,Mike Scioscia (59),54.762,2018
84,85.,Brian Snitker (60),54.546,2016
85,86.,Terry Collins (66),54.286,2015
86,86.,Dave Roberts (44),54.286,2016
87,88.,Bob Melvin (52),53.846,2014
88,88.,Mike Scioscia (58),53.846,2017
89,90.,Don Mattingly (57),53.659,2018
90,91.,Bruce Bochy (64),53.571,2019
91,91.,Terry Francona (56),53.571,2015
92,93.,Gabe Kapler (43),53.488,2019
