Statistic,Single-Season,Career,Active,Progressive,Yearly League,Year-by-Year Top-Tens,Category
Wins Above Replacement,/leaders/WAR_season.shtml,/leaders/WAR_career.shtml,/leaders/WAR_active.shtml,/leaders/WAR_progress.shtml,/leaders/WAR_leagues.shtml,/leaders/WAR_top_ten.shtml,Player Value Leaderboards
WAR Position Players,/leaders/WAR_bat_season.shtml,/leaders/WAR_bat_career.shtml,/leaders/WAR_bat_active.shtml,/leaders/WAR_bat_progress.shtml,/leaders/WAR_bat_leagues.shtml,/leaders/WAR_bat_top_ten.shtml,Batting Leaderboards
Offensive WAR,/leaders/WAR_off_season.shtml,/leaders/WAR_off_career.shtml,/leaders/WAR_off_active.shtml,/leaders/WAR_off_progress.shtml,/leaders/WAR_off_leagues.shtml,/leaders/WAR_off_top_ten.shtml,Batting Leaderboards
Defensive WAR,/leaders/WAR_def_season.shtml,/leaders/WAR_def_career.shtml,/leaders/WAR_def_active.shtml,/leaders/WAR_def_progress.shtml,/leaders/WAR_def_leagues.shtml,/leaders/WAR_def_top_ten.shtml,Batting Leaderboards
Batting Average,/leaders/batting_avg_season.shtml,/leaders/batting_avg_career.shtml,/leaders/batting_avg_active.shtml,/leaders/batting_avg_progress.shtml,/leaders/batting_avg_leagues.shtml,/leaders/batting_avg_top_ten.shtml,Batting Leaderboards
On-Base%,/leaders/onbase_perc_season.shtml,/leaders/onbase_perc_career.shtml,/leaders/onbase_perc_active.shtml,/leaders/onbase_perc_progress.shtml,/leaders/onbase_perc_leagues.shtml,/leaders/onbase_perc_top_ten.shtml,Batting Leaderboards
Slugging %,/leaders/slugging_perc_season.shtml,/leaders/slugging_perc_career.shtml,/leaders/slugging_perc_active.shtml,/leaders/slugging_perc_progress.shtml,/leaders/slugging_perc_leagues.shtml,/leaders/slugging_perc_top_ten.shtml,Batting Leaderboards
On-Base Plus Slugging,/leaders/onbase_plus_slugging_season.shtml,/leaders/onbase_plus_slugging_career.shtml,/leaders/onbase_plus_slugging_active.shtml,/leaders/onbase_plus_slugging_progress.shtml,/leaders/onbase_plus_slugging_leagues.shtml,/leaders/onbase_plus_slugging_top_ten.shtml,Batting Leaderboards
Games Played,/leaders/G_season.shtml,/leaders/G_career.shtml,/leaders/G_active.shtml,/leaders/G_progress.shtml,/leaders/G_leagues.shtml,/leaders/G_top_ten.shtml,Batting Leaderboards
At Bats,/leaders/AB_season.shtml,/leaders/AB_career.shtml,/leaders/AB_active.shtml,/leaders/AB_progress.shtml,/leaders/AB_leagues.shtml,/leaders/AB_top_ten.shtml,Batting Leaderboards
Plate Appearances,/leaders/PA_season.shtml,/leaders/PA_career.shtml,/leaders/PA_active.shtml,/leaders/PA_progress.shtml,/leaders/PA_leagues.shtml,/leaders/PA_top_ten.shtml,Batting Leaderboards
Runs Scored,/leaders/R_season.shtml,/leaders/R_career.shtml,/leaders/R_active.shtml,/leaders/R_progress.shtml,/leaders/R_leagues.shtml,/leaders/R_top_ten.shtml,Batting Leaderboards
Hits,/leaders/H_season.shtml,/leaders/H_career.shtml,/leaders/H_active.shtml,/leaders/H_progress.shtml,/leaders/H_leagues.shtml,/leaders/H_top_ten.shtml,Batting Leaderboards
Total Bases,/leaders/TB_season.shtml,/leaders/TB_career.shtml,/leaders/TB_active.shtml,/leaders/TB_progress.shtml,/leaders/TB_leagues.shtml,/leaders/TB_top_ten.shtml,Batting Leaderboards
Doubles,/leaders/2B_season.shtml,/leaders/2B_career.shtml,/leaders/2B_active.shtml,/leaders/2B_progress.shtml,/leaders/2B_leagues.shtml,/leaders/2B_top_ten.shtml,Batting Leaderboards
Triples,/leaders/3B_season.shtml,/leaders/3B_career.shtml,/leaders/3B_active.shtml,/leaders/3B_progress.shtml,/leaders/3B_leagues.shtml,/leaders/3B_top_ten.shtml,Batting Leaderboards
Home Runs,/leaders/HR_season.shtml,/leaders/HR_career.shtml,/leaders/HR_active.shtml,/leaders/HR_progress.shtml,/leaders/HR_leagues.shtml,/leaders/HR_top_ten.shtml,Batting Leaderboards
Runs Batted In,/leaders/RBI_season.shtml,/leaders/RBI_career.shtml,/leaders/RBI_active.shtml,/leaders/RBI_progress.shtml,/leaders/RBI_leagues.shtml,/leaders/RBI_top_ten.shtml,Batting Leaderboards
Bases on Balls,/leaders/BB_season.shtml,/leaders/BB_career.shtml,/leaders/BB_active.shtml,/leaders/BB_progress.shtml,/leaders/BB_leagues.shtml,/leaders/BB_top_ten.shtml,Batting Leaderboards
Strikeouts,/leaders/SO_season.shtml,/leaders/SO_career.shtml,/leaders/SO_active.shtml,/leaders/SO_progress.shtml,/leaders/SO_leagues.shtml,/leaders/SO_top_ten.shtml,Batting Leaderboards
Stolen Bases,/leaders/SB_season.shtml,/leaders/SB_career.shtml,/leaders/SB_active.shtml,/leaders/SB_progress.shtml,/leaders/SB_leagues.shtml,/leaders/SB_top_ten.shtml,Batting Leaderboards
Singles,/leaders/1B_season.shtml,/leaders/1B_career.shtml,/leaders/1B_active.shtml,/leaders/1B_progress.shtml,/leaders/1B_leagues.shtml,/leaders/1B_top_ten.shtml,Batting Leaderboards
Adjusted OPS+,/leaders/onbase_plus_slugging_plus_season.shtml,/leaders/onbase_plus_slugging_plus_career.shtml,/leaders/onbase_plus_slugging_plus_active.shtml,/leaders/onbase_plus_slugging_plus_progress.shtml,/leaders/onbase_plus_slugging_plus_leagues.shtml,/leaders/onbase_plus_slugging_plus_top_ten.shtml,Batting Leaderboards
Runs Created,/leaders/RC_season.shtml,/leaders/RC_career.shtml,/leaders/RC_active.shtml,/leaders/RC_progress.shtml,/leaders/RC_leagues.shtml,/leaders/RC_top_ten.shtml,Batting Leaderboards
Adj. Batting Runs,/leaders/abRuns_season.shtml,/leaders/abRuns_career.shtml,/leaders/abRuns_active.shtml,/leaders/abRuns_progress.shtml,/leaders/abRuns_leagues.shtml,/leaders/abRuns_top_ten.shtml,Batting Leaderboards
Adj. Batting Wins,/leaders/abWins_season.shtml,/leaders/abWins_career.shtml,/leaders/abWins_active.shtml,/leaders/abWins_progress.shtml,/leaders/abWins_leagues.shtml,/leaders/abWins_top_ten.shtml,Batting Leaderboards
Extra Base Hits,/leaders/XBH_season.shtml,/leaders/XBH_career.shtml,/leaders/XBH_active.shtml,/leaders/XBH_progress.shtml,/leaders/XBH_leagues.shtml,/leaders/XBH_top_ten.shtml,Batting Leaderboards
