,Year,Rank,Name,Stat
0,2020,1.,DJ LeMahieu, .3641
1,2020,2.,Juan Soto, .3506
2,2020,3.,Freddie Freeman, .3411
3,2020,4.,Marcell Ozuna, .3377
4,2020,5.,Trea Turner, .3348
5,2020,6.,Donovan Solano, .3263
6,2020,7.,Alec Bohm, .3375
7,2020,8.,Tim Anderson, .3221
8,2020,9.,Michael Conforto, .3218
9,2020,10.,Raimel Tapia, .3207
10,2019,1.,Tim Anderson, .3353
11,2019,2.,Christian Yelich, .3292
12,2019,3.,Ketel Marte, .3286
13,2019,4.,DJ LeMahieu, .3272
14,2019,5.,Anthony Rendon, .3193
15,2019,6.,Jeff McNeil, .3176
16,2019,7.,Yoan Moncada, .3151
17,2019,8.,Nolan Arenado, .3146
18,2019,9.,Charlie Blackmon, .3138
19,2019,10.,Bryan Reynolds, .3136
20,2018,1.,Mookie Betts, .3462
21,2018,2.,J.D. Martinez, .3304
22,2018,3.,Christian Yelich, .3258
23,2018,4.,Jose Altuve, .3165
24,2018,5.,Mike Trout, .3121
25,2018,6.,Scooter Gennett, .3099
26,2018,7.,Freddie Freeman, .3091
27,2018,8.,Michael Brantley, .3088
28,2018,9.,Anthony Rendon, .3081
29,2018,10.,Lorenzo Cain, .3080
30,2017,1.,Jose Altuve, .3458
31,2017,2.,Charlie Blackmon, .3307
32,2017,3.,Avisail Garcia, .3301
33,2017,4.,Daniel Murphy, .3221
34,2017,5.,Justin Turner, .3217
35,2017,6.,Joey Votto, .3202
36,2017,7.,Buster Posey, .3198
37,2017,8.,Eric Hosmer, .3184
38,2017,9.,Jose Ramirez, .3179
39,2017,10.,Josh Reddick, .3145
40,2016,1.,DJ LeMahieu, .3478
41,2016,2.,Daniel Murphy, .3465
42,2016,3.,Jose Altuve, .3375
43,2016,4.,Joey Votto, .3255
44,2016,5.,Charlie Blackmon, .3235
45,2016,6.,Jean Segura, .3187
46,2016,7.,Mookie Betts, .3185
47,2016,8.,Dustin Pedroia, .3175
48,2016,9.,Miguel Cabrera, .3160
49,2016,10.,Mike Trout, .3151
50,2015,1.,Miguel Cabrera, .3380
51,2015,2.,Dee Strange-Gordon, .3333
52,2015,3.,Bryce Harper, .3301
53,2015,4.,Paul Goldschmidt, .3210
54,2015,5.,Xander Bogaerts, .3197
55,2015,6.,Buster Posey, .3178
56,2015,7.,AJ Pollock, .3153
57,2015,8.,Yunel Escobar, .3140
58,2015,9.,Joey Votto, .3138
59,2015,10.,Jose Altuve, .3135
60,2014,1.,Jose Altuve, .3409
61,2014,2.,Victor Martinez, .3351
62,2014,3.,Michael Brantley, .3273
63,2014,4.,Adrian Beltre, .3242
64,2014,5.,Justin Morneau, .3187
65,2014,6.,José Abreu, .3165
66,2014,7.,Josh Harrison, .3154
67,2014,8.,Robinson Cano, .3143
68,2014,9.,Andrew McCutchen, .3139
69,2014,10.,Miguel Cabrera, .3126
70,2013,1.,Miguel Cabrera, .3477
71,2013,2.,Michael Cuddyer, .3313
72,2013,3.,Joe Mauer, .3236
73,2013,4.,Mike Trout, .3226
74,2013,5.,Chris Johnson, .3210
75,2013,6.,Freddie Freeman, .3194
76,2013,7.,Yadier Molina, .3188
77,2013,8.,Jayson Werth, .3182
78,2013,9.,Matt Carpenter, .3179
79,2013,10.,Andrew McCutchen, .3173
80,2012,1.,Buster Posey, .3358
81,2012,2.,Miguel Cabrera, .3296
82,2012,3.,Andrew McCutchen, .3272
83,2012,4.,Mike Trout, .3256
84,2012,5.,Adrian Beltre, .3212
85,2012,6.,Ryan Braun, .3194
86,2012,7.,Joe Mauer, .3193
87,2012,8.,Derek Jeter, .3163
88,2012,9.,Yadier Molina, .3149
89,2012,10.,Joey Votto, .3369
90,2011,1.,Miguel Cabrera, .3444
91,2011,2.,Adrian Gonzalez, .3381
92,2011,3.,Michael Young, .3376
93,2011,4.,Jose Reyes, .3371
94,2011,5.,Ryan Braun, .3321
95,2011,6.,Victor Martinez, .3296
96,2011,7.,Matt Kemp, .3239
97,2011,8.,Jacoby Ellsbury, .3212
98,2011,9.,Hunter Pence, .3135
99,2011,10.,Joey Votto, .3088
100,2010,1.,Josh Hamilton, .3591
101,2010,2.,Carlos Gonzalez, .3356
102,2010,3.,Miguel Cabrera, .3285
103,2010,4.,Joe Mauer, .3275
104,2010,5.,Joey Votto, .3236
105,2010,6.,Adrian Beltre, .3209
106,2010,7.,Omar Infante, .3206
107,2010,8.,Robinson Cano, .3195
108,2010,9.,Billy Butler, .3176
109,2010,10.,Troy Tulowitzki, .3149
110,2009,1.,Joe Mauer, .3652
111,2009,2.,Ichiro Suzuki, .3521
112,2009,3.,Hanley Ramirez, .3420
113,2009,4.,Derek Jeter, .3344
114,2009,5.,Pablo Sandoval, .3304
115,2009,6.,Albert Pujols, .3275
116,2009,7.,Todd Helton, .3254
117,2009,8.,Miguel Cabrera, .3241
118,2009,9.,Joey Votto, .3220
119,2009,10.,Michael Young, .3216
120,2008,1.,Chipper Jones, .3645
121,2008,2.,Albert Pujols, .3569
122,2008,3.,Manny Ramirez, .3315
123,2008,4.,Joe Mauer, .3284
124,2008,5.,Dustin Pedroia, .3262
125,2008,6.,Milton Bradley, .3213
126,2008,7.,Matt Holliday, .3210
127,2008,8.,Ian Kinsler, .3185
128,2008,9.,Magglio Ordonez, .3173
129,2008,10.,Cristian Guzman, .3161
130,2007,1.,Magglio Ordonez, .3630
131,2007,2.,Ichiro Suzuki, .3510
132,2007,3.,Placido Polanco, .3407
133,2007,4.,Matt Holliday, .3396
134,2007,5.,Jorge Posada, .3379
135,2007,6.,Chipper Jones, .3372
136,2007,7.,Chase Utley, .3321
137,2007,8.,Edgar Renteria, .3320
138,2007,9.,Hanley Ramirez, .3318
139,2007,10.,David Ortiz, .3315
140,2006,1.,Joe Mauer, .3474
141,2006,2.,Freddy Sanchez, .3436
142,2006,3.,Derek Jeter, .3435
143,2006,4.,Robinson Cano, .3423
144,2006,5.,Miguel Cabrera, .3385
145,2006,6.,Albert Pujols, .3308
146,2006,7.,Miguel Tejada, .3302
147,2006,8.,Vladimir Guerrero, .3295
148,2006,9.,Garrett Atkins, .3289
149,2006,10.,Matt Holliday, .3256
150,2005,1.,Derrek Lee, .3350
151,2005,2.,Placido Polanco, .3313
152,2005,3.,Michael Young, .3308
153,2005,4.,Albert Pujols, .3299
154,2005,5.,Miguel Cabrera, .3230
155,2005,6.,Alex Rodriguez, .3207
156,2005,7.,Todd Helton, .3202
157,2005,8.,Vladimir Guerrero, .3173
158,2005,9.,Johnny Damon, .3157
159,2005,10.,Brian Roberts, .3137
160,2004,1.,Ichiro Suzuki, .3722
161,2004,2.,Barry Bonds, .3619
162,2004,3.,Todd Helton, .3473
163,2004,4.,Melvin Mora, .3400
164,2004,5.,Vladimir Guerrero, .3366
165,2004,6.,Mark Loretta, .3355
166,2004,7.,Adrian Beltre, .3344
167,2004,8.,Ivan Rodriguez, .3340
168,2004,9.,Albert Pujols, .3311
169,2004,10.,Juan Pierre, .3260
170,2003,1.,Albert Pujols, .3587
171,2003,2.,Todd Helton, .3585
172,2003,3.,Barry Bonds, .3410
173,2003,4.,Edgar Renteria, .3305
174,2003,5.,Gary Sheffield, .3299
175,2003,6.,Bill Mueller, .3263
176,2003,7.,Jason Kendall, .3254
177,2003,8.,Manny Ramirez, .3251
178,2003,9.,Derek Jeter, .3237
179,2003,10.,Javy Lopez, .3282
180,2002,1.,Barry Bonds, .3697
181,2002,2.,Manny Ramirez, .3486
182,2002,3.,Mike Sweeney, .3397
183,2002,4.,Larry Walker, .3375
184,2002,5.,Vladimir Guerrero, .3355
185,2002,6.,Bernie Williams, .3333
186,2002,7.,Todd Helton, .3291
187,2002,8.,Chipper Jones, .3266
188,2002,9.,Ichiro Suzuki, .3215
189,2002,10.,Magglio Ordonez, .3203
190,2001,1.,Larry Walker, .3501
191,2001,2.,Ichiro Suzuki, .3497
192,2001,3.,Jason Giambi, .3423
193,2001,4.,Roberto Alomar, .3357
194,2001,5.,Todd Helton, .3356
195,2001,6.,Moises Alou, .3314
196,2001,7.,Lance Berkman, .3310
197,2001,8.,Bret Boone, .3307
198,2001,9.,Frank Catalanotto, .3305
199,2001,10.,Chipper Jones, .3304
200,2000,1.,Todd Helton, .3724
201,2000,2.,Nomar Garciaparra, .3724
202,2000,3.,Darin Erstad, .3550
203,2000,4.,Moises Alou, .3546
204,2000,5.,Manny Ramirez, .3508
205,2000,6.,Vladimir Guerrero, .3450
206,2000,7.,Carlos Delgado, .3445
207,2000,8.,Derek Jeter, .3390
208,2000,9.,Jeffrey Hammonds, .3348
209,2000,10.,David Segui, .3345
210,1999,1.,Larry Walker, .3790
211,1999,2.,Nomar Garciaparra, .3571
212,1999,3.,Derek Jeter, .3493
213,1999,4.,Bernie Williams, .3418
214,1999,5.,Edgar Martinez, .3367
215,1999,6.,Luis Gonzalez, .3355
216,1999,7.,Bobby Abreu, .3352
217,1999,8.,Manny Ramirez, .3333
218,1999,9.,Omar Vizquel, .3328
219,1999,10.,Ivan Rodriguez, .3317
220,1998,1.,Larry Walker, .3634
221,1998,2.,John Olerud, .3537
222,1998,3.,Bernie Williams, .3387
223,1998,4.,Mo Vaughn, .3366
224,1998,5.,Dante Bichette, .3308
225,1998,6.,Albert Belle, .3284
226,1998,7.,Mike Piazza, .3280
227,1998,8.,Eric Davis, .3274
228,1998,9.,Jason Kendall, .3271
229,1998,10.,Craig Biggio, .3251
230,1997,1.,Tony Gwynn, .3716
231,1997,2.,Larry Walker, .3662
232,1997,3.,Mike Piazza, .3615
233,1997,4.,Frank Thomas, .3472
234,1997,5.,Kenny Lofton, .3327
235,1997,6.,Edgar Martinez, .3303
236,1997,7.,David Justice, .3293
237,1997,8.,Bernie Williams, .3281
238,1997,9.,Manny Ramirez, .3280
239,1997,10.,Wally Joyner, .3275
240,1996,1.,Alex Rodriguez, .3577
241,1996,2.,Tony Gwynn, .3525
242,1996,3.,Frank Thomas, .3491
243,1996,4.,Ellis Burks, .3442
244,1996,5.,Paul Molitor, .3409
245,1996,6.,Chuck Knoblauch, .3408
246,1996,7.,Mike Piazza, .3364
247,1996,8.,Lance Johnson, .3328
248,1996,9.,Rusty Greer, .3321
249,1996,10.,Dave Nilsson, .3311
250,1995,1.,Tony Gwynn, .3682
251,1995,2.,Edgar Martinez, .3562
252,1995,3.,Mike Piazza, .3456
253,1995,4.,Dante Bichette, .3402
254,1995,5.,Derek Bell, .3341
255,1995,6.,Chuck Knoblauch, .3327
256,1995,7.,Tim Salmon, .3296
257,1995,8.,Bobby Bonilla, .3285
258,1995,9.,Mark Grace, .3261
259,1995,10.,Wade Boggs, .3239
260,1994,1.,Tony Gwynn, .3938
261,1994,2.,Jeff Bagwell, .3675
262,1994,3.,Paul O'Neill, .3587
263,1994,4.,Albert Belle, .3568
264,1994,5.,Frank Thomas, .3534
265,1994,6.,Kenny Lofton, .3486
266,1994,7.,Mike Kingery, .3488
267,1994,8.,Wade Boggs, .3415
268,1994,9.,Paul Molitor, .3414
269,1994,10.,Moises Alou, .3389
270,1993,1.,Andres Galarraga, .3702
271,1993,2.,John Olerud, .3630
272,1993,3.,Tony Gwynn, .3579
273,1993,4.,Gregg Jefferies, .3419
274,1993,5.,Barry Bonds, .3358
275,1993,6.,Paul Molitor, .3318
276,1993,7.,Roberto Alomar, .3260
277,1993,8.,Kenny Lofton, .3251
278,1993,9.,Mark Grace, .3249
279,1993,10.,Carlos Baerga, .3205
280,1992,1.,Edgar Martinez, .3428
281,1992,2.,Gary Sheffield, .3303
282,1992,3.,Kirby Puckett, .3286
283,1992,4.,Andy Van Slyke, .3241
284,1992,5.,John Kruk, .3235
285,1992,6.,Bip Roberts, .3233
286,1992,7.,Frank Thomas, .3229
287,1992,8.,Paul Molitor, .3202
288,1992,9.,Tony Gwynn, .3173
289,1992,10.,Shane Mack, .3150
290,1991,1.,Julio Franco, .3413
291,1991,2.,Wade Boggs, .3315
292,1991,3.,Willie Randolph, .3271
293,1991,4.,Ken Griffey Jr., .3266
294,1991,5.,Paul Molitor, .3248
295,1991,6.,Cal Ripken Jr., .3231
296,1991,7.,Rafael Palmeiro, .3217
297,1991,8.,Kirby Puckett, .3191
298,1991,9.,Terry Pendleton, .3191
299,1991,10.,Frank Thomas, .3184
300,1990,1.,Eddie Murray, .3297
301,1990,2.,George Brett, .3290
302,1990,3.,Dave Magadan, .3282
303,1990,4.,Lenny Dykstra, .3254
304,1990,5.,Rickey Henderson, .3252
305,1990,6.,Willie McGee, .3241
306,1990,7.,Rafael Palmeiro, .3194
307,1990,8.,Andre Dawson, .3100
308,1990,9.,Bip Roberts, .3094
309,1990,10.,Mark Grace, .3090
310,1989,1.,Kirby Puckett, .3386
311,1989,2.,Tony Gwynn, .3361
312,1989,3.,Carney Lansford, .3358
313,1989,4.,Will Clark, .3333
314,1989,5.,Wade Boggs, .3301
315,1989,6.,Robin Yount, .3176
316,1989,7.,Julio Franco, .3157
317,1989,8.,Paul Molitor, .3154
318,1989,9.,Lonnie Smith, .3154
319,1989,10.,Steve Sax, .3149
320,1988,1.,Wade Boggs, .3664
321,1988,2.,Kirby Puckett, .3562
322,1988,3.,Mike Greenwell, .3254
323,1988,4.,Dave Winfield, .3220
324,1988,5.,Tony Gwynn, .3129
325,1988,6.,Paul Molitor, .3120
326,1988,7.,Kent Hrbek, .3118
327,1988,8.,Alan Trammell, .3112
328,1988,9.,Don Mattingly, .3105
329,1988,10.,Rafael Palmeiro, .3069
330,1987,1.,Tony Gwynn, .3701
331,1987,2.,Wade Boggs, .3630
332,1987,3.,Paul Molitor, .3527
333,1987,4.,Alan Trammell, .3434
334,1987,5.,Pedro Guerrero, .3376
335,1987,6.,Kirby Puckett, .3317
336,1987,7.,Tim Raines, .3302
337,1987,8.,Don Mattingly, .3269
338,1987,9.,Kevin Seitzer, .3229
339,1987,10.,Tony Fernandez, .3218
340,1986,1.,Wade Boggs, .3569
341,1986,2.,Don Mattingly, .3516
342,1986,3.,Tim Raines, .3345
343,1986,4.,Steve Sax, .3318
344,1986,5.,Tony Gwynn, .3287
345,1986,6.,Kirby Puckett, .3279
346,1986,7.,Pat Tabler, .3256
347,1986,8.,Jim Rice, .3236
348,1986,9.,Robin Yount, .3123
349,1986,10.,Kevin Bass, .3113
350,1985,1.,Wade Boggs, .3675
351,1985,2.,Willie McGee, .3529
352,1985,3.,George Brett, .3345
353,1985,4.,Don Mattingly, .3236
354,1985,5.,Pedro Guerrero, .3203
355,1985,6.,Tim Raines, .3200
356,1985,7.,Tony Gwynn, .3167
357,1985,8.,Rickey Henderson, .3144
358,1985,9.,Dave Parker, .3118
359,1985,10.,Brett Butler, .3113
360,1984,1.,Tony Gwynn, .3515
361,1984,2.,Don Mattingly, .3433
362,1984,3.,Dave Winfield, .3404
363,1984,4.,Wade Boggs, .3248
364,1984,5.,Lee Lacy, .3207
365,1984,6.,Buddy Bell, .3146
366,1984,7.,Chili Davis, .3146
367,1984,8.,Ryne Sandberg, .3145
368,1984,9.,Alan Trammell, .3135
369,1984,10.,Mike Easler, .3128
370,1983,1.,Wade Boggs, .3608
371,1983,2.,Rod Carew, .3390
372,1983,3.,Bill Madlock, .3235
373,1983,4.,Lonnie Smith, .3211
374,1983,5.,Lou Whitaker, .3204
375,1983,6.,Alan Trammell, .3188
376,1983,7.,Cal Ripken Jr., .3183
377,1983,8.,Jose Cruz, .3182
378,1983,9.,George Hendrick, .3176
379,1983,10.,Lloyd Moseby, .3154
380,1982,1.,Willie Wilson, .3316
381,1982,2.,Robin Yount, .3307
382,1982,3.,Al Oliver, .3306
383,1982,4.,Rod Carew, .3193
384,1982,5.,Bill Madlock, .3187
385,1982,6.,Eddie Murray, .3164
386,1982,7.,Cecil Cooper, .3135
387,1982,8.,Leon Durham, .3117
388,1982,9.,Damaso Garcia, .3099
389,1982,10.,Jim Rice, .3089
390,1981,1.,Bill Madlock, .3405
391,1981,2.,Carney Lansford, .3358
392,1981,3.,Tom Paciorek, .3259
393,1981,4.,Pete Rose, .3248
394,1981,5.,Kirk Gibson, .3276
395,1981,6.,Dusty Baker, .3200
396,1981,7.,Cecil Cooper, .3197
397,1981,8.,Rickey Henderson, .3191
398,1981,9.,Mike Hargrove, .3168
399,1981,10.,Mike Schmidt, .3164
400,1980,1.,George Brett, .3898
401,1980,2.,Cecil Cooper, .3521
402,1980,3.,Miguel Dilone, .3409
403,1980,4.,Mickey Rivers, .3333
404,1980,5.,Rod Carew, .3315
405,1980,6.,Buddy Bell, .3286
