,Year,Rank,Name,Stat
0,2020,1.,Juan Soto, .6948
1,2020,2.,Freddie Freeman, .6402
2,2020,3.,Marcell Ozuna, .6360
3,2020,4.,José Abreu, .6167
4,2020,5.,Dominic Smith, .6158
5,2020,6.,Luke Voit, .6103
6,2020,7.,Jose Ramirez, .6073
7,2020,8.,Wil Myers, .6061
8,2020,9.,Mike Trout, .6030
9,2020,10.,Nelson Cruz, .5946
10,2019,1.,Christian Yelich, .6708
11,2019,2.,Mike Trout, .6447
12,2019,3.,Nelson Cruz, .6388
13,2019,4.,Cody Bellinger, .6290
14,2019,5.,Anthony Rendon, .5982
15,2019,6.,Ketel Marte, .5923
16,2019,7.,Alex Bregman, .5921
17,2019,8.,George Springer, .5908
18,2019,9.,Nolan Arenado, .5833
19,2019,10.,Pete Alonso, .5829
20,2018,1.,Mookie Betts, .6404
21,2018,2.,J.D. Martinez, .6292
22,2018,3.,Mike Trout, .6285
23,2018,4.,Christian Yelich, .5976
24,2018,5.,Trevor Story, .5669
25,2018,6.,Nolan Arenado, .5610
26,2018,7.,Javier Baez, .5545
27,2018,8.,Max Muncy, .5823
28,2018,9.,Jose Ramirez, .5519
29,2018,10.,Khris Davis, .5486
30,2017,1.,J.D. Martinez, .6898
31,2017,2.,Giancarlo Stanton, .6315
32,2017,3.,Mike Trout, .6294
33,2017,4.,Aaron Judge, .6273
34,2017,5.,Charlie Blackmon, .6009
35,2017,6.,Freddie Freeman, .5864
36,2017,7.,Nolan Arenado, .5858
37,2017,8.,Jose Ramirez, .5829
38,2017,9.,Bryce Harper, .5952
39,2017,10.,Cody Bellinger, .5813
40,2016,1.,David Ortiz, .6201
41,2016,2.,Daniel Murphy, .5951
42,2016,3.,Nolan Arenado, .5696
43,2016,4.,Freddie Freeman, .5688
44,2016,5.,Miguel Cabrera, .5630
45,2016,6.,Nelson Cruz, .5552
46,2016,7.,Kris Bryant, .5539
47,2016,8.,Charlie Blackmon, .5519
48,2016,9.,Joey Votto, .5504
49,2016,10.,Mike Trout, .5501
50,2015,1.,Bryce Harper, .6488
51,2015,2.,Mike Trout, .5896
52,2015,3.,Nolan Arenado, .5747
53,2015,4.,Paul Goldschmidt, .5697
54,2015,5.,Josh Donaldson, .5677
55,2015,6.,Nelson Cruz, .5661
56,2015,7.,Chris Davis, .5620
57,2015,8.,Edwin Encarnacion, .5568
58,2015,9.,David Ortiz, .5530
