,Year,Rank,Name,Stat
0,2020,1.,Juan Soto, 1.1846
1,2020,2.,Freddie Freeman, 1.1020
2,2020,3.,Marcell Ozuna, 1.0667
3,2020,4.,DJ LeMahieu, 1.0110
4,2020,5.,Jose Ramirez, .9931
5,2020,6.,Mike Trout, .9931
6,2020,7.,Dominic Smith, .9927
7,2020,8.,Nelson Cruz, .9918
8,2020,9.,Ronald Acuna Jr., .9872
9,2020,10.,José Abreu, .9869
10,2019,1.,Christian Yelich, 1.1001
11,2019,2.,Mike Trout, 1.0830
12,2019,3.,Cody Bellinger, 1.0351
13,2019,4.,Nelson Cruz, 1.0311
14,2019,5.,Alex Bregman, 1.0152
15,2019,6.,Anthony Rendon, 1.0099
16,2019,7.,Ketel Marte, .9808
17,2019,8.,George Springer, .9739
18,2019,9.,Nolan Arenado, .9625
19,2019,10.,Juan Soto, .9486
20,2018,1.,Mike Trout, 1.0881
21,2018,2.,Mookie Betts, 1.0785
22,2018,3.,J.D. Martinez, 1.0313
23,2018,4.,Christian Yelich, 1.0000
24,2018,5.,Jose Ramirez, .9387
25,2018,6.,Nolan Arenado, .9345
26,2018,7.,Max Muncy, .9731
27,2018,8.,Alex Bregman, .9263
28,2018,9.,Paul Goldschmidt, .9219
29,2018,10.,Trevor Story, .9145
30,2017,1.,Mike Trout, 1.0712
31,2017,2.,Aaron Judge, 1.0491
32,2017,3.,J.D. Martinez, 1.0661
33,2017,4.,Joey Votto, 1.0318
34,2017,5.,Giancarlo Stanton, 1.0072
35,2017,6.,Charlie Blackmon, .9998
36,2017,7.,Freddie Freeman, .9891
37,2017,8.,Bryce Harper, 1.0078
38,2017,9.,Paul Goldschmidt, .9663
39,2017,10.,Nolan Arenado, .9590
40,2016,1.,David Ortiz, 1.0211
41,2016,2.,Mike Trout, .9906
42,2016,3.,Daniel Murphy, .9851
43,2016,4.,Joey Votto, .9846
44,2016,5.,Freddie Freeman, .9685
45,2016,6.,Miguel Cabrera, .9563
46,2016,7.,Josh Donaldson, .9534
47,2016,8.,Kris Bryant, .9387
48,2016,9.,Charlie Blackmon, .9328
49,2016,10.,Nolan Arenado, .9316
50,2015,1.,Bryce Harper, 1.1090
51,2015,2.,Paul Goldschmidt, 1.0048
52,2015,3.,Joey Votto, 1.0003
53,2015,4.,Mike Trout, .9913
54,2015,5.,Miguel Cabrera, .9741
55,2015,6.,Josh Donaldson, .9387
56,2015,7.,Nelson Cruz, .9356
57,2015,8.,Edwin Encarnacion, .9286
58,2015,9.,Chris Davis, .9231
