,Year,Rank,Name,Stat
0,2020,1.,Starling Marte, 61
1,2020,2.,Vladimir Guerrero Jr., 60
2,2020,2.,Francisco Lindor, 60
3,2020,2.,Dansby Swanson, 60
4,2020,2.,Marcell Ozuna, 60
5,2020,2.,Didi Gregorius, 60
6,2020,2.,Matt Olson, 60
7,2020,2.,Nicholas Castellanos, 60
8,2020,2.,José Abreu, 60
9,2020,2.,Carlos Santana, 60
10,2020,2.,Manny Machado, 60
11,2020,2.,Whit Merrifield, 60
12,2020,2.,Maikel Franco, 60
13,2020,2.,Freddie Freeman, 60
14,2020,2.,Kyle Seager, 60
15,2019,1.,Jorge Soler, 162
16,2019,1.,Whit Merrifield, 162
17,2019,1.,Starlin Castro, 162
18,2019,1.,Jonathan Villar, 162
19,2019,1.,Marcus Semien, 162
20,2019,6.,Pete Alonso, 161
21,2019,6.,Cesar Hernandez, 161
22,2019,6.,Kevin Pillar, 161
23,2019,6.,Paul Goldschmidt, 161
24,2019,10.,Rhys Hoskins, 160
25,2019,10.,Eric Hosmer, 160
26,2019,10.,Ozzie Albies, 160
27,2018,1.,Nick Markakis, 162
28,2018,1.,Matt Olson, 162
29,2018,1.,Freddy Galvis, 162
30,2018,1.,Trea Turner, 162
31,2018,1.,Cody Bellinger, 162
32,2018,1.,Manny Machado, 162
33,2018,1.,Freddie Freeman, 162
34,2018,8.,Carlos Santana, 161
35,2018,8.,Cesar Hernandez, 161
36,2018,10.,Ian Desmond, 160
37,2018,10.,Javier Baez, 160
38,2017,1.,Alcides Escobar, 162
39,2017,1.,Joey Votto, 162
40,2017,1.,Freddy Galvis, 162
41,2017,1.,Rougned Odor, 162
42,2017,1.,Eric Hosmer, 162
43,2017,6.,Jonathan Schoop, 160
44,2017,6.,Nick Markakis, 160
45,2017,8.,Nolan Arenado, 159
46,2017,8.,Marcell Ozuna, 159
47,2017,8.,Francisco Lindor, 159
48,2017,8.,Giancarlo Stanton, 159
49,2017,8.,Charlie Blackmon, 159
50,2017,8.,Josh Bell, 159
51,2016,1.,Alcides Escobar, 162
52,2016,1.,Jonathan Schoop, 162
53,2016,1.,George Springer, 162
54,2016,4.,Jose Altuve, 161
55,2016,4.,Robinson Cano, 161
56,2016,6.,Chris Carter, 160
57,2016,6.,Edwin Encarnacion, 160
58,2016,6.,Nolan Arenado, 160
59,2016,6.,Evan Longoria, 160
60,2016,10.,Eugenio Suarez, 159
61,2016,10.,Mark Trumbo, 159
62,2016,10.,Marcus Semien, 159
63,2016,10.,Odubel Herrera, 159
64,2016,10.,Mike Trout, 159
65,2016,10.,José Abreu, 159
66,2015,1.,Manny Machado, 162
67,2015,2.,Kyle Seager, 161
68,2015,3.,Elvis Andrus, 160
69,2015,3.,Anthony Rizzo, 160
70,2015,3.,Evan Longoria, 160
71,2015,3.,Chris Davis, 160
72,2015,7.,Kole Calhoun, 159
73,2015,7.,Mike Trout, 159
74,2015,7.,Paul Goldschmidt, 159
75,2015,7.,Kevin Pillar, 159
76,2015,7.,Yoenis Céspedes, 159
77,2014,1.,Hunter Pence, 162
78,2014,1.,Alcides Escobar, 162
79,2014,1.,Freddie Freeman, 162
80,2014,1.,Evan Longoria, 162
81,2014,5.,Ian Kinsler, 161
82,2014,6.,Casey McGehee, 160
83,2014,7.,Albert Pujols, 159
84,2014,7.,Kyle Seager, 159
85,2014,7.,Miguel Cabrera, 159
86,2014,7.,Adam Jones, 159
87,2014,7.,Nelson Cruz, 159
88,2014,7.,Adrian Gonzalez, 159
89,2013,1.,Hunter Pence, 162
90,2013,1.,Billy Butler, 162
91,2013,1.,Prince Fielder, 162
92,2013,1.,Joey Votto, 162
93,2013,5.,Daniel Murphy, 161
94,2013,5.,Adrian Beltre, 161
95,2013,5.,Starlin Castro, 161
96,2013,8.,Kyle Seager, 160
97,2013,8.,Jimmy Rollins, 160
98,2013,8.,Chris Davis, 160
99,2013,8.,Nick Markakis, 160
100,2013,8.,Jay Bruce, 160
101,2013,8.,Dustin Pedroia, 160
102,2013,8.,Anthony Rizzo, 160
103,2013,8.,Adam Jones, 160
104,2013,8.,Paul Goldschmidt, 160
105,2013,8.,Robinson Cano, 160
106,2013,8.,Evan Longoria, 160
107,2012,1.,Prince Fielder, 162
108,2012,1.,Adam Jones, 162
109,2012,1.,Starlin Castro, 162
110,2012,1.,Ichiro Suzuki, 162
111,2012,5.,Robinson Cano, 161
112,2012,5.,Chase Headley, 161
113,2012,5.,Billy Butler, 161
114,2012,5.,Alex Gordon, 161
115,2012,5.,Miguel Cabrera, 161
116,2012,10.,Danny Espinosa, 160
117,2012,10.,Jose Reyes, 160
118,2012,10.,Curtis Granderson, 160
119,2012,10.,Hunter Pence, 160
120,2012,10.,Carlos Pena, 160
121,2011,1.,Prince Fielder, 162
122,2011,2.,Matt Kemp, 161
123,2011,2.,Ichiro Suzuki, 161
124,2011,2.,Joey Votto, 161
125,2011,2.,Dan Uggla, 161
126,2011,2.,Miguel Cabrera, 161
127,2011,7.,Nick Markakis, 160
128,2011,8.,Adrian Gonzalez, 159
129,2011,8.,Jon Jay, 159
130,2011,8.,Michael Young, 159
131,2011,8.,Neil Walker, 159
132,2011,8.,Gaby Sanchez, 159
133,2011,8.,Dustin Pedroia, 159
134,2011,8.,Justin Upton, 159
135,2011,8.,Brett Gardner, 159
136,2011,8.,Billy Butler, 159
137,2011,8.,Robinson Cano, 159
138,2010,1.,Ichiro Suzuki, 162
139,2010,1.,Matt Kemp, 162
140,2010,3.,Prince Fielder, 161
141,2010,3.,Chone Figgins, 161
142,2010,3.,James Loney, 161
143,2010,3.,Jose Bautista, 161
144,2010,3.,Chase Headley, 161
145,2010,8.,Robinson Cano, 160
146,2010,8.,Juan Pierre, 160
147,2010,8.,Nick Markakis, 160
148,2010,8.,Rickie Weeks, 160
149,2010,8.,Adrian Gonzalez, 160
150,2009,1.,Prince Fielder, 162
151,2009,2.,Brandon Inge, 161
152,2009,2.,Nick Markakis, 161
153,2009,2.,Robinson Cano, 161
154,2009,5.,Adrian Gonzalez, 160
155,2009,5.,Miguel Cabrera, 160
156,2009,5.,Andre Ethier, 160
157,2009,5.,Curtis Granderson, 160
158,2009,5.,Orlando Cabrera, 160
159,2009,5.,Ryan Howard, 160
160,2009,5.,Albert Pujols, 160
161,2009,5.,Carlos Lee, 160
162,2008,1.,Justin Morneau, 163
163,2008,2.,Ryan Howard, 162
164,2008,2.,Ichiro Suzuki, 162
165,2008,2.,Raul Ibanez, 162
166,2008,2.,Adrian Gonzalez, 162
167,2008,6.,Orlando Cabrera, 161
168,2008,6.,James Loney, 161
169,2008,6.,Carlos Beltran, 161
170,2008,9.,David Wright, 160
