,Year,Rank,Name,Stat
0,2020,1.,Freddie Freeman, 51
1,2020,2.,Fernando Tatis Jr., 50
2,2020,3.,Dansby Swanson, 49
3,2020,4.,Mookie Betts, 47
4,2020,5.,Ronald Acuna Jr., 46
5,2020,5.,Trea Turner, 46
6,2020,7.,Jose Ramirez, 45
7,2020,7.,Tim Anderson, 45
8,2020,9.,Manny Machado, 44
9,2020,10.,José Abreu, 43
10,2019,1.,Mookie Betts, 135
11,2019,2.,Rafael Devers, 129
12,2019,3.,Ronald Acuna Jr., 127
13,2019,4.,Marcus Semien, 123
14,2019,5.,Alex Bregman, 122
15,2019,6.,Cody Bellinger, 121
16,2019,7.,Anthony Rendon, 117
17,2019,8.,Freddie Freeman, 113
18,2019,9.,Charlie Blackmon, 112
19,2019,10.,Jonathan Villar, 111
20,2019,10.,Trevor Story, 111
21,2018,1.,Mookie Betts, 129
22,2018,1.,Francisco Lindor, 129
23,2018,3.,Charlie Blackmon, 119
24,2018,4.,Christian Yelich, 118
25,2018,5.,J.D. Martinez, 111
26,2018,5.,Matt Carpenter, 111
27,2018,7.,Jose Ramirez, 110
28,2018,8.,Alex Bregman, 105
29,2018,8.,Ozzie Albies, 105
30,2018,10.,Nolan Arenado, 104
31,2017,1.,Charlie Blackmon, 137
32,2017,2.,Aaron Judge, 128
33,2017,3.,Giancarlo Stanton, 123
34,2017,4.,Paul Goldschmidt, 117
35,2017,5.,Dee Strange-Gordon, 114
36,2017,6.,George Springer, 112
37,2017,6.,Jose Altuve, 112
38,2017,8.,Kris Bryant, 111
39,2017,9.,Jose Ramirez, 107
40,2017,10.,Brian Dozier, 106
41,2017,10.,Joey Votto, 106
42,2016,1.,Mike Trout, 123
43,2016,2.,Josh Donaldson, 122
44,2016,2.,Mookie Betts, 122
45,2016,4.,Kris Bryant, 121
46,2016,5.,Ian Kinsler, 117
47,2016,6.,Nolan Arenado, 116
48,2016,6.,George Springer, 116
49,2016,8.,Xander Bogaerts, 115
50,2016,9.,Charlie Blackmon, 111
51,2016,10.,Jose Altuve, 108
52,2015,1.,Josh Donaldson, 122
53,2015,2.,Bryce Harper, 118
54,2015,3.,AJ Pollock, 111
55,2015,4.,Jose Bautista, 108
56,2015,5.,Mike Trout, 104
57,2015,6.,Paul Goldschmidt, 103
58,2015,7.,Manny Machado, 102
59,2015,7.,Dexter Fowler, 102
60,2015,9.,Lorenzo Cain, 101
61,2015,9.,Brian Dozier, 101
62,2015,9.,Yoenis Céspedes, 101
63,2015,9.,Matt Carpenter, 101
64,2014,1.,Mike Trout, 115
65,2014,2.,Brian Dozier, 112
66,2014,3.,Anthony Rendon, 111
67,2014,4.,Hunter Pence, 106
68,2014,5.,Jose Bautista, 101
69,2014,5.,Miguel Cabrera, 101
70,2014,7.,Ian Kinsler, 100
71,2014,8.,Matt Carpenter, 99
72,2014,9.,Carlos Gomez, 95
73,2014,10.,Michael Brantley, 94
74,2014,10.,Jose Reyes, 94
75,2014,10.,Christian Yelich, 94
76,2014,10.,Denard Span, 94
77,2013,1.,Matt Carpenter, 126
78,2013,2.,Mike Trout, 109
79,2013,3.,Shin-Soo Choo, 107
80,2013,4.,Matt Holliday, 103
81,2013,4.,Miguel Cabrera, 103
82,2013,4.,Chris Davis, 103
83,2013,4.,Paul Goldschmidt, 103
84,2013,8.,Joey Votto, 101
85,2013,9.,Adam Jones, 100
86,2013,10.,Austin Jackson, 99
87,2012,1.,Mike Trout, 129
88,2012,2.,Miguel Cabrera, 109
89,2012,3.,Ryan Braun, 108
90,2012,4.,Justin Upton, 107
91,2012,4.,Andrew McCutchen, 107
92,2012,6.,Robinson Cano, 105
93,2012,6.,Ian Kinsler, 105
94,2012,8.,Austin Jackson, 103
95,2012,8.,Josh Hamilton, 103
96,2012,8.,Adam Jones, 103
97,2011,1.,Curtis Granderson, 136
98,2011,2.,Ian Kinsler, 121
99,2011,3.,Jacoby Ellsbury, 119
100,2011,4.,Matt Kemp, 115
101,2011,5.,Miguel Cabrera, 111
102,2011,6.,Ryan Braun, 109
103,2011,7.,Adrian Gonzalez, 108
104,2011,8.,Justin Upton, 105
105,2011,8.,Albert Pujols, 105
106,2011,8.,Jose Bautista, 105
107,2010,1.,Albert Pujols, 115
108,2010,2.,Mark Teixeira, 113
109,2010,3.,Rickie Weeks, 112
110,2010,4.,Carlos Gonzalez, 111
111,2010,4.,Miguel Cabrera, 111
112,2010,4.,Derek Jeter, 111
113,2010,7.,Carl Crawford, 110
114,2010,8.,Jose Bautista, 109
115,2010,9.,Joey Votto, 106
116,2010,9.,Jayson Werth, 106
117,2009,1.,Albert Pujols, 124
118,2009,2.,Dustin Pedroia, 115
119,2009,3.,Chone Figgins, 114
120,2009,4.,Ryan Braun, 113
121,2009,5.,Chase Utley, 112
122,2009,6.,Brian Roberts, 110
123,2009,6.,Ryan Zimmerman, 110
124,2009,8.,Johnny Damon, 107
125,2009,8.,Derek Jeter, 107
126,2009,10.,Ryan Howard, 105
127,2008,1.,Hanley Ramirez, 125
128,2008,2.,Dustin Pedroia, 118
129,2008,3.,Carlos Beltran, 116
130,2008,4.,David Wright, 115
131,2008,5.,Lance Berkman, 114
132,2008,6.,Jose Reyes, 113
133,2008,6.,Chase Utley, 113
134,2008,6.,Nate McLouth, 113
135,2008,9.,Curtis Granderson, 112
136,2008,10.,Jason Bay, 111
137,2007,1.,Alex Rodriguez, 143
138,2007,2.,Jimmy Rollins, 139
139,2007,3.,Hanley Ramirez, 125
140,2007,4.,Bobby Abreu, 123
141,2007,5.,Curtis Granderson, 122
142,2007,6.,Matt Holliday, 120
143,2007,7.,Jose Reyes, 119
144,2007,8.,Grady Sizemore, 118
145,2007,9.,Magglio Ordonez, 117
146,2007,10.,David Ortiz, 116
147,2006,1.,Grady Sizemore, 134
148,2006,2.,Chase Utley, 131
149,2006,3.,Jimmy Rollins, 127
150,2006,3.,Carlos Beltran, 127
151,2006,5.,Jose Reyes, 122
152,2006,6.,Alfonso Soriano, 119
153,2006,6.,Hanley Ramirez, 119
154,2006,6.,Albert Pujols, 119
155,2006,6.,Matt Holliday, 119
156,2006,10.,Derek Jeter, 118
157,2005,1.,Albert Pujols, 129
158,2005,2.,Alex Rodriguez, 124
159,2005,3.,Derek Jeter, 122
160,2005,4.,Derrek Lee, 120
161,2005,5.,David Ortiz, 119
162,2005,6.,Johnny Damon, 117
163,2005,7.,Jimmy Rollins, 115
164,2005,8.,Michael Young, 114
165,2005,9.,Chone Figgins, 113
166,2005,10.,Manny Ramirez, 112
167,2005,10.,Mark Teixeira, 112
168,2004,1.,Albert Pujols, 133
169,2004,2.,Barry Bonds, 129
170,2004,3.,Vladimir Guerrero, 124
171,2004,4.,Johnny Damon, 123
172,2004,5.,Carlos Beltran, 121
173,2004,6.,Jimmy Rollins, 119
174,2004,7.,Bobby Abreu, 118
175,2004,7.,J.D. Drew, 118
176,2004,9.,Gary Sheffield, 117
177,2004,10.,Todd Helton, 115
178,2003,1.,Albert Pujols, 137
179,2003,2.,Todd Helton, 135
180,2003,3.,Rafael Furcal, 130
181,2003,4.,Gary Sheffield, 126
182,2003,5.,Alex Rodriguez, 124
183,2003,6.,Nomar Garciaparra, 120
184,2003,7.,Vernon Wells, 118
185,2003,8.,Manny Ramirez, 117
186,2003,8.,Carlos Delgado, 117
187,2003,10.,Alfonso Soriano, 114
188,2002,1.,Alfonso Soriano, 128
189,2002,2.,Alex Rodriguez, 125
190,2002,3.,Derek Jeter, 124
191,2002,4.,Sammy Sosa, 122
192,2002,5.,Jason Giambi, 120
193,2002,6.,Johnny Damon, 118
194,2002,6.,Albert Pujols, 118
195,2002,8.,Barry Bonds, 117
196,2002,9.,Magglio Ordonez, 116
197,2002,10.,Carlos Beltran, 114
198,2002,10.,Ray Durham, 114
199,2001,1.,Sammy Sosa, 146
200,2001,2.,Alex Rodriguez, 133
201,2001,3.,Todd Helton, 132
202,2001,4.,Barry Bonds, 129
203,2001,5.,Luis Gonzalez, 128
204,2001,6.,Ichiro Suzuki, 127
205,2001,7.,Jeff Bagwell, 126
206,2001,8.,Cliff Floyd, 123
207,2001,9.,Shawn Green, 121
208,2001,10.,Bobby Abreu, 118
209,2001,10.,Craig Biggio, 118
210,2001,10.,Bret Boone, 118
211,2000,1.,Jeff Bagwell, 152
212,2000,2.,Todd Helton, 138
213,2000,3.,Johnny Damon, 136
214,2000,4.,Alex Rodriguez, 134
215,2000,5.,Barry Bonds, 129
216,2000,5.,Jim Edmonds, 129
217,2000,7.,Andruw Jones, 122
218,2000,8.,Ray Durham, 121
219,2000,8.,Darin Erstad, 121
220,2000,10.,Troy Glaus, 120
221,1999,1.,Jeff Bagwell, 143
222,1999,2.,Roberto Alomar, 138
223,1999,3.,Derek Jeter, 134
224,1999,3.,Shawn Green, 134
