,Year,Rank,Name,Stat
0,2020,1.,José Abreu, 148
1,2020,2.,Marcell Ozuna, 145
2,2020,3.,Trea Turner, 137
3,2020,3.,Freddie Freeman, 137
4,2020,5.,Jose Ramirez, 133
5,2020,6.,Luke Voit, 130
6,2020,6.,Manny Machado, 130
7,2020,8.,Fernando Tatis Jr., 128
8,2020,9.,Corey Seager, 124
9,2020,10.,Mookie Betts, 123
10,2019,1.,Rafael Devers, 359
11,2019,2.,Cody Bellinger, 351
12,2019,3.,Pete Alonso, 348
13,2019,4.,Marcus Semien, 343
14,2019,4.,Nolan Arenado, 343
15,2019,6.,Xander Bogaerts, 341
16,2019,7.,Ketel Marte, 337
17,2019,8.,Jorge Soler, 335
18,2019,9.,Charlie Blackmon, 334
19,2019,10.,Eugenio Suarez, 329
20,2018,1.,J.D. Martinez, 358
21,2018,2.,Francisco Lindor, 343
22,2018,2.,Christian Yelich, 343
23,2018,4.,Manny Machado, 340
24,2018,5.,Trevor Story, 339
25,2018,6.,Javier Baez, 336
26,2018,7.,Mookie Betts, 333
27,2018,8.,Nolan Arenado, 331
28,2018,9.,Jose Ramirez, 319
29,2018,10.,Khris Davis, 316
30,2018,10.,Paul Goldschmidt, 316
31,2018,10.,Alex Bregman, 316
32,2017,1.,Charlie Blackmon, 387
33,2017,2.,Giancarlo Stanton, 377
34,2017,3.,Nolan Arenado, 355
35,2017,4.,José Abreu, 343
36,2017,5.,Jose Ramirez, 341
37,2017,6.,Aaron Judge, 340
38,2017,7.,Marcell Ozuna, 336
39,2017,8.,Francisco Lindor, 329
40,2017,9.,Joey Votto, 323
41,2017,9.,Jose Altuve, 323
42,2016,1.,Mookie Betts, 359
43,2016,2.,Nolan Arenado, 352
44,2016,3.,Robinson Cano, 349
45,2016,4.,Manny Machado, 341
46,2016,5.,Jose Altuve, 340
47,2016,6.,Brian Dozier, 336
48,2016,7.,Freddie Freeman, 335
49,2016,7.,Miguel Cabrera, 335
50,2016,9.,Kris Bryant, 334
51,2016,10.,David Ortiz, 333
52,2015,1.,Nolan Arenado, 354
53,2015,2.,Josh Donaldson, 352
54,2015,3.,Yoenis Céspedes, 343
55,2015,4.,Mike Trout, 339
56,2015,5.,Bryce Harper, 338
57,2015,6.,Nelson Cruz, 334
58,2015,7.,Paul Goldschmidt, 323
59,2015,8.,Chris Davis, 322
60,2015,9.,J.D. Martinez, 319
61,2015,10.,Manny Machado, 318
62,2014,1.,Mike Trout, 338
63,2014,2.,José Abreu, 323
64,2014,3.,Nelson Cruz, 322
65,2014,4.,Miguel Cabrera, 320
66,2014,5.,Victor Martinez, 317
67,2014,6.,Michael Brantley, 309
68,2014,7.,Adam Jones, 302
69,2014,8.,Giancarlo Stanton, 299
70,2014,8.,Jose Altuve, 299
71,2014,10.,Andrew McCutchen, 297
72,2013,1.,Chris Davis, 370
73,2013,2.,Miguel Cabrera, 353
74,2013,3.,Paul Goldschmidt, 332
75,2013,4.,Mike Trout, 328
76,2013,5.,Adam Jones, 322
77,2013,6.,Adrian Beltre, 321
78,2013,7.,Robinson Cano, 312
79,2013,8.,Evan Longoria, 306
80,2013,9.,Hunter Pence, 304
81,2013,10.,Matt Carpenter, 301
82,2012,1.,Miguel Cabrera, 377
83,2012,2.,Ryan Braun, 356
84,2012,3.,Robinson Cano, 345
85,2012,4.,Adrian Beltre, 339
86,2012,5.,Andrew McCutchen, 328
87,2012,6.,Adam Jones, 327
88,2012,7.,Josh Hamilton, 324
89,2012,8.,Aaron Hill, 318
90,2012,9.,Mike Trout, 315
91,2012,10.,Billy Butler, 313
