,Year,Rank,Name,Stat
0,2020,1.,Kyle Tucker, 6
1,2020,2.,Mike Yastrzemski, 4
2,2020,2.,Trea Turner, 4
3,2020,2.,Trevor Story, 4
4,2020,5.,Jeimer Candelario, 3
5,2020,5.,Brandon Nimmo, 3
6,2020,5.,Kevin Pillar, 3
7,2020,5.,Adalberto Mondesi, 3
8,2020,5.,Trent Grisham, 3
9,2020,5.,Garrett Hampson, 3
10,2020,5.,Kevin Kiermaier, 3
11,2020,5.,Cedric Mullins, 3
12,2020,5.,Yoan Moncada, 3
13,2020,5.,Isiah Kiner-Falefa, 3
14,2020,5.,Eduardo Escobar, 3
15,2020,5.,Asdrubal Cabrera, 3
16,2020,5.,Jake Cronenworth, 3
17,2019,1.,Whit Merrifield, 10
18,2019,1.,Hunter Dozier, 10
19,2019,1.,Eduardo Escobar, 10
20,2019,1.,Adalberto Mondesi, 10
21,2019,5.,Ketel Marte, 9
22,2019,5.,Mallex Smith, 9
23,2019,7.,Ozzie Albies, 8
24,2019,8.,Adam Eaton, 7
25,2019,8.,Phil Ervin, 7
26,2019,8.,Brett Gardner, 7
27,2019,8.,Jorge Polanco, 7
28,2019,8.,Kevin Kiermaier, 7
29,2019,8.,Austin Meadows, 7
30,2019,8.,Charlie Blackmon, 7
31,2019,8.,Adam Frazier, 7
32,2019,8.,Tommy Edman, 7
33,2019,8.,Amed Rosario, 7
34,2019,8.,Marcus Semien, 7
35,2018,1.,Ketel Marte, 12
36,2018,2.,Yolmer Sanchez, 10
37,2018,2.,Mallex Smith, 10
38,2018,4.,Kevin Kiermaier, 9
39,2018,4.,Billy Hamilton, 9
40,2018,4.,Javier Baez, 9
41,2018,7.,Amed Rosario, 8
42,2018,7.,Manuel Margot, 8
43,2018,7.,Dee Strange-Gordon, 8
44,2018,7.,Ian Desmond, 8
45,2018,7.,Brandon Nimmo, 8
46,2018,7.,Chris Taylor, 8
47,2017,1.,Charlie Blackmon, 14
48,2017,2.,Billy Hamilton, 11
49,2017,3.,Nicholas Castellanos, 10
50,2017,4.,Dexter Fowler, 9
51,2017,4.,Dee Strange-Gordon, 9
52,2017,6.,Yolmer Sanchez, 8
53,2017,7.,Nolan Arenado, 7
54,2017,7.,Zack Cozart, 7
55,2017,7.,Jose Reyes, 7
56,2017,7.,Manuel Margot, 7
57,2016,1.,Brandon Crawford, 11
58,2016,1.,Chris Owings, 11
59,2016,1.,Cesar Hernandez, 11
60,2016,4.,Adam Eaton, 9
61,2016,4.,Jake Lamb, 9
62,2016,6.,DJ LeMahieu, 8
63,2016,6.,Trea Turner, 8
64,2016,6.,Brandon Belt, 8
65,2016,6.,Jarrod Dyson, 8
66,2016,10.,Jackie Bradley Jr., 7
67,2016,10.,Josh Harrison, 7
68,2016,10.,Ender Inciarte, 7
69,2016,10.,Ben Revere, 7
70,2016,10.,Peter Bourjos, 7
71,2016,10.,Joe Panik, 7
72,2016,10.,Jean Segura, 7
73,2016,10.,Dexter Fowler, 7
74,2016,10.,Elvis Andrus, 7
75,2016,10.,Kolten Wong, 7
76,2015,1.,Eddie Rosario, 15
77,2015,2.,Kevin Kiermaier, 12
78,2015,3.,Rajai Davis, 11
79,2015,3.,Evan Gattis, 11
80,2015,5.,Delino DeShields, 10
81,2015,5.,David Peralta, 10
82,2015,7.,Adam Eaton, 9
83,2015,7.,Charlie Blackmon, 9
84,2015,7.,Rougned Odor, 9
85,2015,7.,Billy Burns, 9
86,2014,1.,Dee Strange-Gordon, 12
87,2014,2.,Hunter Pence, 10
88,2014,2.,Adeiny Hechavarria, 10
89,2014,2.,Brandon Crawford, 10
90,2014,2.,Adam Eaton, 10
91,2014,2.,Michael Bourn, 10
92,2014,7.,Yasiel Puig, 9
93,2014,7.,Mike Trout, 9
94,2014,7.,David Peralta, 9
95,2014,10.,Billy Hamilton, 8
96,2014,10.,Kevin Kiermaier, 8
97,2014,10.,Alex Rios, 8
98,2014,10.,Alejandro De Aza, 8
99,2014,10.,Denard Span, 8
100,2014,10.,Brett Gardner, 8
101,2013,1.,Denard Span, 11
102,2013,2.,Carlos Gomez, 10
103,2013,2.,Starling Marte, 10
104,2013,2.,Jean Segura, 10
105,2013,2.,Brett Gardner, 10
106,2013,6.,Mike Trout, 9
107,2013,7.,Stephen Drew, 8
108,2013,7.,Adeiny Hechavarria, 8
109,2013,7.,Jacoby Ellsbury, 8
110,2013,7.,Will Venable, 8
111,2012,1.,Angel Pagan, 15
112,2012,2.,Starlin Castro, 12
113,2012,2.,Jose Reyes, 12
114,2012,4.,Dexter Fowler, 11
115,2012,5.,Michael Bourn, 10
116,2012,5.,Austin Jackson, 10
117,2012,5.,Tyler Colvin, 10
118,2012,5.,Melky Cabrera, 10
119,2012,9.,Elvis Andrus, 9
120,2012,9.,Bryce Harper, 9
121,2011,1.,Jose Reyes, 16
122,2011,1.,Shane Victorino, 16
123,2011,3.,Dexter Fowler, 15
124,2011,4.,Austin Jackson, 11
125,2011,4.,Peter Bourjos, 11
126,2011,6.,Curtis Granderson, 10
127,2011,6.,Michael Bourn, 10
128,2011,8.,Starlin Castro, 9
129,2011,8.,Seth Smith, 9
130,2011,10.,Omar Infante, 8
131,2011,10.,Cameron Maybin, 8
132,2011,10.,Jemile Weeks, 8
133,2011,10.,Brett Gardner, 8
134,2011,10.,Erick Aybar, 8
135,2011,10.,Gerardo Parra, 8
136,2011,10.,Alcides Escobar, 8
137,2010,1.,Dexter Fowler, 14
138,2010,2.,Carl Crawford, 13
139,2010,3.,Stephen Drew, 12
140,2010,4.,Denard Span, 10
141,2010,4.,Jose Reyes, 10
142,2010,4.,Shane Victorino, 10
143,2010,4.,Austin Jackson, 10
144,2010,4.,Alcides Escobar, 10
145,2010,9.,Carlos Gonzalez, 9
146,2010,10.,Cliff Pennington, 8
147,2010,10.,Andres Torres, 8
148,2009,1.,Shane Victorino, 13
149,2009,2.,Michael Bourn, 12
150,2009,2.,Stephen Drew, 12
151,2009,4.,Angel Pagan, 11
152,2009,5.,Denard Span, 10
153,2009,5.,Dexter Fowler, 10
154,2009,5.,Jacoby Ellsbury, 10
155,2009,8.,Troy Tulowitzki, 9
156,2009,8.,David DeJesus, 9
157,2009,8.,Andrew McCutchen, 9
158,2009,8.,Erick Aybar, 9
159,2008,1.,Jose Reyes, 19
160,2008,2.,Curtis Granderson, 13
161,2008,3.,Stephen Drew, 11
162,2008,3.,Fred Lewis, 11
163,2008,5.,Carl Crawford, 10
164,2008,6.,Akinori Iwamura, 9
165,2008,6.,Jimmy Rollins, 9
166,2008,8.,Alex Rios, 8
167,2008,8.,Shane Victorino, 8
168,2008,8.,Brian Roberts, 8
169,2007,1.,Curtis Granderson, 23
170,2007,2.,Jimmy Rollins, 20
171,2007,3.,Jose Reyes, 12
172,2007,4.,Akinori Iwamura, 10
173,2007,4.,Kelly Johnson, 10
174,2007,6.,Dave Roberts, 9
175,2007,6.,Carl Crawford, 9
176,2007,6.,Carlos Guillen, 9
177,2007,6.,David DeJesus, 9
178,2007,6.,Corey Hart, 9
179,2007,6.,Hunter Pence, 9
180,2007,6.,Alfredo Amezaga, 9
181,2007,6.,Orlando Hudson, 9
182,2006,1.,Jose Reyes, 17
183,2006,2.,Carl Crawford, 16
184,2006,3.,Dave Roberts, 13
185,2006,3.,Juan Pierre, 13
186,2006,5.,Kenny Lofton, 12
187,2006,5.,Steve Finley, 12
188,2006,7.,Grady Sizemore, 11
189,2006,7.,Hanley Ramirez, 11
190,2006,9.,Cory Sullivan, 10
191,2006,9.,Omar Vizquel, 10
192,2005,1.,Jose Reyes, 17
193,2005,2.,Carl Crawford, 15
194,2005,3.,Juan Pierre, 13
195,2005,4.,Ichiro Suzuki, 12
196,2005,5.,Grady Sizemore, 11
197,2005,5.,Rafael Furcal, 11
198,2005,5.,Jimmy Rollins, 11
199,2005,8.,Chone Figgins, 10
200,2005,8.,Dave Roberts, 10
201,2005,10.,Brandon Inge, 9
202,2004,1.,Carl Crawford, 19
203,2004,2.,Chone Figgins, 17
