,Year,Rank,Name,Stat
0,2020,1.,David Fletcher, 50
1,2020,2.,Isiah Kiner-Falefa, 49
2,2020,2.,Whit Merrifield, 49
3,2020,2.,DJ LeMahieu, 49
4,2020,5.,Raimel Tapia, 48
5,2020,5.,Charlie Blackmon, 48
6,2020,7.,Trea Turner, 47
7,2020,8.,David Peralta, 45
8,2020,8.,Marcell Ozuna, 45
9,2020,8.,Tim Anderson, 45
10,2019,1.,Whit Merrifield, 139
11,2019,2.,DJ LeMahieu, 136
12,2019,3.,David Fletcher, 133
13,2019,4.,Amed Rosario, 125
14,2019,4.,Hanser Alberto, 125
15,2019,6.,Leury Garcia, 123
16,2019,6.,Cesar Hernandez, 123
17,2019,8.,Elvis Andrus, 122
18,2019,9.,Jorge Polanco, 117
19,2019,9.,Tim Anderson, 117
20,2018,1.,Jean Segura, 136
21,2018,2.,Whit Merrifield, 134
22,2018,3.,Jose Peraza, 133
23,2018,4.,Lorenzo Cain, 129
24,2018,5.,Trea Turner, 128
25,2018,6.,Nick Markakis, 126
26,2018,7.,Jose Altuve, 125
27,2018,7.,Scooter Gennett, 125
28,2018,9.,Marcell Ozuna, 122
29,2018,10.,Matt Duffy, 121
30,2018,10.,Michael Brantley, 121
31,2017,1.,Dee Strange-Gordon, 170
32,2017,2.,Ender Inciarte, 158
33,2017,3.,DJ LeMahieu, 149
34,2017,4.,Jose Altuve, 137
35,2017,5.,Eric Hosmer, 135
36,2017,6.,Lorenzo Cain, 128
37,2017,6.,Melky Cabrera, 128
38,2017,8.,Charlie Blackmon, 127
39,2017,9.,Elvis Andrus, 123
40,2017,10.,Marcell Ozuna, 122
41,2016,1.,Dustin Pedroia, 149
42,2016,2.,Jose Altuve, 145
43,2016,3.,DJ LeMahieu, 141
44,2016,4.,Mookie Betts, 136
45,2016,4.,Xander Bogaerts, 136
46,2016,6.,Jean Segura, 135
47,2016,6.,Martin Prado, 135
48,2016,8.,Francisco Lindor, 134
