,Year,Rank,Name,Stat
0,2020,1.,Freddie Freeman, 37
1,2020,2.,Jose Ramirez, 34
2,2020,2.,José Abreu, 34
3,2020,4.,Marcell Ozuna, 32
4,2020,4.,Dominic Smith, 32
5,2020,6.,Trea Turner, 31
6,2020,6.,Wil Myers, 31
7,2020,8.,Fernando Tatis Jr., 30
8,2020,9.,Manny Machado, 29
9,2020,10.,Mike Yastrzemski, 28
10,2020,10.,Eloy Jimenez, 28
11,2020,10.,Corey Seager, 28
12,2020,10.,Mike Trout, 28
13,2020,10.,Trevor Story, 28
14,2020,10.,Rafael Devers, 28
15,2019,1.,Rafael Devers, 90
16,2019,2.,Nicholas Castellanos, 88
17,2019,3.,Pete Alonso, 85
18,2019,3.,Xander Bogaerts, 85
19,2019,5.,Cody Bellinger, 84
20,2019,6.,Marcus Semien, 83
21,2019,7.,Jorge Soler, 82
22,2019,8.,Charlie Blackmon, 81
23,2019,8.,Anthony Rendon, 81
24,2019,10.,Alex Bregman, 80
25,2018,1.,Trevor Story, 85
26,2018,2.,Mookie Betts, 84
27,2018,3.,Alex Bregman, 83
28,2018,3.,Javier Baez, 83
29,2018,5.,J.D. Martinez, 82
30,2018,5.,Francisco Lindor, 82
31,2018,7.,Jose Ramirez, 81
32,2018,8.,Matt Carpenter, 78
33,2018,8.,Nolan Arenado, 78
34,2018,10.,Khris Davis, 77
35,2018,10.,Christian Yelich, 77
36,2017,1.,Giancarlo Stanton, 91
37,2017,1.,Jose Ramirez, 91
38,2017,3.,Nolan Arenado, 87
39,2017,4.,Charlie Blackmon, 86
40,2017,5.,José Abreu, 82
41,2017,6.,Francisco Lindor, 81
42,2017,7.,Justin Upton, 79
43,2017,7.,Aaron Judge, 79
44,2017,9.,J.D. Martinez, 74
45,2017,10.,Paul Goldschmidt, 73
46,2016,1.,David Ortiz, 87
47,2016,2.,Freddie Freeman, 83
48,2016,3.,Brian Dozier, 82
49,2016,3.,Nolan Arenado, 82
50,2016,5.,Evan Longoria, 81
51,2016,6.,Anthony Rizzo, 79
52,2016,7.,Mookie Betts, 78
53,2016,7.,Manny Machado, 78
54,2016,9.,Daniel Murphy, 77
55,2016,9.,Kris Bryant, 77
56,2015,1.,Nolan Arenado, 89
57,2015,2.,Josh Donaldson, 84
58,2015,3.,Yoenis Céspedes, 83
59,2015,4.,Bryce Harper, 81
60,2015,5.,Mike Trout, 79
61,2015,5.,Todd Frazier, 79
62,2015,7.,Chris Davis, 78
63,2015,8.,Matt Carpenter, 75
64,2015,9.,David Ortiz, 74
65,2015,10.,Paul Goldschmidt, 73
66,2015,10.,J.D. Martinez, 73
67,2014,1.,Mike Trout, 84
68,2014,2.,Miguel Cabrera, 78
69,2014,3.,Nelson Cruz, 74
70,2014,4.,José Abreu, 73
71,2014,5.,Andrew McCutchen, 69
72,2014,5.,Giancarlo Stanton, 69
73,2014,7.,Adrian Gonzalez, 68
74,2014,7.,Jonathan Lucroy, 68
75,2014,9.,Michael Brantley, 67
76,2014,10.,Anthony Rendon, 66
77,2014,10.,Albert Pujols, 66
78,2014,10.,Matt Kemp, 66
79,2013,1.,Chris Davis, 96
80,2013,2.,Mike Trout, 75
81,2013,2.,Paul Goldschmidt, 75
82,2013,4.,Jay Bruce, 74
83,2013,4.,Evan Longoria, 74
84,2013,6.,Matt Carpenter, 73
85,2013,7.,Miguel Cabrera, 71
86,2013,8.,David Ortiz, 70
87,2013,9.,Adam Jones, 69
88,2013,10.,Manny Machado, 68
89,2013,10.,Robinson Cano, 68
90,2012,1.,Miguel Cabrera, 84
91,2012,2.,Robinson Cano, 82
92,2012,3.,Ryan Braun, 80
93,2012,3.,Aramis Ramirez, 80
94,2012,3.,Albert Pujols, 80
95,2012,6.,Josh Hamilton, 76
96,2012,6.,Aaron Hill, 76
97,2012,8.,Adam Jones, 74
98,2012,8.,Jay Bruce, 74
99,2012,10.,Adrian Beltre, 71
100,2011,1.,Jacoby Ellsbury, 83
101,2011,2.,Robinson Cano, 81
102,2011,3.,Miguel Cabrera, 78
103,2011,4.,Curtis Granderson, 77
104,2011,4.,Ryan Braun, 77
105,2011,6.,Matt Kemp, 76
106,2011,7.,Adrian Gonzalez, 75
107,2011,7.,Prince Fielder, 75
108,2011,7.,Justin Upton, 75
109,2011,10.,Alex Gordon, 72
110,2011,10.,Ben Zobrist, 72
111,2011,10.,Joey Votto, 72
112,2010,1.,Jose Bautista, 92
113,2010,2.,Miguel Cabrera, 84
114,2010,3.,Albert Pujols, 82
115,2010,4.,Adrian Beltre, 79
