,Year,Rank,Name,Stat
0,2020,1.,Austin Hedges, 5
1,2020,2.,Andrew Velazquez, 4
2,2020,2.,Delino DeShields, 4
3,2020,2.,Reese McGuire, 4
4,2020,2.,Adam Eaton, 4
5,2020,2.,Cedric Mullins, 4
6,2020,7.,Greg Garcia, 3
7,2020,7.,Nicky Lopez, 3
8,2020,7.,Garrett Hampson, 3
9,2020,7.,Danny Jansen, 3
10,2020,7.,Adam Haseley, 3
11,2019,1.,Clayton Kershaw, 15
12,2019,2.,Kenta Maeda, 13
13,2019,3.,Hyun Jin Ryu, 12
14,2019,3.,Sonny Gray, 12
15,2019,5.,Leury Garcia, 11
16,2019,6.,German Marquez, 10
17,2019,7.,Jose Quintana, 9
18,2019,7.,Adam Eaton, 9
19,2019,7.,Jack Flaherty, 9
20,2019,7.,Jon Gray, 9
21,2018,1.,Julio Teheran, 12
22,2018,1.,Delino DeShields, 12
23,2018,3.,Jhoulys Chacin, 9
24,2018,3.,Dee Strange-Gordon, 9
25,2018,5.,Jose Peraza, 8
26,2018,5.,Mike Foltynewicz, 8
27,2018,5.,Stephen Strasburg, 8
28,2018,5.,Alcides Escobar, 8
29,2018,5.,Kenta Maeda, 8
30,2018,5.,Zack Godley, 8
31,2017,1.,Zach Davies, 14
32,2017,2.,Delino DeShields, 13
33,2017,3.,Julio Teheran, 12
34,2017,3.,Gerrit Cole, 12
35,2017,5.,Ivan Nova, 9
36,2017,5.,Zack Godley, 9
37,2017,7.,Martin Maldonado, 8
38,2017,7.,Adam Engel, 8
39,2017,7.,Patrick Corbin, 8
40,2017,7.,German Marquez, 8
41,2017,7.,Jose Urena, 8
42,2017,7.,Dan Straily, 8
43,2017,7.,Clayton Richard, 8
44,2016,1.,Max Scherzer, 13
45,2016,2.,Johnny Cueto, 11
46,2016,2.,Billy Hamilton, 11
47,2016,2.,Dan Straily, 11
48,2016,2.,Julio Teheran, 11
49,2016,6.,Alcides Escobar, 10
50,2016,6.,Jon Lester, 10
51,2016,8.,DJ LeMahieu, 8
52,2016,8.,Junior Guerra, 8
53,2016,8.,Kyle Hendricks, 8
54,2016,8.,Freddy Galvis, 8
55,2016,8.,Jeremy Hellickson, 8
56,2016,8.,Jarrod Dyson, 8
57,2016,8.,Kenta Maeda, 8
58,2016,8.,Jose Fernandez, 8
59,2016,8.,Carlos Perez, 8
60,2016,8.,Michael Bourn, 8
61,2015,1.,Julio Teheran, 14
62,2015,2.,Francisco Lindor, 13
63,2015,3.,Tom Koehler, 12
64,2015,4.,Alcides Escobar, 11
65,2015,4.,Shelby Miller, 11
66,2015,6.,Gio Gonzalez, 10
67,2015,6.,Dan Haren, 10
68,2015,6.,Mat Latos, 10
69,2015,9.,Jose Reyes, 9
70,2015,9.,Brett Anderson, 9
71,2015,9.,Aaron Harang, 9
72,2015,9.,Jesus Sucre, 9
73,2015,9.,Johnny Giavotella, 9
74,2015,9.,Gerrit Cole, 9
75,2015,9.,Billy Hamilton, 9
76,2015,9.,A.J. Burnett, 9
77,2014,1.,Shelby Miller, 13
78,2014,1.,Jose Ramirez, 13
79,2014,1.,Brett Gardner, 13
80,2014,4.,Johnny Cueto, 12
81,2014,4.,Zack Wheeler, 12
82,2014,6.,Tanner Roark, 11
83,2014,6.,Mike Aviles, 11
84,2014,8.,Jean Segura, 10
85,2014,9.,Billy Hamilton, 9
86,2014,9.,Aaron Harang, 9
87,2014,9.,Jordan Zimmermann, 9
88,2014,9.,Roberto Hernandez, 9
89,2014,9.,Stephen Strasburg, 9
90,2014,9.,Desmond Jennings, 9
91,2014,9.,Wade Miley, 9
92,2014,9.,Elvis Andrus, 9
93,2014,9.,Kyle Lohse, 9
94,2014,9.,Endy Chavez, 9
95,2014,9.,Doug Fister, 9
96,2014,9.,Everth Cabrera, 9
97,2013,1.,Elvis Andrus, 16
98,2013,1.,Bronson Arroyo, 16
99,2013,3.,Zack Cozart, 13
100,2013,3.,Cole Hamels, 13
101,2013,5.,Kyle Lohse, 12
102,2013,5.,Leonys Martín, 12
103,2013,7.,Logan Schafer, 11
104,2013,7.,Lance Lynn, 11
105,2013,7.,Homer Bailey, 11
106,2013,10.,Stephen Strasburg, 10
107,2013,10.,Matt Cain, 10
108,2013,10.,Juan Nicasio, 10
109,2013,10.,Cliff Lee, 10
110,2013,10.,Eric Young Jr., 10
111,2013,10.,Jeff Samardzija, 10
112,2013,10.,Shane Victorino, 10
