,Year,Rank,Name,Stat
0,2020,1.,Adalberto Mondesi, 8
1,2020,2.,Nicky Lopez, 5
2,2020,2.,Dylan Moore, 5
3,2020,2.,Isiah Kiner-Falefa, 5
4,2020,2.,Jonathan Villar, 5
5,2020,6.,Tommy Edman, 4
6,2020,6.,Manuel Margot, 4
7,2020,6.,Trea Turner, 4
8,2020,9.,Avisail Garcia, 3
9,2020,9.,Adam Frazier, 3
10,2020,9.,Mauricio Dubon, 3
11,2020,9.,Ian Happ, 3
12,2020,9.,Brett Gardner, 3
13,2020,9.,Austin Hays, 3
14,2020,9.,Jose Altuve, 3
15,2020,9.,Erik Gonzalez, 3
16,2020,9.,Jose Ramirez, 3
17,2020,9.,J.P. Crawford, 3
18,2020,9.,Shogo Akiyama, 3
19,2020,9.,Michael Conforto, 3
20,2020,9.,Fernando Tatis Jr., 3
21,2020,9.,Christian Vazquez, 3
22,2020,9.,Trevor Story, 3
23,2020,9.,Manny Machado, 3
24,2020,9.,Whit Merrifield, 3
25,2019,1.,Whit Merrifield, 10
26,2019,1.,Amed Rosario, 10
27,2019,3.,Victor Robles, 9
28,2019,3.,Rougned Odor, 9
29,2019,3.,Jonathan Villar, 9
30,2019,3.,Ronald Acuna Jr., 9
31,2019,3.,Mallex Smith, 9
32,2019,3.,Dylan Moore, 9
33,2019,9.,Kevin Newman, 8
34,2019,9.,Lorenzo Cain, 8
35,2019,9.,Rafael Devers, 8
36,2019,9.,Elvis Andrus, 8
37,2019,9.,Trevor Story, 8
38,2019,9.,Marcus Semien, 8
39,2018,1.,Starling Marte, 14
40,2018,1.,Ender Inciarte, 14
41,2018,3.,Dee Strange-Gordon, 12
42,2018,3.,Rougned Odor, 12
43,2018,3.,Mallex Smith, 12
44,2018,6.,Amed Rosario, 11
45,2018,6.,Jean Segura, 11
46,2018,8.,Manuel Margot, 10
47,2018,8.,Billy Hamilton, 10
48,2018,8.,Whit Merrifield, 10
49,2018,8.,Francisco Lindor, 10
50,2017,1.,Dee Strange-Gordon, 16
51,2017,2.,Billy Hamilton, 13
52,2017,3.,Charlie Blackmon, 10
53,2017,3.,Elvis Andrus, 10
54,2017,5.,Ender Inciarte, 9
55,2017,5.,Yolmer Sanchez, 9
56,2017,7.,Jose Peraza, 8
57,2017,7.,Eddie Rosario, 8
58,2017,7.,Cameron Maybin, 8
59,2017,7.,Trea Turner, 8
60,2017,7.,Brandon Phillips, 8
61,2017,7.,Whit Merrifield, 8
