,Year,Rank,Name,Stat
0,2020,1.,Fernando Tatis Jr., 13.36
1,2020,2.,Trevor Story, 12.69
2,2020,3.,Jose Ramirez, 12.59
3,2020,4.,Mookie Betts, 12.31
4,2020,5.,Trea Turner, 12.00
5,2020,6.,Whit Merrifield, 10.29
6,2020,7.,Ronald Acuna Jr., 10.18
7,2020,8.,Trent Grisham, 10.00
8,2020,9.,Bryce Harper, 9.91
9,2020,10.,Luis Robert, 9.90
10,2019,1.,Ronald Acuna Jr., 38.90
11,2019,2.,Christian Yelich, 35.68
12,2019,3.,Jonathan Villar, 30.00
13,2019,4.,Trevor Story, 27.76
14,2019,5.,Francisco Lindor, 26.07
15,2019,6.,Trea Turner, 24.63
16,2019,7.,Danny Santana, 24.00
17,2019,8.,Starling Marte, 23.96
18,2019,9.,Jose Ramirez, 23.49
19,2019,10.,Tommy Pham, 22.83
20,2018,1.,Jose Ramirez, 36.33
21,2018,2.,Trevor Story, 31.22
22,2018,3.,Mookie Betts, 30.97
23,2018,4.,Francisco Lindor, 30.16
24,2018,5.,Mike Trout, 29.71
25,2018,6.,Christian Yelich, 27.31
26,2018,7.,Trea Turner, 26.36
27,2018,8.,Javier Baez, 25.96
28,2018,9.,Starling Marte, 24.91
29,2018,10.,Tim Anderson, 22.61
30,2017,1.,Jose Altuve, 27.43
31,2017,2.,Mike Trout, 26.40
32,2017,3.,Mookie Betts, 24.96
33,2017,4.,Whit Merrifield, 24.38
34,2017,5.,Wil Myers, 24.00
35,2017,5.,Paul Goldschmidt, 24.00
36,2017,7.,Tommy Pham, 23.96
37,2017,8.,Elvis Andrus, 22.22
38,2017,9.,Brett Gardner, 21.96
39,2017,10.,Brian Dozier, 21.76
40,2016,1.,Mike Trout, 29.49
41,2016,2.,Jonathan Villar, 29.09
42,2016,3.,Mookie Betts, 28.28
43,2016,4.,Wil Myers, 28.00
44,2016,5.,Paul Goldschmidt, 27.43
45,2016,6.,Jose Altuve, 26.67
46,2016,7.,Brian Dozier, 25.20
47,2016,8.,Jean Segura, 24.91
48,2016,9.,Melvin Upton Jr., 22.98
49,2016,10.,Eduardo Nunez, 22.86
50,2015,1.,AJ Pollock, 26.44
51,2015,2.,Paul Goldschmidt, 25.67
52,2015,3.,Manny Machado, 25.46
53,2015,4.,Ryan Braun, 24.49
54,2015,5.,Charlie Blackmon, 24.37
55,2015,6.,Starling Marte, 23.27
56,2015,7.,Anthony Rizzo, 21.96
57,2015,8.,Justin Upton, 21.96
58,2015,9.,Jose Altuve, 21.51
59,2015,10.,Lorenzo Cain, 20.36
60,2014,1.,Carlos Gomez, 27.44
61,2014,2.,Ian Desmond, 24.00
62,2014,3.,Todd Frazier, 23.67
63,2014,4.,Jacoby Ellsbury, 22.69
64,2014,5.,Charlie Blackmon, 22.64
65,2014,6.,Mike Trout, 22.15
66,2014,7.,Brian Dozier, 21.96
67,2014,8.,Michael Brantley, 21.40
68,2014,9.,Jimmy Rollins, 21.16
69,2014,10.,Andrew McCutchen, 20.93
70,2013,1.,Carlos Gomez, 30.00
71,2013,2.,Mike Trout, 29.70
72,2013,3.,Alex Rios, 25.20
73,2013,4.,Hunter Pence, 24.25
74,2013,5.,Andrew McCutchen, 23.63
75,2013,6.,Alfonso Soriano, 23.54
76,2013,7.,Carlos Gonzalez, 23.23
77,2013,8.,Will Venable, 22.00
78,2013,9.,Jason Kipnis, 21.70
79,2013,10.,Coco Crisp, 21.49
80,2012,1.,Mike Trout, 37.22
81,2012,2.,Ryan Braun, 34.65
82,2012,3.,Melvin Upton Jr., 29.42
83,2012,4.,Jimmy Rollins, 26.04
84,2012,5.,Carlos Gomez, 25.11
85,2012,6.,Andrew McCutchen, 24.31
86,2012,7.,Alex Rios, 23.96
87,2012,8.,Jason Heyward, 23.63
88,2012,9.,Ian Desmond, 22.83
89,2012,10.,Hanley Ramirez, 22.40
90,2011,1.,Matt Kemp, 39.49
91,2011,2.,Jacoby Ellsbury, 35.16
92,2011,3.,Ryan Braun, 33.00
93,2011,4.,Curtis Granderson, 31.06
94,2011,5.,Ian Kinsler, 30.97
95,2011,6.,Melvin Upton Jr., 28.07
96,2011,7.,Justin Upton, 25.04
97,2011,8.,Dustin Pedroia, 23.23
98,2011,9.,Andrew McCutchen, 23.00
99,2011,10.,Carlos Gonzalez, 22.61
100,2010,1.,Carlos Gonzalez, 29.47
101,2010,2.,Chris Young, 27.49
102,2010,3.,Carl Crawford, 27.06
103,2010,4.,Alex Rios, 25.96
104,2010,5.,Drew Stubbs, 25.39
105,2010,6.,Hanley Ramirez, 25.36
106,2010,7.,Melvin Upton Jr., 25.20
107,2010,8.,Shane Victorino, 23.54
108,2010,9.,David Wright, 22.96
109,2010,10.,Matt Kemp, 22.64
110,2009,1.,Mark Reynolds, 31.06
111,2009,2.,Ian Kinsler, 31.00
112,2009,3.,Matt Kemp, 29.47
113,2009,4.,Chase Utley, 26.41
114,2009,5.,Jayson Werth, 25.71
115,2009,6.,Hanley Ramirez, 25.41
116,2009,7.,Jimmy Rollins, 25.04
117,2009,8.,Nelson Cruz, 24.91
118,2009,9.,Troy Tulowitzki, 24.62
119,2009,9.,Ryan Braun, 24.62
120,2008,1.,Grady Sizemore, 35.32
121,2008,2.,Hanley Ramirez, 33.97
122,2008,3.,Matt Holliday, 26.42
123,2008,4.,Carlos Beltran, 25.96
124,2008,5.,Jose Reyes, 24.89
125,2008,6.,Nate McLouth, 24.41
126,2008,7.,Alex Rodriguez, 23.77
127,2008,7.,Matt Kemp, 23.77
128,2008,9.,Alfonso Soriano, 22.96
129,2008,10.,Lance Berkman, 22.21
130,2007,1.,Hanley Ramirez, 36.98
131,2007,2.,Jimmy Rollins, 34.65
132,2007,3.,Alex Rodriguez, 33.23
133,2007,4.,David Wright, 31.88
134,2007,5.,Brandon Phillips, 30.97
135,2007,6.,Eric Byrnes, 29.58
136,2007,7.,Chris Young, 29.29
137,2007,8.,Grady Sizemore, 27.79
138,2007,9.,Carlos Beltran, 27.11
139,2007,10.,Curtis Granderson, 24.41
140,2006,1.,Alfonso Soriano, 43.36
141,2006,2.,Jimmy Rollins, 29.51
142,2006,3.,Jose Reyes, 29.30
143,2006,4.,Carl Crawford, 27.47
144,2006,5.,Hanley Ramirez, 25.50
145,2006,6.,Eric Byrnes, 25.49
146,2006,7.,Carlos Lee, 25.11
147,2006,8.,Carlos Beltran, 25.02
