,Year,Rank,Name,Stat
0,2020,1.,Tommy La Stella, 16.33
1,2020,2.,DJ LeMahieu, 9.29
2,2020,3.,Nolan Arenado, 9.10
3,2020,4.,Ketel Marte, 8.62
4,2020,5.,David Fletcher, 8.28
5,2020,6.,Yuli Gurriel, 7.81
6,2020,7.,Didi Gregorius, 7.68
7,2020,8.,Jeff McNeil, 7.63
8,2020,9.,Whit Merrifield, 7.52
9,2020,10.,Hanser Alberto, 7.30
10,2019,1.,Hanser Alberto, 10.48
11,2019,2.,David Fletcher, 9.31
12,2019,3.,Michael Brantley, 8.71
13,2019,4.,Yuli Gurriel, 8.68
14,2019,5.,Kevin Newman, 7.95
15,2019,6.,Jean Segura, 7.89
16,2019,7.,Miguel Rojas, 7.79
17,2019,8.,Josh Reddick, 7.59
18,2019,9.,Joe Panik, 9.32
19,2019,10.,Adam Frazier, 7.39
20,2018,1.,Andrelton Simmons, 12.59
21,2018,2.,Victor Martinez, 9.53
22,2018,3.,Michael Brantley, 9.50
23,2018,4.,Yuli Gurriel, 8.52
24,2018,5.,Jean Segura, 8.49
25,2018,6.,Jose Peraza, 8.43
26,2018,7.,Nick Markakis, 7.79
27,2018,8.,Ian Kinsler, 7.61
28,2018,9.,Ben Zobrist, 7.58
29,2018,10.,Didi Gregorius, 7.30
30,2017,1.,Joe Panik, 9.46
31,2017,2.,Andrelton Simmons, 8.79
32,2017,3.,Yuli Gurriel, 8.53
33,2017,4.,Jose Ramirez, 8.48
34,2017,5.,Melky Cabrera, 8.38
35,2017,6.,Justin Turner, 8.16
36,2017,7.,Mookie Betts, 7.95
37,2017,8.,Brandon Phillips, 7.84
38,2017,9.,Yangervis Solarte, 7.64
39,2017,10.,Didi Gregorius, 7.63
40,2016,1.,Joe Panik, 9.87
41,2016,2.,José Iglesias, 9.34
42,2016,3.,Daniel Murphy, 9.32
43,2016,4.,Jose Altuve, 9.14
44,2016,5.,Jose Ramirez, 9.11
45,2016,6.,Adrian Beltre, 8.83
46,2016,7.,Martin Prado, 8.70
47,2016,8.,Dustin Pedroia, 8.67
48,2016,9.,Melky Cabrera, 8.57
49,2016,10.,Yadier Molina, 8.48
50,2015,1.,Daniel Murphy, 13.13
51,2015,2.,Andrelton Simmons, 11.15
52,2015,3.,Buster Posey, 10.71
53,2015,4.,Michael Brantley, 10.37
54,2015,5.,Jose Altuve, 9.52
55,2015,6.,Yangervis Solarte, 9.39
56,2015,7.,Ben Revere, 9.25
57,2015,8.,Ender Inciarte, 9.03
58,2015,9.,Adrian Beltre, 8.72
59,2015,10.,Brandon Phillips, 8.65
60,2014,1.,Victor Martinez, 13.36
61,2014,2.,Jose Altuve, 12.45
62,2014,3.,Ben Revere, 12.27
63,2014,4.,Michael Brantley, 10.91
64,2014,5.,Nori Aoki, 10.02
65,2014,6.,Kurt Suzuki, 9.83
66,2014,7.,Erick Aybar, 9.50
67,2014,8.,Denard Span, 9.38
68,2014,9.,Andrelton Simmons, 9.00
69,2014,10.,Albert Pujols, 8.92
70,2013,1.,Nori Aoki, 14.93
71,2013,2.,Marco Scutaro, 14.35
72,2013,3.,Martin Prado, 11.49
73,2013,4.,Andrelton Simmons, 11.02
74,2013,5.,Victor Martinez, 9.76
75,2013,6.,Alberto Callaspo, 9.64
76,2013,7.,Alexei Ramírez, 9.37
77,2013,8.,Erick Aybar, 9.32
