,Year,Rank,Name,Stat
0,2020,1.,Javier Baez, 187
1,2020,1.,Francisco Lindor, 187
2,2020,3.,Whit Merrifield, 185
3,2020,4.,Keston Hiura, 182
4,2020,5.,Rafael Devers, 179
5,2020,6.,Adalberto Mondesi, 177
6,2020,6.,Nicholas Castellanos, 177
7,2020,8.,Trevor Story, 175
8,2020,8.,José Abreu, 175
9,2020,10.,Yuli Gurriel, 174
10,2020,10.,J.D. Martinez, 174
11,2019,1.,Starlin Castro, 498
12,2019,2.,Whit Merrifield, 497
13,2019,3.,José Abreu, 490
14,2019,3.,Marcus Semien, 490
15,2019,5.,Jonathan Villar, 489
16,2019,6.,Eduardo Escobar, 484
17,2019,7.,Kevin Pillar, 480
18,2019,8.,Eric Hosmer, 475
19,2019,9.,Paul DeJong, 473
20,2019,9.,Randal Grichuk, 473
21,2018,1.,Trea Turner, 502
22,2018,2.,Francisco Lindor, 499
23,2018,3.,Marcus Semien, 498
24,2018,4.,Ozzie Albies, 488
25,2018,5.,Jose Peraza, 481
26,2018,5.,Eric Hosmer, 481
27,2018,7.,Giancarlo Stanton, 480
28,2018,8.,Manny Machado, 477
29,2018,9.,Yolmer Sanchez, 475
30,2018,10.,Cesar Hernandez, 474
31,2018,10.,Freddy Galvis, 474
32,2017,1.,Rougned Odor, 506
33,2017,2.,Manny Machado, 497
34,2017,3.,Francisco Lindor, 495
35,2017,4.,Jose Bautista, 494
36,2017,5.,Elvis Andrus, 485
37,2017,5.,Ender Inciarte, 485
38,2017,7.,Evan Longoria, 484
39,2017,8.,Alcides Escobar, 481
40,2017,8.,Dee Strange-Gordon, 481
41,2017,10.,Albert Pujols, 480
42,2016,1.,Alcides Escobar, 506
43,2016,2.,George Springer, 499
44,2016,3.,Matt Kemp, 485
45,2016,4.,Robinson Cano, 484
46,2016,5.,Evan Longoria, 483
47,2016,6.,Todd Frazier, 481
48,2016,6.,Mookie Betts, 481
49,2016,6.,Xander Bogaerts, 481
50,2016,9.,Jason Kipnis, 478
51,2016,10.,Freddy Galvis, 477
52,2016,10.,Adam Jones, 477
53,2015,1.,Brian Dozier, 502
54,2015,2.,Todd Frazier, 496
55,2015,3.,Melky Cabrera, 487
56,2015,4.,Alcides Escobar, 486
57,2015,5.,Kyle Seager, 484
58,2015,6.,Manny Machado, 483
59,2015,7.,Kole Calhoun, 482
60,2015,7.,Elvis Andrus, 482
61,2015,9.,Robinson Cano, 481
62,2015,10.,Jose Altuve, 477
63,2014,1.,Ian Kinsler, 528
64,2014,2.,Elvis Andrus, 508
65,2014,3.,Albert Pujols, 499
66,2014,4.,Hunter Pence, 492
67,2014,5.,Evan Longoria, 491
68,2014,6.,Alexei Ramírez, 482
69,2014,6.,Adam Jones, 482
70,2014,8.,Casey McGehee, 479
71,2014,8.,Brian Dozier, 479
72,2014,8.,Nick Markakis, 479
73,2013,1.,Starlin Castro, 532
74,2013,2.,Manny Machado, 512
75,2013,3.,Elvis Andrus, 501
76,2013,4.,Mark Trumbo, 499
77,2013,5.,Jose Altuve, 498
78,2013,6.,Daniel Murphy, 491
79,2013,7.,Alcides Escobar, 490
