,Year,Rank,Name,Stat
0,2020,1.,Marcell Ozuna, 2.89
1,2020,2.,Freddie Freeman, 2.37
2,2020,3.,Juan Soto, 2.25
3,2020,4.,Mookie Betts, 2.07
4,2020,5.,Trea Turner, 2.03
5,2020,6.,Mike Yastrzemski, 2.02
6,2020,7.,Mike Trout, 1.89
7,2020,8.,Fernando Tatis Jr., 1.71
8,2020,9.,Corey Seager, 1.69
9,2020,10.,Dominic Smith, 1.65
10,2019,1.,Christian Yelich, 6.49
11,2019,2.,Mike Trout, 6.36
12,2019,3.,Cody Bellinger, 6.01
13,2019,4.,Alex Bregman, 5.73
14,2019,5.,Anthony Rendon, 4.74
15,2019,6.,Pete Alonso, 4.45
16,2019,7.,Ketel Marte, 4.36
17,2019,8.,Juan Soto, 4.26
18,2019,9.,Nelson Cruz, 4.24
19,2019,10.,Freddie Freeman, 4.17
20,2018,1.,Mookie Betts, 6.62
21,2018,2.,Mike Trout, 6.52
22,2018,3.,Christian Yelich, 5.86
23,2018,4.,Jose Ramirez, 5.13
24,2018,5.,J.D. Martinez, 5.04
25,2018,6.,Paul Goldschmidt, 4.95
26,2018,7.,Alex Bregman, 4.54
27,2018,8.,Freddie Freeman, 4.40
28,2018,9.,Nolan Arenado, 4.25
29,2018,10.,Max Muncy, 4.17
30,2017,1.,Joey Votto, 6.51
31,2017,2.,Giancarlo Stanton, 6.10
32,2017,3.,Mike Trout, 5.83
33,2017,4.,Aaron Judge, 5.47
34,2017,5.,Charlie Blackmon, 5.21
35,2017,6.,Jose Altuve, 4.40
36,2017,7.,Paul Goldschmidt, 4.37
37,2017,8.,Kris Bryant, 4.36
38,2017,9.,Bryce Harper, 4.11
39,2017,10.,Nolan Arenado, 4.02
40,2016,1.,Mike Trout, 6.53
41,2016,2.,Freddie Freeman, 5.13
42,2016,3.,Josh Donaldson, 4.89
43,2016,4.,David Ortiz, 4.86
44,2016,5.,Miguel Cabrera, 4.79
45,2016,6.,Kris Bryant, 4.73
46,2016,7.,Daniel Murphy, 4.71
47,2016,8.,Paul Goldschmidt, 4.48
48,2016,9.,Anthony Rizzo, 4.45
49,2016,10.,Nelson Cruz, 4.45
50,2015,1.,Bryce Harper, 7.93
51,2015,2.,Joey Votto, 6.69
52,2015,3.,Paul Goldschmidt, 5.93
53,2015,4.,Mike Trout, 5.91
54,2015,5.,Josh Donaldson, 5.69
55,2015,6.,Anthony Rizzo, 5.48
56,2015,7.,Nelson Cruz, 4.24
57,2015,8.,Jose Bautista, 4.15
58,2015,9.,Edwin Encarnacion, 4.10
59,2015,10.,Kris Bryant, 4.01
60,2014,1.,Jose Bautista, 5.63
61,2014,2.,Mike Trout, 5.55
62,2014,3.,Giancarlo Stanton, 5.13
63,2014,4.,Andrew McCutchen, 4.95
64,2014,5.,José Abreu, 4.62
65,2014,6.,Victor Martinez, 4.60
66,2014,7.,Anthony Rizzo, 4.52
67,2014,8.,Miguel Cabrera, 4.43
68,2014,9.,Michael Brantley, 4.31
69,2014,10.,Adrian Beltre, 3.73
70,2013,1.,Mike Trout, 7.08
71,2013,2.,Miguel Cabrera, 6.94
72,2013,3.,Chris Davis, 5.86
73,2013,4.,Andrew McCutchen, 5.33
74,2013,5.,Paul Goldschmidt, 5.26
75,2013,6.,Shin-Soo Choo, 4.95
76,2013,7.,Joey Votto, 4.75
77,2013,8.,Edwin Encarnacion, 4.56
78,2013,9.,Matt Carpenter, 4.36
79,2013,10.,Freddie Freeman, 4.30
80,2012,1.,Miguel Cabrera, 5.91
81,2012,2.,Mike Trout, 5.81
82,2012,3.,Ryan Braun, 5.69
83,2012,4.,Buster Posey, 4.92
84,2012,5.,Andrew McCutchen, 4.87
85,2012,6.,Chase Headley, 4.74
86,2012,7.,Edwin Encarnacion, 4.73
87,2012,8.,Joey Votto, 4.54
88,2012,9.,Josh Hamilton, 4.43
89,2012,10.,Prince Fielder, 4.42
90,2011,1.,Jose Bautista, 6.88
91,2011,2.,Ryan Braun, 6.76
92,2011,3.,Matt Kemp, 6.45
93,2011,4.,Miguel Cabrera, 6.15
94,2011,5.,Prince Fielder, 6.13
95,2011,6.,Joey Votto, 5.43
96,2011,7.,Jacoby Ellsbury, 4.78
97,2011,8.,Lance Berkman, 4.68
98,2011,9.,Adrian Gonzalez, 4.48
99,2011,10.,Albert Pujols, 4.41
100,2010,1.,Joey Votto, 6.40
101,2010,2.,Albert Pujols, 6.02
102,2010,3.,Miguel Cabrera, 5.89
103,2010,4.,Jose Bautista, 5.58
104,2010,5.,Josh Hamilton, 5.15
105,2010,6.,Paul Konerko, 5.14
106,2010,7.,Carlos Gonzalez, 4.49
107,2010,8.,Adrian Gonzalez, 4.39
108,2010,9.,Matt Holliday, 4.35
109,2010,10.,Jason Heyward, 4.07
110,2009,1.,Albert Pujols, 7.15
111,2009,2.,Prince Fielder, 6.69
112,2009,3.,Joe Mauer, 5.06
113,2009,4.,Joey Votto, 4.95
114,2009,5.,Hanley Ramirez, 4.94
115,2009,6.,Adrian Gonzalez, 4.83
116,2009,7.,Derrek Lee, 4.83
117,2009,8.,Chase Utley, 4.77
118,2009,9.,Ryan Braun, 4.48
119,2009,10.,Mark Teixeira, 3.91
120,2008,1.,Albert Pujols, 6.49
121,2008,2.,Manny Ramirez, 5.63
122,2008,3.,David Wright, 5.39
123,2008,4.,Lance Berkman, 5.04
124,2008,5.,Jason Bay, 4.96
125,2008,6.,Mark Teixeira, 4.85
126,2008,7.,Ryan Ludwick, 4.71
127,2008,8.,Chipper Jones, 4.55
128,2008,9.,Hanley Ramirez, 4.38
129,2008,10.,Matt Holliday, 4.34
130,2007,1.,Alex Rodriguez, 6.49
131,2007,2.,David Ortiz, 6.23
132,2007,3.,Matt Holliday, 5.53
133,2007,4.,Prince Fielder, 5.33
134,2007,5.,Magglio Ordonez, 5.28
135,2007,6.,Chipper Jones, 5.27
136,2007,7.,David Wright, 5.23
137,2007,8.,Carlos Pena, 4.87
138,2007,9.,Albert Pujols, 4.78
139,2007,10.,Chase Utley, 4.74
140,2006,1.,Ryan Howard, 7.37
141,2006,2.,David Ortiz, 6.48
142,2006,3.,Albert Pujols, 6.40
143,2006,4.,Lance Berkman, 5.83
144,2006,5.,Miguel Cabrera, 5.36
145,2006,6.,Jim Thome, 5.06
146,2006,7.,Travis Hafner, 4.92
147,2006,8.,Barry Bonds, 4.53
148,2006,9.,Manny Ramirez, 4.43
149,2006,10.,Carlos Beltran, 4.37
150,2005,1.,Alex Rodriguez, 7.09
151,2005,2.,Derrek Lee, 6.92
152,2005,3.,Albert Pujols, 6.21
153,2005,4.,David Ortiz, 5.91
154,2005,5.,Travis Hafner, 5.57
155,2005,6.,Jason Bay, 5.12
156,2005,7.,Brian Giles, 4.66
157,2005,8.,Miguel Cabrera, 4.64
158,2005,9.,Jason Giambi, 4.58
159,2005,10.,Mark Teixeira, 4.54
160,2004,1.,Barry Bonds, 11.33
161,2004,2.,Albert Pujols, 7.32
162,2004,3.,Todd Helton, 6.99
163,2004,4.,Bobby Abreu, 5.91
164,2004,5.,Lance Berkman, 5.84
165,2004,6.,J.D. Drew, 5.78
166,2004,7.,Jim Edmonds, 5.78
167,2004,8.,Adrian Beltre, 5.26
168,2004,9.,Melvin Mora, 4.91
169,2004,10.,Mark Loretta, 4.80
170,2003,1.,Barry Bonds, 8.23
171,2003,2.,Albert Pujols, 7.63
172,2003,3.,Todd Helton, 7.05
173,2003,4.,Gary Sheffield, 6.92
174,2003,5.,Jim Thome, 5.54
175,2003,6.,Alex Rodriguez, 5.30
176,2003,7.,Carlos Delgado, 5.23
177,2003,8.,Manny Ramirez, 4.81
178,2003,9.,Richie Sexson, 4.71
179,2003,10.,Lance Berkman, 4.66
180,2002,1.,Barry Bonds, 11.92
181,2002,2.,Brian Giles, 6.92
182,2002,3.,Jim Thome, 6.43
183,2002,4.,Vladimir Guerrero, 6.09
184,2002,5.,Jason Giambi, 5.89
185,2002,6.,Alex Rodriguez, 5.65
186,2002,7.,Sammy Sosa, 5.48
187,2002,8.,Lance Berkman, 5.18
188,2002,9.,Jim Edmonds, 4.93
189,2002,10.,Todd Helton, 4.91
190,2001,1.,Barry Bonds, 12.68
191,2001,2.,Sammy Sosa, 8.52
192,2001,3.,Jason Giambi, 7.79
193,2001,4.,Todd Helton, 7.79
194,2001,5.,Luis Gonzalez, 7.39
195,2001,6.,Alex Rodriguez, 6.81
196,2001,7.,Shawn Green, 6.63
197,2001,8.,Larry Walker, 6.12
198,2001,9.,Lance Berkman, 6.06
