,Year,Rank,Name,Stat
0,2020,1.,Freddie Freeman, 3.15
1,2020,2.,Juan Soto, 2.90
2,2020,3.,Mike Yastrzemski, 2.56
3,2020,4.,Marcell Ozuna, 2.45
4,2020,5.,Mookie Betts, 2.35
5,2020,6.,José Abreu, 2.19
6,2020,7.,Jose Ramirez, 2.09
7,2020,8.,Chris Taylor, 1.87
8,2020,9.,Michael Conforto, 1.86
9,2020,10.,Mike Trout, 1.83
10,2019,1.,Mike Trout, 6.17
11,2019,2.,Anthony Rendon, 5.91
12,2019,3.,Cody Bellinger, 5.90
13,2019,4.,Christian Yelich, 5.89
14,2019,5.,Freddie Freeman, 4.75
15,2019,6.,Alex Bregman, 4.70
16,2019,7.,Bryce Harper, 4.50
17,2019,8.,Rafael Devers, 4.47
18,2019,9.,DJ LeMahieu, 4.47
19,2019,10.,Nelson Cruz, 4.46
20,2018,1.,J.D. Martinez, 6.88
21,2018,2.,Christian Yelich, 6.16
22,2018,3.,Mike Trout, 6.11
23,2018,4.,Mookie Betts, 6.02
24,2018,5.,Alex Bregman, 5.22
25,2018,6.,Jose Ramirez, 5.16
26,2018,7.,Paul Goldschmidt, 4.14
27,2018,8.,Bryce Harper, 4.12
28,2018,9.,Freddie Freeman, 3.87
29,2018,10.,Aaron Judge, 3.85
30,2017,1.,Joey Votto, 6.32
31,2017,2.,Giancarlo Stanton, 5.18
32,2017,3.,Mike Trout, 5.05
33,2017,4.,Charlie Blackmon, 4.95
34,2017,5.,Paul Goldschmidt, 4.79
35,2017,6.,Aaron Judge, 4.72
36,2017,7.,Marcell Ozuna, 4.67
37,2017,8.,Nolan Arenado, 4.66
38,2017,9.,Nelson Cruz, 4.60
39,2017,10.,Anthony Rendon, 3.99
40,2016,1.,Mike Trout, 7.09
41,2016,2.,David Ortiz, 5.44
42,2016,3.,Freddie Freeman, 4.75
43,2016,4.,Josh Donaldson, 4.58
44,2016,5.,Joey Votto, 4.55
45,2016,6.,Kris Bryant, 4.37
46,2016,7.,Daniel Murphy, 4.33
47,2016,8.,Anthony Rizzo, 4.15
48,2016,9.,Jose Altuve, 3.81
49,2016,10.,Nolan Arenado, 3.74
50,2015,1.,Bryce Harper, 7.35
51,2015,2.,Joey Votto, 6.44
52,2015,3.,Anthony Rizzo, 5.91
53,2015,4.,Paul Goldschmidt, 5.71
54,2015,5.,Josh Donaldson, 5.51
55,2015,6.,Mike Trout, 5.10
56,2015,7.,Andrew McCutchen, 4.72
57,2015,8.,Kris Bryant, 4.69
58,2015,9.,Miguel Cabrera, 4.61
59,2015,10.,Chris Davis, 4.28
60,2014,1.,Mike Trout, 6.65
61,2014,2.,Victor Martinez, 5.44
62,2014,3.,Giancarlo Stanton, 5.02
63,2014,4.,José Abreu, 4.79
64,2014,5.,Jayson Werth, 4.53
65,2014,6.,Jose Bautista, 4.48
66,2014,7.,Miguel Cabrera, 4.42
67,2014,8.,Michael Brantley, 4.39
68,2014,9.,Andrew McCutchen, 4.32
69,2014,10.,Devin Mesoraco, 4.13
70,2013,1.,Mike Trout, 7.30
71,2013,2.,Miguel Cabrera, 7.23
72,2013,3.,Chris Davis, 6.79
73,2013,4.,Paul Goldschmidt, 6.64
74,2013,5.,Freddie Freeman, 6.33
75,2013,6.,Matt Carpenter, 5.19
76,2013,7.,Shin-Soo Choo, 5.02
77,2013,8.,Joey Votto, 4.97
78,2013,9.,Robinson Cano, 4.92
79,2013,10.,Matt Holliday, 4.88
80,2012,1.,Edwin Encarnacion, 5.47
81,2012,2.,Mike Trout, 5.32
82,2012,3.,Chase Headley, 5.28
83,2012,4.,Buster Posey, 5.24
84,2012,5.,Ryan Braun, 4.91
85,2012,6.,Andrew McCutchen, 4.82
86,2012,7.,Joey Votto, 4.79
87,2012,8.,Prince Fielder, 4.77
88,2012,9.,Joe Mauer, 4.67
89,2012,10.,Miguel Cabrera, 4.44
90,2011,1.,Miguel Cabrera, 6.68
91,2011,2.,Matt Kemp, 6.67
