,Year,Rank,Name,Stat
0,2020,1.,Shane Bieber, 3.3
1,2020,2.,Hyun Jin Ryu, 3.0
2,2020,3.,Max Fried, 2.9
3,2020,4.,Zack Wheeler, 2.9
4,2020,5.,Antonio Senzatela, 2.8
5,2020,6.,Trevor Bauer, 2.7
6,2020,7.,Zac Gallen, 2.7
7,2020,8.,Yu Darvish, 2.7
8,2020,9.,Jacob deGrom, 2.6
9,2020,10.,Dinelson Lamet, 2.4
10,2019,1.,Mike Minor, 7.8
11,2019,2.,Jacob deGrom, 7.6
12,2019,3.,Lance Lynn, 7.5
13,2019,4.,Justin Verlander, 7.4
14,2019,5.,Gerrit Cole, 6.6
15,2019,6.,Stephen Strasburg, 6.2
16,2019,7.,Eduardo Rodriguez, 5.9
17,2019,8.,Jack Flaherty, 5.7
18,2019,8.,Max Scherzer, 5.7
19,2019,10.,Lucas Giolito, 5.7
20,2018,1.,Aaron Nola, 10.2
21,2018,2.,Jacob deGrom, 9.9
22,2018,3.,Max Scherzer, 8.4
23,2018,4.,Kyle Freeland, 8.2
24,2018,5.,Blake Snell, 7.1
25,2018,6.,Chris Sale, 6.9
26,2018,7.,Justin Verlander, 6.8
27,2018,8.,Trevor Bauer, 5.8
28,2018,9.,Corey Kluber, 5.7
29,2018,10.,Gerrit Cole, 5.7
30,2017,1.,Corey Kluber, 7.9
31,2017,2.,Max Scherzer, 7.2
32,2017,3.,Gio Gonzalez, 6.5
33,2017,4.,Justin Verlander, 6.5
34,2017,5.,Stephen Strasburg, 6.4
35,2017,6.,Chris Sale, 6.0
36,2017,7.,Zack Greinke, 5.7
37,2017,8.,Luis Severino, 5.4
38,2017,9.,Marcus Stroman, 5.2
39,2017,10.,Carlos Carrasco, 5.2
40,2016,1.,Justin Verlander, 7.4
41,2016,2.,Max Scherzer, 6.2
42,2016,3.,Clayton Kershaw, 5.8
43,2016,4.,Carlos Martinez, 5.6
44,2016,4.,Jon Lester, 5.6
45,2016,4.,Corey Kluber, 5.6
46,2016,7.,Tanner Roark, 5.5
47,2016,8.,Johnny Cueto, 5.5
48,2016,9.,Michael Fulmer, 5.4
49,2016,9.,Kyle Hendricks, 5.4
50,2015,1.,Zack Greinke, 8.9
51,2015,2.,Jake Arrieta, 8.3
52,2015,3.,Clayton Kershaw, 7.3
53,2015,4.,Max Scherzer, 6.9
