,Year,Rank,Name,Stat
0,2020,1.,Max Fried, 1.0000
1,2020,2.,Shane Bieber, .8889
2,2020,3.,Matt Foster, .8571
3,2020,3.,Kenta Maeda, .8571
4,2020,5.,Jonathan Hernandez, .8333
5,2020,5.,Caleb Baragar, .8333
6,2020,5.,Tyler Glasnow, .8333
7,2020,8.,Marco Gonzales, .7778
8,2020,9.,Clayton Kershaw, .7500
9,2020,9.,Dallas Keuchel, .7500
10,2020,9.,David Peterson, .7500
11,2019,1.,Domingo German, .8182
12,2019,2.,Gerrit Cole, .8000
13,2019,3.,Mike Fiers, .7895
14,2019,4.,Zack Greinke, .7826
15,2019,5.,Justin Verlander, .7778
16,2019,5.,Walker Buehler, .7778
17,2019,7.,Mike Clevinger, .7647
18,2019,7.,Mike Soroka, .7647
19,2019,9.,Clayton Kershaw, .7619
20,2019,10.,Eduardo Rodriguez, .7600
21,2018,1.,Charlie Morton, .8333
22,2018,2.,Miles Mikolas, .8182
23,2018,3.,Blake Snell, .8077
24,2018,4.,Noah Syndergaard, .7647
25,2018,5.,Jon Lester, .7500
26,2018,5.,Gerrit Cole, .7500
27,2018,5.,Chris Sale, .7500
28,2018,8.,Corey Kluber, .7407
29,2018,9.,Aaron Nola, .7391
30,2018,9.,J.A. Happ, .7391
31,2017,1.,Alex Wood, .8421
32,2017,2.,Corey Kluber, .8182
33,2017,2.,Clayton Kershaw, .8182
34,2017,4.,Stephen Strasburg, .7895
35,2017,5.,Robbie Ray, .7500
36,2017,5.,Carlos Carrasco, .7500
37,2017,5.,Chase Anderson, .7500
38,2017,8.,Drew Pomeranz, .7391
39,2017,9.,Dallas Keuchel, .7368
40,2017,9.,CC Sabathia, .7368
41,2016,1.,Aaron Sanchez, .8824
42,2016,2.,Rick Porcello, .8462
43,2016,3.,J.A. Happ, .8333
44,2016,4.,Jon Lester, .7917
45,2016,5.,Stephen Strasburg, .7895
46,2016,6.,Johnny Cueto, .7826
47,2016,7.,Masahiro Tanaka, .7778
48,2016,8.,Cole Hamels, .7500
49,2016,8.,Clayton Kershaw, .7500
50,2016,10.,Max Scherzer, .7407
51,2015,1.,Zack Greinke, .8636
52,2015,2.,Nathan Eovaldi, .8235
53,2015,3.,Jake Arrieta, .7857
54,2015,4.,David Price, .7826
55,2015,5.,Collin McHugh, .7308
56,2015,6.,Drew Hutchison, .7222
57,2015,7.,Dallas Keuchel, .7143
58,2015,8.,Michael Wacha, .7083
59,2015,9.,Gerrit Cole, .7037
60,2015,10.,Clayton Kershaw, .6957
61,2014,1.,Clayton Kershaw, .8750
62,2014,2.,Matt Shoemaker, .8000
63,2014,3.,Max Scherzer, .7826
64,2014,4.,Garrett Richards, .7647
65,2014,5.,Chris Sale, .7500
66,2014,6.,Jordan Zimmermann, .7368
67,2014,7.,Wei-Yin Chen, .7273
68,2014,7.,Doug Fister, .7273
69,2014,9.,Masahiro Tanaka, .7222
70,2014,10.,Felix Hernandez, .7143
71,2013,1.,Max Scherzer, .8750
72,2013,2.,Matt Moore, .8095
73,2013,3.,Zack Greinke, .7895
74,2013,4.,Bartolo Colon, .7500
75,2013,5.,Jorge De La Rosa, .7273
76,2013,6.,C.J. Wilson, .7083
77,2013,7.,Jake Peavy, .7059
78,2013,8.,Hisashi Iwakuma, .7000
79,2013,9.,Chris Tillman, .6957
80,2013,10.,Corey Kluber, .6875
81,2012,1.,Kyle Lohse, .8421
82,2012,2.,Jered Weaver, .8000
83,2012,2.,David Price, .8000
84,2012,4.,Mat Latos, .7778
85,2012,5.,R.A. Dickey, .7692
86,2012,6.,Matt Cain, .7619
87,2012,7.,Zack Greinke, .7500
88,2012,8.,Cole Hamels, .7391
89,2012,9.,Gio Gonzalez, .7241
90,2012,10.,Lance Lynn, .7200
91,2011,1.,Ian Kennedy, .8400
92,2011,2.,Justin Verlander, .8276
93,2011,3.,Clayton Kershaw, .8077
94,2011,4.,Ivan Nova, .8000
95,2011,5.,Derek Holland, .7619
96,2011,6.,Roy Halladay, .7600
97,2011,7.,Zack Greinke, .7273
