,Year,Rank,Name,Stat
0,2020,1.,Kenta Maeda, .7500
1,2020,2.,Trevor Bauer, .7945
2,2020,3.,Dinelson Lamet, .8551
3,2020,4.,Shane Bieber, .8664
4,2020,5.,Marco Gonzales, .9474
5,2020,6.,Jacob deGrom, .9559
6,2020,7.,Gerrit Cole, .9589
7,2020,8.,Yu Darvish, .9605
8,2020,9.,Brandon Woodruff, .9910
9,2020,10.,Kyle Hendricks, .9959
10,2019,1.,Justin Verlander, .8027
11,2019,2.,Gerrit Cole, .8948
12,2019,3.,Jack Flaherty, .9677
13,2019,4.,Jacob deGrom, .9706
14,2019,5.,Zack Greinke, .9824
15,2019,6.,Hyun Jin Ryu, 1.0073
16,2019,7.,Max Scherzer, 1.0271
17,2019,8.,Stephen Strasburg, 1.0383
18,2019,9.,Walker Buehler, 1.0420
19,2019,10.,Clayton Kershaw, 1.0430
20,2018,1.,Justin Verlander, .9019
21,2018,2.,Max Scherzer, .9109
22,2018,3.,Jacob deGrom, .9124
23,2018,4.,Blake Snell, .9742
24,2018,5.,Aaron Nola, .9749
25,2018,6.,Corey Kluber, .9907
26,2018,7.,Gerrit Cole, 1.0333
27,2018,8.,Patrick Corbin, 1.0500
28,2018,9.,Miles Mikolas, 1.0714
29,2018,10.,Zack Greinke, 1.0787
30,2017,1.,Corey Kluber, .8691
31,2017,2.,Max Scherzer, .9020
32,2017,3.,Clayton Kershaw, .9486
33,2017,4.,Chris Sale, .9705
34,2017,5.,Stephen Strasburg, 1.0152
35,2017,6.,Luis Severino, 1.0397
36,2017,7.,Zack Greinke, 1.0725
37,2017,8.,Carlos Carrasco, 1.0950
38,2017,9.,Ervin Santana, 1.1262
39,2017,10.,Jeff Samardzija, 1.1364
40,2016,1.,Max Scherzer, .9679
41,2016,2.,Kyle Hendricks, .9789
42,2016,3.,Justin Verlander, 1.0015
43,2016,4.,Rick Porcello, 1.0090
44,2016,5.,Jon Lester, 1.0164
45,2016,6.,Madison Bumgarner, 1.0279
46,2016,7.,Chris Sale, 1.0368
47,2016,8.,Julio Teheran, 1.0532
48,2016,9.,Corey Kluber, 1.0558
49,2016,10.,John Lackey, 1.0566
50,2015,1.,Zack Greinke, .8443
51,2015,2.,Jake Arrieta, .8646
52,2015,3.,Clayton Kershaw, .8811
53,2015,4.,Max Scherzer, .9184
54,2015,5.,Jacob deGrom, .9791
55,2015,6.,Madison Bumgarner, 1.0076
56,2015,7.,Dallas Keuchel, 1.0172
57,2015,8.,Matt Harvey, 1.0194
58,2015,9.,Marco Estrada, 1.0442
59,2015,10.,Corey Kluber, 1.0541
60,2014,1.,Clayton Kershaw, .8571
61,2014,2.,Felix Hernandez, .9153
62,2014,3.,Johnny Cueto, .9603
63,2014,4.,Chris Sale, .9655
64,2014,5.,Adam Wainwright, 1.0308
65,2014,6.,Garrett Richards, 1.0375
66,2014,7.,Hisashi Iwakuma, 1.0503
67,2014,8.,Jeff Samardzija, 1.0653
68,2014,9.,Jordan Zimmermann, 1.0718
69,2014,10.,David Price, 1.0792
70,2013,1.,Clayton Kershaw, .9153
71,2013,2.,Matt Harvey, .9308
72,2013,3.,Max Scherzer, .9705
73,2013,4.,Jose Fernandez, .9788
74,2013,5.,Hisashi Iwakuma, 1.0061
75,2013,6.,Cliff Lee, 1.0105
76,2013,7.,Madison Bumgarner, 1.0331
77,2013,8.,Stephen Strasburg, 1.0492
78,2013,9.,Adam Wainwright, 1.0676
79,2013,10.,Chris Sale, 1.0731
80,2012,1.,Jered Weaver, 1.0177
81,2012,2.,Clayton Kershaw, 1.0234
82,2012,3.,Matt Cain, 1.0395
83,2012,4.,R.A. Dickey, 1.0528
84,2012,5.,Justin Verlander, 1.0573
85,2012,6.,Kyle Lohse, 1.0900
86,2012,7.,Jake Peavy, 1.0959
87,2012,8.,David Price, 1.0995
88,2012,9.,Madison Bumgarner, 1.1136
89,2012,10.,Cliff Lee, 1.1137
90,2011,1.,Justin Verlander, .9203
91,2011,2.,Clayton Kershaw, .9771
92,2011,3.,Cole Hamels, .9861
93,2011,4.,Jered Weaver, 1.0099
94,2011,5.,Dan Haren, 1.0238
95,2011,6.,Josh Beckett, 1.0259
96,2011,7.,Cliff Lee, 1.0272
97,2011,8.,Roy Halladay, 1.0399
98,2011,9.,James Shields, 1.0428
99,2011,10.,Doug Fister, 1.0632
100,2010,1.,Cliff Lee, 1.0031
101,2010,2.,Roy Oswalt, 1.0252
102,2010,3.,Roy Halladay, 1.0412
103,2010,4.,Adam Wainwright, 1.0507
104,2010,5.,Felix Hernandez, 1.0574
105,2010,6.,Jered Weaver, 1.0743
106,2010,7.,Ted Lilly, 1.0792
107,2010,8.,Mat Latos, 1.0830
108,2010,9.,Matt Cain, 1.0836
109,2010,10.,Josh Johnson, 1.1053
110,2009,1.,Dan Haren, 1.0029
111,2009,2.,Chris Carpenter, 1.0069
