,Year,Rank,Name,Stat
0,2020,1.,Trevor Bauer, 5.0548
1,2020,2.,Dinelson Lamet, 5.0870
2,2020,3.,Shane Bieber, 5.3534
3,2020,4.,Kenta Maeda, 5.4000
4,2020,5.,Lucas Giolito, 5.8479
5,2020,6.,Jacob deGrom, 6.2206
6,2020,7.,Gerrit Cole, 6.5342
7,2020,8.,Brandon Woodruff, 6.7195
8,2020,9.,Aaron Nola, 6.8131
9,2020,10.,Lance Lynn, 6.8571
10,2019,1.,Justin Verlander, 5.5291
11,2019,2.,Gerrit Cole, 6.0188
12,2019,3.,Jack Flaherty, 6.1885
13,2019,4.,Sonny Gray, 6.2624
14,2019,5.,Luis Castillo, 6.5612
15,2019,6.,Lucas Giolito, 6.6736
16,2019,7.,Jacob deGrom, 6.7941
17,2019,8.,Stephen Strasburg, 6.9330
18,2019,9.,Yu Darvish, 7.0522
19,2019,10.,Charlie Morton, 7.1199
20,2018,1.,Blake Snell, 5.5793
21,2018,2.,Max Scherzer, 6.1178
22,2018,3.,Julio Teheran, 6.2505
23,2018,4.,Jacob deGrom, 6.3041
24,2018,5.,Aaron Nola, 6.3155
25,2018,6.,Mike Foltynewicz, 6.3934
26,2018,7.,Gerrit Cole, 6.4243
27,2018,8.,Justin Verlander, 6.5607
28,2018,9.,Trevor Bauer, 6.8783
29,2018,10.,Charlie Morton, 7.0060
30,2017,1.,Max Scherzer, 5.6512
31,2017,2.,Corey Kluber, 6.2308
32,2017,3.,Robbie Ray, 6.4444
33,2017,4.,Stephen Strasburg, 6.7243
34,2017,5.,Chris Sale, 6.9285
35,2017,6.,Luis Severino, 6.9828
36,2017,7.,Clayton Kershaw, 6.9943
37,2017,8.,Gio Gonzalez, 7.0746
38,2017,9.,Lance Lynn, 7.2934
39,2017,10.,Justin Verlander, 7.4272
40,2016,1.,Jake Arrieta, 6.2939
41,2016,2.,Max Scherzer, 6.5036
42,2016,3.,Kyle Hendricks, 6.7263
43,2016,4.,Marco Estrada, 6.7500
44,2016,5.,Justin Verlander, 6.7599
45,2016,6.,Jon Lester, 6.8388
46,2016,7.,John Lackey, 6.9770
47,2016,8.,Madison Bumgarner, 7.1074
48,2016,9.,Corey Kluber, 7.1163
49,2016,10.,Drew Pomeranz, 7.2246
50,2015,1.,Jake Arrieta, 5.8952
51,2015,2.,Zack Greinke, 5.9820
52,2015,3.,Clayton Kershaw, 6.3052
53,2015,4.,Marco Estrada, 6.6630
54,2015,5.,Max Scherzer, 6.9271
55,2015,6.,Jacob deGrom, 7.0209
56,2015,7.,Dallas Keuchel, 7.1767
57,2015,8.,Sonny Gray, 7.1827
58,2015,9.,Matt Harvey, 7.4155
59,2015,10.,Chris Archer, 7.4292
60,2014,1.,Johnny Cueto, 6.2421
61,2014,2.,Clayton Kershaw, 6.3076
62,2014,3.,Felix Hernandez, 6.4831
63,2014,4.,Garrett Richards, 6.6166
64,2014,5.,Chris Sale, 6.6724
65,2014,6.,Francisco Liriano, 7.2074
66,2014,7.,Adam Wainwright, 7.2952
67,2014,8.,Tyson Ross, 7.5894
68,2014,9.,Julio Teheran, 7.6561
69,2014,10.,Alex Cobb, 7.6834
70,2013,1.,Jose Fernandez, 5.7857
71,2013,2.,Yu Darvish, 6.2242
72,2013,3.,Clayton Kershaw, 6.2542
73,2013,4.,Max Scherzer, 6.3826
74,2013,5.,Madison Bumgarner, 6.5265
75,2013,6.,Stephen Strasburg, 6.6885
76,2013,7.,Matt Harvey, 6.8131
77,2013,8.,Justin Masterson, 7.2746
78,2013,9.,Hisashi Iwakuma, 7.3338
79,2013,10.,Travis Wood, 7.3350
80,2012,1.,Clayton Kershaw, 6.7204
81,2012,2.,Gio Gonzalez, 6.7274
82,2012,3.,Jered Weaver, 7.0124
83,2012,4.,Justin Verlander, 7.2503
84,2012,5.,Matt Cain, 7.2629
85,2012,6.,Yu Darvish, 7.3380
86,2012,7.,David Price, 7.3791
87,2012,8.,R.A. Dickey, 7.3951
88,2012,9.,Mike Minor, 7.5781
89,2012,10.,Mat Latos, 7.6959
90,2011,1.,Justin Verlander, 6.2390
91,2011,2.,Clayton Kershaw, 6.7114
92,2011,3.,Josh Beckett, 6.8083
93,2011,4.,Jered Weaver, 6.9505
94,2011,5.,Jeremy Hellickson, 6.9524
95,2011,6.,Michael Pineda, 7.0000
96,2011,7.,James Shields, 7.0388
97,2011,8.,Ricky Romero, 7.0400
98,2011,9.,Cole Hamels, 7.0417
99,2011,10.,Matt Cain, 7.1865
100,2010,1.,Jonathan Sanchez, 6.6103
101,2010,2.,Ubaldo Jimenez, 6.6586
102,2010,3.,Roy Oswalt, 6.8882
103,2010,4.,Felix Hernandez, 6.9933
104,2010,5.,Clayton Kershaw, 7.0473
105,2010,6.,Trevor Cahill, 7.0932
106,2010,7.,C.J. Wilson, 7.1029
107,2010,8.,Jon Lester, 7.2260
108,2010,9.,Adam Wainwright, 7.2677
109,2010,10.,Matt Cain, 7.2940
110,2009,1.,Clayton Kershaw, 6.2632
111,2009,2.,Tim Lincecum, 6.7101
112,2009,3.,Yovani Gallardo, 7.2711
113,2009,4.,Chris Carpenter, 7.2872
114,2009,5.,Javier Vazquez, 7.4271
115,2009,6.,Jonathan Sanchez, 7.4388
116,2009,7.,Randy Wolf, 7.4743
117,2009,8.,Dan Haren, 7.5349
118,2009,9.,Felix Hernandez, 7.5419
119,2009,10.,Ubaldo Jimenez, 7.5550
120,2008,1.,Daisuke Matsuzaka, 6.8708
121,2008,2.,Tim Lincecum, 7.2159
122,2008,3.,Jake Peavy, 7.5662
123,2008,4.,Ryan Dempster, 7.5774
124,2008,5.,Cole Hamels, 7.6408
125,2008,6.,Armando Galarraga, 7.6567
126,2008,7.,Tim Wakefield, 7.6575
127,2008,8.,Edinson Volquez, 7.6684
128,2008,9.,Oliver Perez, 7.7474
129,2008,10.,Johan Santana, 7.9118
130,2007,1.,Chris Young, 6.1387
131,2007,2.,Jake Peavy, 6.8104
132,2007,3.,Erik Bedard, 6.9725
133,2007,4.,A.J. Burnett, 7.1167
134,2007,5.,Johan Santana, 7.5205
135,2007,6.,Dustin McGowan, 7.7446
136,2007,7.,Carlos Zambrano, 7.7797
137,2007,7.,Oliver Perez, 7.7797
138,2007,9.,Matt Cain, 7.7850
139,2007,10.,Rich Hill, 7.8462
140,2006,1.,Chris Young, 6.7249
141,2006,2.,Carlos Zambrano, 6.8131
142,2006,3.,Johan Santana, 7.1641
