,Year,Rank,Name,Stat
0,2020,1.,Kyle Hendricks, .8852
1,2020,2.,Marco Gonzales, .9043
2,2020,3.,Zack Greinke, 1.2090
3,2020,4.,Kenta Maeda, 1.3500
4,2020,5.,Yu Darvish, 1.6579
5,2020,6.,Aaron Civale, 1.9459
6,2020,7.,Zack Wheeler, 2.0282
7,2020,8.,Framber Valdez, 2.0377
8,2020,9.,Adam Wainwright, 2.0558
9,2020,10.,Trevor Bauer, 2.0959
10,2020,10.,Gerrit Cole, 2.0959
11,2019,1.,Hyun Jin Ryu, 1.1825
12,2019,2.,Mike Leake, 1.2335
13,2019,3.,Zack Greinke, 1.2939
14,2019,4.,Miles Mikolas, 1.5652
15,2019,5.,Kyle Hendricks, 1.6271
16,2019,6.,Shane Bieber, 1.6796
17,2019,7.,Justin Verlander, 1.6951
18,2019,8.,Max Scherzer, 1.7234
19,2019,9.,German Marquez, 1.8103
20,2019,10.,Walker Buehler, 1.8263
21,2018,1.,Miles Mikolas, 1.3007
22,2018,2.,Corey Kluber, 1.4233
23,2018,3.,Justin Verlander, 1.5561
24,2018,4.,Mike Leake, 1.6481
25,2018,5.,Marco Gonzales, 1.7280
26,2018,6.,Zack Greinke, 1.8636
27,2018,7.,Jacob deGrom, 1.9078
28,2018,8.,Mike Fiers, 1.9360
29,2018,9.,Kyle Hendricks, 1.9899
30,2018,10.,Carlos Carrasco, 2.0156
31,2017,1.,Jeff Samardzija, 1.3868
32,2017,2.,Clayton Kershaw, 1.5429
33,2017,3.,Corey Kluber, 1.5908
34,2017,4.,Ivan Nova, 1.7326
35,2017,5.,Mike Leake, 1.7903
36,2017,6.,Chris Sale, 1.8056
37,2017,7.,Zack Greinke, 2.0016
38,2017,8.,Masahiro Tanaka, 2.0692
39,2017,9.,Carlos Carrasco, 2.0700
40,2017,10.,Rick Porcello, 2.1246
41,2016,1.,Josh Tomlin, 1.0345
42,2016,2.,Rick Porcello, 1.2915
43,2016,3.,Bartolo Colon, 1.5026
44,2016,4.,Mike Leake, 1.5283
45,2016,5.,Ivan Nova, 1.5556
46,2016,6.,Masahiro Tanaka, 1.6227
47,2016,7.,Chris Sale, 1.7868
48,2016,8.,Johnny Cueto, 1.8437
49,2016,9.,Jerad Eickhoff, 1.9155
50,2016,10.,David Price, 1.9565
51,2015,1.,Bartolo Colon, 1.1096
52,2015,2.,Max Scherzer, 1.3382
53,2015,3.,Mark Buehrle, 1.4950
54,2015,4.,Madison Bumgarner, 1.6076
55,2015,5.,Zack Greinke, 1.6168
56,2015,6.,Clayton Kershaw, 1.6246
57,2015,7.,Jordan Zimmermann, 1.7405
58,2015,8.,Matt Harvey, 1.7588
59,2015,9.,Jacob deGrom, 1.7906
60,2015,10.,Chris Sale, 1.8115
61,2014,1.,Phil Hughes, .6868
62,2014,2.,Hisashi Iwakuma, 1.0559
63,2014,3.,Jordan Zimmermann, 1.3072
64,2014,4.,Doug Fister, 1.3171
65,2014,5.,Bartolo Colon, 1.3344
66,2014,6.,David Price, 1.3772
67,2014,7.,Clayton Kershaw, 1.4067
68,2014,8.,Brandon McCarthy, 1.4850
69,2014,9.,Hiroki Kuroda, 1.5829
70,2014,10.,Henderson Alvarez III, 1.5882
71,2013,1.,Cliff Lee, 1.2934
72,2013,2.,David Price, 1.3018
73,2013,3.,Adam Wainwright, 1.3034
74,2013,4.,Bartolo Colon, 1.3713
75,2013,5.,Bronson Arroyo, 1.5149
