,Year,Rank,Name,Stat
0,2020,1.,Brad Hand, 16
1,2020,2.,Liam Hendriks, 14
2,2020,3.,Josh Hader, 13
3,2020,4.,Alex Colome, 12
4,2020,4.,Brandon Kintzler, 12
5,2020,4.,Ryan Pressly, 12
6,2020,7.,Kenley Jansen, 11
7,2020,7.,Trevor Rosenthal, 11
8,2020,7.,Mark Melancon, 11
9,2020,10.,Daniel Hudson, 10
10,2019,1.,Kirby Yates, 41
11,2019,2.,Roberto Osuna, 38
12,2019,3.,Aroldis Chapman, 37
13,2019,3.,Josh Hader, 37
14,2019,5.,Will Smith, 34
15,2019,5.,Raisel Iglesias, 34
16,2019,5.,Brad Hand, 34
17,2019,8.,Kenley Jansen, 33
18,2019,9.,Alex Colome, 30
19,2019,9.,Taylor Rogers, 30
20,2019,9.,Ian Kennedy, 30
21,2018,1.,Edwin Diaz, 57
22,2018,2.,Wade Davis, 43
23,2018,3.,Craig Kimbrel, 42
24,2018,4.,Blake Treinen, 38
25,2018,4.,Kenley Jansen, 38
26,2018,6.,Felipe Vazquez, 37
27,2018,7.,Aroldis Chapman, 32
28,2018,7.,Shane Greene, 32
29,2018,7.,Brad Hand, 32
30,2018,7.,Brad Boxberger, 32
31,2017,1.,Alex Colome, 47
32,2017,2.,Greg Holland, 41
33,2017,2.,Kenley Jansen, 41
34,2017,4.,Roberto Osuna, 39
35,2017,4.,Corey Knebel, 39
36,2017,4.,Fernando Rodney, 39
37,2017,7.,Craig Kimbrel, 35
38,2017,8.,Edwin Diaz, 34
39,2017,8.,Ken Giles, 34
40,2017,10.,Wade Davis, 32
41,2016,1.,Jeurys Familia, 51
42,2016,2.,Zack Britton, 47
43,2016,2.,Mark Melancon, 47
44,2016,2.,Kenley Jansen, 47
45,2016,5.,Francisco Rodriguez, 44
46,2016,6.,AJ Ramos, 40
47,2016,7.,Sam Dyson, 38
48,2016,8.,David Robertson, 37
49,2016,8.,Jeanmar Gomez, 37
50,2016,8.,Alex Colome, 37
51,2015,1.,Mark Melancon, 51
52,2015,2.,Trevor Rosenthal, 48
53,2015,3.,Jeurys Familia, 43
54,2015,4.,Brad Boxberger, 41
55,2015,5.,Huston Street, 40
56,2015,6.,Craig Kimbrel, 39
57,2015,7.,Francisco Rodriguez, 38
58,2015,7.,Santiago Casilla, 38
59,2015,9.,Kenley Jansen, 36
60,2015,9.,Zack Britton, 36
61,2015,9.,Andrew Miller, 36
62,2014,1.,Fernando Rodney, 48
63,2014,2.,Craig Kimbrel, 47
64,2014,3.,Greg Holland, 46
65,2014,4.,Trevor Rosenthal, 45
