,Year,Rank,Name,Stat
0,2020,1.,Robbie Ray, 45
1,2020,2.,Dylan Cease, 34
2,2020,3.,Justin Dunn, 31
3,2020,4.,Kyle Gibson, 30
4,2020,5.,Spencer Turnbull, 29
5,2020,6.,Lucas Giolito, 28
6,2020,6.,Martin Perez, 28
7,2020,6.,Chad Kuhl, 28
8,2020,9.,Carlos Carrasco, 27
9,2020,10.,Sonny Gray, 26
10,2020,10.,Ryan Castellani, 26
11,2020,10.,Johnny Cueto, 26
12,2020,10.,Jose Berrios, 26
13,2019,1.,Dakota Hudson, 86
14,2019,2.,Robbie Ray, 84
15,2019,3.,Julio Teheran, 83
16,2019,4.,Trevor Bauer, 82
17,2019,5.,Sandy Alcantara, 81
18,2019,6.,Aaron Nola, 80
19,2019,7.,Luis Castillo, 79
20,2019,8.,Eduardo Rodriguez, 75
21,2019,9.,Brad Keller, 70
22,2019,9.,Patrick Corbin, 70
23,2018,1.,Tyler Chatwood, 95
24,2018,2.,Lucas Giolito, 90
25,2018,3.,Julio Teheran, 84
26,2018,4.,Zack Godley, 81
27,2018,4.,Sean Newcomb, 81
28,2018,6.,Gio Gonzalez, 80
29,2018,7.,Kyle Gibson, 79
30,2018,8.,James Shields, 78
31,2018,9.,Lance Lynn, 76
32,2018,10.,Reynaldo Lopez, 75
33,2017,1.,Wade Miley, 93
34,2017,2.,Gio Gonzalez, 79
35,2017,3.,Lance Lynn, 78
36,2017,4.,Tyler Chatwood, 77
37,2017,5.,Derek Holland, 75
38,2017,6.,Julio Teheran, 72
39,2017,6.,Chad Kuhl, 72
40,2017,6.,Justin Verlander, 72
41,2017,6.,Jhoulys Chacin, 72
42,2017,10.,Kevin Gausman, 71
43,2017,10.,Robbie Ray, 71
44,2017,10.,Marco Estrada, 71
45,2017,10.,Carlos Martinez, 71
46,2016,1.,Jimmy Nelson, 86
47,2016,2.,Francisco Liriano, 85
48,2016,3.,Brandon Finnegan, 84
49,2016,4.,Tom Koehler, 83
50,2016,5.,James Shields, 82
51,2016,6.,Hector Santiago, 79
52,2016,7.,Yordano Ventura, 78
53,2016,8.,Cole Hamels, 77
54,2016,9.,Edinson Volquez, 76
55,2016,9.,Jake Arrieta, 76
56,2016,9.,Martin Perez, 76
57,2015,1.,Tyson Ross, 84
58,2015,2.,James Shields, 81
59,2015,3.,Trevor Bauer, 79
60,2015,4.,Tom Koehler, 77
