,Year,Rank,Name,Stat
0,2020,1.,Patrick Corbin, 85
1,2020,2.,Aaron Civale, 82
2,2020,3.,German Marquez, 78
3,2020,4.,Kyle Freeland, 77
4,2020,5.,Rick Porcello, 74
5,2020,6.,Kyle Hendricks, 73
6,2020,6.,Kyle Gibson, 73
7,2020,8.,Antonio Senzatela, 71
8,2020,9.,Anibal Sanchez, 70
9,2020,9.,Max Scherzer, 70
10,2019,1.,Mike Leake, 227
11,2019,2.,Ivan Nova, 225
12,2019,3.,Marco Gonzales, 210
13,2019,4.,Jon Lester, 205
14,2019,5.,Reynaldo Lopez, 203
15,2019,6.,Rick Porcello, 198
16,2019,7.,Zack Wheeler, 196
17,2019,8.,Eduardo Rodriguez, 195
18,2019,8.,Yusei Kikuchi, 195
19,2019,8.,Lance Lynn, 195
20,2018,1.,Dallas Keuchel, 211
21,2018,2.,Mike Leake, 207
22,2018,3.,James Shields, 190
23,2018,4.,Kevin Gausman, 189
24,2018,5.,Dylan Bundy, 188
25,2018,6.,Miles Mikolas, 186
26,2018,7.,Kyle Hendricks, 184
27,2018,8.,Kyle Freeland, 182
28,2018,8.,Jakob Junis, 182
29,2018,10.,Tanner Roark, 181
30,2018,10.,Zack Greinke, 181
31,2017,1.,Clayton Richard, 240
32,2017,2.,Rick Porcello, 236
33,2017,3.,Martin Perez, 221
34,2017,4.,Jason Hammel, 209
35,2017,5.,Kevin Gausman, 208
36,2017,5.,Patrick Corbin, 208
37,2017,7.,Ricky Nolasco, 205
38,2017,8.,Zach Davies, 204
39,2017,8.,Jeff Samardzija, 204
40,2017,8.,Jordan Zimmermann, 204
41,2016,1.,David Price, 227
42,2016,2.,Adam Wainwright, 220
43,2016,3.,Hisashi Iwakuma, 218
44,2016,4.,Edinson Volquez, 217
45,2016,5.,Marcus Stroman, 209
46,2016,5.,Jered Weaver, 209
47,2016,7.,James Shields, 208
48,2016,8.,Collin McHugh, 206
49,2016,9.,Martin Perez, 205
50,2016,10.,Chad Bettis, 204
51,2015,1.,Jeff Samardzija, 228
52,2015,2.,Jose Quintana, 218
53,2015,3.,Bartolo Colon, 217
54,2015,4.,Mark Buehrle, 214
55,2015,5.,Colby Lewis, 211
56,2015,5.,John Lackey, 211
57,2015,7.,Collin McHugh, 207
58,2015,8.,Jordan Zimmermann, 204
59,2015,9.,Wade Miley, 201
60,2015,9.,Alfredo Simon, 201
61,2014,1.,David Price, 230
62,2014,2.,Mark Buehrle, 228
63,2014,3.,James Shields, 224
64,2014,4.,Nathan Eovaldi, 223
65,2014,4.,Justin Verlander, 223
66,2014,6.,Brandon McCarthy, 222
67,2014,7.,Phil Hughes, 221
68,2014,8.,Bartolo Colon, 218
69,2014,9.,Mike Leake, 217
70,2014,10.,Aaron Harang, 215
71,2014,10.,Jeremy Guthrie, 215
72,2013,1.,Jeremy Guthrie, 236
73,2013,2.,Joe Saunders, 232
74,2013,3.,Doug Fister, 229
75,2013,4.,CC Sabathia, 224
76,2013,5.,Mark Buehrle, 223
77,2013,5.,Adam Wainwright, 223
78,2013,7.,Eric Stults, 219
79,2013,8.,Kevin Correia, 218
80,2013,9.,James Shields, 215
81,2013,10.,Justin Verlander, 212
82,2012,1.,Clayton Richard, 228
83,2012,2.,Rick Porcello, 226
84,2012,3.,Jon Lester, 216
85,2012,3.,Henderson Alvarez III, 216
86,2012,3.,Ian Kennedy, 216
87,2012,6.,Bruce Chen, 215
88,2012,7.,Ricky Nolasco, 214
89,2012,8.,Justin Masterson, 212
90,2012,9.,Matt Harrison, 210
91,2012,10.,Bronson Arroyo, 209
92,2012,10.,Felix Hernandez, 209
93,2011,1.,Carl Pavano, 262
94,2011,2.,Ricky Nolasco, 244
95,2011,3.,Chris Carpenter, 243
96,2011,4.,CC Sabathia, 230
97,2011,5.,Bronson Arroyo, 227
98,2011,6.,Brett Myers, 226
99,2011,7.,Edwin Jackson, 225
100,2011,8.,Jeff Francis, 224
101,2011,9.,Brad Penny, 222
102,2011,10.,Mark Buehrle, 221
103,2010,1.,James Shields, 246
104,2010,1.,Mark Buehrle, 246
105,2010,3.,Dan Haren, 245
106,2010,4.,John Lackey, 233
107,2010,5.,Joe Saunders, 232
108,2010,6.,Roy Halladay, 231
109,2010,7.,Paul Maholm, 228
110,2010,8.,Carl Pavano, 227
111,2010,8.,Rodrigo Lopez, 227
112,2010,10.,Kevin Millwood, 223
113,2009,1.,Cliff Lee, 245
114,2009,2.,Nick Blackburn, 240
115,2009,3.,James Shields, 239
116,2009,4.,Carl Pavano, 235
117,2009,5.,Roy Halladay, 234
118,2009,6.,Derek Lowe, 232
119,2009,7.,Zach Duke, 231
120,2009,8.,Braden Looper, 226
121,2009,9.,Jon Garland, 225
122,2009,10.,Jeremy Guthrie, 224
123,2008,1.,Liván Hernández, 257
124,2008,2.,Mark Buehrle, 240
125,2008,3.,Jon Garland, 237
126,2008,4.,Aaron Cook, 236
127,2008,5.,Andy Pettitte, 233
128,2008,6.,Zach Duke, 230
129,2008,7.,Nick Blackburn, 224
130,2008,8.,CC Sabathia, 223
131,2008,9.,Kevin Millwood, 220
132,2008,9.,Roy Halladay, 220
133,2007,1.,Liván Hernández, 247
134,2007,2.,Jeff Suppan, 243
135,2007,3.,Dontrelle Willis, 241
136,2007,4.,Joe Blanton, 240
137,2007,4.,Matt Morris, 240
138,2007,6.,Paul Byrd, 239
139,2007,7.,Andy Pettitte, 238
140,2007,7.,CC Sabathia, 238
141,2007,9.,Jeff Francis, 234
142,2007,10.,Bronson Arroyo, 232
143,2007,10.,Roy Halladay, 232
144,2007,10.,José Contreras, 232
145,2006,1.,Zach Duke, 255
146,2006,2.,Jon Garland, 247
147,2006,2.,Mark Buehrle, 247
148,2006,2.,Jake Westbrook, 247
149,2006,5.,Liván Hernández, 246
150,2006,5.,Carlos Silva, 246
151,2006,7.,Aaron Harang, 242
152,2006,7.,Aaron Cook, 242
153,2006,9.,Joe Blanton, 241
154,2006,10.,Andy Pettitte, 238
155,2005,1.,Liván Hernández, 268
156,2005,2.,Roy Oswalt, 243
157,2005,3.,Mark Buehrle, 240
158,2005,4.,Greg Maddux, 239
159,2005,5.,Eric Milton, 237
160,2005,5.,Josh Towers, 237
161,2005,7.,Mike Maroth, 235
162,2005,8.,Zack Greinke, 233
163,2005,8.,Jason Johnson, 233
164,2005,10.,Rodrigo Lopez, 232
165,2004,1.,Sidney Ponson, 265
166,2004,2.,Mark Buehrle, 257
167,2004,3.,Carlos Silva, 255
168,2004,4.,Kenny Rogers, 248
169,2004,5.,Mike Maroth, 244
170,2004,6.,Jason Jennings, 241
171,2004,7.,Kyle Lohse, 240
172,2004,8.,Liván Hernández, 234
173,2004,8.,Darrell May, 234
174,2004,10.,Roy Oswalt, 233
175,2004,10.,Ryan Drese, 233
176,2003,1.,Roy Halladay, 253
177,2003,2.,Brett Tomko, 252
178,2003,3.,Mark Buehrle, 250
179,2003,4.,David Wells, 242
180,2003,4.,Brad Radke, 242
181,2003,6.,Nate Cornejo, 236
182,2003,7.,John Thomson, 234
183,2003,8.,Tomo Ohka, 233
184,2003,9.,Ben Sheets, 232
185,2003,10.,Mike Maroth, 231
186,2002,1.,Tanyon Sturtze, 271
187,2002,2.,Javier Vazquez, 243
188,2002,3.,Steve Sparks, 238
189,2002,4.,Tim Hudson, 237
190,2002,4.,Ben Sheets, 237
191,2002,6.,Mark Buehrle, 236
192,2002,7.,Liván Hernández, 233
193,2002,8.,Brian Lawrence, 230
194,2002,9.,Jeff Suppan, 229
195,2002,10.,Mike Hampton, 228
196,2002,10.,Ryan Dempster, 228
197,2001,1.,Liván Hernández, 266
198,2001,2.,Rick Helling, 256
199,2001,3.,Bobby Jones, 250
200,2001,4.,Steve Sparks, 244
201,2001,5.,Esteban Loaiza, 239
202,2001,6.,Curt Schilling, 237
203,2001,7.,Mike Hampton, 236
204,2001,8.,Brad Radke, 235
205,2001,8.,Jeff Weaver, 235
206,2001,10.,Jimmy Anderson, 232
207,2000,1.,David Wells, 266
208,2000,2.,Brad Radke, 261
209,2000,3.,Kenny Rogers, 257
210,2000,4.,Liván Hernández, 254
211,2000,5.,Jose Lima, 251
212,2000,6.,Jon Lieber, 248
213,2000,7.,Chris Holt, 247
214,2000,7.,Javier Vazquez, 247
215,2000,9.,Jeff Suppan, 240
216,2000,10.,Mike Mussina, 236
217,1999,1.,Tom Glavine, 259
218,1999,2.,Pedro Astacio, 258
219,1999,2.,Greg Maddux, 258
220,1999,4.,Jose Lima, 256
221,1999,5.,Shane Reynolds, 250
222,1999,6.,Scott Karl, 246
223,1999,6.,David Wells, 246
224,1999,8.,Scott Erickson, 244
225,1999,8.,Aaron Sele, 244
226,1999,10.,Brad Radke, 239
227,1998,1.,Scott Erickson, 284
228,1998,2.,Liván Hernández, 265
229,1998,3.,Shane Reynolds, 257
230,1998,3.,Darryl Kile, 257
231,1998,5.,Mike Sirotka, 255
232,1998,6.,Charles Nagy, 250
233,1998,7.,Tim Belcher, 247
234,1998,8.,Pedro Astacio, 245
235,1998,9.,Carlos Perez, 244
236,1998,9.,Kevin Tapani, 244
237,1997,1.,Jaime Navarro, 267
238,1997,2.,Charles Nagy, 253
239,1997,2.,Pat Hentgen, 253
240,1997,4.,Bobby Witt, 245
241,1997,5.,Tim Belcher, 242
242,1997,6.,John Burkett, 240
243,1997,7.,David Wells, 239
244,1997,8.,Brad Radke, 238
245,1997,9.,Jason Dickson, 236
246,1997,10.,John Smoltz, 234
247,1996,1.,Chris Haney, 267
248,1996,2.,Mike Mussina, 264
249,1996,3.,Scott Erickson, 262
250,1996,3.,Tim Belcher, 262
251,1996,5.,Ken Hill, 250
252,1996,6.,Tom Gordon, 249
253,1996,7.,Alex Fernandez, 248
254,1996,8.,David Wells, 247
255,1996,9.,Sterling Hitchcock, 245
256,1996,10.,Jaime Navarro, 244
257,1995,1.,Pat Hentgen, 236
258,1995,2.,Todd Stottlemyre, 228
259,1995,3.,Kevin Tapani, 227
260,1995,4.,Mark Gubicza, 222
261,1995,5.,Denny Neagle, 221
262,1995,6.,Ricky Bones, 218
263,1995,7.,Scott Erickson, 213
264,1995,8.,Paul Quantrill, 212
265,1995,8.,Mark Langston, 212
266,1995,10.,Jack McDowell, 211
267,1995,10.,Chris Bosio, 211
268,1994,1.,Kevin Brown, 218
269,1994,2.,Tim Belcher, 192
270,1994,3.,Bob Tewksbury, 190
271,1994,4.,Jack McDowell, 186
272,1994,5.,Danny Jackson, 183
273,1994,6.,Kevin Tapani, 181
274,1994,7.,Chuck Finley, 178
275,1994,8.,Jose Rijo, 177
276,1994,8.,Jimmy Key, 177
277,1994,10.,John Burkett, 176
278,1993,1.,Scott Erickson, 266
279,1993,2.,Jack McDowell, 261
280,1993,3.,Bob Tewksbury, 258
281,1993,4.,Jaime Navarro, 254
282,1993,5.,Chuck Finley, 243
283,1993,5.,Kevin Tapani, 243
284,1993,7.,Doug Drabek, 242
285,1993,8.,Greg Harris, 239
286,1993,9.,Tom Glavine, 236
287,1993,10.,Curt Schilling, 234
288,1992,1.,Kevin Brown, 262
289,1992,2.,Rick Sutcliffe, 251
290,1992,2.,Bill Wegman, 251
291,1992,4.,Jack McDowell, 247
292,1992,5.,Charles Nagy, 245
293,1992,6.,Andy Benes, 230
294,1992,7.,Mike Moore, 229
295,1992,7.,Jose Guzman, 229
296,1992,9.,Bill Gullickson, 228
297,1992,10.,Terry Mulholland, 227
298,1991,1.,Frank Viola, 259
299,1991,2.,Walt Terrell, 257
300,1991,3.,Bill Gullickson, 256
301,1991,4.,Dave Stewart, 245
302,1991,4.,Doug Drabek, 245
303,1991,6.,Greg Swindell, 241
304,1991,6.,Tom Browning, 241
305,1991,8.,Jaime Navarro, 237
306,1991,9.,Zane Smith, 234
307,1991,10.,Kevin Brown, 233
308,1990,1.,Jim Abbott, 246
309,1990,2.,Greg Swindell, 245
310,1990,3.,Greg Maddux, 242
311,1990,4.,Tom Browning, 235
312,1990,5.,Tom Glavine, 232
313,1990,6.,Jack Morris, 231
314,1990,7.,Dwight Gooden, 229
315,1990,8.,Frank Viola, 227
316,1990,9.,Dave Stewart, 226
317,1990,10.,Mike Boddicker, 225
318,1989,1.,Dave Stewart, 260
319,1989,2.,Mark Gubicza, 252
320,1989,2.,Mike Witt, 252
321,1989,4.,Frank Viola, 246
322,1989,5.,Doyle Alexander, 245
323,1989,6.,Rick Mahler, 242
324,1989,7.,Tom Browning, 241
325,1989,8.,Jeff Ballard, 240
326,1989,9.,Andy Hawkins, 238
327,1989,10.,Walt Terrell, 236
328,1988,1.,Rick Mahler, 279
329,1988,2.,Bret Saberhagen, 271
330,1988,3.,Mike Witt, 263
331,1988,4.,Doyle Alexander, 260
332,1988,5.,Charlie Leibrandt, 244
333,1988,6.,Rick Reuschel, 242
