,Year,Rank,Name,Stat
0,2020,1.,Logan Webb, 7
1,2020,1.,Ryan Yarbrough, 7
2,2020,1.,Zack Wheeler, 7
3,2020,4.,Lance Lynn, 6
4,2020,4.,Madison Bumgarner, 6
5,2020,4.,Kyle Gibson, 6
6,2020,7.,Steven Brault, 5
7,2020,7.,Ryan Castellani, 5
8,2020,7.,Jared Hughes, 5
9,2020,7.,Casey Mize, 5
10,2020,7.,Matthew Boyd, 5
11,2020,7.,Joe Jimenez, 5
12,2020,7.,Framber Valdez, 5
13,2020,7.,Johan Oviedo, 5
14,2020,7.,Nick Wittgren, 5
15,2020,7.,Matt Strahm, 5
16,2020,7.,Dylan Cease, 5
17,2020,7.,Touki Toussaint, 5
18,2020,7.,Lance McCullers Jr., 5
19,2019,1.,Trevor Bauer, 19
20,2019,2.,Spencer Turnbull, 16
21,2019,3.,Julio Teheran, 14
22,2019,4.,Chris Bassitt, 13
23,2019,4.,Chris Sale, 13
24,2019,4.,Tanner Roark, 13
25,2019,7.,Miles Mikolas, 12
26,2019,7.,Charlie Morton, 12
27,2019,9.,Yu Darvish, 11
28,2019,9.,Jake Diekman, 11
29,2019,9.,Aaron Nola, 11
30,2019,9.,Jakob Junis, 11
31,2019,9.,Aaron Sanchez, 11
32,2019,9.,Pablo Lopez, 11
33,2018,1.,Cole Hamels, 19
34,2018,2.,Charlie Morton, 16
35,2018,2.,Rick Porcello, 16
36,2018,4.,Jakob Junis, 15
37,2018,4.,Lucas Giolito, 15
38,2018,6.,Chris Sale, 14
39,2018,7.,Jose Berrios, 13
40,2018,8.,Jose Urena, 12
41,2018,8.,Max Scherzer, 12
42,2018,8.,Carlos Rodon, 12
43,2018,8.,Zack Godley, 12
44,2018,8.,Felix Hernandez, 12
45,2017,1.,Jhoulys Chacin, 14
46,2017,1.,Jose Urena, 14
47,2017,3.,Mike Fiers, 13
48,2017,3.,Charlie Morton, 13
49,2017,3.,Jose Berrios, 13
50,2017,6.,John Lackey, 12
51,2017,7.,Lance McCullers Jr., 11
52,2017,7.,Max Scherzer, 11
53,2017,7.,Dellin Betances, 11
54,2017,7.,Cole Hamels, 11
55,2016,1.,Jimmy Nelson, 17
56,2016,1.,Chris Sale, 17
57,2016,3.,Tanner Roark, 13
58,2016,3.,Rick Porcello, 13
59,2016,3.,Ian Kennedy, 13
60,2016,6.,Jon Gray, 12
61,2016,7.,Adam Conley, 11
62,2016,7.,Carlos Martinez, 11
63,2016,7.,Dan Straily, 11
64,2016,10.,Felix Hernandez, 10
65,2016,10.,Mike Montgomery, 10
66,2015,1.,Chris Sale, 13
67,2015,1.,Nick Martinez, 13
68,2015,1.,Chris Heston, 13
69,2015,1.,Jimmy Nelson, 13
70,2015,5.,Charlie Morton, 12
71,2015,5.,Mike Pelfrey, 12
72,2015,5.,Jered Weaver, 12
73,2015,5.,Jeff Samardzija, 12
74,2015,9.,Colby Lewis, 11
75,2015,9.,A.J. Burnett, 11
76,2015,9.,Drew Hutchison, 11
77,2015,9.,Corey Kluber, 11
78,2015,9.,R.A. Dickey, 11
79,2015,9.,Ubaldo Jimenez, 11
80,2014,1.,Charlie Morton, 19
81,2014,2.,A.J. Burnett, 16
82,2014,3.,Johnny Cueto, 15
83,2014,3.,Justin Masterson, 15
84,2014,5.,Bud Norris, 14
85,2014,5.,Edinson Volquez, 14
86,2014,5.,Jeremy Guthrie, 14
87,2014,5.,R.A. Dickey, 14
88,2014,9.,Mike Leake, 13
89,2014,10.,Scott Carroll, 12
90,2014,10.,Alfredo Simon, 12
91,2013,1.,Justin Masterson, 17
92,2013,2.,Charlie Morton, 16
93,2013,2.,Doug Fister, 16
94,2013,4.,Hector Santiago, 15
95,2013,5.,Ivan Nova, 14
96,2013,5.,Chris Sale, 14
97,2013,7.,Julio Teheran, 13
98,2013,7.,Roberto Hernandez, 13
99,2013,9.,Stephen Strasburg, 12
100,2013,9.,Ian Kennedy, 12
101,2012,1.,Ian Kennedy, 14
102,2012,1.,Gavin Floyd, 14
103,2012,3.,Justin Masterson, 13
104,2012,3.,Luke Hochevar, 13
105,2012,5.,Clay Buchholz, 12
106,2012,5.,Johnny Cueto, 12
107,2012,5.,Felix Hernandez, 12
108,2012,8.,Luis Mendoza, 11
109,2012,8.,Trevor Cahill, 11
110,2012,8.,James Shields, 11
111,2012,8.,Paul Maholm, 11
112,2011,1.,John Lackey, 19
113,2011,2.,Tim Hudson, 15
114,2011,2.,Alfredo Aceves, 15
115,2011,4.,Ricky Romero, 14
116,2011,4.,Roberto Hernandez, 14
117,2011,4.,Dillon Gee, 14
118,2011,7.,Randy Wolf, 13
119,2011,7.,Charlie Morton, 13
120,2011,9.,Brandon Morrow, 12
121,2011,9.,Doug Fister, 12
122,2010,1.,A.J. Burnett, 19
123,2010,2.,Jeremy Guthrie, 16
124,2010,3.,Tommy Hanson, 14
125,2010,4.,Chris Carpenter, 13
126,2010,5.,Ervin Santana, 12
127,2010,5.,Scott Kazmir, 12
128,2010,7.,Justin Masterson, 11
129,2010,8.,Ryan Dempster, 10
130,2010,8.,Ian Kennedy, 10
131,2010,8.,C.J. Wilson, 10
132,2010,8.,Chad Billingsley, 10
133,2010,8.,Jon Lester, 10
134,2010,8.,Francisco Liriano, 10
135,2010,8.,Jeremy Bonderman, 10
136,2009,1.,Dave Bush, 15
137,2009,2.,Johnny Cueto, 14
138,2009,3.,Joba Chamberlain, 12
139,2009,3.,Carlos Marmol, 12
140,2009,5.,Matt Garza, 11
141,2009,5.,Kevin Millwood, 11
142,2009,5.,Jeff Suppan, 11
143,2009,8.,Ervin Santana, 10
144,2009,8.,Ricky Romero, 10
145,2009,8.,Jamie Moyer, 10
146,2009,8.,Max Scherzer, 10
147,2009,8.,A.J. Burnett, 10
148,2009,8.,Tim Wakefield, 10
149,2009,8.,Ubaldo Jimenez, 10
150,2008,1.,Daniel Cabrera, 18
151,2008,2.,Vicente Padilla, 15
152,2008,3.,Edinson Volquez, 14
153,2008,3.,Justin Verlander, 14
154,2008,3.,Kyle Kendrick, 14
155,2008,3.,Johnny Cueto, 14
156,2008,7.,Tim Wakefield, 13
157,2008,7.,Mike Pelfrey, 13
158,2008,9.,James Shields, 12
159,2008,9.,Randy Wolf, 12
160,2008,9.,Roy Halladay, 12
161,2008,9.,Micah Owings, 12
162,2008,9.,Dana Eveland, 12
163,2008,9.,Brandon Webb, 12
164,2007,1.,Justin Verlander, 19
165,2007,2.,Byung-Hyun Kim, 16
166,2007,3.,Daniel Cabrera, 15
167,2007,3.,José Contreras, 15
168,2007,5.,Dontrelle Willis, 14
169,2007,5.,Carlos Zambrano, 14
170,2007,5.,Micah Owings, 14
171,2007,8.,Josh Fogg, 13
172,2007,8.,Jason Marquis, 13
173,2007,8.,Bronson Arroyo, 13
174,2007,8.,Brad Thompson, 13
175,2007,8.,Daisuke Matsuzaka, 13
176,2006,1.,Dontrelle Willis, 19
177,2006,2.,Ramon Ortiz, 18
178,2006,2.,Dave Bush, 18
179,2006,4.,Vicente Padilla, 17
180,2006,5.,Jason Marquis, 16
181,2006,6.,Javier Vazquez, 15
182,2006,7.,Matt Morris, 14
183,2006,8.,Tony Armas, 13
184,2006,8.,Jeff Francis, 13
185,2006,8.,Barry Zito, 13
186,2005,1.,Jeff Weaver, 18
187,2005,1.,Casey Fossum, 18
188,2005,3.,Matt Clement, 16
189,2005,4.,Victor Zambrano, 15
190,2005,4.,Jamey Wright, 15
191,2005,6.,Bronson Arroyo, 14
192,2005,6.,Shawn Chacon, 14
193,2005,6.,Byung-Hyun Kim, 14
194,2005,9.,Dave Bush, 13
195,2005,9.,Barry Zito, 13
196,2005,9.,Zack Greinke, 13
197,2005,9.,Liván Hernández, 13
198,2004,1.,Carlos Zambrano, 20
199,2004,1.,Bronson Arroyo, 20
200,2004,3.,Jerome Williams, 17
201,2004,4.,Pedro Martinez, 16
202,2004,4.,Victor Zambrano, 16
203,2004,4.,Tim Wakefield, 16
204,2004,7.,Jeff Weaver, 14
205,2004,8.,Chan Ho Park, 13
206,2004,8.,Sun-Woo Kim, 13
207,2004,10.,Ron Villone, 12
208,2004,10.,Tim Hudson, 12
209,2004,10.,Matt Clement, 12
210,2004,10.,Mark Mulder, 12
211,2003,1.,Kerry Wood, 21
212,2003,2.,Victor Zambrano, 20
213,2003,3.,Vicente Padilla, 16
214,2003,4.,Matt Clement, 14
215,2003,5.,Garrett Stephenson, 13
216,2003,5.,Brandon Webb, 13
217,2003,7.,Jake Westbrook, 12
218,2003,7.,Tim Wakefield, 12
219,2003,7.,Geremi Gonzalez, 12
220,2003,7.,Shawn Chacon, 12
221,2003,7.,Ramon Ortiz, 12
222,2003,7.,Aaron Sele, 12
223,2003,7.,Byung-Hyun Kim, 12
224,2003,7.,Rick Helling, 12
225,2002,1.,Chan Ho Park, 17
