,Year,Rank,Name,Stat
0,2020,1.,Shane Bieber, 281
1,2020,2.,Trevor Bauer, 276
2,2020,3.,Dallas Keuchel, 224
3,2020,4.,Yu Darvish, 221
4,2020,5.,Dinelson Lamet, 205
5,2020,6.,Chris Bassitt, 181
6,2020,7.,Jacob deGrom, 178
7,2020,8.,Zac Gallen, 167
8,2020,9.,Hyun Jin Ryu, 164
9,2020,10.,Kenta Maeda, 161
10,2019,1.,Gerrit Cole, 185
11,2019,2.,Justin Verlander, 179
12,2019,3.,Hyun Jin Ryu, 179
13,2019,4.,Mike Soroka, 173
14,2019,5.,Jacob deGrom, 169
15,2019,6.,Sonny Gray, 162
16,2019,7.,Zack Greinke, 155
17,2019,8.,Jack Flaherty, 154
18,2019,9.,Max Scherzer, 154
19,2019,10.,Charlie Morton, 146
20,2018,1.,Jacob deGrom, 218
21,2018,2.,Blake Snell, 217
22,2018,3.,Trevor Bauer, 196
23,2018,4.,Aaron Nola, 173
24,2018,5.,Max Scherzer, 168
25,2018,6.,Kyle Freeland, 166
26,2018,7.,Justin Verlander, 164
27,2018,8.,Corey Kluber, 150
28,2018,9.,Gerrit Cole, 144
29,2018,10.,Mike Clevinger, 143
30,2017,1.,Corey Kluber, 202
31,2017,2.,Clayton Kershaw, 179
32,2017,3.,Max Scherzer, 178
33,2017,4.,Stephen Strasburg, 178
34,2017,5.,Robbie Ray, 163
35,2017,6.,Chris Sale, 157
36,2017,7.,Luis Severino, 152
37,2017,8.,Gio Gonzalez, 152
38,2017,9.,Zack Greinke, 147
39,2017,10.,Marcus Stroman, 145
40,2016,1.,Kyle Hendricks, 196
41,2016,2.,Jon Lester, 171
42,2016,3.,Noah Syndergaard, 155
43,2016,4.,Tanner Roark, 151
44,2016,5.,Madison Bumgarner, 146
45,2016,6.,Max Scherzer, 144
46,2016,7.,Johnny Cueto, 144
47,2016,8.,Corey Kluber, 144
48,2016,9.,Aaron Sanchez, 142
49,2016,10.,Rick Porcello, 142
50,2015,1.,Zack Greinke, 222
51,2015,2.,Jake Arrieta, 215
52,2015,3.,Clayton Kershaw, 173
53,2015,4.,David Price, 164
54,2015,5.,Dallas Keuchel, 157
