,Year,Rank,Name,Stat
0,2020,1.,Shane Bieber, 2.50
1,2020,2.,Kenta Maeda, 2.43
2,2020,3.,Kyle Hendricks, 2.28
3,2020,4.,Yu Darvish, 2.20
4,2020,5.,Dallas Keuchel, 1.94
5,2020,6.,Trevor Bauer, 1.75
6,2020,7.,Dinelson Lamet, 1.72
7,2020,8.,Zach Plesac, 1.72
8,2020,9.,Tony Gonsolin, 1.62
9,2020,10.,Brandon Woodruff, 1.59
10,2019,1.,Justin Verlander, 5.34
11,2019,2.,Gerrit Cole, 5.15
12,2019,3.,Jacob deGrom, 4.99
13,2019,4.,Zack Greinke, 4.12
14,2019,5.,Jack Flaherty, 4.02
15,2019,6.,Charlie Morton, 3.70
16,2019,7.,Hyun Jin Ryu, 3.62
17,2019,8.,Stephen Strasburg, 3.40
18,2019,9.,Mike Soroka, 3.35
19,2019,10.,Mike Minor, 3.25
20,2018,1.,Max Scherzer, 4.95
21,2018,2.,Jacob deGrom, 4.84
22,2018,3.,Justin Verlander, 4.19
23,2018,4.,Aaron Nola, 4.02
24,2018,5.,Chris Sale, 3.94
25,2018,6.,Blake Snell, 3.89
26,2018,7.,Patrick Corbin, 3.80
27,2018,8.,Corey Kluber, 3.75
28,2018,9.,Gerrit Cole, 3.55
29,2018,10.,Trevor Bauer, 3.40
30,2017,1.,Corey Kluber, 5.43
31,2017,2.,Max Scherzer, 4.38
32,2017,3.,Chris Sale, 3.88
33,2017,4.,Clayton Kershaw, 3.74
34,2017,5.,Carlos Carrasco, 3.39
35,2017,6.,Zack Greinke, 3.32
36,2017,7.,Stephen Strasburg, 3.17
37,2017,8.,Luis Severino, 3.09
38,2017,9.,Craig Kimbrel, 2.80
39,2017,10.,Gio Gonzalez, 2.72
40,2016,1.,Clayton Kershaw, 4.98
41,2016,2.,Kyle Hendricks, 4.54
42,2016,3.,Max Scherzer, 4.08
43,2016,4.,Corey Kluber, 3.69
44,2016,5.,Johnny Cueto, 3.62
45,2016,6.,Jon Lester, 3.56
46,2016,7.,Rick Porcello, 3.21
47,2016,8.,Madison Bumgarner, 3.13
48,2016,9.,Jake Arrieta, 3.03
49,2016,10.,Chris Devenski, 3.03
50,2015,1.,Clayton Kershaw, 5.77
51,2015,2.,Jake Arrieta, 5.71
52,2015,3.,Zack Greinke, 5.62
53,2015,4.,Dallas Keuchel, 4.79
54,2015,5.,Max Scherzer, 3.76
55,2015,6.,Jacob deGrom, 3.74
56,2015,7.,David Price, 3.53
57,2015,8.,Madison Bumgarner, 3.51
58,2015,9.,Sonny Gray, 3.23
59,2015,10.,Corey Kluber, 3.23
60,2014,1.,Clayton Kershaw, 5.23
61,2014,2.,Felix Hernandez, 4.83
62,2014,3.,Adam Wainwright, 4.62
63,2014,4.,Johnny Cueto, 4.39
64,2014,5.,Chris Sale, 3.68
65,2014,6.,Corey Kluber, 3.33
66,2014,7.,Garrett Richards, 3.28
67,2014,8.,Carlos Carrasco, 2.87
68,2014,9.,Jon Lester, 2.75
69,2014,10.,Cole Hamels, 2.74
70,2013,1.,Clayton Kershaw, 5.45
71,2013,2.,Matt Harvey, 3.97
72,2013,3.,Max Scherzer, 3.97
73,2013,4.,Jose Fernandez, 3.75
74,2013,5.,Hisashi Iwakuma, 3.45
75,2013,6.,Madison Bumgarner, 2.99
76,2013,7.,Yu Darvish, 2.92
77,2013,8.,Koji Uehara, 2.85
78,2013,9.,Cliff Lee, 2.80
79,2013,10.,Anibal Sanchez, 2.68
80,2012,1.,Justin Verlander, 4.68
81,2012,2.,Kris Medlen, 4.05
82,2012,3.,Clayton Kershaw, 4.05
83,2012,4.,David Price, 3.52
84,2012,5.,Gio Gonzalez, 3.40
85,2012,6.,Felix Hernandez, 3.30
86,2012,7.,Jered Weaver, 3.15
87,2012,8.,Johnny Cueto, 2.88
88,2012,9.,Chris Sale, 2.77
89,2012,10.,Fernando Rodney, 2.68
90,2011,1.,Justin Verlander, 6.28
91,2011,2.,Clayton Kershaw, 4.55
