,Year,Rank,Name,Stat
0,2020,1.,Devin Williams, 1.85
1,2020,2.,Shane Bieber, 1.82
2,2020,3.,Kwang Hyun Kim, 1.41
3,2020,4.,Trevor Bauer, 1.29
4,2020,5.,Liam Hendriks, 1.26
5,2020,6.,Jeremy Jeffress, 1.24
6,2020,7.,Lance Lynn, 1.22
7,2020,8.,Yu Darvish, 1.19
8,2020,9.,Dallas Keuchel, 1.17
9,2020,10.,Alex Reyes, 1.16
10,2019,1.,Jack Flaherty, 3.83
11,2019,2.,Mike Clevinger, 3.39
12,2019,3.,Kyle Hendricks, 3.14
13,2019,4.,Charlie Morton, 2.89
14,2019,5.,Justin Verlander, 2.84
15,2019,6.,Shane Bieber, 2.83
16,2019,7.,Rowan Wick, 2.43
17,2019,8.,Hyun Jin Ryu, 2.33
18,2019,9.,Mike Soroka, 2.16
19,2019,9.,Stephen Strasburg, 2.16
20,2018,1.,Walker Buehler, 5.14
21,2018,2.,Kyle Freeland, 4.53
22,2018,3.,Jeremy Jeffress, 4.21
23,2018,4.,Aaron Nola, 4.14
24,2018,5.,Blake Treinen, 3.96
25,2018,6.,Josh Hader, 3.72
26,2018,7.,Justin Verlander, 3.25
27,2018,8.,Edwin Diaz, 3.24
28,2018,9.,Patrick Corbin, 3.18
29,2018,10.,Max Scherzer, 2.95
30,2017,1.,Wade Davis, 3.76
31,2017,2.,Corey Knebel, 3.35
32,2017,3.,Chris Sale, 3.12
33,2017,4.,Corey Kluber, 2.85
34,2017,5.,Craig Kimbrel, 2.85
35,2017,6.,Andrew Miller, 2.59
36,2017,7.,Luis Severino, 2.52
37,2017,8.,Clayton Kershaw, 2.48
38,2017,9.,Max Scherzer, 2.33
39,2017,10.,Kenley Jansen, 2.22
40,2016,1.,Zack Britton, 6.71
41,2016,2.,Johnny Cueto, 4.29
42,2016,3.,Roberto Osuna, 3.68
43,2016,4.,Clayton Kershaw, 3.01
44,2016,5.,Rick Porcello, 2.62
45,2016,6.,Sam Dyson, 2.62
46,2016,7.,Justin Verlander, 2.51
47,2016,8.,Andrew Miller, 2.51
48,2016,9.,Max Scherzer, 2.45
49,2016,10.,J.A. Happ, 2.39
50,2015,1.,Zack Greinke, 5.26
51,2015,2.,Clayton Kershaw, 4.33
52,2015,3.,Dellin Betances, 3.54
53,2015,4.,David Price, 3.44
54,2015,5.,Andrew Miller, 3.20
55,2015,6.,Dallas Keuchel, 3.14
56,2015,7.,Jeurys Familia, 3.00
57,2015,8.,Mark Melancon, 2.94
58,2015,9.,Shawn Tolleson, 2.86
59,2015,10.,Jacob deGrom, 2.73
60,2014,1.,Clayton Kershaw, 4.31
61,2014,2.,Adam Wainwright, 3.24
62,2014,3.,Wade Davis, 3.22
63,2014,4.,Kelvin Herrera, 3.18
64,2014,5.,Max Scherzer, 3.14
65,2014,6.,Felix Hernandez, 2.96
66,2014,7.,Dellin Betances, 2.84
67,2014,8.,Darren O'Day, 2.42
68,2014,9.,Zack Britton, 2.29
69,2014,10.,Pat Neshek, 2.20
70,2013,1.,Joe Nathan, 3.94
71,2013,2.,David Price, 3.82
72,2013,3.,Koji Uehara, 3.17
73,2013,4.,Joaquin Benoit, 3.08
74,2013,5.,Max Scherzer, 2.92
75,2013,6.,Clayton Kershaw, 2.61
76,2013,7.,Grant Balfour, 2.40
77,2013,8.,Patrick Corbin, 2.37
78,2013,9.,Brad Ziegler, 2.27
79,2013,10.,Jarrod Parker, 2.25
80,2012,1.,Jim Johnson, 5.19
81,2012,2.,Justin Verlander, 4.33
82,2012,3.,Darren O'Day, 4.00
83,2012,4.,Fernando Rodney, 3.95
84,2012,5.,Rafael Soriano, 3.22
85,2012,6.,Clayton Kershaw, 2.92
86,2012,7.,Ryan Cook, 2.88
87,2012,8.,Vinnie Pestano, 2.53
88,2012,9.,Craig Kimbrel, 2.48
89,2012,10.,Jered Weaver, 2.46
90,2011,1.,Justin Verlander, 4.16
91,2011,2.,Jonny Venters, 4.02
92,2011,3.,Jered Weaver, 3.81
93,2011,4.,Dan Haren, 3.30
94,2011,5.,Ian Kennedy, 3.18
95,2011,6.,James Shields, 3.17
96,2011,7.,Jose Valverde, 3.15
97,2011,8.,John Axford, 3.06
98,2011,9.,Eric O'Flaherty, 2.86
99,2011,10.,Alfredo Aceves, 2.75
100,2010,1.,Heath Bell, 5.60
101,2010,2.,Brian Wilson, 4.49
102,2010,3.,Matt Cain, 4.14
103,2010,4.,Roy Halladay, 4.00
104,2010,5.,Rafael Soriano, 3.63
105,2010,6.,Tim Hudson, 3.54
106,2010,7.,Roy Oswalt, 3.38
107,2010,8.,Mike Adams, 3.20
108,2010,9.,Tim Stauffer, 3.14
109,2010,10.,Tim Lincecum, 2.98
110,2009,1.,Joe Nathan, 6.84
111,2009,2.,Justin Verlander, 5.15
112,2009,3.,Jonathan Papelbon, 4.80
113,2009,4.,Chris Carpenter, 4.22
114,2009,5.,Tim Lincecum, 3.68
115,2009,6.,Adam Wainwright, 3.18
116,2009,7.,Scott Feldman, 3.16
117,2009,8.,Mariano Rivera, 2.83
118,2009,9.,Jon Lester, 2.78
119,2009,10.,Rick Porcello, 2.58
120,2008,1.,John Danks, 8.69
121,2008,2.,CC Sabathia, 6.37
122,2008,3.,Johan Santana, 5.76
123,2008,4.,Brad Lidge, 4.70
124,2008,5.,Joe Nathan, 3.97
125,2008,6.,Scott Baker, 3.85
126,2008,7.,Bobby Jenks, 3.51
127,2008,8.,Brandon Webb, 3.21
128,2008,9.,Daisuke Matsuzaka, 2.72
129,2008,10.,Mark Buehrle, 2.57
130,2007,1.,Heath Bell, 8.48
131,2007,2.,Matt Herges, 7.20
132,2007,3.,Rafael Betancourt, 4.55
133,2007,4.,Manny Corpas, 4.07
134,2007,5.,Brandon Webb, 4.04
135,2007,6.,J.J. Putz, 4.01
136,2007,7.,Roberto Hernandez, 3.48
137,2007,8.,Takashi Saito, 3.47
138,2007,9.,Cole Hamels, 3.37
139,2007,10.,Doug Brocail, 3.12
140,2006,1.,Cla Meredith, 5.34
141,2006,2.,Jonathan Papelbon, 4.33
142,2006,3.,Takashi Saito, 4.07
143,2006,4.,Derek Lowe, 4.07
144,2006,5.,Trevor Hoffman, 3.38
145,2006,6.,Johan Santana, 3.12
146,2006,7.,Chris Carpenter, 2.99
147,2006,8.,Mariano Rivera, 2.95
148,2006,9.,Greg Maddux, 2.87
149,2006,10.,Francisco Rodriguez, 2.84
150,2005,1.,Andy Pettitte, 4.83
151,2005,2.,Dontrelle Willis, 4.75
152,2005,3.,Mariano Rivera, 4.11
153,2005,4.,Roger Clemens, 3.94
154,2005,5.,Huston Street, 3.88
155,2005,6.,Brad Lidge, 3.84
156,2005,7.,Jake Peavy, 3.49
157,2005,8.,Shawn Chacon, 3.47
158,2005,9.,John Patterson, 3.24
159,2005,10.,Francisco Rodriguez, 3.14
160,2004,1.,Eric Gagne, 5.44
161,2004,2.,Brad Lidge, 4.37
162,2004,3.,Joe Nathan, 4.36
163,2004,4.,Francisco Rodriguez, 4.15
164,2004,5.,Curt Schilling, 3.78
165,2004,6.,John Smoltz, 3.77
166,2004,7.,Francisco Cordero, 3.77
167,2004,8.,Armando Benitez, 3.67
168,2004,9.,Johan Santana, 3.45
169,2004,10.,Pedro Martinez, 3.38
170,2003,1.,Pedro Martinez, 5.45
171,2003,2.,Mark Prior, 5.43
172,2003,3.,Keith Foulke, 5.08
173,2003,4.,Kerry Wood, 4.88
174,2003,5.,LaTroy Hawkins, 4.70
175,2003,6.,Rheal Cormier, 4.39
176,2003,7.,Tim Hudson, 4.21
177,2003,8.,Joe Borowski, 4.20
178,2003,9.,Billy Wagner, 4.08
179,2003,10.,Ugueth Urbina, 3.68
180,2002,1.,Eric Gagne, 5.60
181,2002,2.,Troy Percival, 3.73
182,2002,3.,Pedro Martinez, 3.66
183,2002,4.,Billy Koch, 3.44
184,2002,5.,Derek Lowe, 3.23
185,2002,6.,Curt Schilling, 3.08
186,2002,7.,Roy Oswalt, 2.85
187,2002,8.,Jarrod Washburn, 2.71
188,2002,9.,Robb Nen, 2.69
189,2002,10.,Barry Zito, 2.58
190,2001,1.,Randy Johnson, 6.19
191,2001,2.,Curt Schilling, 5.97
192,2001,3.,Byung-Hyun Kim, 4.05
193,2001,4.,Felix Rodriguez, 3.83
194,2001,5.,Tom Glavine, 3.75
195,2001,6.,Jose Mesa, 3.34
196,2001,7.,Greg Maddux, 3.04
197,2001,8.,Eddie Guardado, 2.94
198,2001,9.,Billy Wagner, 2.94
199,2001,10.,Pedro Martinez, 2.70
200,2000,1.,Pedro Martinez, 7.31
201,2000,2.,Randy Johnson, 4.65
202,2000,3.,Bartolo Colon, 4.30
203,2000,4.,Derek Lowe, 3.61
204,2000,5.,Billy Koch, 3.33
205,2000,6.,Kazuhiro Sasaki, 3.31
206,2000,7.,Keith Foulke, 3.17
207,2000,8.,Kevin Brown, 3.07
208,2000,9.,Chuck Finley, 2.80
209,2000,10.,Danny Graves, 2.57
210,1999,1.,Billy Wagner, 5.73
211,1999,2.,Pedro Martinez, 5.57
212,1999,3.,Mike Hampton, 4.91
213,1999,4.,Al Leiter, 4.43
214,1999,5.,Derek Lowe, 3.79
215,1999,6.,Randy Johnson, 3.50
216,1999,7.,Armando Benitez, 3.26
217,1999,8.,Turk Wendell, 3.20
218,1999,9.,Jeff Zimmerman, 3.10
219,1999,10.,Jose Lima, 3.00
220,1998,1.,Al Leiter, 3.89
221,1998,2.,Steve Trachsel, 3.75
222,1998,3.,Pedro Martinez, 3.72
223,1998,4.,Tom Gordon, 3.61
224,1998,5.,Turk Wendell, 3.12
225,1998,6.,John Wetteland, 2.56
226,1998,7.,Andy Ashby, 2.53
227,1998,8.,Trevor Hoffman, 2.52
228,1998,9.,Greg Maddux, 2.48
229,1998,10.,Pep Harris, 1.95
230,1997,1.,Randy Johnson, 4.71
231,1997,2.,Scott Radinsky, 3.42
232,1997,3.,Ismael Valdez, 3.39
233,1997,4.,Darryl Kile, 3.34
234,1997,5.,Kirk Rueter, 3.19
235,1997,6.,Pedro Martinez, 3.04
236,1997,7.,Kevin Brown, 2.89
237,1997,8.,Greg Maddux, 2.78
238,1997,9.,Roger Clemens, 2.66
239,1997,10.,David Cone, 2.59
240,1996,1.,Trevor Hoffman, 6.49
241,1996,2.,Mel Rojas, 6.11
242,1996,3.,Alex Fernandez, 5.33
243,1996,4.,Roberto Hernandez, 4.46
244,1996,5.,Pedro Astacio, 3.76
245,1996,6.,Mariano Rivera, 3.63
246,1996,7.,Ken Hill, 3.33
247,1996,8.,Wilson Alvarez, 2.88
248,1996,9.,Troy Percival, 2.82
249,1996,10.,John Wetteland, 2.78
250,1995,1.,Randy Johnson, 11.80
251,1995,2.,Greg Maddux, 3.94
252,1995,3.,David Cone, 3.74
253,1995,4.,Todd Worrell, 3.59
