,Year,Rank,Name,Stat
0,2020,1.,Shane Bieber, 3.05
1,2020,2.,Yu Darvish, 2.50
2,2020,3.,Dallas Keuchel, 2.18
3,2020,4.,Trevor Bauer, 2.13
4,2020,5.,Kyle Hendricks, 2.09
5,2020,6.,Corbin Burnes, 1.95
6,2020,7.,Kenta Maeda, 1.87
7,2020,8.,Zach Plesac, 1.80
8,2020,9.,Dinelson Lamet, 1.69
9,2020,10.,Max Fried, 1.65
10,2019,1.,Justin Verlander, 6.13
11,2019,2.,Gerrit Cole, 5.74
12,2019,3.,Jacob deGrom, 4.86
13,2019,4.,Hyun Jin Ryu, 4.60
14,2019,5.,Jack Flaherty, 4.27
15,2019,6.,Zack Greinke, 4.03
16,2019,7.,Mike Soroka, 3.88
17,2019,8.,Max Scherzer, 3.78
18,2019,9.,Shane Bieber, 3.76
19,2019,10.,Charlie Morton, 3.67
20,2018,1.,Jacob deGrom, 6.55
21,2018,2.,Blake Snell, 5.39
22,2018,3.,Aaron Nola, 5.06
23,2018,4.,Justin Verlander, 4.89
24,2018,5.,Max Scherzer, 4.85
25,2018,6.,Chris Sale, 4.54
26,2018,7.,Trevor Bauer, 4.25
27,2018,8.,Kyle Freeland, 4.18
28,2018,9.,Gerrit Cole, 3.91
29,2018,10.,Mike Clevinger, 3.77
30,2017,1.,Corey Kluber, 5.83
31,2017,2.,Max Scherzer, 4.91
32,2017,3.,Clayton Kershaw, 4.25
33,2017,4.,Chris Sale, 3.92
34,2017,5.,Stephen Strasburg, 3.74
35,2017,6.,Gio Gonzalez, 3.73
36,2017,7.,Carlos Carrasco, 3.59
37,2017,8.,Justin Verlander, 3.34
38,2017,9.,Luis Severino, 3.30
39,2017,10.,Alex Wood, 3.01
40,2016,1.,Clayton Kershaw, 4.92
41,2016,2.,Kyle Hendricks, 4.70
42,2016,3.,Jon Lester, 4.55
43,2016,4.,Justin Verlander, 3.94
44,2016,5.,Max Scherzer, 3.88
45,2016,6.,Johnny Cueto, 3.79
46,2016,7.,Aaron Sanchez, 3.33
47,2016,8.,Tanner Roark, 3.30
48,2016,9.,Corey Kluber, 3.25
49,2016,10.,Chris Devenski, 3.24
50,2015,1.,Zack Greinke, 6.87
51,2015,2.,Jake Arrieta, 6.24
52,2015,3.,Clayton Kershaw, 5.56
53,2015,4.,Dallas Keuchel, 4.46
54,2015,5.,David Price, 3.96
55,2015,6.,Max Scherzer, 3.81
56,2015,7.,Jacob deGrom, 3.26
57,2015,8.,John Lackey, 3.25
58,2015,9.,Sonny Gray, 3.24
59,2015,10.,Madison Bumgarner, 3.02
60,2014,1.,Clayton Kershaw, 5.63
61,2014,2.,Felix Hernandez, 4.62
62,2014,3.,Adam Wainwright, 4.47
63,2014,4.,Johnny Cueto, 4.28
64,2014,5.,Corey Kluber, 4.00
65,2014,6.,Chris Sale, 3.77
66,2014,7.,Cole Hamels, 3.32
67,2014,8.,Dellin Betances, 3.29
68,2014,9.,Jon Lester, 3.09
69,2014,10.,Jake Arrieta, 2.82
70,2013,1.,Clayton Kershaw, 5.74
71,2013,2.,Hisashi Iwakuma, 3.87
72,2013,3.,Yu Darvish, 3.75
73,2013,4.,Jose Fernandez, 3.72
74,2013,5.,Matt Harvey, 3.47
75,2013,6.,Clay Buchholz, 3.47
76,2013,7.,Max Scherzer, 3.39
77,2013,8.,Anibal Sanchez, 3.26
78,2013,9.,Bartolo Colon, 3.23
79,2013,10.,James Shields, 3.19
80,2012,1.,David Price, 4.40
81,2012,2.,Clayton Kershaw, 4.39
82,2012,3.,Justin Verlander, 4.20
83,2012,4.,Kris Medlen, 3.92
84,2012,5.,Chris Sale, 3.51
85,2012,6.,Johnny Cueto, 3.44
86,2012,7.,R.A. Dickey, 3.29
87,2012,8.,Fernando Rodney, 3.25
88,2012,9.,Jered Weaver, 2.98
