,Year,Rank,Name,Stat
0,2020,1.,José Abreu, 430
1,2020,2.,Freddie Freeman, 427
2,2020,3.,Anthony Rizzo, 418
3,2020,4.,Carlos Santana, 413
4,2020,5.,Yuli Gurriel, 412
5,2020,6.,Wilson Ramos, 396
6,2020,7.,Matt Olson, 393
7,2020,8.,Paul Goldschmidt, 383
8,2020,9.,Jacob Stallings, 379
9,2020,10.,Martin Maldonado, 375
10,2019,1.,Freddie Freeman, 1296
11,2019,2.,Yasmani Grandal, 1283
12,2019,3.,Paul Goldschmidt, 1256
13,2019,4.,Rhys Hoskins, 1193
14,2019,5.,Anthony Rizzo, 1140
15,2019,6.,Eric Hosmer, 1128
16,2019,7.,J.T. Realmuto, 1115
17,2019,8.,Roberto Perez, 1082
18,2019,9.,Robinson Chirinos, 1078
19,2019,9.,Pete Alonso, 1078
20,2018,1.,Matt Olson, 1403
21,2018,2.,Paul Goldschmidt, 1323
22,2018,3.,Freddie Freeman, 1268
23,2018,4.,Eric Hosmer, 1231
24,2018,5.,Carlos Santana, 1176
25,2018,6.,Ian Desmond, 1140
26,2018,7.,Anthony Rizzo, 1133
27,2018,8.,Yasmani Grandal, 1123
28,2018,9.,Joey Votto, 1047
29,2018,10.,Justin Smoak, 1036
30,2017,1.,Wil Myers, 1295
31,2017,2.,Paul Goldschmidt, 1254
32,2017,3.,Justin Smoak, 1244
33,2017,4.,Eric Hosmer, 1235
34,2017,5.,Joey Votto, 1227
35,2017,6.,Anthony Rizzo, 1222
36,2017,7.,Mark Reynolds, 1218
37,2017,8.,Josh Bell, 1139
38,2017,9.,José Abreu, 1135
39,2017,10.,Yasmani Grandal, 1089
40,2016,1.,Paul Goldschmidt, 1378
41,2016,2.,Chris Davis, 1330
42,2016,3.,Chris Carter, 1316
43,2016,4.,Freddie Freeman, 1305
44,2016,5.,Brandon Belt, 1285
45,2016,6.,Anthony Rizzo, 1268
46,2016,7.,Wil Myers, 1261
47,2016,8.,José Abreu, 1243
48,2016,9.,Eric Hosmer, 1240
49,2016,10.,Miguel Cabrera, 1188
50,2015,1.,Paul Goldschmidt, 1378
51,2015,2.,Anthony Rizzo, 1330
52,2015,3.,Adrian Gonzalez, 1267
53,2015,4.,Eric Hosmer, 1261
54,2015,5.,Joey Votto, 1212
55,2015,6.,Joe Mauer, 1151
56,2015,7.,Buster Posey, 1105
57,2015,8.,Adam Lind, 1098
58,2015,9.,Derek Norris, 1078
59,2015,10.,Brandon Belt, 1076
60,2014,1.,Adrian Gonzalez, 1318
61,2014,2.,Freddie Freeman, 1271
62,2014,3.,Ryan Howard, 1224
63,2014,4.,Anthony Rizzo, 1184
64,2014,5.,Justin Morneau, 1170
65,2014,6.,Jonathan Lucroy, 1126
66,2014,7.,Matt Adams, 1115
67,2014,8.,James Loney, 1111
68,2014,9.,Lucas Duda, 1109
69,2014,10.,Adam LaRoche, 1100
70,2013,1.,Paul Goldschmidt, 1494
71,2013,2.,Chris Davis, 1339
72,2013,3.,Adrian Gonzalez, 1294
73,2013,4.,Anthony Rizzo, 1287
74,2013,5.,Joey Votto, 1245
75,2013,6.,Freddie Freeman, 1228
76,2013,7.,Justin Morneau, 1222
77,2013,8.,Eric Hosmer, 1205
78,2013,9.,James Loney, 1203
79,2013,10.,Adam LaRoche, 1164
80,2012,1.,Freddie Freeman, 1295
81,2012,2.,Yonder Alonso, 1269
82,2012,3.,Adrian Gonzalez, 1264
83,2012,4.,Adam LaRoche, 1260
84,2012,5.,Prince Fielder, 1256
85,2012,6.,Paul Goldschmidt, 1234
86,2012,7.,Carlos Lee, 1219
87,2012,8.,Eric Hosmer, 1184
88,2012,9.,Carlos Pena, 1182
89,2012,10.,Ike Davis, 1156
90,2011,1.,Joey Votto, 1341
91,2011,2.,Prince Fielder, 1332
92,2011,3.,Freddie Freeman, 1317
93,2011,4.,Mark Trumbo, 1284
94,2011,5.,Ryan Howard, 1282
95,2011,6.,Miguel Cabrera, 1263
96,2011,7.,Gaby Sanchez, 1262
97,2011,8.,Albert Pujols, 1256
98,2011,9.,Mark Teixeira, 1229
99,2011,10.,Adrian Gonzalez, 1222
100,2010,1.,Albert Pujols, 1458
101,2010,2.,Daric Barton, 1404
102,2010,3.,Adrian Gonzalez, 1324
103,2010,4.,Lyle Overbay, 1310
104,2010,5.,James Loney, 1286
105,2010,6.,Ryan Howard, 1266
106,2010,7.,Prince Fielder, 1251
107,2010,8.,Ike Davis, 1239
108,2010,9.,Mark Teixeira, 1227
109,2010,10.,Miguel Cabrera, 1218
110,2009,1.,Albert Pujols, 1473
111,2009,2.,Prince Fielder, 1387
112,2009,3.,Todd Helton, 1349
113,2009,4.,Adam LaRoche, 1325
114,2009,5.,Ryan Howard, 1300
115,2009,6.,Kendrys Morales, 1274
116,2009,7.,James Loney, 1269
117,2009,8.,Adrian Gonzalez, 1224
118,2009,9.,Mark Teixeira, 1222
119,2009,10.,Miguel Cabrera, 1215
120,2008,1.,Ryan Howard, 1408
121,2008,2.,Mark Teixeira, 1394
122,2008,3.,Prince Fielder, 1369
123,2008,4.,James Loney, 1364
124,2008,5.,Lyle Overbay, 1316
125,2008,5.,Justin Morneau, 1316
126,2008,7.,Adrian Gonzalez, 1306
127,2008,8.,Albert Pujols, 1298
128,2008,9.,Lance Berkman, 1240
129,2008,10.,Carlos Delgado, 1237
130,2007,1.,Adrian Gonzalez, 1470
131,2007,2.,Todd Helton, 1448
132,2007,3.,Albert Pujols, 1325
133,2007,4.,Adam LaRoche, 1296
134,2007,5.,Ryan Howard, 1191
135,2007,6.,Justin Morneau, 1189
136,2007,7.,Paul Konerko, 1180
137,2007,8.,Derrek Lee, 1165
138,2007,9.,Prince Fielder, 1163
139,2007,10.,Carlos Delgado, 1133
140,2006,1.,Mark Teixeira, 1480
141,2006,2.,Ryan Howard, 1373
142,2006,3.,Todd Helton, 1367
143,2006,4.,Lyle Overbay, 1357
144,2006,5.,Albert Pujols, 1348
145,2006,6.,Justin Morneau, 1297
146,2006,7.,Prince Fielder, 1259
147,2006,8.,Adrian Gonzalez, 1242
148,2006,9.,Richie Sexson, 1235
149,2006,10.,Carlos Delgado, 1199
150,2005,1.,Albert Pujols, 1597
151,2005,2.,Mark Teixeira, 1377
152,2005,3.,Derrek Lee, 1322
153,2005,4.,Paul Konerko, 1321
154,2005,5.,Todd Helton, 1237
155,2005,6.,Darin Erstad, 1218
156,2005,7.,Justin Morneau, 1191
157,2005,8.,Sean Casey, 1153
158,2005,9.,Richie Sexson, 1148
159,2005,10.,Carlos Delgado, 1147
160,2004,1.,Albert Pujols, 1458
161,2004,2.,Todd Helton, 1356
162,2004,3.,Lyle Overbay, 1311
163,2004,4.,Scott Hatteberg, 1281
164,2004,5.,Derrek Lee, 1259
165,2004,6.,Sean Casey, 1233
166,2004,7.,Mark Teixeira, 1218
167,2004,8.,Jeff Bagwell, 1190
168,2004,9.,Paul Konerko, 1150
169,2004,10.,Carlos Pena, 1142
170,2003,1.,Todd Helton, 1418
171,2003,2.,Jim Thome, 1372
172,2003,3.,Richie Sexson, 1363
173,2003,4.,Carlos Delgado, 1355
174,2003,5.,Jeff Bagwell, 1290
175,2003,6.,Derrek Lee, 1279
176,2003,7.,Sean Casey, 1257
177,2003,8.,Travis Lee, 1223
178,2003,9.,Paul Lo Duca, 1182
179,2003,10.,Scott Hatteberg, 1177
180,2002,1.,Todd Helton, 1357
181,2002,2.,Derrek Lee, 1312
182,2002,3.,Kevin Young, 1277
183,2002,4.,Travis Lee, 1262
184,2002,5.,Jeff Bagwell, 1254
185,2002,6.,Carlos Delgado, 1232
186,2002,7.,Richie Sexson, 1224
187,2002,8.,Tino Martinez, 1220
188,2002,9.,Eric Karros, 1175
189,2002,10.,John Olerud, 1169
190,2001,1.,Carlos Delgado, 1518
191,2001,2.,Richie Sexson, 1356
192,2001,3.,Travis Lee, 1332
193,2001,4.,Todd Helton, 1302
194,2001,5.,Jeff Bagwell, 1291
195,2001,6.,Lee Stevens, 1287
196,2001,7.,Paul Konerko, 1276
197,2001,8.,Derrek Lee, 1271
198,2001,9.,Doug Mientkiewicz, 1263
199,2001,10.,Jason Giambi, 1224
200,2000,1.,Carlos Delgado, 1416
201,2000,2.,Todd Helton, 1326
202,2000,3.,Fred McGriff, 1300
203,2000,4.,Eric Karros, 1296
204,2000,5.,John Olerud, 1271
205,2000,6.,Jeff Bagwell, 1264
206,2000,7.,Mo Vaughn, 1257
207,2000,8.,Todd Zeile, 1205
208,2000,9.,J.T. Snow, 1197
209,2000,10.,Jason Giambi, 1161
210,1999,1.,Kevin Young, 1413
211,1999,2.,John Olerud, 1344
212,1999,3.,Jeff Bagwell, 1336
213,1999,4.,Mark Grace, 1335
214,1999,5.,Carlos Delgado, 1306
215,1999,6.,Tino Martinez, 1297
216,1999,7.,Eric Karros, 1291
217,1999,8.,Jason Giambi, 1251
218,1999,9.,Todd Helton, 1243
219,1999,10.,Rico Brogna, 1240
220,1998,1.,Rafael Palmeiro, 1435
221,1998,2.,Kevin Young, 1334
222,1998,3.,Mark McGwire, 1326
223,1998,4.,Mark Grace, 1279
224,1998,5.,Travis Lee, 1269
225,1998,6.,Tony Clark, 1265
226,1998,7.,John Olerud, 1258
227,1998,8.,Jason Giambi, 1255
228,1998,9.,Jeff Bagwell, 1239
