,Year,Rank,Name,Stat
0,2020,1.,Wilson Ramos, 396
1,2020,2.,Jacob Stallings, 379
2,2020,3.,Martin Maldonado, 375
3,2020,4.,Christian Vazquez, 370
4,2020,5.,Austin Nola, 352
5,2020,6.,Gary Sanchez, 347
6,2020,7.,Tucker Barnhart, 341
7,2020,8.,Sean Murphy, 334
8,2020,9.,Omar Narvaez, 333
9,2020,10.,Danny Jansen, 332
10,2019,1.,Yasmani Grandal, 1169
11,2019,2.,J.T. Realmuto, 1098
12,2019,3.,Roberto Perez, 1082
13,2019,4.,Robinson Chirinos, 1078
14,2019,5.,Wilson Ramos, 1051
15,2019,6.,Christian Vazquez, 994
16,2019,7.,Jorge Alfaro, 930
17,2019,8.,Yadier Molina, 916
18,2019,9.,James McCann, 884
19,2019,10.,Austin Hedges, 858
20,2018,1.,Yasmani Grandal, 1114
21,2018,2.,Martin Maldonado, 1021
22,2018,3.,Willson Contreras, 1013
23,2018,4.,Yan Gomes, 994
24,2018,5.,Yadier Molina, 966
25,2018,6.,Jorge Alfaro, 888
26,2018,7.,Mike Zunino, 880
27,2018,8.,Tucker Barnhart, 871
28,2018,9.,Jonathan Lucroy, 857
29,2018,10.,James McCann, 847
30,2017,1.,Yasmani Grandal, 1089
31,2017,2.,Yadier Molina, 1082
32,2017,3.,Martin Maldonado, 1046
33,2017,4.,Matt Wieters, 1023
34,2017,5.,Yan Gomes, 938
35,2017,6.,Gary Sanchez, 935
36,2017,7.,J.T. Realmuto, 929
37,2017,8.,Austin Hedges, 921
38,2017,9.,Brian McCann, 905
39,2017,10.,Mike Zunino, 894
40,2016,1.,Yadier Molina, 1113
41,2016,2.,Wilson Ramos, 1094
42,2016,3.,J.T. Realmuto, 1069
43,2016,4.,Yasmani Grandal, 1022
44,2016,5.,Buster Posey, 1003
45,2016,6.,Russell Martin, 989
46,2016,6.,Salvador Perez, 989
47,2016,8.,Jonathan Lucroy, 918
48,2016,9.,Derek Norris, 875
49,2016,10.,Matt Wieters, 871
50,2015,1.,Yadier Molina, 1064
51,2015,2.,Wilson Ramos, 1026
52,2015,3.,Francisco Cervelli, 992
53,2015,4.,Brian McCann, 980
54,2015,5.,Salvador Perez, 974
55,2015,6.,Derek Norris, 970
56,2015,7.,Tyler Flowers, 877
57,2015,8.,J.T. Realmuto, 836
58,2015,9.,Kurt Suzuki, 825
59,2015,10.,Miguel Montero, 820
60,2014,1.,Yan Gomes, 1052
61,2014,2.,Salvador Perez, 1037
62,2014,2.,Miguel Montero, 1037
63,2014,4.,Jonathan Lucroy, 1013
64,2014,5.,Mike Zunino, 1010
65,2014,6.,Alex Avila, 883
66,2014,7.,Tyler Flowers, 863
67,2014,8.,Brian McCann, 859
68,2014,9.,Carlos Ruiz, 852
69,2014,10.,Devin Mesoraco, 832
70,2013,1.,Matt Wieters, 1021
71,2013,2.,Yadier Molina, 976
72,2013,3.,Salvador Perez, 930
73,2013,4.,Jarrod Saltalamacchia, 908
74,2013,5.,Buster Posey, 907
75,2013,6.,A.J. Pierzynski, 892
76,2013,7.,J.P. Arencibia, 891
77,2013,8.,Russell Martin, 885
78,2013,9.,Jonathan Lucroy, 857
79,2013,10.,A.J. Ellis, 855
80,2012,1.,Miguel Montero, 1008
81,2012,2.,A.J. Ellis, 1007
82,2012,3.,Matt Wieters, 994
83,2012,4.,Yadier Molina, 962
84,2012,5.,Russell Martin, 924
85,2012,6.,A.J. Pierzynski, 899
86,2012,7.,Alex Avila, 897
87,2012,8.,Carlos Ruiz, 856
88,2012,9.,Buster Posey, 855
89,2012,10.,Brian McCann, 845
90,2011,1.,John Buck, 1008
91,2011,2.,Brian McCann, 978
92,2011,3.,Jonathan Lucroy, 976
93,2011,4.,Carlos Ruiz, 950
94,2011,5.,Alex Avila, 940
95,2011,6.,Kurt Suzuki, 914
96,2011,7.,Miguel Montero, 908
97,2011,8.,Geovany Soto, 899
98,2011,9.,Russell Martin, 866
99,2011,10.,Yadier Molina, 857
100,2010,1.,Brian McCann, 972
101,2010,2.,Yadier Molina, 895
102,2010,3.,A.J. Pierzynski, 865
103,2010,4.,Kurt Suzuki, 825
104,2010,5.,Miguel Olivo, 821
105,2010,6.,Carlos Ruiz, 814
106,2010,7.,Victor Martinez, 778
107,2010,8.,Matt Wieters, 775
108,2010,9.,Geovany Soto, 762
109,2010,10.,Bengie Molina, 751
110,2009,1.,Russell Martin, 1039
111,2009,2.,Bengie Molina, 942
112,2009,3.,Brian McCann, 924
113,2009,4.,Kurt Suzuki, 923
114,2009,5.,Yadier Molina, 884
115,2009,6.,Jason Kendall, 882
116,2009,7.,A.J. Pierzynski, 879
117,2009,8.,Jason Varitek, 856
118,2009,9.,Gerald Laird, 844
119,2009,10.,Rod Barajas, 806
120,2008,1.,Russell Martin, 1042
121,2008,2.,Jason Kendall, 1025
122,2008,3.,Geovany Soto, 1011
