,Year,Rank,Name,Stat
0,2020,1.,Will Smith, 3
1,2020,1.,Christian Vazquez, 3
2,2020,1.,Wilson Ramos, 3
3,2020,1.,John Ryan Murphy, 3
4,2020,1.,J.T. Realmuto, 3
5,2020,1.,Austin Nola, 3
6,2020,7.,Kurt Suzuki, 2
7,2020,7.,Jacob Stallings, 2
8,2020,7.,Manny Pina, 2
9,2020,7.,Mitch Garver, 2
10,2020,7.,Michael Perez, 2
11,2020,7.,Danny Jansen, 2
12,2020,7.,Mike Zunino, 2
13,2020,7.,Yasmani Grandal, 2
14,2020,7.,Roberto Perez, 2
15,2020,7.,Gary Sanchez, 2
16,2020,7.,Tony Wolters, 2
17,2020,7.,Anthony Bemboom, 2
18,2020,7.,Andrew Knapp, 2
19,2019,1.,J.T. Realmuto, 14
20,2019,2.,Roberto Perez, 12
21,2019,2.,Tony Wolters, 12
22,2019,4.,Yasmani Grandal, 10
23,2019,5.,Danny Jansen, 8
24,2019,5.,James McCann, 8
25,2019,5.,Jorge Alfaro, 8
26,2019,8.,Mike Zunino, 7
27,2019,9.,Christian Vazquez, 6
28,2019,9.,Jonathan Lucroy, 6
29,2018,1.,Salvador Perez, 11
30,2018,1.,Caleb Joseph, 11
31,2018,3.,James McCann, 10
32,2018,4.,Willson Contreras, 9
33,2018,5.,Yadier Molina, 8
34,2018,5.,Francisco Cervelli, 8
35,2018,7.,Yan Gomes, 6
36,2018,7.,Manny Pina, 6
37,2018,7.,Jorge Alfaro, 6
38,2018,7.,Yasmani Grandal, 6
39,2018,7.,Devin Mesoraco, 6
40,2018,7.,Elias Diaz, 6
41,2018,7.,J.T. Realmuto, 6
42,2017,1.,Yadier Molina, 13
43,2017,2.,J.T. Realmuto, 11
44,2017,3.,Tucker Barnhart, 9
45,2017,3.,Travis d'Arnaud, 9
46,2017,3.,Austin Hedges, 9
47,2017,3.,Welington Castillo, 9
48,2017,7.,Bruce Maxwell, 8
49,2017,8.,Willson Contreras, 7
50,2017,8.,James McCann, 7
51,2017,8.,Manny Pina, 7
52,2016,1.,James McCann, 9
53,2016,1.,Jonathan Lucroy, 9
54,2016,3.,Jason Castro, 8
55,2016,3.,J.T. Realmuto, 8
56,2016,3.,Buster Posey, 8
57,2016,6.,Welington Castillo, 7
58,2016,6.,Carlos Perez, 7
59,2016,6.,Francisco Cervelli, 7
60,2016,9.,Wilson Ramos, 6
61,2016,9.,Matt Wieters, 6
62,2016,9.,Sandy Leon, 6
63,2016,9.,Tucker Barnhart, 6
64,2016,9.,Carlos Ruiz, 6
65,2015,1.,Tyler Flowers, 10
66,2015,1.,Salvador Perez, 10
67,2015,3.,Yadier Molina, 9
68,2015,4.,Carlos Ruiz, 8
69,2015,4.,Jonathan Lucroy, 8
70,2015,4.,Yan Gomes, 8
71,2015,4.,Kurt Suzuki, 8
72,2015,8.,Derek Norris, 7
73,2015,8.,Cameron Rupp, 7
74,2015,8.,Martin Maldonado, 7
75,2015,8.,A.J. Pierzynski, 7
76,2014,1.,Miguel Montero, 12
77,2014,2.,Yadier Molina, 10
78,2014,3.,Alex Avila, 9
79,2014,3.,Yan Gomes, 9
80,2014,3.,Carlos Ruiz, 9
81,2014,6.,Buster Posey, 8
82,2014,7.,Rene Rivera, 7
83,2014,7.,Russell Martin, 7
84,2014,7.,Robinson Chirinos, 7
85,2014,10.,Jarrod Saltalamacchia, 6
86,2014,10.,Welington Castillo, 6
87,2014,10.,Nick Hundley, 6
88,2014,10.,Tyler Flowers, 6
89,2013,1.,Nick Hundley, 12
90,2013,2.,Yadier Molina, 11
91,2013,3.,Carlos Ruiz, 9
92,2013,4.,A.J. Ellis, 8
93,2013,4.,A.J. Pierzynski, 8
94,2013,6.,Joe Mauer, 7
95,2013,6.,Dioner Navarro, 7
96,2013,8.,Russell Martin, 6
97,2013,8.,Jason Castro, 6
98,2013,8.,J.P. Arencibia, 6
99,2013,8.,Chris Stewart, 6
100,2013,8.,Gerald Laird, 6
101,2013,8.,Chris Iannetta, 6
