,Year,Rank,Name,Stat
0,2020,1.,Max Stassi, 32
1,2020,2.,Kurt Suzuki, 28
2,2020,2.,Wilson Ramos, 28
3,2020,4.,Travis d'Arnaud, 24
4,2020,5.,Austin Romine, 23
5,2020,5.,Joey Bart, 23
6,2020,7.,Christian Vazquez, 21
7,2020,8.,Danny Jansen, 20
8,2020,9.,Carson Kelly, 19
9,2020,9.,Austin Nola, 19
10,2019,1.,Wilson Ramos, 94
11,2019,2.,Yasmani Grandal, 73
12,2019,3.,Omar Narvaez, 58
13,2019,4.,Jonathan Lucroy, 53
14,2019,5.,Buster Posey, 50
15,2019,5.,Josh Phegley, 50
16,2019,5.,Jeff Mathis, 50
17,2019,8.,J.T. Realmuto, 49
18,2019,9.,Robinson Chirinos, 45
19,2019,9.,Kurt Suzuki, 45
20,2018,1.,Jonathan Lucroy, 72
21,2018,2.,Omar Narvaez, 66
22,2018,3.,Jorge Alfaro, 59
23,2018,4.,Russell Martin, 58
24,2018,5.,Kevin Plawecki, 54
25,2018,5.,Tucker Barnhart, 54
26,2018,7.,Robinson Chirinos, 53
27,2018,8.,Willson Contreras, 52
28,2018,8.,Yasmani Grandal, 52
29,2018,10.,Kurt Suzuki, 50
30,2017,1.,Stephen Vogt, 66
31,2017,2.,Willson Contreras, 61
32,2017,3.,Miguel Montero, 58
33,2017,4.,Matt Wieters, 57
34,2017,4.,James McCann, 57
35,2017,6.,Kevan Smith, 56
36,2017,7.,Tyler Flowers, 55
37,2017,7.,Jonathan Lucroy, 55
38,2017,7.,Travis d'Arnaud, 55
39,2017,10.,Brian McCann, 54
40,2017,10.,Salvador Perez, 54
41,2017,10.,Mike Zunino, 54
42,2016,1.,Derek Norris, 76
43,2016,2.,Jonathan Lucroy, 69
44,2016,3.,Tucker Barnhart, 68
45,2016,4.,Yadier Molina, 67
46,2016,4.,Francisco Cervelli, 67
47,2016,6.,Russell Martin, 61
48,2016,6.,Travis d'Arnaud, 61
49,2016,8.,Tyler Flowers, 60
50,2016,9.,Miguel Montero, 59
51,2016,9.,Yasmani Grandal, 59
52,2015,1.,Francisco Cervelli, 101
53,2015,2.,Derek Norris, 84
54,2015,3.,Kurt Suzuki, 80
55,2015,4.,Miguel Montero, 71
56,2015,5.,Jonathan Lucroy, 70
57,2015,6.,A.J. Pierzynski, 67
58,2015,7.,Salvador Perez, 66
59,2015,8.,Brayan Pena, 58
60,2015,9.,Yasmani Grandal, 56
61,2015,10.,Tyler Flowers, 53
62,2014,1.,Jonathan Lucroy, 83
63,2014,2.,Jason Castro, 81
