,Year,Rank,Name,Stat
0,2020,1.,Roberto Perez, 10
1,2020,2.,Christian Vazquez, 9
2,2020,2.,Willson Contreras, 9
3,2020,2.,Jacob Stallings, 9
4,2020,5.,Tucker Barnhart, 8
5,2020,6.,Omar Narvaez, 7
6,2020,6.,Anthony Bemboom, 7
7,2020,6.,Austin Nola, 7
8,2020,9.,Martin Maldonado, 6
9,2020,9.,Yasmani Grandal, 6
10,2020,9.,Austin Romine, 6
11,2020,9.,Danny Jansen, 6
12,2020,9.,Max Stassi, 6
13,2020,9.,Michael Perez, 6
14,2020,9.,Austin Hedges, 6
15,2020,9.,Wilson Ramos, 6
16,2020,9.,Sean Murphy, 6
17,2019,1.,J.T. Realmuto, 43
18,2019,2.,Yasmani Grandal, 27
19,2019,3.,Buster Posey, 24
20,2019,3.,Josh Phegley, 24
21,2019,5.,Tony Wolters, 23
22,2019,6.,Christian Vazquez, 22
23,2019,7.,Roberto Perez, 20
24,2019,8.,Danny Jansen, 19
25,2019,9.,Jonathan Lucroy, 18
26,2019,9.,Yan Gomes, 18
27,2018,1.,Jonathan Lucroy, 31
28,2018,2.,James McCann, 27
29,2018,2.,Willson Contreras, 27
30,2018,4.,Salvador Perez, 25
31,2018,5.,Francisco Cervelli, 23
32,2018,6.,Omar Narvaez, 21
33,2018,6.,Jorge Alfaro, 21
34,2018,6.,J.T. Realmuto, 21
35,2018,9.,Manny Pina, 20
36,2018,9.,Caleb Joseph, 20
37,2018,9.,Yan Gomes, 20
38,2018,9.,Yasmani Grandal, 20
39,2017,1.,Tucker Barnhart, 32
40,2017,2.,Martin Maldonado, 29
41,2017,3.,Austin Hedges, 26
42,2017,4.,J.T. Realmuto, 25
43,2017,5.,Yadier Molina, 24
44,2017,5.,James McCann, 24
45,2017,5.,Yan Gomes, 24
46,2017,5.,Welington Castillo, 24
47,2017,9.,Gary Sanchez, 23
48,2017,9.,Willson Contreras, 23
49,2016,1.,Jonathan Lucroy, 44
50,2016,2.,Salvador Perez, 37
51,2016,3.,Tucker Barnhart, 34
52,2016,4.,J.T. Realmuto, 28
53,2016,4.,Buster Posey, 28
54,2016,6.,James McCann, 27
55,2016,7.,Yasmani Grandal, 24
56,2016,7.,Welington Castillo, 24
57,2016,9.,Matt Wieters, 23
58,2016,10.,Carlos Perez, 21
59,2015,1.,Derek Norris, 44
60,2015,2.,Russell Martin, 32
61,2015,3.,Salvador Perez, 29
62,2015,3.,Francisco Cervelli, 29
63,2015,5.,Brian McCann, 28
64,2015,5.,James McCann, 28
65,2015,7.,Jonathan Lucroy, 27
66,2015,8.,Yadier Molina, 26
67,2015,8.,Nick Hundley, 26
68,2015,10.,Carlos Perez, 25
69,2014,1.,Russell Martin, 37
70,2014,2.,Alex Avila, 36
71,2014,3.,Rene Rivera, 33
72,2014,4.,Yan Gomes, 31
73,2014,5.,Robinson Chirinos, 29
74,2014,5.,Jonathan Lucroy, 29
75,2014,5.,Brian McCann, 29
76,2014,8.,Carlos Ruiz, 28
77,2014,8.,Mike Zunino, 28
78,2014,8.,Welington Castillo, 28
79,2013,1.,Russell Martin, 36
80,2013,2.,Nick Hundley, 28
81,2013,2.,A.J. Ellis, 28
82,2013,2.,Welington Castillo, 28
83,2013,5.,Buster Posey, 27
84,2013,6.,Salvador Perez, 25
85,2013,7.,A.J. Pierzynski, 24
86,2013,7.,Matt Wieters, 24
87,2013,7.,Jarrod Saltalamacchia, 24
88,2013,10.,Jose Molina, 23
89,2012,1.,Buster Posey, 38
90,2012,2.,A.J. Ellis, 36
91,2012,3.,Yadier Molina, 35
92,2012,4.,Alex Avila, 34
93,2012,5.,Carlos Ruiz, 33
94,2012,6.,Miguel Montero, 32
95,2012,6.,Ryan Hanigan, 32
96,2012,6.,Matt Wieters, 32
97,2012,9.,Wilin Rosario, 30
98,2012,10.,Kurt Suzuki, 28
99,2011,1.,Russell Martin, 40
100,2011,1.,Alex Avila, 40
101,2011,3.,Kurt Suzuki, 38
102,2011,4.,Jarrod Saltalamacchia, 37
103,2011,5.,Geovany Soto, 36
104,2011,6.,Matt Wieters, 34
105,2011,7.,Nick Hundley, 32
106,2011,7.,Miguel Montero, 32
107,2011,9.,Miguel Olivo, 31
108,2011,10.,Chris Iannetta, 30
109,2011,10.,Lou Marson, 30
110,2011,10.,Jonathan Lucroy, 30
111,2010,1.,Jason Kendall, 41
112,2010,2.,Brian McCann, 36
113,2010,3.,Miguel Olivo, 33
114,2010,3.,Yadier Molina, 33
115,2010,5.,Lou Marson, 31
116,2010,6.,Gerald Laird, 30
117,2010,7.,A.J. Pierzynski, 27
118,2010,7.,Victor Martinez, 27
119,2010,7.,Russell Martin, 27
120,2010,10.,Ronny Paulino, 24
121,2010,10.,Matt Wieters, 24
122,2010,10.,Bengie Molina, 24
123,2009,1.,Gerald Laird, 42
124,2009,2.,Russell Martin, 33
125,2009,3.,Jorge Posada, 31
126,2009,4.,A.J. Pierzynski, 30
127,2009,5.,Rod Barajas, 27
128,2009,5.,Kurt Suzuki, 27
129,2009,7.,Bengie Molina, 25
130,2009,8.,Brian McCann, 24
131,2009,9.,Geovany Soto, 23
132,2009,9.,Carlos Ruiz, 23
133,2009,9.,Miguel Montero, 23
134,2008,1.,Jason Kendall, 41
135,2008,2.,Bengie Molina, 36
136,2008,3.,Jose Molina, 33
137,2008,4.,Kurt Suzuki, 32
138,2008,5.,Joe Mauer, 29
139,2008,6.,Dioner Navarro, 28
140,2008,7.,Brian McCann, 27
141,2008,8.,Ivan Rodriguez, 25
142,2008,8.,Ryan Doumit, 25
