,Year,Rank,Name,Stat
0,2020,1.,Roberto Perez, 71.43
1,2020,2.,Yasmani Grandal, 46.15
2,2020,3.,Anthony Bemboom, 41.18
3,2020,4.,Austin Hedges, 40.00
4,2020,5.,Tyler Heineman, 38.46
5,2020,6.,Tucker Barnhart, 36.36
6,2020,7.,Mitch Garver, 35.71
7,2020,8.,Willson Contreras, 34.62
8,2020,9.,James McCann, 33.33
9,2020,9.,Jacob Stallings, 33.33
10,2020,9.,Jeff Mathis, 33.33
11,2020,9.,Chad Wallach, 33.33
12,2019,1.,J.T. Realmuto, 46.74
13,2019,2.,Roberto Perez, 40.82
14,2019,3.,Tom Murphy, 39.39
15,2019,4.,Mike Zunino, 38.64
16,2019,5.,Christian Vazquez, 37.93
17,2019,6.,Tony Wolters, 34.33
18,2019,7.,Austin Hedges, 33.33
19,2019,8.,Jorge Alfaro, 32.65
20,2019,9.,Josh Phegley, 32.43
21,2019,9.,Buster Posey, 32.43
22,2018,1.,Martin Maldonado, 48.57
23,2018,2.,Salvador Perez, 48.08
24,2018,3.,Bryan Holaday, 44.74
25,2018,4.,Manny Pina, 40.82
26,2018,5.,Francisco Cervelli, 38.98
27,2018,6.,J.T. Realmuto, 38.18
28,2018,7.,Christian Vazquez, 37.14
29,2018,8.,Matt Wieters, 36.96
30,2018,9.,James McCann, 36.49
31,2018,10.,Mike Zunino, 34.62
32,2017,1.,Welington Castillo, 48.98
33,2017,2.,Tucker Barnhart, 43.84
34,2017,3.,Jeff Mathis, 42.42
35,2017,4.,Yan Gomes, 42.11
36,2017,5.,Christian Vazquez, 42.00
37,2017,6.,Tony Wolters, 38.89
38,2017,7.,Martin Maldonado, 38.67
39,2017,8.,Gary Sanchez, 38.33
40,2017,9.,Buster Posey, 37.93
41,2017,10.,Sandy Leon, 36.74
42,2016,1.,Salvador Perez, 48.05
43,2016,2.,James McCann, 45.00
44,2016,3.,Carlos Ruiz, 41.67
45,2016,4.,Sandy Leon, 41.18
46,2016,5.,Martin Maldonado, 40.00
47,2016,6.,Jett Bandy, 39.58
48,2016,7.,Jonathan Lucroy, 38.94
49,2016,8.,Carlos Perez, 37.50
50,2016,8.,Welington Castillo, 37.50
51,2016,10.,Buster Posey, 37.33
52,2015,1.,A.J. Ellis, 45.00
53,2015,2.,Russell Martin, 44.44
54,2015,2.,Wilson Ramos, 44.44
55,2015,4.,Roberto Perez, 41.86
56,2015,5.,Yadier Molina, 41.27
57,2015,6.,James McCann, 40.58
58,2015,7.,Josh Phegley, 39.13
59,2015,8.,Martin Maldonado, 38.30
60,2015,9.,Carlos Perez, 37.88
61,2015,10.,Cameron Rupp, 37.74
62,2014,1.,Yadier Molina, 47.73
63,2014,2.,Caleb Joseph, 40.35
64,2014,3.,Robinson Chirinos, 39.73
65,2014,4.,Russell Martin, 38.54
66,2014,5.,Wilson Ramos, 37.50
67,2014,6.,Brian McCann, 37.18
68,2014,7.,Rene Rivera, 36.26
69,2014,8.,Alex Avila, 33.65
70,2014,9.,Welington Castillo, 32.94
71,2014,10.,Jeff Mathis, 32.65
72,2013,1.,Ryan Hanigan, 45.46
73,2013,2.,A.J. Ellis, 44.44
74,2013,3.,Yadier Molina, 43.48
75,2013,4.,Joe Mauer, 42.50
76,2013,5.,Yan Gomes, 40.82
77,2013,6.,Russell Martin, 40.45
78,2013,7.,Humberto Quintero, 36.36
79,2013,8.,Matt Wieters, 35.29
80,2013,9.,Salvador Perez, 35.21
81,2013,10.,Jeff Mathis, 33.33
82,2012,1.,Ryan Hanigan, 48.49
83,2012,2.,Yadier Molina, 47.95
84,2012,3.,Erik Kratz, 45.46
85,2012,4.,David Ross, 44.12
86,2012,5.,Miguel Montero, 42.11
87,2012,6.,Salvador Perez, 41.86
88,2012,7.,Jeff Mathis, 40.82
89,2012,8.,Matt Wieters, 38.55
90,2012,9.,Humberto Quintero, 34.69
91,2012,10.,Carlos Ruiz, 34.02
92,2011,1.,Kelly Shoppach, 40.91
93,2011,2.,Miguel Montero, 40.00
94,2011,3.,Chris Stewart, 39.29
95,2011,4.,Lou Marson, 38.46
96,2011,5.,Ramon Hernandez, 37.10
97,2011,6.,Matt Wieters, 36.96
98,2011,7.,Mike Napoli, 36.36
99,2011,8.,Brayan Pena, 36.00
100,2011,9.,Nick Hundley, 35.96
101,2011,10.,Buster Posey, 35.71
102,2010,1.,Yadier Molina, 48.53
103,2010,2.,Jose Molina, 44.12
104,2010,3.,Drew Butera, 43.24
105,2010,4.,Miguel Olivo, 42.31
106,2010,5.,Russell Martin, 38.57
107,2010,6.,Lou Marson, 37.81
108,2010,7.,Buster Posey, 37.10
109,2010,8.,Jason Castro, 36.74
110,2010,9.,Yorvit Torrealba, 36.67
111,2010,10.,Rob Johnson, 35.29
112,2010,10.,Carlos Santana, 35.29
113,2009,1.,Kenji Johjima, 53.66
114,2009,2.,David Ross, 47.50
115,2009,3.,Ryan Hanigan, 42.86
116,2009,4.,Gerald Laird, 41.58
117,2009,5.,Yadier Molina, 40.74
118,2009,6.,Henry Blanco, 40.00
119,2009,6.,Koyie Hill, 40.00
120,2009,8.,Eli Whiteside, 39.39
121,2009,9.,Taylor Teagarden, 38.30
122,2009,9.,Raul Chavez, 38.30
123,2008,1.,Jose Molina, 44.00
124,2008,2.,Jason Kendall, 42.71
125,2008,3.,Miguel Olivo, 42.42
126,2008,4.,Dioner Navarro, 38.36
127,2008,5.,Victor Martinez, 37.14
128,2008,6.,Kurt Suzuki, 36.78
129,2008,7.,Joe Mauer, 36.25
130,2008,8.,Yadier Molina, 34.62
131,2008,8.,Bengie Molina, 34.62
132,2008,10.,Rod Barajas, 34.38
133,2007,1.,Yadier Molina, 54.00
134,2007,2.,Joe Mauer, 53.33
135,2007,3.,Kenji Johjima, 46.51
136,2007,4.,Mike Redmond, 41.03
137,2007,5.,David Ross, 40.98
