,Year,Rank,Name,Stat
0,2020,1.,José Abreu, 5
1,2020,1.,Joey Votto, 5
2,2020,1.,Pete Alonso, 5
3,2020,4.,Carlos Santana, 4
4,2020,4.,Miguel Sano, 4
5,2020,4.,Rhys Hoskins, 4
6,2020,4.,Josh Bell, 4
7,2020,8.,Max Muncy, 3
8,2020,8.,Bobby Dalbec, 3
9,2020,8.,Jesus Aguilar, 3
10,2020,8.,Jeimer Candelario, 3
11,2020,8.,Ji-Man Choi, 3
12,2020,8.,Daniel Murphy, 3
13,2020,8.,Vladimir Guerrero Jr., 3
14,2020,8.,Chris Davis, 3
15,2020,8.,Luke Voit, 3
16,2020,8.,Christian Walker, 3
17,2019,1.,Eric Hosmer, 14
18,2019,2.,Josh Bell, 13
19,2019,3.,Pete Alonso, 12
20,2019,4.,Christian Walker, 11
21,2019,5.,Carlos Santana, 10
22,2019,6.,Rhys Hoskins, 9
23,2019,6.,Daniel Murphy, 9
24,2019,8.,C.J. Cron, 8
25,2019,8.,José Abreu, 8
26,2019,8.,Matt Olson, 8
27,2018,1.,Carlos Santana, 10
28,2018,1.,Yonder Alonso, 10
29,2018,3.,José Abreu, 8
30,2018,3.,Ryon Healy, 8
31,2018,3.,Matt Carpenter, 8
32,2018,3.,Brandon Belt, 8
33,2018,7.,Anthony Rizzo, 7
34,2018,7.,Jose Martinez, 7
35,2018,7.,Freddie Freeman, 7
36,2018,7.,Jim Adduci, 7
37,2018,7.,Matt Olson, 7
38,2017,1.,Ryan Zimmerman, 12
39,2017,2.,Danny Valencia, 11
40,2017,3.,Josh Bell, 10
41,2017,3.,Yonder Alonso, 10
42,2017,5.,José Abreu, 8
43,2017,5.,Yuli Gurriel, 8
44,2017,5.,Tommy Joseph, 8
45,2017,5.,Logan Morrison, 8
46,2017,5.,Wil Myers, 8
47,2017,10.,Matt Carpenter, 7
48,2017,10.,Mike Napoli, 7
49,2017,10.,Chris Davis, 7
50,2016,1.,Mike Napoli, 13
51,2016,2.,Ryan Howard, 11
52,2016,2.,Chris Carter, 11
53,2016,4.,José Abreu, 10
54,2016,4.,Chris Davis, 10
55,2016,6.,Joey Votto, 8
56,2016,6.,James Loney, 8
57,2016,6.,Brandon Belt, 8
58,2016,9.,Miguel Cabrera, 7
59,2016,9.,Mark Reynolds, 7
60,2016,9.,Tommy Joseph, 7
61,2016,9.,Matt Adams, 7
62,2015,1.,Pedro Alvarez, 23
63,2015,2.,José Abreu, 11
64,2015,3.,Anthony Rizzo, 9
65,2015,3.,Joey Votto, 9
66,2015,5.,Chris Carter, 8
67,2015,6.,Mike Napoli, 7
68,2015,7.,Mark Reynolds, 6
69,2015,7.,Adrian Gonzalez, 6
70,2015,7.,Justin Bour, 6
71,2015,7.,Ryan Howard, 6
72,2015,7.,C.J. Cron, 6
73,2015,7.,Wilin Rosario, 6
74,2015,7.,James Loney, 6
75,2014,1.,Garrett Jones, 13
76,2014,2.,Jon Singleton, 11
77,2014,3.,Eric Hosmer, 10
78,2014,4.,Matt Adams, 9
79,2014,4.,James Loney, 9
80,2014,4.,Ryan Howard, 9
81,2014,4.,Ike Davis, 9
82,2014,4.,Anthony Rizzo, 9
83,2014,4.,Nick Swisher, 9
84,2014,10.,Edwin Encarnacion, 8
85,2014,10.,Mike Napoli, 8
86,2013,1.,Joey Votto, 14
87,2013,2.,Adrian Gonzalez, 11
88,2013,2.,Adam LaRoche, 11
89,2013,4.,Freddie Freeman, 10
90,2013,4.,Juan Francisco, 10
91,2013,6.,Ike Davis, 9
92,2013,7.,Adam Dunn, 8
93,2013,7.,Eric Hosmer, 8
94,2013,7.,Nick Swisher, 8
