,Year,Rank,Name,Stat
0,2020,1.,Carlos Santana, 44
1,2020,1.,Freddie Freeman, 44
2,2020,3.,Paul Goldschmidt, 41
3,2020,4.,Christian Walker, 40
4,2020,4.,Yuli Gurriel, 40
5,2020,6.,Anthony Rizzo, 39
6,2020,6.,José Abreu, 39
7,2020,8.,Jesus Aguilar, 36
8,2020,8.,Evan White, 36
9,2020,10.,Jeimer Candelario, 35
10,2019,1.,Paul Goldschmidt, 145
11,2019,2.,José Abreu, 128
12,2019,2.,Freddie Freeman, 128
13,2019,4.,Anthony Rizzo, 120
14,2019,5.,Rhys Hoskins, 111
15,2019,6.,Brandon Belt, 108
16,2019,6.,Pete Alonso, 108
17,2019,8.,Daniel Murphy, 97
18,2019,9.,Christian Walker, 95
19,2019,9.,Matt Olson, 95
20,2018,1.,Paul Goldschmidt, 131
21,2018,2.,Anthony Rizzo, 128
22,2018,3.,Freddie Freeman, 116
23,2018,4.,Matt Olson, 115
24,2018,5.,Ryon Healy, 114
25,2018,5.,Carlos Santana, 114
26,2018,7.,Eric Hosmer, 113
27,2018,7.,Ian Desmond, 113
28,2018,9.,Ronald Guzman, 102
29,2018,10.,Joey Votto, 101
30,2017,1.,Wil Myers, 147
31,2017,2.,Mark Reynolds, 131
32,2017,3.,José Abreu, 130
33,2017,4.,Carlos Santana, 129
34,2017,5.,Justin Smoak, 127
35,2017,6.,Eric Hosmer, 124
36,2017,7.,Chris Davis, 122
37,2017,8.,Yuli Gurriel, 116
38,2017,8.,Josh Bell, 116
39,2017,8.,Paul Goldschmidt, 116
40,2016,1.,Wil Myers, 139
41,2016,2.,Chris Davis, 138
42,2016,2.,Mitch Moreland, 138
43,2016,4.,José Abreu, 131
44,2016,5.,Paul Goldschmidt, 127
45,2016,6.,Miguel Cabrera, 124
46,2016,6.,Joey Votto, 124
47,2016,8.,Chris Carter, 122
48,2016,9.,Yonder Alonso, 118
49,2016,9.,Eric Hosmer, 118
50,2015,1.,Paul Goldschmidt, 129
51,2015,2.,Adam Lind, 124
52,2015,3.,Joey Votto, 122
53,2015,4.,Eric Hosmer, 121
54,2015,5.,Joe Mauer, 113
55,2015,6.,Carlos Santana, 110
56,2015,7.,Mitch Moreland, 109
57,2015,8.,Logan Morrison, 106
58,2015,8.,Justin Bour, 106
59,2015,10.,Freddie Freeman, 103
60,2014,1.,Freddie Freeman, 130
61,2014,2.,Lucas Duda, 125
62,2014,3.,Justin Morneau, 122
63,2014,4.,Adrian Gonzalez, 118
64,2014,5.,Matt Adams, 111
65,2014,6.,José Abreu, 105
66,2014,7.,Anthony Rizzo, 104
67,2014,8.,Ryan Howard, 103
68,2014,8.,Garrett Jones, 103
69,2014,10.,Adam LaRoche, 101
70,2013,1.,Chris Davis, 153
71,2013,2.,Justin Morneau, 133
72,2013,2.,Adrian Gonzalez, 133
73,2013,4.,Prince Fielder, 119
74,2013,5.,Paul Goldschmidt, 118
75,2013,5.,Eric Hosmer, 118
76,2013,7.,Adam LaRoche, 117
77,2013,8.,Joey Votto, 115
78,2013,8.,James Loney, 115
79,2013,10.,Freddie Freeman, 114
80,2013,10.,Anthony Rizzo, 114
81,2012,1.,Adrian Gonzalez, 134
82,2012,2.,Eric Hosmer, 132
83,2012,3.,Freddie Freeman, 122
84,2012,4.,Justin Smoak, 119
85,2012,4.,Carlos Pena, 119
86,2012,6.,Carlos Lee, 114
87,2012,6.,Casey Kotchman, 114
88,2012,8.,Adam LaRoche, 113
89,2012,8.,Prince Fielder, 113
90,2012,10.,Paul Goldschmidt, 106
91,2012,10.,Ike Davis, 106
92,2011,1.,Albert Pujols, 134
93,2011,2.,Joey Votto, 127
94,2011,3.,Mark Trumbo, 117
95,2011,3.,Miguel Cabrera, 117
96,2011,5.,Mark Teixeira, 114
97,2011,6.,Prince Fielder, 113
98,2011,7.,Todd Helton, 110
99,2011,7.,Ryan Howard, 110
100,2011,9.,Gaby Sanchez, 109
101,2011,9.,Casey Kotchman, 109
102,2010,1.,Lyle Overbay, 150
103,2010,2.,Albert Pujols, 146
104,2010,3.,Mark Teixeira, 137
105,2010,4.,Miguel Cabrera, 133
106,2010,4.,Ike Davis, 133
107,2010,6.,Adrian Gonzalez, 125
108,2010,7.,Paul Konerko, 124
109,2010,8.,Daric Barton, 121
110,2010,9.,Adam Dunn, 119
111,2010,10.,Ryan Howard, 117
112,2010,10.,Adam LaRoche, 117
113,2009,1.,Albert Pujols, 150
114,2009,2.,Adam LaRoche, 148
115,2009,3.,Kendrys Morales, 145
116,2009,4.,Prince Fielder, 142
117,2009,5.,Miguel Cabrera, 128
118,2009,6.,Billy Butler, 123
119,2009,7.,Lance Berkman, 122
120,2009,8.,Adrian Gonzalez, 116
121,2009,9.,Todd Helton, 115
122,2009,10.,Lyle Overbay, 113
123,2008,1.,Justin Morneau, 149
124,2008,2.,Prince Fielder, 132
125,2008,3.,Mark Teixeira, 130
126,2008,4.,Adrian Gonzalez, 129
127,2008,5.,Kevin Millar, 128
128,2008,5.,Ryan Howard, 128
129,2008,5.,Daric Barton, 128
130,2008,8.,Casey Kotchman, 125
131,2008,9.,Ryan Garko, 123
132,2008,9.,James Loney, 123
133,2007,1.,Adam LaRoche, 154
134,2007,2.,Todd Helton, 153
135,2007,3.,Adrian Gonzalez, 134
136,2007,4.,Albert Pujols, 132
137,2007,5.,Paul Konerko, 131
138,2007,6.,Ryan Howard, 124
139,2007,7.,Justin Morneau, 122
140,2007,8.,Mark Teixeira, 120
141,2007,9.,Carlos Pena, 116
142,2007,10.,Ryan Garko, 115
143,2007,10.,Prince Fielder, 115
144,2006,1.,Mark Teixeira, 158
145,2006,2.,Todd Helton, 156
146,2006,3.,Albert Pujols, 145
147,2006,4.,Ryan Howard, 139
148,2006,5.,Lyle Overbay, 124
149,2006,6.,Adrian Gonzalez, 117
150,2006,7.,Richie Sexson, 115
151,2006,8.,Paul Konerko, 113
