,Year,Rank,Name,Stat
0,2020,1.,Cesar Hernandez, 139
1,2020,2.,Nicky Lopez, 135
2,2020,3.,Kolten Wong, 129
3,2020,4.,Jose Altuve, 126
4,2020,5.,Jonathan Schoop, 113
5,2020,6.,Hanser Alberto, 107
6,2020,7.,Ketel Marte, 90
7,2020,7.,Adam Frazier, 90
8,2020,9.,Rougned Odor, 86
9,2020,10.,Jean Segura, 85
10,2019,1.,Yolmer Sanchez, 416
11,2019,2.,Kolten Wong, 412
12,2019,3.,Ozzie Albies, 384
13,2019,4.,Cesar Hernandez, 354
14,2019,5.,Adam Frazier, 327
15,2019,6.,Ryan McMahon, 295
16,2019,7.,Rougned Odor, 294
17,2019,8.,Joe Panik, 261
18,2019,9.,Jose Altuve, 257
19,2019,10.,Jonathan Schoop, 254
20,2018,1.,Ozzie Albies, 389
21,2018,2.,DJ LeMahieu, 378
22,2018,2.,Cesar Hernandez, 378
23,2018,4.,Scooter Gennett, 374
24,2018,5.,Starlin Castro, 349
25,2018,6.,Brian Dozier, 342
26,2018,7.,Rougned Odor, 336
27,2018,7.,Jed Lowrie, 336
28,2018,9.,Yoan Moncada, 335
29,2018,10.,Jonathan Schoop, 321
30,2017,1.,DJ LeMahieu, 470
31,2017,2.,Jonathan Schoop, 446
32,2017,3.,Rougned Odor, 429
33,2017,4.,Brian Dozier, 405
34,2017,5.,Dee Strange-Gordon, 390
35,2017,6.,Daniel Murphy, 353
36,2017,7.,Jose Altuve, 351
37,2017,8.,Jed Lowrie, 344
38,2017,9.,Whit Merrifield, 341
39,2017,10.,Robinson Cano, 339
40,2016,1.,Jonathan Schoop, 447
41,2016,2.,Ian Kinsler, 432
42,2016,3.,Robinson Cano, 429
43,2016,4.,Rougned Odor, 428
44,2016,5.,DJ LeMahieu, 422
45,2016,5.,Jason Kipnis, 422
46,2016,7.,Brian Dozier, 419
47,2016,8.,Cesar Hernandez, 390
48,2016,9.,Jean Segura, 382
49,2016,10.,Starlin Castro, 377
50,2015,1.,Brian Dozier, 456
51,2015,2.,DJ LeMahieu, 452
52,2015,3.,Dee Strange-Gordon, 434
53,2015,4.,Ian Kinsler, 425
54,2015,5.,Neil Walker, 418
55,2015,6.,Jose Altuve, 417
56,2015,7.,Kolten Wong, 410
57,2015,8.,Robinson Cano, 403
58,2015,9.,Jace Peterson, 395
59,2015,10.,Brandon Phillips, 394
60,2014,1.,Brian Dozier, 475
61,2014,2.,Ian Kinsler, 467
62,2014,3.,Jose Altuve, 459
63,2014,4.,Robinson Cano, 427
64,2014,5.,Chase Utley, 423
65,2014,6.,DJ LeMahieu, 413
66,2014,7.,Howie Kendrick, 406
