,Year,Rank,Name,Stat
0,2020,1.,Dansby Swanson, 60
1,2020,2.,Adalberto Mondesi, 59
2,2020,2.,Didi Gregorius, 59
3,2020,2.,Trea Turner, 59
4,2020,5.,Francisco Lindor, 58
5,2020,6.,Fernando Tatis Jr., 57
6,2020,6.,Nick Ahmed, 57
7,2020,6.,Carlos Correa, 57
8,2020,6.,Trevor Story, 57
9,2020,6.,Orlando Arcia, 57
10,2019,1.,Marcus Semien, 161
11,2019,2.,Nick Ahmed, 158
12,2019,3.,Paul DeJong, 157
13,2019,4.,Xander Bogaerts, 153
14,2019,5.,Willy Adames, 152
15,2019,5.,Amed Rosario, 152
16,2019,7.,Orlando Arcia, 150
17,2019,8.,Elvis Andrus, 146
18,2019,9.,José Iglesias, 144
19,2019,9.,Trevor Story, 144
20,2018,1.,Freddy Galvis, 160
21,2018,2.,Marcus Semien, 159
22,2018,2.,Trea Turner, 159
23,2018,4.,Francisco Lindor, 157
24,2018,5.,Jose Peraza, 156
25,2018,5.,Trevor Story, 156
26,2018,7.,Tim Anderson, 151
27,2018,8.,Nick Ahmed, 148
28,2018,9.,Manny Machado, 147
29,2018,10.,Amed Rosario, 146
30,2018,10.,Brandon Crawford, 146
31,2017,1.,Alcides Escobar, 162
32,2017,2.,Andrelton Simmons, 158
33,2017,2.,Francisco Lindor, 158
34,2017,4.,Elvis Andrus, 157
35,2017,5.,Freddy Galvis, 155
36,2017,6.,Orlando Arcia, 152
37,2017,7.,Xander Bogaerts, 146
38,2017,8.,Tim Anderson, 145
39,2017,9.,Jordy Mercer, 144
40,2017,10.,Dansby Swanson, 142
41,2017,10.,Trevor Story, 142
42,2016,1.,Alcides Escobar, 162
43,2016,2.,Marcus Semien, 159
44,2016,3.,Xander Bogaerts, 157
45,2016,3.,Danny Espinosa, 157
46,2016,5.,Freddy Galvis, 156
47,2016,6.,Francisco Lindor, 155
48,2016,6.,Corey Seager, 155
49,2016,6.,Brandon Crawford, 155
50,2016,9.,Didi Gregorius, 153
51,2016,9.,Carlos Correa, 153
52,2016,9.,Adeiny Hechavarria, 153
53,2015,1.,Elvis Andrus, 160
54,2015,2.,Xander Bogaerts, 156
55,2015,3.,Didi Gregorius, 155
56,2015,3.,Ian Desmond, 155
57,2015,5.,Erick Aybar, 154
58,2015,6.,Marcus Semien, 152
59,2015,6.,Alexei Ramírez, 152
60,2015,8.,Jhonny Peralta, 148
61,2015,8.,Alcides Escobar, 148
62,2015,10.,Andrelton Simmons, 147
63,2014,1.,Alcides Escobar, 162
64,2014,2.,Alexei Ramírez, 158
65,2014,3.,Erick Aybar, 155
66,2014,4.,Ian Desmond, 154
67,2014,5.,Elvis Andrus, 153
68,2014,6.,Jhonny Peralta, 152
69,2014,7.,Brandon Crawford, 149
70,2014,8.,Zack Cozart, 147
71,2014,9.,Adeiny Hechavarria, 146
72,2014,9.,Andrelton Simmons, 146
73,2013,1.,Starlin Castro, 159
74,2013,1.,J.J. Hardy, 159
75,2013,3.,Ian Desmond, 158
76,2013,3.,Alexei Ramírez, 158
77,2013,3.,Alcides Escobar, 158
78,2013,6.,Andrelton Simmons, 156
79,2013,7.,Jimmy Rollins, 153
80,2013,7.,Yunel Escobar, 153
81,2013,9.,Zack Cozart, 150
82,2013,10.,Adeiny Hechavarria, 148
83,2012,1.,Starlin Castro, 162
84,2012,2.,Jose Reyes, 160
85,2012,3.,J.J. Hardy, 158
86,2012,3.,Alexei Ramírez, 158
87,2012,5.,Jimmy Rollins, 156
88,2012,6.,Alcides Escobar, 155
89,2012,7.,Elvis Andrus, 153
90,2012,8.,Jhonny Peralta, 149
91,2012,9.,Yunel Escobar, 143
92,2012,10.,Clint Barmes, 142
93,2011,1.,Starlin Castro, 158
94,2011,1.,Alcides Escobar, 158
95,2011,3.,Alexei Ramírez, 155
96,2011,4.,Ian Desmond, 152
97,2011,5.,Asdrubal Cabrera, 151
98,2011,6.,Alex Gonzalez, 149
99,2011,6.,Yuniesky Betancourt, 149
100,2011,8.,Cliff Pennington, 147
101,2011,8.,Elvis Andrus, 147
102,2011,10.,Jhonny Peralta, 145
103,2010,1.,Alex Gonzalez, 157
104,2010,2.,Cliff Pennington, 156
105,2010,2.,Alexei Ramírez, 156
106,2010,4.,Derek Jeter, 151
107,2010,4.,Yuniesky Betancourt, 151
108,2010,6.,Cesar Izturis, 150
109,2010,7.,Ian Desmond, 149
110,2010,8.,Elvis Andrus, 148
111,2010,9.,Stephen Drew, 147
112,2010,10.,Hanley Ramirez, 140
113,2009,1.,Orlando Cabrera, 158
114,2009,1.,Miguel Tejada, 158
115,2009,3.,Jimmy Rollins, 155
116,2009,4.,Troy Tulowitzki, 151
117,2009,4.,Ryan Theriot, 151
118,2009,6.,Derek Jeter, 150
119,2009,7.,Rafael Furcal, 149
120,2009,8.,Alexei Ramírez, 148
121,2009,9.,Hanley Ramirez, 146
122,2009,10.,Elvis Andrus, 145
123,2008,1.,Orlando Cabrera, 161
124,2008,2.,Jose Reyes, 158
125,2008,3.,Miguel Tejada, 157
126,2008,4.,Yuniesky Betancourt, 153
127,2008,5.,Stephen Drew, 151
128,2008,5.,Michael Young, 151
129,2008,7.,Hanley Ramirez, 150
130,2008,8.,Ryan Theriot, 149
131,2008,9.,Derek Jeter, 148
132,2008,10.,Jhonny Peralta, 146
133,2007,1.,Jimmy Rollins, 162
134,2007,2.,Jose Reyes, 160
135,2007,3.,Troy Tulowitzki, 155
136,2007,3.,Derek Jeter, 155
137,2007,5.,Orlando Cabrera, 153
138,2007,5.,Khalil Greene, 153
139,2007,7.,Jhonny Peralta, 152
140,2007,7.,Yuniesky Betancourt, 152
141,2007,9.,Hanley Ramirez, 151
142,2007,10.,Juan Uribe, 150
