,Year,Rank,Name,Stat
0,2020,1.,Trevor Story, 161
1,2020,2.,Javier Baez, 159
2,2020,3.,Dansby Swanson, 152
3,2020,4.,Marcus Semien, 147
4,2020,5.,J.P. Crawford, 145
5,2020,6.,Adalberto Mondesi, 144
6,2020,7.,Carlos Correa, 142
7,2020,8.,Didi Gregorius, 132
8,2020,9.,Willy Adames, 131
9,2020,10.,Xander Bogaerts, 130
10,2019,1.,Marcus Semien, 436
11,2019,2.,Paul DeJong, 435
12,2019,3.,Trevor Story, 416
13,2019,4.,Nick Ahmed, 412
14,2019,5.,Willy Adames, 388
15,2019,6.,Elvis Andrus, 379
16,2019,7.,Amed Rosario, 370
17,2019,8.,Javier Baez, 366
18,2019,8.,Brandon Crawford, 366
19,2019,10.,Jean Segura, 351
20,2018,1.,Marcus Semien, 458
21,2018,2.,Brandon Crawford, 435
22,2018,3.,Nick Ahmed, 432
23,2018,4.,Trevor Story, 416
24,2018,5.,Jose Peraza, 403
25,2018,6.,Freddy Galvis, 399
26,2018,6.,Trea Turner, 399
27,2018,8.,Tim Anderson, 392
28,2018,9.,Jean Segura, 387
29,2018,10.,Francisco Lindor, 383
30,2017,1.,Elvis Andrus, 493
31,2017,2.,Alcides Escobar, 468
32,2017,3.,Andrelton Simmons, 436
33,2017,4.,Orlando Arcia, 415
34,2017,5.,Trevor Story, 408
35,2017,6.,Freddy Galvis, 404
36,2017,7.,Francisco Lindor, 391
37,2017,8.,Brandon Crawford, 374
38,2017,9.,Tim Anderson, 363
39,2017,10.,Didi Gregorius, 360
40,2016,1.,Marcus Semien, 477
41,2016,2.,Francisco Lindor, 447
42,2016,3.,Alcides Escobar, 426
43,2016,3.,Carlos Correa, 426
44,2016,5.,Elvis Andrus, 413
45,2016,5.,Brandon Crawford, 413
46,2016,7.,Jordy Mercer, 411
47,2016,8.,Freddy Galvis, 407
48,2016,9.,Danny Espinosa, 404
49,2016,10.,José Iglesias, 389
50,2015,1.,Elvis Andrus, 516
51,2015,2.,Alexei Ramírez, 462
52,2015,3.,Andrelton Simmons, 444
53,2015,4.,Didi Gregorius, 430
54,2015,5.,Xander Bogaerts, 429
55,2015,6.,Brandon Crawford, 427
56,2015,7.,Jean Segura, 426
57,2015,8.,Jhonny Peralta, 420
58,2015,9.,Ian Desmond, 417
59,2015,9.,Alcides Escobar, 417
60,2014,1.,Alexei Ramírez, 486
61,2014,2.,Jean Segura, 447
62,2014,3.,Alcides Escobar, 440
63,2014,4.,Jordy Mercer, 439
64,2014,5.,Adeiny Hechavarria, 438
65,2014,6.,Brandon Crawford, 428
66,2014,7.,Jhonny Peralta, 418
67,2014,8.,Ian Desmond, 416
68,2014,9.,Andrelton Simmons, 411
69,2014,10.,Zack Cozart, 400
70,2013,1.,Andrelton Simmons, 499
71,2013,2.,Jean Segura, 459
72,2013,3.,Ian Desmond, 446
73,2013,4.,Alexei Ramírez, 433
74,2013,5.,Jimmy Rollins, 424
75,2013,6.,Starlin Castro, 416
76,2013,7.,J.J. Hardy, 403
77,2013,8.,Pedro Florimon, 401
78,2013,8.,Adeiny Hechavarria, 401
79,2013,10.,Pete Kozma, 397
80,2012,1.,J.J. Hardy, 529
81,2012,2.,Starlin Castro, 465
82,2012,3.,Alexei Ramírez, 434
83,2012,4.,Yunel Escobar, 431
84,2012,5.,Jose Reyes, 419
85,2012,6.,Elvis Andrus, 414
86,2012,7.,Alcides Escobar, 408
87,2012,7.,Asdrubal Cabrera, 408
88,2012,9.,Clint Barmes, 399
89,2012,10.,Brendan Ryan, 396
90,2011,1.,Alcides Escobar, 459
91,2011,2.,Alexei Ramírez, 457
92,2011,3.,Starlin Castro, 446
93,2011,4.,Ian Desmond, 437
94,2011,5.,Alex Gonzalez, 434
95,2011,6.,Yuniesky Betancourt, 418
96,2011,7.,Troy Tulowitzki, 417
97,2011,8.,Elvis Andrus, 407
98,2011,9.,Erick Aybar, 406
99,2011,10.,J.J. Hardy, 403
100,2010,1.,Alexei Ramírez, 499
101,2010,2.,Cliff Pennington, 496
102,2010,3.,Alex Gonzalez, 486
103,2010,4.,Brendan Ryan, 430
104,2010,5.,Yunel Escobar, 423
105,2010,6.,Yuniesky Betancourt, 418
106,2010,7.,Elvis Andrus, 401
107,2010,8.,Stephen Drew, 391
108,2010,9.,Troy Tulowitzki, 388
109,2010,10.,Ian Desmond, 382
110,2010,10.,Ronny Cedeno, 382
111,2010,10.,Cesar Izturis, 382
112,2009,1.,Miguel Tejada, 475
113,2009,2.,Troy Tulowitzki, 433
114,2009,3.,Orlando Cabrera, 428
115,2009,4.,Marco Scutaro, 421
116,2009,5.,Rafael Furcal, 419
117,2009,6.,Ryan Theriot, 411
118,2009,7.,Alexei Ramírez, 410
119,2009,8.,Yunel Escobar, 409
120,2009,9.,Elvis Andrus, 407
121,2009,10.,Jimmy Rollins, 389
122,2008,1.,Orlando Cabrera, 472
123,2008,2.,Michael Young, 465
124,2008,3.,Miguel Tejada, 442
125,2008,4.,J.J. Hardy, 430
126,2008,5.,Jhonny Peralta, 427
127,2008,6.,Jose Reyes, 422
128,2008,7.,Yuniesky Betancourt, 401
129,2008,7.,Hanley Ramirez, 401
130,2008,9.,Yunel Escobar, 396
131,2008,10.,Cristian Guzman, 394
132,2007,1.,Troy Tulowitzki, 561
133,2007,2.,Jimmy Rollins, 479
134,2007,3.,Khalil Greene, 461
135,2007,4.,Jhonny Peralta, 452
136,2007,4.,Jack Wilson, 452
137,2007,6.,Michael Young, 446
138,2007,7.,Jose Reyes, 445
139,2007,8.,Omar Vizquel, 444
140,2007,9.,Juan Uribe, 443
141,2007,10.,Tony Pena, 438
142,2006,1.,Michael Young, 492
143,2006,1.,Rafael Furcal, 492
144,2006,3.,Adam Everett, 479
145,2006,4.,Jhonny Peralta, 459
146,2006,5.,Jimmy Rollins, 446
147,2006,6.,Yuniesky Betancourt, 430
148,2006,7.,Carlos Guillen, 428
149,2006,8.,Jack Wilson, 426
150,2006,9.,Miguel Tejada, 418
151,2006,10.,Hanley Ramirez, 411
152,2005,1.,Jack Wilson, 523
153,2005,2.,David Eckstein, 517
154,2005,3.,Rafael Furcal, 504
155,2005,4.,Miguel Tejada, 479
156,2005,5.,Derek Jeter, 454
157,2005,6.,Angel Berroa, 441
158,2005,7.,Jose Reyes, 428
159,2005,8.,Michael Young, 427
160,2005,9.,Omar Vizquel, 426
161,2005,10.,Julio Lugo, 424
162,2004,1.,Miguel Tejada, 526
163,2004,2.,Bobby Crosby, 505
164,2004,3.,Jack Wilson, 492
165,2004,4.,Cristian Guzman, 440
166,2004,5.,Orlando Cabrera, 437
167,2004,6.,Cesar Izturis, 430
168,2004,7.,Alex Gonzalez, 425
169,2004,8.,Michael Young, 423
170,2004,9.,Julio Lugo, 422
171,2004,10.,Edgar Renteria, 419
172,2003,1.,Miguel Tejada, 490
173,2003,2.,Cesar Izturis, 481
174,2003,2.,Rafael Furcal, 481
175,2003,4.,Angel Berroa, 473
176,2003,5.,Alex Rodriguez, 464
177,2003,6.,Jimmy Rollins, 463
178,2003,7.,Orlando Cabrera, 456
179,2003,7.,Nomar Garciaparra, 456
180,2003,9.,Jack Wilson, 454
181,2003,10.,Edgar Renteria, 439
182,2002,1.,Miguel Tejada, 504
183,2002,1.,Juan Uribe, 504
184,2002,3.,Orlando Cabrera, 498
185,2002,4.,Alex Rodriguez, 472
186,2002,5.,Nomar Garciaparra, 467
187,2002,6.,Rafael Furcal, 466
188,2002,7.,Jack Wilson, 463
189,2002,8.,Jimmy Rollins, 455
190,2002,9.,Jose Hernandez, 451
191,2002,10.,Omar Vizquel, 431
192,2001,1.,Orlando Cabrera, 514
193,2001,2.,Alex Gonzalez, 509
194,2001,3.,Rey Sanchez, 479
195,2001,4.,Miguel Tejada, 473
196,2001,5.,Alex Rodriguez, 452
197,2001,6.,Jose Hernandez, 427
198,2001,7.,Jimmy Rollins, 426
199,2001,8.,Rich Aurilia, 423
200,2001,9.,Omar Vizquel, 414
201,2001,10.,Alex Gonzalez, 396
202,2000,1.,Neifi Perez, 523
203,2000,2.,Miguel Tejada, 501
204,2000,3.,Deivi Cruz, 482
205,2000,4.,Jose Valentin, 456
206,2000,5.,Rey Sanchez, 446
207,2000,6.,Alex Rodriguez, 438
208,2000,7.,Omar Vizquel, 414
209,2000,8.,Cristian Guzman, 413
210,2000,9.,Royce Clayton, 411
211,2000,10.,Alex Gonzalez, 407
212,1999,1.,Mike Bordick, 511
213,1999,2.,Neifi Perez, 481
214,1999,3.,Miguel Tejada, 471
215,1999,4.,Deivi Cruz, 453
216,1999,5.,Rey Sanchez, 452
217,1999,6.,Tony Batista, 438
218,1999,7.,Rey Ordóñez, 416
219,1999,8.,Rich Aurilia, 411
220,1999,9.,Royce Clayton, 406
221,1999,10.,Barry Larkin, 401
222,1998,1.,Neifi Perez, 516
223,1998,2.,Mark Grudzielanek, 455
224,1998,3.,Mike Bordick, 446
225,1998,4.,Deivi Cruz, 445
226,1998,4.,Alex Rodriguez, 445
227,1998,6.,Omar Vizquel, 442
228,1998,7.,Royce Clayton, 438
229,1998,8.,Gary Disarcina, 437
230,1998,9.,Alex Gonzalez, 427
231,1998,10.,Pat Meares, 412
232,1997,1.,Derek Jeter, 457
233,1997,2.,Royce Clayton, 452
234,1997,3.,Nomar Garciaparra, 450
235,1997,4.,Mark Grudzielanek, 446
236,1997,4.,Jose Vizcaino, 446
237,1997,6.,Jay Bell, 443
238,1997,7.,Chris Gomez, 433
239,1997,8.,Omar Vizquel, 429
240,1997,9.,Mike Bordick, 424
241,1997,10.,Gary Disarcina, 421
242,1996,1.,Jay Bell, 478
243,1996,2.,Mike Bordick, 476
244,1996,3.,Cal Ripken Jr., 467
245,1996,4.,Alex Gonzalez, 465
246,1996,5.,Gary Disarcina, 460
247,1996,5.,Jose Valentin, 460
248,1996,7.,Mark Grudzielanek, 453
249,1996,8.,Rey Ordóñez, 450
250,1996,8.,Walt Weiss, 450
251,1996,10.,Omar Vizquel, 447
252,1995,1.,John Valentin, 414
253,1995,2.,Royce Clayton, 411
254,1995,2.,Jose Vizcaino, 411
255,1995,4.,Cal Ripken Jr., 409
256,1995,4.,Jay Bell, 409
257,1995,6.,Benji Gil, 408
258,1995,7.,Walt Weiss, 406
259,1995,8.,Omar Vizquel, 405
260,1995,9.,Greg Gagne, 389
261,1995,10.,Kevin Stocker, 383
262,1994,1.,Jay Bell, 380
263,1994,2.,Gary Disarcina, 358
264,1994,3.,Royce Clayton, 330
265,1994,4.,Greg Gagne, 323
266,1994,5.,Cal Ripken Jr., 321
267,1994,6.,Walt Weiss, 318
268,1994,7.,Wil Cordero, 316
269,1994,8.,Barry Larkin, 312
270,1994,9.,Mike Bordick, 308
271,1994,10.,Ozzie Smith, 291
272,1994,10.,Jose Vizcaino, 291
273,1993,1.,Jay Bell, 527
274,1993,2.,Cal Ripken Jr., 495
275,1993,3.,Omar Vizquel, 475
276,1993,4.,Jose Offerman, 454
277,1993,5.,Greg Gagne, 451
278,1993,5.,Ozzie Smith, 451
279,1993,7.,Royce Clayton, 449
280,1993,8.,John Valentin, 432
281,1993,9.,Jeff Blauser, 426
282,1993,10.,Mike Bordick, 418
283,1992,1.,Jay Bell, 526
284,1992,2.,Gary Disarcina, 486
285,1992,3.,Pat Listach, 449
286,1992,4.,Cal Ripken Jr., 445
287,1992,5.,Travis Fryman, 443
288,1992,6.,Greg Gagne, 438
289,1992,7.,Ozzie Smith, 420
290,1992,8.,Barry Larkin, 408
291,1992,9.,Tony Fernandez, 405
292,1992,10.,Omar Vizquel, 403
293,1991,1.,Cal Ripken Jr., 528
294,1991,2.,Jay Bell, 491
295,1991,3.,Tony Fernandez, 440
296,1991,4.,Ozzie Guillen, 439
297,1991,5.,Alvaro Espinoza, 438
298,1991,6.,Omar Vizquel, 422
299,1991,7.,Dickie Thon, 412
300,1991,8.,Dick Schofield, 398
301,1991,9.,Ozzie Smith, 387
302,1991,10.,Luis Rivera, 386
303,1990,1.,Tony Fernandez, 480
304,1990,2.,Ozzie Guillen, 474
305,1990,3.,Barry Larkin, 469
306,1990,4.,Jay Bell, 459
307,1990,5.,Alvaro Espinoza, 447
308,1990,6.,Dickie Thon, 439
309,1990,7.,Cal Ripken Jr., 435
310,1990,8.,Felix Fermin, 421
311,1990,9.,Alan Trammell, 409
312,1990,10.,Shawon Dunston, 392
313,1989,1.,Cal Ripken Jr., 531
314,1989,2.,Felix Fermin, 512
315,1989,2.,Ozzie Guillen, 512
316,1989,4.,Ozzie Smith, 483
317,1989,5.,Tony Fernandez, 475
318,1989,6.,Alvaro Espinoza, 471
319,1989,7.,Jose Uribe, 436
320,1989,8.,Garry Templeton, 409
321,1989,9.,Andres Thomas, 400
322,1989,10.,Alan Trammell, 396
323,1988,1.,Ozzie Guillen, 570
324,1988,2.,Ozzie Smith, 519
325,1988,3.,Dick Schofield, 492
326,1988,4.,Cal Ripken Jr., 480
327,1988,5.,Barry Larkin, 470
328,1988,5.,Tony Fernandez, 470
329,1988,7.,Andres Thomas, 456
330,1988,8.,Shawon Dunston, 455
331,1988,9.,Walt Weiss, 431
332,1988,10.,Rafael Santana, 421
333,1987,1.,Ozzie Smith, 516
334,1987,2.,Cal Ripken Jr., 480
335,1987,3.,Ozzie Guillen, 475
336,1987,4.,Garry Templeton, 447
337,1987,5.,Alan Trammell, 421
338,1987,6.,Scott Fletcher, 413
339,1987,7.,Tony Fernandez, 396
340,1987,7.,Rafael Santana, 396
341,1987,9.,Greg Gagne, 391
342,1987,10.,Alfredo Griffin, 386
343,1986,1.,Cal Ripken Jr., 482
344,1986,2.,Spike Owen, 467
345,1986,3.,Shawon Dunston, 465
346,1986,4.,Ozzie Guillen, 459
347,1986,5.,Ozzie Smith, 453
348,1986,6.,Alan Trammell, 445
349,1986,6.,Tony Fernandez, 445
350,1986,8.,Jose Uribe, 444
351,1986,9.,Alfredo Griffin, 421
352,1986,10.,Steve Jeltz, 406
353,1985,1.,Ozzie Smith, 549
354,1985,2.,Tony Fernandez, 478
355,1985,3.,Cal Ripken Jr., 474
356,1985,4.,Garry Templeton, 460
357,1985,5.,Rafael Ramirez, 451
358,1985,6.,Hubie Brooks, 441
359,1985,7.,Alfredo Griffin, 440
360,1985,8.,Jose Uribe, 438
361,1985,9.,Julio Franco, 419
362,1985,10.,Dave Concepcion, 404
363,1984,1.,Cal Ripken Jr., 583
364,1984,2.,Julio Franco, 481
365,1984,3.,Craig Reynolds, 472
366,1984,4.,Spike Owen, 463
367,1984,5.,Dale Berra, 449
368,1984,6.,Rafael Ramirez, 443
369,1984,7.,Ozzie Smith, 437
370,1984,8.,Dick Schofield, 420
371,1984,9.,Garry Templeton, 407
372,1984,10.,Robin Yount, 402
373,1983,1.,Cal Ripken Jr., 534
374,1983,2.,Dickie Thon, 533
375,1983,3.,Ozzie Smith, 519
376,1983,4.,Dale Berra, 505
377,1983,5.,Rafael Ramirez, 490
378,1983,6.,Larry Bowa, 464
379,1983,7.,U L Washington, 448
380,1983,8.,Ivan de Jesus, 438
381,1983,8.,Julio Franco, 438
382,1983,10.,Robin Yount, 420
383,1982,1.,Ozzie Smith, 535
384,1982,2.,Rafael Ramirez, 528
385,1982,3.,Bill Russell, 502
386,1982,4.,Dale Berra, 498
387,1982,5.,Robin Yount, 489
388,1982,6.,Alfredo Griffin, 479
389,1982,7.,Ivan de Jesus, 469
390,1982,8.,Dave Concepcion, 459
391,1982,8.,Alan Trammell, 459
392,1982,10.,Glenn Hoffman, 439
393,1982,10.,Todd Cruz, 439
394,1981,1.,Ozzie Smith, 422
395,1981,2.,Rick Burleson, 394
396,1981,3.,Robin Yount, 370
397,1981,4.,Alan Trammell, 347
398,1981,5.,Ivan de Jesus, 343
399,1981,6.,Bill Almon, 340
400,1981,7.,Dave Concepcion, 322
401,1981,8.,Larry Bowa, 309
402,1981,9.,Rafael Ramirez, 306
403,1981,10.,U L Washington, 297
404,1980,1.,Ozzie Smith, 621
405,1980,2.,Ivan de Jesus, 529
406,1980,3.,Rick Burleson, 528
407,1980,4.,Alfredo Griffin, 489
408,1980,4.,Bucky Dent, 489
409,1980,6.,U L Washington, 467
410,1980,7.,Robin Yount, 455
411,1980,8.,Dave Concepcion, 451
412,1980,8.,Garry Templeton, 451
413,1980,10.,Larry Bowa, 449
414,1979,1.,Roy Smalley, 572
415,1979,2.,Ozzie Smith, 555
416,1979,3.,Garry Templeton, 525
417,1979,4.,Rick Burleson, 523
418,1979,5.,Robin Yount, 517
419,1979,6.,Bucky Dent, 512
420,1979,7.,Ivan de Jesus, 507
421,1979,8.,Alfredo Griffin, 501
422,1979,9.,Dave Concepcion, 495
423,1979,10.,Frank Taveras, 464
424,1978,1.,Ivan de Jesus, 558
425,1978,2.,Ozzie Smith, 548
426,1978,3.,Bill Russell, 533
427,1978,4.,Roy Smalley, 527
428,1978,5.,Garry Templeton, 523
429,1978,6.,Larry Bowa, 502
430,1978,7.,Rick Burleson, 482
431,1978,8.,Chris Speier, 467
432,1978,9.,Craig Reynolds, 461
433,1978,10.,Dave Concepcion, 459
434,1977,1.,Ivan de Jesus, 595
435,1977,2.,Bill Almon, 538
436,1977,3.,Bill Russell, 523
437,1977,4.,Larry Bowa, 518
438,1977,5.,Roy Smalley, 504
439,1977,6.,Dave Concepcion, 490
440,1977,7.,Bert Campaneris, 483
441,1977,8.,Rick Burleson, 482
442,1977,9.,Chris Speier, 455
443,1977,10.,Garry Templeton, 453
444,1976,1.,Mark Belanger, 545
445,1976,2.,Robin Yount, 510
446,1976,3.,Dave Concepcion, 506
447,1976,4.,Larry Bowa, 492
448,1976,5.,Bert Campaneris, 490
449,1976,6.,Frank Taveras, 481
450,1976,7.,Rick Burleson, 478
451,1976,8.,Bill Russell, 476
452,1976,9.,Toby Harrah, 473
453,1976,10.,Tim Foli, 469
454,1975,1.,Bucky Dent, 543
455,1975,2.,Mark Belanger, 508
456,1975,3.,Rick Burleson, 498
457,1975,4.,Tim Foli, 497
458,1975,5.,Frank Duffy, 464
459,1975,6.,Dave Concepcion, 445
460,1975,7.,Roger Metzger, 441
461,1975,8.,Don Kessinger, 436
462,1975,9.,Chris Speier, 420
463,1975,10.,Larvell Blanks, 414
464,1974,1.,Mark Belanger, 552
465,1974,2.,Dave Concepcion, 536
466,1974,3.,Bucky Dent, 499
467,1974,4.,Freddie Patek, 493
468,1974,4.,Ed Brinkman, 493
469,1974,6.,Frank Duffy, 491
470,1974,6.,Bill Russell, 491
471,1974,8.,Don Kessinger, 476
472,1974,9.,Toby Harrah, 466
473,1974,10.,Larry Bowa, 462
474,1973,1.,Bill Russell, 560
475,1973,2.,Mark Belanger, 530
476,1973,3.,Don Kessinger, 526
477,1973,4.,Freddie Patek, 503
478,1973,5.,Bert Campaneris, 496
479,1973,6.,Ed Brinkman, 480
480,1973,7.,Chris Speier, 470
481,1973,8.,Gene Michael, 433
482,1973,9.,Roger Metzger, 429
483,1973,10.,Marty Perez, 416
484,1972,1.,Chris Speier, 517
485,1972,2.,Freddie Patek, 510
486,1972,3.,Roger Metzger, 504
487,1972,3.,Don Kessinger, 504
488,1972,5.,Ed Brinkman, 495
489,1972,6.,Larry Bowa, 494
490,1972,6.,Bert Campaneris, 494
