,Year,Rank,Name,Stat
0,2020,1.,Trevor Story, 10
1,2020,2.,Willy Adames, 9
2,2020,2.,Gleyber Torres, 9
3,2020,2.,Trea Turner, 9
4,2020,5.,Javier Baez, 8
5,2020,5.,Corey Seager, 8
6,2020,7.,Brandon Crawford, 7
7,2020,7.,Nick Ahmed, 7
8,2020,7.,Didi Gregorius, 7
9,2020,7.,Marcus Semien, 7
10,2019,1.,Tim Anderson, 26
11,2019,2.,Jorge Polanco, 22
12,2019,3.,Jean Segura, 20
13,2019,4.,Fernando Tatis Jr., 18
14,2019,5.,Willy Adames, 17
15,2019,5.,Amed Rosario, 17
16,2019,7.,Brandon Crawford, 16
17,2019,8.,Javier Baez, 15
18,2019,8.,Corey Seager, 15
19,2019,10.,Orlando Arcia, 14
20,2018,1.,Jose Peraza, 22
21,2018,2.,Marcus Semien, 20
22,2018,2.,Tim Anderson, 20
23,2018,4.,Jean Segura, 17
24,2018,4.,Addison Russell, 17
25,2018,6.,Amed Rosario, 16
26,2018,6.,Brandon Crawford, 16
27,2018,8.,Orlando Arcia, 15
28,2018,9.,Francisco Lindor, 14
29,2018,10.,Willy Adames, 13
30,2018,10.,Jorge Polanco, 13
31,2018,10.,Trevor Story, 13
32,2018,10.,Jurickson Profar, 13
33,2017,1.,Tim Anderson, 28
34,2017,2.,Orlando Arcia, 20
35,2017,2.,Dansby Swanson, 20
36,2017,4.,Tim Beckham, 18
37,2017,4.,Jorge Polanco, 18
38,2017,6.,Elvis Andrus, 17
39,2017,6.,Xander Bogaerts, 17
40,2017,6.,Jean Segura, 17
41,2017,9.,Alcides Escobar, 15
42,2017,10.,Andrelton Simmons, 14
43,2016,1.,Ketel Marte, 21
44,2016,1.,Marcus Semien, 21
45,2016,3.,Corey Seager, 18
46,2016,3.,Danny Espinosa, 18
47,2016,5.,Elvis Andrus, 17
48,2016,5.,Jonathan Villar, 17
49,2016,7.,Aledmys Díaz, 16
50,2016,8.,Didi Gregorius, 15
51,2016,9.,Alcides Escobar, 14
52,2016,9.,Alexei Ramírez, 14
53,2016,9.,Carlos Correa, 14
54,2016,9.,Brad Miller, 14
55,2016,9.,Addison Russell, 14
56,2016,9.,Tim Anderson, 14
57,2015,1.,Marcus Semien, 35
58,2015,2.,Ian Desmond, 27
59,2015,3.,Elvis Andrus, 22
60,2015,4.,Eugenio Suarez, 19
61,2015,4.,Jean Segura, 19
62,2015,6.,Starlin Castro, 18
63,2015,7.,Freddy Galvis, 17
64,2015,7.,Erick Aybar, 17
65,2015,9.,Danny Santana, 16
66,2015,9.,Jose Reyes, 16
67,2015,9.,Alexei Ramírez, 16
68,2014,1.,Ian Desmond, 24
69,2014,2.,Brandon Crawford, 21
70,2014,3.,Jose Reyes, 19
71,2014,4.,Elvis Andrus, 18
72,2014,4.,Jonathan Villar, 18
73,2014,4.,Brad Miller, 18
74,2014,7.,Alcides Escobar, 16
75,2014,7.,Jean Segura, 16
76,2014,7.,Yunel Escobar, 16
77,2014,7.,Hanley Ramirez, 16
78,2013,1.,Starlin Castro, 22
79,2013,1.,Alexei Ramírez, 22
80,2013,3.,Ian Desmond, 20
81,2013,4.,Pedro Florimon, 18
82,2013,5.,Jed Lowrie, 16
83,2013,5.,Jonathan Villar, 16
84,2013,7.,Brandon Crawford, 15
85,2013,7.,Adeiny Hechavarria, 15
86,2013,7.,Jean Segura, 15
87,2013,7.,Erick Aybar, 15
88,2012,1.,Starlin Castro, 27
89,2012,2.,Alcides Escobar, 19
90,2012,2.,Asdrubal Cabrera, 19
91,2012,4.,Jose Reyes, 18
92,2012,4.,Dee Strange-Gordon, 18
93,2012,4.,Brandon Crawford, 18
94,2012,7.,Everth Cabrera, 16
95,2012,7.,Clint Barmes, 16
96,2012,7.,Elvis Andrus, 16
97,2012,10.,Ian Desmond, 15
98,2012,10.,Erick Aybar, 15
99,2012,10.,Rafael Furcal, 15
100,2012,10.,Brian Dozier, 15
101,2012,10.,Mike Aviles, 15
102,2011,1.,Starlin Castro, 29
103,2011,2.,Elvis Andrus, 25
104,2011,3.,Ian Desmond, 23
105,2011,4.,Cliff Pennington, 22
106,2011,5.,Yuniesky Betancourt, 21
107,2011,6.,Jason Bartlett, 18
108,2011,6.,Jose Reyes, 18
109,2011,8.,Ryan Theriot, 17
110,2011,9.,Alexei Ramírez, 16
111,2011,10.,Brendan Ryan, 15
112,2011,10.,Asdrubal Cabrera, 15
113,2011,10.,Alcides Escobar, 15
114,2010,1.,Ian Desmond, 34
115,2010,2.,Starlin Castro, 27
116,2010,3.,Cliff Pennington, 25
117,2010,4.,Erick Aybar, 21
118,2010,5.,Josh Wilson, 20
119,2010,5.,Alexei Ramírez, 20
120,2010,5.,Alcides Escobar, 20
121,2010,8.,Rafael Furcal, 19
122,2010,8.,Alex Gonzalez, 19
123,2010,10.,Yunel Escobar, 18
124,2010,10.,Yuniesky Betancourt, 18
