,Year,Rank,Name,Stat
0,2020,1.,Eloy Jimenez, 54
1,2020,2.,Lourdes Gurriel Jr., 53
2,2020,3.,Christian Yelich, 51
3,2020,3.,Eddie Rosario, 51
4,2020,5.,Alex Gordon, 49
5,2020,6.,Kyle Schwarber, 48
6,2020,6.,Tyler O'Neill, 48
7,2020,8.,Robbie Grossman, 46
8,2020,8.,Corey Dickerson, 46
9,2020,10.,David Peralta, 45
10,2020,10.,Adam Duvall, 45
11,2019,1.,Juan Soto, 150
12,2019,2.,Alex Gordon, 146
13,2019,3.,Kyle Schwarber, 140
14,2019,4.,Andrew Benintendi, 131
15,2019,5.,Marcell Ozuna, 129
16,2019,6.,Eddie Rosario, 124
17,2019,7.,Tommy Pham, 123
18,2019,8.,Michael Brantley, 120
19,2019,9.,Eloy Jimenez, 114
20,2019,10.,Robbie Grossman, 112
21,2018,1.,Marcell Ozuna, 147
22,2018,2.,Justin Upton, 140
23,2018,3.,David Peralta, 138
24,2018,4.,Rhys Hoskins, 135
25,2018,5.,Michael Brantley, 134
26,2018,6.,Andrew Benintendi, 129
27,2018,7.,Eddie Rosario, 125
28,2018,7.,Alex Gordon, 125
29,2018,9.,Corey Dickerson, 124
30,2018,10.,Denard Span, 120
31,2018,10.,Kyle Schwarber, 120
32,2017,1.,Marcell Ozuna, 152
33,2017,2.,Adam Duvall, 151
34,2017,2.,Justin Upton, 151
35,2017,4.,Alex Gordon, 140
36,2017,5.,Eddie Rosario, 138
37,2017,6.,Andrew Benintendi, 123
38,2017,7.,Brett Gardner, 122
39,2017,8.,Khris Davis, 116
40,2017,9.,Kyle Schwarber, 110
41,2017,10.,Melky Cabrera, 104
42,2016,1.,Melky Cabrera, 147
43,2016,1.,Brett Gardner, 147
44,2016,3.,Justin Upton, 146
45,2016,4.,Adam Duvall, 137
46,2016,5.,Jayson Werth, 131
47,2016,6.,Ryan Braun, 127
48,2016,7.,Alex Gordon, 126
49,2016,8.,Angel Pagan, 123
50,2016,9.,Melvin Upton Jr., 121
51,2016,10.,Christian Yelich, 120
52,2015,1.,Melky Cabrera, 150
53,2015,2.,Justin Upton, 146
54,2015,3.,Starling Marte, 141
55,2015,4.,Yoenis Céspedes, 134
56,2015,5.,David Peralta, 124
57,2015,6.,Brett Gardner, 119
58,2015,7.,Ben Revere, 112
59,2015,8.,Khris Davis, 108
60,2015,9.,Christian Yelich, 103
61,2015,10.,Michael Brantley, 101
62,2015,10.,Alex Gordon, 101
63,2014,1.,Alex Gordon, 156
64,2014,2.,Justin Upton, 150
65,2014,2.,Matt Holliday, 150
66,2014,4.,Christian Yelich, 138
67,2014,5.,Khris Davis, 134
68,2014,6.,Dustin Ackley, 133
69,2014,6.,Melky Cabrera, 133
70,2014,8.,Alejandro De Aza, 132
71,2014,9.,Domonic Brown, 127
72,2014,10.,Brett Gardner, 126
73,2013,1.,Alex Gordon, 155
74,2013,2.,Michael Brantley, 151
75,2013,3.,Nate McLouth, 136
76,2013,3.,Matt Holliday, 136
77,2013,5.,Alfonso Soriano, 134
78,2013,6.,Domonic Brown, 132
79,2013,7.,David Murphy, 128
80,2013,8.,Starling Marte, 124
81,2013,9.,Andy Dirks, 116
82,2013,10.,Dayán Viciedo, 109
83,2012,1.,Alex Gordon, 160
84,2012,2.,Matt Holliday, 152
85,2012,3.,Ryan Braun, 151
86,2012,4.,Alfonso Soriano, 145
87,2012,5.,Dayán Viciedo, 131
88,2012,5.,Carlos Gonzalez, 131
89,2012,7.,Jason Kubel, 124
90,2012,8.,David Murphy, 120
91,2012,9.,Martin Prado, 119
92,2012,9.,Josh Willingham, 119
93,2011,1.,Juan Pierre, 155
94,2011,2.,Brett Gardner, 149
95,2011,3.,Alex Gordon, 148
96,2011,4.,Ryan Braun, 147
97,2011,5.,Raul Ibanez, 134
98,2011,6.,Alfonso Soriano, 128
99,2011,7.,Carl Crawford, 127
100,2011,8.,Gerardo Parra, 125
101,2011,9.,Jason Bay, 122
102,2011,10.,Logan Morrison, 119
103,2010,1.,Matt Holliday, 155
104,2010,2.,Ryan Braun, 153
105,2010,3.,Juan Pierre, 149
106,2010,3.,Delmon Young, 149
107,2010,5.,Carl Crawford, 147
108,2010,6.,Raul Ibanez, 145
109,2010,7.,Alfonso Soriano, 134
110,2010,8.,Carlos Lee, 133
111,2010,9.,Scott Podsednik, 129
112,2010,9.,Jonny Gomes, 129
113,2009,1.,Ryan Braun, 158
114,2009,2.,Matt Holliday, 155
115,2009,3.,Carl Crawford, 154
116,2009,3.,Carlos Lee, 154
117,2009,5.,Jason Bay, 150
118,2009,6.,David DeJesus, 139
119,2009,7.,Johnny Damon, 132
120,2009,8.,Raul Ibanez, 129
121,2009,9.,Garret Anderson, 124
122,2009,9.,Juan Rivera, 124
123,2008,1.,Pat Burrell, 155
124,2008,2.,Jason Bay, 154
125,2008,3.,Raul Ibanez, 153
126,2008,4.,Delmon Young, 151
127,2008,5.,Ryan Braun, 149
128,2008,6.,Matt Holliday, 139
129,2008,7.,Carlos Quentin, 130
130,2008,8.,Adam Dunn, 119
131,2008,8.,Manny Ramirez, 119
132,2008,10.,Fred Lewis, 112
133,2007,1.,Matt Holliday, 157
134,2007,1.,Carlos Lee, 157
135,2007,3.,Adam Dunn, 144
136,2007,4.,Jason Bay, 142
137,2007,5.,Shannon Stewart, 139
138,2007,5.,Carl Crawford, 139
139,2007,7.,Pat Burrell, 138
140,2007,8.,Josh Willingham, 137
141,2007,9.,Raul Ibanez, 131
142,2007,10.,Luis Gonzalez, 127
143,2006,1.,Alfonso Soriano, 158
144,2006,2.,Raul Ibanez, 157
145,2006,2.,Jason Bay, 157
146,2006,4.,Adam Dunn, 156
147,2006,5.,Matt Holliday, 153
148,2006,6.,Luis Gonzalez, 150
149,2006,7.,Carlos Lee, 149
150,2006,8.,Carl Crawford, 148
151,2006,9.,Scott Podsednik, 135
152,2006,10.,Matt Murton, 133
153,2005,1.,Carlos Lee, 162
154,2005,2.,Pat Burrell, 153
155,2005,3.,Luis Gonzalez, 152
156,2005,4.,Cliff Floyd, 150
157,2005,5.,Manny Ramirez, 149
158,2005,6.,Carl Crawford, 147
159,2005,7.,Jason Bay, 146
160,2005,8.,Coco Crisp, 138
161,2005,9.,Miguel Cabrera, 134
162,2005,10.,Adam Dunn, 133
163,2004,1.,Hideki Matsui, 160
164,2004,2.,Geoff Jenkins, 156
165,2004,2.,Adam Dunn, 156
166,2004,4.,Moises Alou, 154
167,2004,5.,Carlos Lee, 148
168,2004,6.,Jose Guillen, 135
169,2004,7.,Barry Bonds, 133
170,2004,8.,Manny Ramirez, 132
171,2004,9.,Matt Lawton, 124
172,2004,10.,Carl Crawford, 122
173,2004,10.,Pat Burrell, 122
174,2003,1.,Carlos Lee, 156
175,2003,2.,Luis Gonzalez, 154
176,2003,3.,Lance Berkman, 153
177,2003,4.,Chipper Jones, 149
178,2003,5.,Jay Payton, 148
179,2003,6.,Garret Anderson, 144
180,2003,7.,Moises Alou, 142
181,2003,8.,Pat Burrell, 140
182,2003,9.,Randy Winn, 139
183,2003,10.,Carl Crawford, 137
184,2002,1.,Pat Burrell, 157
185,2002,2.,Chipper Jones, 152
186,2002,3.,Brian Giles, 151
187,2002,4.,Luis Gonzalez, 146
188,2002,5.,Jacque Jones, 143
189,2002,6.,Carlos Lee, 137
190,2002,6.,Garret Anderson, 137
191,2002,8.,Barry Bonds, 135
192,2002,9.,Roger Cedeno, 132
193,2002,10.,Moises Alou, 122
194,2002,10.,Daryle Ward, 122
195,2001,1.,Luis Gonzalez, 161
196,2001,2.,Pat Burrell, 146
197,2001,3.,Garret Anderson, 144
198,2001,4.,Barry Bonds, 143
199,2001,5.,Cliff Floyd, 142
200,2001,5.,Shannon Stewart, 142
201,2001,5.,Bobby Higginson, 142
202,2001,8.,Gary Sheffield, 141
203,2001,9.,Jacque Jones, 137
204,2001,10.,Carlos Lee, 130
205,2000,1.,Luis Gonzalez, 162
206,2000,2.,Carlos Lee, 149
207,2000,3.,Bobby Higginson, 145
208,2000,4.,Ben Grieve, 144
209,2000,5.,Barry Bonds, 141
210,2000,6.,Gary Sheffield, 139
211,2000,7.,Troy O'Leary, 137
212,2000,8.,Shannon Stewart, 136
213,2000,9.,B.J. Surhoff, 134
214,2000,10.,Geoff Jenkins, 131
215,1999,1.,Troy O'Leary, 157
216,1999,2.,B.J. Surhoff, 148
217,1999,2.,Luis Gonzalez, 148
218,1999,4.,Rusty Greer, 145
219,1999,4.,Gary Sheffield, 145
220,1999,6.,Greg Vaughn, 144
221,1999,6.,Dante Bichette, 144
222,1999,8.,Shannon Stewart, 140
223,1999,9.,Al Martin, 133
224,1999,9.,Chad Allen, 133
225,1999,9.,Ron Gant, 133
226,1998,1.,Albert Belle, 159
227,1998,2.,B.J. Surhoff, 157
228,1998,3.,Barry Bonds, 155
229,1998,3.,Troy O'Leary, 155
230,1998,5.,Rusty Greer, 154
231,1998,6.,Moises Alou, 152
232,1998,7.,Greg Vaughn, 151
233,1998,8.,Cliff Floyd, 146
234,1998,9.,Rickey Henderson, 142
235,1998,10.,Gregg Jefferies, 136
236,1997,1.,Barry Bonds, 159
237,1997,2.,Albert Belle, 154
238,1997,3.,Rusty Greer, 148
239,1997,4.,Luis Gonzalez, 146
240,1997,5.,Wil Cordero, 137
241,1997,6.,Bernard Gilkey, 136
242,1997,7.,B.J. Surhoff, 133
243,1997,8.,Garret Anderson, 130
244,1997,8.,Ryan Klesko, 130
245,1997,10.,Dante Bichette, 128
246,1997,10.,Ron Gant, 128
247,1996,1.,Albert Belle, 152
248,1996,2.,Bernard Gilkey, 151
249,1996,3.,Tony Phillips, 150
250,1996,4.,Barry Bonds, 149
251,1996,5.,Marty Cordova, 145
252,1996,6.,Ryan Klesko, 144
253,1996,7.,Al Martin, 142
254,1996,8.,Garret Anderson, 140
255,1996,9.,Luis Gonzalez, 139
256,1996,10.,Greg Vaughn, 137
257,1995,1.,Barry Bonds, 143
258,1995,2.,Albert Belle, 142
259,1995,3.,Marty Cordova, 132
260,1995,4.,Luis Gonzalez, 129
261,1995,5.,Brady Anderson, 121
262,1995,6.,Dante Bichette, 120
263,1995,7.,Bernard Gilkey, 118
264,1995,7.,Jeff Conine, 118
265,1995,7.,Mike Greenwell, 118
266,1995,10.,Ron Gant, 117
267,1994,1.,Barry Bonds, 112
268,1994,2.,Luis Gonzalez, 111
269,1994,3.,Juan Gonzalez, 107
270,1994,4.,Albert Belle, 104
271,1994,4.,Tony Phillips, 104
272,1994,6.,Bernard Gilkey, 102
273,1994,7.,Vince Coleman, 99
274,1994,8.,Jeff Conine, 97
275,1994,9.,Tim Raines, 96
276,1994,10.,Derrick May, 92
277,1993,1.,Barry Bonds, 157
278,1993,2.,Ron Gant, 155
279,1993,3.,Albert Belle, 150
280,1993,4.,Luis Gonzalez, 149
281,1993,5.,Jeff Conine, 147
282,1993,6.,Luis Polonia, 141
283,1993,7.,Mike Greenwell, 134
284,1993,7.,Phil Plantier, 134
285,1993,9.,Bernard Gilkey, 132
286,1993,10.,Juan Gonzalez, 129
287,1992,1.,Shane Mack, 150
288,1992,2.,Brady Anderson, 148
289,1992,3.,Barry Bonds, 139
290,1992,4.,Ron Gant, 138
291,1992,5.,Greg Vaughn, 131
292,1992,6.,Tim Raines, 129
293,1992,6.,Candy Maldonado, 129
294,1992,8.,Jerald Clark, 115
295,1992,9.,Luis Gonzalez, 111
296,1992,10.,Kevin Reimer, 110
297,1992,10.,Bernard Gilkey, 110
298,1991,1.,Barry Bonds, 150
299,1991,2.,George Bell, 146
300,1991,3.,Luis Polonia, 143
301,1991,3.,Mike Greenwell, 143
302,1991,5.,Greg Vaughn, 135
303,1991,6.,Tim Raines, 133
304,1991,6.,Luis Gonzalez, 133
305,1991,8.,Kal Daniels, 132
306,1991,9.,Dan Gladden, 126
307,1991,10.,Kevin McReynolds, 125
308,1990,1.,Mike Greenwell, 159
309,1990,2.,Barry Bonds, 149
310,1990,3.,Kevin McReynolds, 144
311,1990,4.,Kevin Mitchell, 138
312,1990,5.,Pete Incaviglia, 135
313,1990,6.,Dan Gladden, 133
314,1990,7.,Ivan Calderon, 130
