,Year,Rank,Name,Stat
0,2020,1.,Alex Verdugo, 6
1,2020,2.,Eddie Rosario, 5
2,2020,3.,Bryan Reynolds, 4
3,2020,3.,Tim Lopes, 4
4,2020,3.,Alex Gordon, 4
5,2020,6.,Christin Stewart, 3
6,2020,6.,Kyle Schwarber, 3
7,2020,6.,Jurickson Profar, 3
8,2020,6.,Lourdes Gurriel Jr., 3
9,2020,6.,Corey Dickerson, 3
10,2020,6.,Raimel Tapia, 3
11,2019,1.,Lourdes Gurriel Jr., 9
12,2019,2.,Tommy Pham, 8
13,2019,3.,Eddie Rosario, 7
14,2019,3.,Alex Gordon, 7
15,2019,3.,Andrew Benintendi, 7
16,2019,3.,Teoscar Hernandez, 7
17,2019,3.,Kyle Schwarber, 7
18,2019,8.,Eloy Jimenez, 6
19,2019,8.,Ryan Braun, 6
20,2019,8.,Jay Bruce, 6
21,2018,1.,Andrew Benintendi, 11
22,2018,1.,Kyle Schwarber, 11
23,2018,3.,Eddie Rosario, 9
24,2018,3.,Alex Gordon, 9
25,2018,5.,Trey Mancini, 8
26,2018,5.,Teoscar Hernandez, 8
27,2018,7.,Gerardo Parra, 7
28,2018,7.,Corey Dickerson, 7
29,2018,7.,Adam Duvall, 7
30,2018,7.,Justin Upton, 7
31,2017,1.,Adam Duvall, 15
32,2017,2.,Andrew Benintendi, 11
33,2017,3.,Brett Gardner, 10
34,2017,3.,Marcell Ozuna, 10
35,2017,5.,Melky Cabrera, 9
36,2017,5.,Justin Upton, 9
37,2017,7.,Gerardo Parra, 8
38,2017,7.,Michael Brantley, 8
39,2017,7.,Alex Gordon, 8
40,2017,10.,Kyle Schwarber, 7
41,2017,10.,Nori Aoki, 7
42,2017,10.,Ryan Braun, 7
43,2016,1.,Starling Marte, 17
44,2016,2.,Melky Cabrera, 12
45,2016,2.,Ryan Braun, 12
46,2016,4.,Colby Rasmus, 11
47,2016,5.,Brett Gardner, 9
48,2016,6.,Melvin Upton Jr., 8
49,2016,6.,Adam Duvall, 8
50,2016,8.,Gerardo Parra, 7
51,2016,9.,Rafael Ortega, 6
52,2016,9.,Alex Gordon, 6
53,2016,9.,Brock Holt, 6
54,2015,1.,Starling Marte, 15
55,2015,2.,Eddie Rosario, 12
56,2015,3.,Yoenis Céspedes, 10
57,2015,4.,Justin Upton, 9
58,2015,5.,Melky Cabrera, 8
59,2015,5.,Chris Coghlan, 8
60,2015,7.,Sam Fuld, 7
61,2015,7.,Michael Brantley, 7
62,2015,7.,Scott Van Slyke, 7
63,2015,10.,Brett Gardner, 6
64,2015,10.,Michael Conforto, 6
65,2014,1.,Yoenis Céspedes, 16
66,2014,2.,Melky Cabrera, 13
67,2014,3.,Michael Brantley, 10
68,2014,4.,Bryce Harper, 9
69,2014,5.,Alex Gordon, 8
70,2014,6.,Chris Young, 6
71,2014,6.,Christian Yelich, 6
72,2014,6.,Eric Young Jr., 6
73,2014,6.,Rajai Davis, 6
74,2014,10.,Justin Upton, 5
75,2014,10.,Matt Holliday, 5
76,2014,10.,Chris Coghlan, 5
77,2014,10.,Matthew Joyce, 5
78,2014,10.,Alejandro De Aza, 5
79,2014,10.,Mark Trumbo, 5
80,2013,1.,Alex Gordon, 17
81,2013,2.,Alfonso Soriano, 12
82,2013,2.,Dayán Viciedo, 12
83,2013,4.,Bryce Harper, 11
84,2013,4.,Michael Brantley, 11
85,2013,4.,Carlos Gonzalez, 11
86,2013,7.,David Murphy, 10
87,2013,8.,Yoenis Céspedes, 9
88,2013,8.,Domonic Brown, 9
89,2013,10.,JB Shuck, 7
90,2013,10.,Eric Young Jr., 7
91,2013,10.,Andy Dirks, 7
92,2012,1.,Alex Gordon, 17
93,2012,2.,Dayán Viciedo, 13
94,2012,2.,Jason Kubel, 13
95,2012,4.,Alfonso Soriano, 12
96,2012,5.,J.D. Martinez, 9
97,2012,5.,Martin Prado, 9
98,2012,7.,Rajai Davis, 8
99,2012,8.,Carlos Gonzalez, 7
100,2012,9.,Yoenis Céspedes, 6
101,2012,9.,Ryan Braun, 6
102,2012,9.,Matt Holliday, 6
103,2012,9.,Melky Cabrera, 6
104,2012,9.,Josh Willingham, 6
105,2011,1.,Alex Gordon, 20
106,2011,2.,Gerardo Parra, 12
107,2011,3.,Carlos Lee, 10
108,2011,4.,Ryan Ludwick, 9
109,2011,5.,Alfonso Soriano, 8
110,2011,5.,Ryan Braun, 8
111,2011,7.,Tony Gwynn, 7
112,2011,7.,Brett Gardner, 7
113,2011,7.,Delmon Young, 7
114,2011,10.,Logan Morrison, 6
115,2011,10.,Martin Prado, 6
116,2011,10.,Laynce Nix, 6
117,2010,1.,Delmon Young, 12
118,2010,2.,Brett Gardner, 9
