,Year,Rank,Name,Stat
0,2020,1.,Starling Marte, 61
1,2020,2.,Trent Grisham, 59
2,2020,3.,Kyle Lewis, 57
3,2020,4.,Luis Robert, 56
4,2020,5.,Jackie Bradley Jr., 55
5,2020,6.,Ramon Laureano, 53
6,2020,7.,Victor Robles, 52
7,2020,7.,Mike Trout, 52
8,2020,9.,Ian Happ, 51
9,2020,10.,Aaron Hicks, 50
10,2019,1.,Jackie Bradley Jr., 144
11,2019,2.,Lorenzo Cain, 143
12,2019,3.,Victor Robles, 141
13,2019,4.,Manuel Margot, 135
14,2019,5.,Kevin Pillar, 133
15,2019,6.,Starling Marte, 130
16,2019,7.,Juan Lagares, 125
17,2019,7.,Albert Almora, 125
18,2019,7.,Kevin Kiermaier, 125
19,2019,10.,Mike Trout, 122
20,2019,10.,Harrison Bader, 122
21,2018,1.,Ender Inciarte, 155
22,2018,2.,Charlie Blackmon, 151
23,2018,3.,Billy Hamilton, 150
24,2018,4.,Kevin Pillar, 142
25,2018,5.,Adam Engel, 140
26,2018,6.,Starling Marte, 139
27,2018,7.,Lorenzo Cain, 138
28,2018,8.,Albert Almora, 137
29,2018,9.,Manuel Margot, 136
30,2018,10.,Jackie Bradley Jr., 135
31,2017,1.,Charlie Blackmon, 158
32,2017,2.,Ender Inciarte, 156
33,2017,3.,Christian Yelich, 155
34,2017,4.,Kevin Pillar, 153
35,2017,5.,Lorenzo Cain, 151
36,2017,6.,Adam Jones, 147
37,2017,7.,Andrew McCutchen, 139
38,2017,7.,Keon Broxton, 139
39,2017,9.,Byron Buxton, 137
40,2017,9.,Billy Hamilton, 137
41,2016,1.,Jackie Bradley Jr., 156
42,2016,2.,Odubel Herrera, 155
43,2016,3.,Adam Jones, 152
44,2016,4.,Andrew McCutchen, 151
45,2016,5.,Mike Trout, 148
46,2016,5.,Jacoby Ellsbury, 148
47,2016,7.,Kevin Pillar, 146
48,2016,8.,Leonys Martín, 143
49,2016,9.,Charlie Blackmon, 138
50,2016,10.,Denard Span, 137
51,2015,1.,Mike Trout, 156
52,2015,2.,Dexter Fowler, 152
53,2015,2.,Andrew McCutchen, 152
54,2015,4.,AJ Pollock, 151
55,2015,5.,Kevin Kiermaier, 148
56,2015,6.,Charlie Blackmon, 147
57,2015,6.,Joc Pederson, 147
58,2015,8.,Adam Eaton, 145
59,2015,9.,Kevin Pillar, 142
60,2015,10.,Cameron Maybin, 139
61,2014,1.,Adam Jones, 155
62,2014,2.,Austin Jackson, 154
63,2014,3.,Leonys Martín, 152
64,2014,4.,Mike Trout, 149
65,2014,5.,Denard Span, 147
66,2014,6.,Andrew McCutchen, 146
67,2014,7.,Carlos Gomez, 145
68,2014,8.,Billy Hamilton, 144
69,2014,9.,Jacoby Ellsbury, 141
70,2014,9.,Ben Revere, 141
71,2013,1.,Adam Jones, 156
72,2013,2.,Andrew McCutchen, 155
73,2013,3.,Denard Span, 153
74,2013,4.,Jon Jay, 152
75,2013,5.,Shin-Soo Choo, 150
76,2013,6.,Carlos Gomez, 145
77,2013,7.,Brett Gardner, 138
78,2013,8.,Desmond Jennings, 136
79,2013,9.,Jacoby Ellsbury, 134
80,2013,10.,Austin Jackson, 129
81,2012,1.,Adam Jones, 162
82,2012,2.,Curtis Granderson, 157
83,2012,3.,Andrew McCutchen, 156
84,2012,4.,Michael Bourn, 153
85,2012,5.,Angel Pagan, 151
86,2012,6.,Colby Rasmus, 145
87,2012,6.,Cameron Maybin, 145
88,2012,8.,Michael Brantley, 144
89,2012,9.,Melvin Upton Jr., 142
90,2012,10.,Austin Jackson, 137
91,2011,1.,Matt Kemp, 159
92,2011,2.,Drew Stubbs, 157
93,2011,3.,Michael Bourn, 156
94,2011,4.,Andrew McCutchen, 155
95,2011,4.,Curtis Granderson, 155
96,2011,4.,Chris Young, 155
97,2011,7.,Jacoby Ellsbury, 154
98,2011,8.,Austin Jackson, 152
99,2011,9.,Melvin Upton Jr., 151
100,2011,10.,Adam Jones, 148
101,2010,1.,Matt Kemp, 158
102,2010,2.,Chris Young, 156
103,2010,3.,Melvin Upton Jr., 154
104,2010,4.,Denard Span, 153
105,2010,5.,Andrew McCutchen, 152
106,2010,6.,Marlon Byrd, 151
107,2010,6.,Vernon Wells, 151
108,2010,8.,Austin Jackson, 149
109,2010,8.,Adam Jones, 149
110,2010,10.,Drew Stubbs, 147
111,2009,1.,Curtis Granderson, 160
112,2009,2.,Matt Kemp, 158
113,2009,3.,Vernon Wells, 155
114,2009,4.,Michael Bourn, 154
115,2009,5.,Franklin Gutierrez, 153
116,2009,5.,Jacoby Ellsbury, 153
117,2009,7.,Shane Victorino, 149
118,2009,8.,Mike Cameron, 147
119,2009,9.,Melvin Upton Jr., 144
120,2009,10.,Aaron Rowand, 137
121,2008,1.,Chris Young, 159
122,2008,2.,Carlos Beltran, 158
123,2008,3.,Carlos Gomez, 151
124,2008,3.,Grady Sizemore, 151
125,2008,5.,Aaron Rowand, 149
126,2008,5.,Nate McLouth, 149
127,2008,7.,Melvin Upton Jr., 143
128,2008,8.,Curtis Granderson, 140
129,2008,9.,Shane Victorino, 139
130,2008,10.,Torii Hunter, 137
131,2007,1.,Juan Pierre, 162
132,2007,2.,Aaron Rowand, 161
133,2007,3.,Grady Sizemore, 160
134,2007,4.,Curtis Granderson, 157
135,2007,5.,David DeJesus, 156
136,2007,6.,Ichiro Suzuki, 155
137,2007,6.,Torii Hunter, 155
138,2007,8.,Andruw Jones, 154
139,2007,9.,Mike Cameron, 150
140,2007,10.,Vernon Wells, 148
141,2006,1.,Juan Pierre, 162
142,2006,2.,Grady Sizemore, 160
143,2006,3.,Curtis Granderson, 157
144,2006,4.,Andruw Jones, 153
145,2006,5.,Vernon Wells, 150
146,2006,6.,Torii Hunter, 143
147,2006,7.,Gary Matthews, 142
148,2006,8.,Mike Cameron, 141
149,2006,9.,Willy Taveras, 138
150,2006,10.,Carlos Beltran, 136
151,2005,1.,Juan Pierre, 160
152,2005,2.,Andruw Jones, 159
153,2005,3.,Aaron Rowand, 157
154,2005,4.,Vernon Wells, 155
155,2005,4.,Grady Sizemore, 155
156,2005,6.,Carlos Beltran, 150
157,2005,7.,Willy Taveras, 148
158,2005,8.,Johnny Damon, 147
159,2005,9.,Brady Clark, 145
160,2005,10.,Jim Edmonds, 139
161,2004,1.,Juan Pierre, 162
162,2004,2.,Carlos Beltran, 158
163,2004,2.,Steve Finley, 158
164,2004,4.,Corey Patterson, 157
165,2004,5.,Andruw Jones, 154
166,2004,6.,Scott Podsednik, 153
167,2004,7.,Johnny Damon, 148
168,2004,8.,Tike Redman, 147
169,2004,9.,Jim Edmonds, 146
170,2004,10.,Mark Kotsay, 145
171,2003,1.,Vernon Wells, 161
172,2003,1.,Juan Pierre, 161
173,2003,3.,Andruw Jones, 155
174,2003,4.,Rocco Baldelli, 154
175,2003,4.,Preston Wilson, 154
176,2003,6.,Torii Hunter, 151
177,2003,7.,Craig Biggio, 150
178,2003,8.,Marquis Grissom, 148
179,2003,9.,Mike Cameron, 147
180,2003,10.,Johnny Damon, 144
181,2002,1.,Terrence Long, 162
182,2002,2.,Mike Cameron, 155
183,2002,3.,Andruw Jones, 154
184,2002,4.,Johnny Damon, 151
185,2002,5.,Carlos Beltran, 149
186,2002,5.,Juan Pierre, 149
187,2002,7.,Mark Kotsay, 147
188,2002,7.,Corey Patterson, 147
189,2002,7.,Bernie Williams, 147
190,2002,10.,Vernon Wells, 146
191,2002,10.,Torii Hunter, 146
192,2001,1.,Andruw Jones, 161
193,2001,2.,Juan Pierre, 154
194,2001,3.,Carlos Beltran, 152
195,2001,4.,Doug Glanville, 150
196,2001,5.,Mike Cameron, 149
197,2001,6.,Torii Hunter, 147
198,2001,6.,Jim Edmonds, 147
199,2001,8.,Darin Erstad, 146
200,2001,9.,Bernie Williams, 144
201,2001,10.,Jose Cruz, 133
202,2001,10.,Gabe Kapler, 133
203,2000,1.,Jose Cruz, 162
204,2000,2.,Andruw Jones, 161
205,2000,3.,Preston Wilson, 158
206,2000,4.,Mike Cameron, 155
207,2000,5.,Doug Glanville, 150
208,2000,6.,Steve Finley, 148
209,2000,7.,Jim Edmonds, 146
210,2000,8.,Chris Singleton, 143
211,2000,8.,Jay Payton, 143
212,2000,10.,Marquis Grissom, 142
213,1999,1.,Andruw Jones, 162
214,1999,2.,Ken Griffey Jr., 158
215,1999,3.,Bernie Williams, 155
216,1999,3.,Steve Finley, 155
217,1999,5.,Carlos Beltran, 154
218,1999,6.,Marquis Grissom, 149
219,1999,7.,Doug Glanville, 148
220,1999,8.,Mike Cameron, 146
221,1999,9.,Ruben Rivera, 143
222,1999,10.,Darryl Hamilton, 134
223,1998,1.,Andruw Jones, 159
224,1998,2.,Ken Griffey Jr., 158
