,Year,Rank,Name,Stat
0,2020,1.,Kevin Kiermaier, 6
1,2020,2.,Ian Happ, 3
2,2020,2.,Roman Quinn, 3
3,2020,2.,Starling Marte, 3
4,2020,2.,Aaron Hicks, 3
5,2020,2.,Jackie Bradley Jr., 3
6,2020,2.,Trent Grisham, 3
7,2020,8.,Avisail Garcia, 2
8,2020,8.,Harrison Bader, 2
9,2020,8.,Randal Grichuk, 2
10,2020,8.,Nick Senzel, 2
11,2020,8.,Delino DeShields, 2
12,2020,8.,Luis Robert, 2
13,2020,8.,Billy Hamilton, 2
14,2020,8.,Dylan Carlson, 2
15,2020,8.,Ramon Laureano, 2
16,2019,1.,Victor Robles, 12
17,2019,2.,Jackie Bradley Jr., 10
18,2019,3.,Starling Marte, 8
19,2019,3.,Harrison Bader, 8
20,2019,3.,Ramon Laureano, 8
21,2019,3.,Leury Garcia, 8
22,2019,7.,Jarrod Dyson, 6
23,2019,7.,Kevin Kiermaier, 6
24,2019,9.,Bubba Starling, 5
25,2019,9.,Mike Trout, 5
26,2019,9.,Oscar Mercado, 5
27,2019,9.,Lorenzo Cain, 5
28,2019,9.,Byron Buxton, 5
29,2019,9.,Kevin Pillar, 5
30,2018,1.,Billy Hamilton, 12
31,2018,2.,Lorenzo Cain, 11
32,2018,3.,Starling Marte, 10
33,2018,4.,Jackie Bradley Jr., 9
34,2018,4.,Ramon Laureano, 9
35,2018,4.,Leonys Martín, 9
36,2018,7.,Kevin Pillar, 7
37,2018,7.,Mike Trout, 7
38,2018,9.,Ender Inciarte, 6
39,2018,9.,Michael A. Taylor, 6
40,2018,9.,Delino DeShields, 6
41,2017,1.,Billy Hamilton, 13
42,2017,2.,Jarrod Dyson, 10
43,2017,3.,Andrew McCutchen, 8
44,2017,3.,Michael A. Taylor, 8
45,2017,3.,Kevin Pillar, 8
46,2017,3.,Bradley Zimmer, 8
47,2017,7.,Leury Garcia, 7
48,2017,7.,Juan Lagares, 7
49,2017,7.,Ender Inciarte, 7
50,2017,10.,Odubel Herrera, 6
51,2017,10.,Byron Buxton, 6
52,2017,10.,Jackie Bradley Jr., 6
53,2017,10.,Manuel Margot, 6
54,2017,10.,Lorenzo Cain, 6
55,2017,10.,AJ Pollock, 6
56,2016,1.,Jackie Bradley Jr., 13
57,2016,2.,Ender Inciarte, 12
58,2016,3.,Leonys Martín, 11
59,2016,3.,Odubel Herrera, 11
60,2016,5.,Billy Hamilton, 9
61,2016,6.,Randal Grichuk, 8
62,2016,6.,Jake Marisnick, 8
63,2016,8.,Mike Trout, 7
64,2016,8.,Carlos Gomez, 7
65,2016,8.,Kevin Kiermaier, 7
66,2015,1.,Kevin Kiermaier, 15
67,2015,2.,Leonys Martín, 13
68,2015,2.,Adam Jones, 13
69,2015,4.,Mookie Betts, 10
70,2015,5.,Aaron Hicks, 8
71,2015,5.,Billy Hamilton, 8
72,2015,5.,Charlie Blackmon, 8
73,2015,5.,Adam Eaton, 8
74,2015,5.,Jake Marisnick, 8
75,2015,10.,Mike Trout, 7
76,2015,10.,Cameron Maybin, 7
77,2015,10.,Kevin Pillar, 7
78,2015,10.,Andrew McCutchen, 7
79,2014,1.,Jackie Bradley Jr., 13
80,2014,2.,Leonys Martín, 11
81,2014,3.,Billy Hamilton, 10
82,2014,4.,Melvin Upton Jr., 9
83,2014,4.,Adam Eaton, 9
84,2014,6.,AJ Pollock, 8
85,2014,6.,Ender Inciarte, 8
86,2014,6.,Yasiel Puig, 8
87,2014,6.,Marcell Ozuna, 8
88,2014,10.,Denard Span, 7
89,2014,10.,Carlos Gomez, 7
90,2014,10.,Drew Stubbs, 7
91,2014,10.,Adam Jones, 7
92,2013,1.,Juan Lagares, 14
93,2013,2.,Carlos Gomez, 12
94,2013,3.,Andrew McCutchen, 11
95,2013,3.,Adam Jones, 11
96,2013,3.,Leonys Martín, 11
97,2013,6.,Aaron Hicks, 9
98,2013,7.,AJ Pollock, 8
99,2013,7.,Brandon Barnes, 8
100,2013,7.,Shin-Soo Choo, 8
101,2013,10.,Lorenzo Cain, 7
102,2012,1.,Melvin Upton Jr., 10
103,2012,2.,Carlos Gomez, 9
104,2012,3.,Jarrod Dyson, 8
105,2012,4.,Colby Rasmus, 7
106,2012,4.,Angel Pagan, 7
107,2012,4.,Matt Kemp, 7
108,2012,4.,Adam Jones, 7
109,2012,4.,Craig Gentry, 7
110,2012,4.,Shane Victorino, 7
111,2012,10.,Denard Span, 6
112,2012,10.,Andres Torres, 6
113,2011,1.,Adam Jones, 16
114,2011,2.,Melky Cabrera, 13
115,2011,3.,Curtis Granderson, 11
116,2011,3.,Matt Kemp, 11
117,2011,5.,Andrew McCutchen, 9
118,2011,6.,Austin Jackson, 8
119,2011,6.,Drew Stubbs, 8
120,2011,6.,Marlon Byrd, 8
121,2011,6.,Rick Ankiel, 8
122,2011,10.,Franklin Gutierrez, 7
123,2011,10.,Peter Bourjos, 7
124,2010,1.,Adam Jones, 12
125,2010,2.,Shane Victorino, 11
126,2010,3.,Peter Bourjos, 10
127,2010,3.,Chris Young, 10
128,2010,5.,Austin Jackson, 9
129,2010,6.,Michael Bourn, 8
130,2010,6.,Andrew McCutchen, 8
131,2010,8.,Drew Stubbs, 7
132,2010,8.,Darnell McDonald, 7
133,2010,8.,Angel Pagan, 7
134,2009,1.,Matt Kemp, 14
135,2009,2.,Michael Bourn, 11
136,2009,3.,Mitch Maier, 10
137,2009,3.,Andrew McCutchen, 10
138,2009,5.,Adam Jones, 9
139,2009,5.,Nate McLouth, 9
140,2009,7.,Rajai Davis, 8
141,2009,7.,Shane Victorino, 8
142,2009,7.,Nyjer Morgan, 8
143,2009,10.,Willy Taveras, 7
144,2008,1.,Melvin Upton Jr., 16
145,2008,2.,Alex Rios, 10
146,2008,2.,Matt Kemp, 10
147,2008,4.,Carlos Gomez, 9
148,2008,4.,Michael Bourn, 9
149,2008,6.,Carlos Beltran, 8
150,2008,7.,Melky Cabrera, 7
151,2008,7.,Cody Ross, 7
152,2008,7.,Shane Victorino, 7
153,2008,10.,Willy Taveras, 6
154,2008,10.,Aaron Rowand, 6
155,2008,10.,Jay Payton, 6
156,2008,10.,Alfredo Amezaga, 6
157,2007,1.,Melky Cabrera, 14
158,2007,2.,Aaron Rowand, 11
159,2007,2.,Melvin Upton Jr., 11
160,2007,4.,Curtis Granderson, 10
161,2007,5.,Ichiro Suzuki, 8
162,2007,5.,Corey Patterson, 8
163,2007,5.,Alfredo Amezaga, 8
164,2007,5.,Jim Edmonds, 8
165,2007,5.,Jacque Jones, 8
166,2007,10.,Mike Cameron, 7
167,2007,10.,Gary Matthews, 7
168,2007,10.,Coco Crisp, 7
169,2007,10.,Willy Taveras, 7
170,2006,1.,Carlos Beltran, 13
171,2006,2.,Willy Taveras, 9
172,2006,3.,Torii Hunter, 8
173,2006,3.,Gary Matthews, 8
174,2006,5.,Corey Patterson, 7
175,2006,5.,Grady Sizemore, 7
176,2006,5.,David DeJesus, 7
177,2006,5.,Jose Bautista, 7
178,2006,5.,Chone Figgins, 7
179,2006,10.,Ken Griffey Jr., 6
180,2006,10.,Mike Cameron, 6
181,2006,10.,Rocco Baldelli, 6
182,2006,10.,Aaron Rowand, 6
183,2006,10.,Mark Kotsay, 6
184,2006,10.,Shane Victorino, 6
185,2005,1.,Vernon Wells, 12
186,2005,2.,Andruw Jones, 11
187,2005,3.,Willy Taveras, 10
188,2005,4.,Torii Hunter, 9
189,2005,5.,Juan Pierre, 7
190,2005,5.,David DeJesus, 7
191,2005,5.,Jeremy Reed, 7
192,2005,5.,Kenny Lofton, 7
193,2005,5.,Mark Kotsay, 7
194,2005,5.,Lew Ford, 7
195,2005,5.,Luis Matos, 7
196,2004,1.,Carlos Beltran, 12
197,2004,2.,Rocco Baldelli, 11
198,2004,2.,Jay Payton, 11
199,2004,2.,Jim Edmonds, 11
200,2004,2.,Mark Kotsay, 11
201,2004,6.,Andruw Jones, 10
202,2004,7.,Endy Chavez, 9
203,2004,8.,Corey Patterson, 8
204,2004,8.,Aaron Rowand, 8
205,2004,10.,Mike Cameron, 6
206,2003,1.,Rocco Baldelli, 14
207,2003,2.,Mark Kotsay, 13
208,2003,3.,Jim Edmonds, 12
209,2003,4.,Carlos Beltran, 10
210,2003,5.,Endy Chavez, 9
211,2003,5.,Steve Finley, 9
212,2003,5.,Craig Biggio, 9
213,2003,8.,Kenny Lofton, 8
214,2003,8.,Andruw Jones, 8
215,2003,8.,Preston Wilson, 8
216,2002,1.,Carlos Beltran, 12
217,2002,2.,Darin Erstad, 11
218,2002,2.,Mark Kotsay, 11
219,2002,2.,Jim Edmonds, 11
220,2002,5.,Vernon Wells, 10
221,2002,5.,Randy Winn, 10
222,2002,7.,Milton Bradley, 9
223,2002,7.,Tsuyoshi Shinjo, 9
224,2002,9.,Preston Wilson, 8
225,2002,10.,Endy Chavez, 7
226,2002,10.,Johnny Damon, 7
227,2002,10.,Torii Hunter, 7
228,2002,10.,Doug Glanville, 7
229,2002,10.,Jay Payton, 7
230,2001,1.,Torii Hunter, 14
231,2001,1.,Carlos Beltran, 14
232,2001,3.,Jim Edmonds, 12
233,2001,3.,Preston Wilson, 12
234,2001,5.,Darin Erstad, 10
235,2001,5.,Andruw Jones, 10
236,2001,7.,Gabe Kapler, 8
237,2001,7.,Doug Glanville, 8
238,2001,7.,Mike Cameron, 8
239,2001,7.,Richard Hidalgo, 8
240,2000,1.,Peter Bergeron, 15
241,2000,2.,Torii Hunter, 12
242,2000,3.,Carl Everett, 11
243,2000,4.,Ruben Rivera, 10
244,2000,4.,Andruw Jones, 10
245,2000,4.,Marvin Benard, 10
246,2000,4.,Steve Finley, 10
247,2000,8.,Preston Wilson, 9
248,2000,8.,Ken Griffey Jr., 9
249,2000,8.,Jim Edmonds, 9
250,2000,8.,Doug Glanville, 9
251,1999,1.,Carlos Beltran, 16
252,1999,2.,Doug Glanville, 13
253,1999,2.,Andruw Jones, 13
254,1999,4.,Kenny Lofton, 11
255,1999,5.,Carl Everett, 10
256,1999,5.,Ken Griffey Jr., 10
257,1999,7.,Bernie Williams, 9
258,1999,7.,Manny Martinez, 9
259,1999,7.,J.D. Drew, 9
260,1999,7.,Chris Singleton, 9
261,1998,1.,Andruw Jones, 20
262,1998,2.,Kenny Lofton, 19
263,1998,3.,Doug Glanville, 14
264,1998,4.,Steve Finley, 12
265,1998,4.,Quinton McCracken, 12
266,1998,4.,Carl Everett, 12
267,1998,7.,Brian Hunter, 11
268,1998,7.,Ken Griffey Jr., 11
269,1998,9.,Jim Edmonds, 10
270,1998,10.,Johnny Damon, 9
271,1998,10.,Todd Dunwoody, 9
272,1997,1.,Steve Finley, 9
273,1997,1.,Darren Bragg, 9
274,1997,1.,Ken Griffey Jr., 9
275,1997,1.,Jim Edmonds, 9
276,1997,1.,Damon Mashore, 9
277,1997,6.,Gerald Williams, 8
278,1997,6.,Brian Hunter, 8
279,1997,8.,Marquis Grissom, 7
280,1997,8.,Andruw Jones, 7
281,1997,8.,Damon Buford, 7
282,1996,1.,Rich Becker, 16
283,1996,2.,Kenny Lofton, 13
284,1996,3.,Brian Hunter, 11
285,1996,4.,Ken Griffey Jr., 10
286,1996,4.,Bernie Williams, 10
287,1996,6.,Marquis Grissom, 9
288,1996,6.,Lance Johnson, 9
289,1996,8.,Ernie Young, 8
290,1996,8.,Brady Anderson, 8
291,1996,8.,Lee Tinsley, 8
292,1996,8.,Ricky Otero, 8
293,1996,8.,Ray Lankford, 8
294,1995,1.,Kenny Lofton, 11
295,1995,1.,Rich Becker, 11
296,1995,3.,Marquis Grissom, 9
297,1995,4.,Steve Finley, 8
298,1995,4.,Chuck Carr, 8
299,1995,4.,Brian Hunter, 8
300,1995,4.,Jim Edmonds, 8
301,1995,4.,Jacob Brumfield, 8
302,1995,4.,Lance Johnson, 8
303,1995,10.,Andy Van Slyke, 7
304,1995,10.,Devon White, 7
305,1995,10.,Ray Lankford, 7
306,1994,1.,Kenny Lofton, 13
307,1994,2.,Ken Griffey Jr., 12
308,1994,3.,Chad Curtis, 9
309,1994,3.,Steve Finley, 9
310,1994,3.,Andy Van Slyke, 9
311,1994,6.,Brett Butler, 8
312,1994,7.,Bernie Williams, 7
313,1994,8.,Marquis Grissom, 6
314,1994,9.,Roberto Kelly, 5
315,1994,9.,Ryan Thompson, 5
316,1994,9.,Ray Lankford, 5
317,1994,9.,Darren Lewis, 5
318,1993,1.,Chad Curtis, 13
319,1993,2.,Steve Finley, 12
320,1993,3.,Kenny Lofton, 11
321,1993,4.,Derek Bell, 8
322,1993,4.,Kirby Puckett, 8
323,1993,4.,Ken Griffey Jr., 8
324,1993,4.,Marquis Grissom, 8
325,1993,8.,Chuck Carr, 7
326,1993,8.,Mike Devereaux, 7
327,1993,10.,Lance Johnson, 6
328,1993,10.,Robin Yount, 6
329,1993,10.,Billy Hatcher, 6
330,1993,10.,Devon White, 6
331,1993,10.,Brett Butler, 6
332,1993,10.,Jacob Brumfield, 6
333,1993,10.,Ray Lankford, 6
334,1992,1.,Darrin Jackson, 18
335,1992,2.,Kenny Lofton, 14
336,1992,3.,Andy Van Slyke, 11
337,1992,3.,Lance Johnson, 11
338,1992,5.,Devon White, 9
339,1992,5.,Kirby Puckett, 9
340,1992,5.,Brett Butler, 9
341,1992,5.,Junior Felix, 9
342,1992,9.,Ken Griffey Jr., 8
343,1992,9.,Reggie Sanders, 8
