,Year,Rank,Name,Stat
0,2020,1.,Kyle Lewis, 2
1,2020,1.,Harrison Bader, 2
2,2020,1.,Aaron Hicks, 2
3,2020,1.,Trent Grisham, 2
4,2020,1.,Edward Olivares, 2
5,2020,1.,Brandon Nimmo, 2
6,2020,1.,Leody Taveras, 2
7,2020,8.,Jo Adell, 1
8,2020,8.,Jake Marisnick, 1
9,2020,8.,Jarrod Dyson, 1
10,2020,8.,Bradley Zimmer, 1
11,2020,8.,Ender Inciarte, 1
12,2020,8.,Jonathan Villar, 1
13,2020,8.,Randal Grichuk, 1
14,2020,8.,Mallex Smith, 1
15,2020,8.,Roman Quinn, 1
16,2020,8.,Whit Merrifield, 1
17,2020,8.,Starling Marte, 1
18,2020,8.,Scott Heineman, 1
19,2020,8.,Nick Senzel, 1
20,2019,1.,Ramon Laureano, 7
21,2019,2.,Victor Robles, 6
22,2019,3.,Starling Marte, 5
23,2019,3.,Delino DeShields, 5
24,2019,5.,Nick Senzel, 4
25,2019,5.,Jackie Bradley Jr., 4
26,2019,5.,Lewis Brinson, 4
27,2019,5.,Mike Trout, 4
28,2019,5.,Harrison Bader, 4
29,2019,5.,JaCoby Jones, 4
30,2019,5.,Mallex Smith, 4
31,2019,5.,Kevin Pillar, 4
32,2019,5.,Ian Desmond, 4
33,2019,5.,Leury Garcia, 4
34,2019,5.,Kevin Kiermaier, 4
35,2018,1.,Lewis Brinson, 9
36,2018,2.,Delino DeShields, 7
37,2018,2.,Adam Engel, 7
38,2018,4.,Kevin Pillar, 6
39,2018,4.,Lorenzo Cain, 6
40,2018,6.,Tommy Pham, 5
41,2018,6.,Jackie Bradley Jr., 5
42,2018,6.,Ender Inciarte, 5
43,2018,6.,Gorkys Hernandez, 5
44,2018,6.,Dee Strange-Gordon, 5
45,2017,1.,Keon Broxton, 7
46,2017,1.,Lorenzo Cain, 7
47,2017,3.,Kevin Kiermaier, 6
48,2017,4.,Byron Buxton, 5
49,2017,4.,Adam Jones, 5
50,2017,6.,Carlos Gomez, 4
51,2017,6.,Andrew McCutchen, 4
52,2017,6.,Michael A. Taylor, 4
53,2017,6.,Charlie Blackmon, 4
54,2017,6.,Jackie Bradley Jr., 4
55,2016,1.,Ian Desmond, 9
56,2016,1.,Odubel Herrera, 9
57,2016,3.,Kevin Pillar, 6
58,2016,4.,Marcell Ozuna, 5
59,2016,4.,Michael Bourn, 5
60,2016,6.,Keon Broxton, 4
