,Year,Rank,Name,Stat
0,2020,1.,Michael Conforto, 6
1,2020,1.,Teoscar Hernandez, 6
2,2020,3.,Tyler Naquin, 5
3,2020,4.,Anthony Santander, 4
4,2020,4.,Charlie Blackmon, 4
5,2020,6.,Kevin Pillar, 3
6,2020,6.,Joey Gallo, 3
7,2020,8.,Dylan Moore, 2
8,2020,8.,Jo Adell, 2
9,2020,8.,Max Kepler, 2
10,2020,8.,Stephen Piscotty, 2
11,2020,8.,Jordan Luplow, 2
12,2020,8.,Wil Myers, 2
13,2020,8.,Cesar Puello, 2
14,2020,8.,Jason Heyward, 2
15,2020,8.,Bryce Harper, 2
16,2020,8.,Joc Pederson, 2
17,2019,1.,Bryce Harper, 13
18,2019,2.,Cody Bellinger, 10
19,2019,3.,Tyler Naquin, 9
20,2019,3.,Brian Anderson, 9
21,2019,5.,Yasiel Puig, 8
22,2019,5.,Mookie Betts, 8
23,2019,5.,Hunter Renfroe, 8
24,2019,8.,Christian Yelich, 7
25,2019,8.,Kole Calhoun, 7
26,2019,8.,Michael Conforto, 7
27,2019,8.,Aaron Judge, 7
28,2018,1.,Mitch Haniger, 12
29,2018,2.,Nicholas Castellanos, 10
30,2018,2.,Yasiel Puig, 10
31,2018,4.,Aaron Judge, 9
32,2018,4.,Nick Markakis, 9
33,2018,6.,Josh Reddick, 8
34,2018,6.,Gregory Polanco, 8
35,2018,6.,Andrew McCutchen, 8
36,2018,6.,Brian Anderson, 8
37,2018,6.,Kole Calhoun, 8
38,2017,1.,Avisail Garcia, 13
39,2017,2.,Jose Bautista, 10
40,2017,2.,Kole Calhoun, 10
41,2017,4.,Hunter Renfroe, 9
42,2017,4.,Giancarlo Stanton, 9
43,2017,6.,Bryce Harper, 8
44,2017,6.,Mookie Betts, 8
45,2017,8.,Shin-Soo Choo, 7
46,2017,8.,Max Kepler, 7
47,2017,8.,Scott Schebler, 7
48,2016,1.,Adam Eaton, 15
49,2016,2.,Mookie Betts, 14
50,2016,3.,George Springer, 12
51,2016,4.,Mark Trumbo, 10
52,2016,4.,Jay Bruce, 10
53,2016,6.,Kole Calhoun, 9
54,2016,6.,Gregory Polanco, 9
55,2016,8.,Carlos Gonzalez, 8
56,2016,8.,Matt Kemp, 8
57,2016,8.,Josh Reddick, 8
58,2016,8.,Max Kepler, 8
59,2016,8.,Steven Souza Jr., 8
60,2015,1.,Avisail Garcia, 17
61,2015,2.,J.D. Martinez, 15
62,2015,3.,Gregory Polanco, 13
63,2015,4.,Kole Calhoun, 11
64,2015,4.,Jay Bruce, 11
65,2015,6.,Matt Kemp, 10
66,2015,7.,Jason Heyward, 9
67,2015,7.,Curtis Granderson, 9
68,2015,9.,Carlos Gonzalez, 8
69,2015,9.,Bryce Harper, 8
70,2015,9.,Steven Souza Jr., 8
71,2014,1.,Jose Bautista, 12
72,2014,2.,Nick Markakis, 11
73,2014,3.,Nate Schierholtz, 9
74,2014,3.,Jason Heyward, 9
75,2014,3.,Hunter Pence, 9
76,2014,3.,Kole Calhoun, 9
77,2014,3.,Gerardo Parra, 9
78,2014,8.,Jayson Werth, 8
79,2014,8.,Jay Bruce, 8
80,2014,8.,Daniel Nava, 8
81,2014,8.,Oswaldo Arcia, 8
82,2013,1.,Gerardo Parra, 15
83,2013,2.,Jay Bruce, 13
84,2013,3.,Marlon Byrd, 10
85,2013,4.,Shane Victorino, 9
86,2013,4.,Torii Hunter, 9
