,Year,Rank,Name,Stat
0,2020,1.,Mookie Betts, 4
1,2020,1.,Alex Verdugo, 4
2,2020,3.,Jo Adell, 3
3,2020,3.,Teoscar Hernandez, 3
4,2020,3.,DJ Stewart, 3
5,2020,3.,Nicholas Castellanos, 3
6,2020,3.,Wil Myers, 3
7,2020,3.,Anthony Santander, 3
8,2020,3.,Hunter Renfroe, 3
9,2020,10.,Trent Grisham, 2
10,2020,10.,Mickey Moniak, 2
11,2020,10.,Gregory Polanco, 2
12,2020,10.,Manuel Margot, 2
13,2020,10.,Matthew Joyce, 2
14,2020,10.,Edward Olivares, 2
15,2020,10.,Leody Taveras, 2
16,2020,10.,Adam Duvall, 2
17,2020,10.,Franchy Cordero, 2
18,2020,10.,Brett Gardner, 2
19,2020,10.,Kyle Lewis, 2
20,2019,1.,Domingo Santana, 12
21,2019,2.,Ramon Laureano, 7
22,2019,2.,Leury Garcia, 7
23,2019,4.,Adam Jones, 6
24,2019,4.,Kole Calhoun, 6
25,2019,4.,Josh Naylor, 6
26,2019,4.,Oscar Mercado, 6
27,2019,4.,Yasiel Puig, 6
28,2019,4.,Kyle Schwarber, 6
29,2019,4.,Victor Robles, 6
30,2019,4.,Adam Eaton, 6
31,2018,1.,Eddie Rosario, 9
32,2018,1.,Lewis Brinson, 9
33,2018,3.,Yasiel Puig, 8
34,2018,3.,Teoscar Hernandez, 8
35,2018,3.,Hunter Renfroe, 8
36,2018,3.,Mitch Haniger, 8
37,2018,7.,Carlos Gomez, 7
38,2018,7.,Adam Engel, 7
39,2018,7.,Delino DeShields, 7
40,2018,10.,Mallex Smith, 6
41,2018,10.,Lorenzo Cain, 6
42,2018,10.,Kevin Pillar, 6
43,2018,10.,Jackie Bradley Jr., 6
44,2018,10.,Rhys Hoskins, 6
45,2018,10.,Gorkys Hernandez, 6
46,2018,10.,Scott Schebler, 6
47,2017,1.,Hunter Renfroe, 9
48,2017,1.,Avisail Garcia, 9
49,2017,3.,Justin Upton, 8
50,2017,4.,Lorenzo Cain, 7
51,2017,4.,Matthew Joyce, 7
52,2017,4.,Keon Broxton, 7
53,2017,4.,Mitch Haniger, 7
54,2017,8.,Nomar Mazara, 6
55,2017,8.,Yoenis Céspedes, 6
56,2017,8.,Steven Souza Jr., 6
57,2017,8.,Kevin Kiermaier, 6
58,2017,8.,Adam Duvall, 6
59,2016,1.,Ian Desmond, 12
60,2016,2.,Odubel Herrera, 9
61,2016,3.,Adam Duvall, 8
62,2016,3.,Robbie Grossman, 8
63,2016,5.,Michael Bourn, 7
64,2016,5.,Max Kepler, 7
