,Year,Rank,Name,Stat
0,2020,1.,Lance McCullers Jr., 11
1,2020,1.,Pablo Lopez, 11
2,2020,3.,Zack Greinke, 9
3,2020,4.,Jacob deGrom, 7
4,2020,4.,Joe Musgrove, 7
5,2020,4.,Antonio Senzatela, 7
6,2020,4.,Merrill Kelly, 7
7,2020,4.,Kyle Hendricks, 7
8,2020,4.,Lucas Sims, 7
9,2020,4.,Dylan Bundy, 7
10,2020,4.,Garrett Richards, 7
11,2020,4.,Griffin Canning, 7
12,2020,4.,Luis Castillo, 7
13,2020,4.,Spencer Turnbull, 7
14,2019,1.,Zack Greinke, 33
15,2019,2.,Joe Musgrove, 30
16,2019,3.,Jacob deGrom, 24
17,2019,4.,Sonny Gray, 22
18,2019,5.,Marcus Stroman, 21
19,2019,5.,Stephen Strasburg, 21
20,2019,5.,Merrill Kelly, 21
21,2019,8.,Mike Leake, 20
22,2019,9.,Jon Gray, 18
23,2019,9.,Jack Flaherty, 18
24,2018,1.,Zack Greinke, 27
25,2018,2.,Jacob deGrom, 21
26,2018,3.,Mike Leake, 20
27,2018,3.,Lance McCullers Jr., 20
28,2018,5.,Miles Mikolas, 19
29,2018,5.,Corey Kluber, 19
30,2018,7.,Luis Castillo, 18
31,2018,7.,Zack Godley, 18
32,2018,7.,Jhoulys Chacin, 18
33,2018,10.,Tyson Ross, 17
34,2018,10.,Kyle Gibson, 17
35,2017,1.,John Lackey, 27
36,2017,2.,Zack Greinke, 26
37,2017,3.,Ty Blach, 21
38,2017,4.,Kyle Gibson, 19
39,2017,4.,Adam Wainwright, 19
40,2017,4.,Scott Feldman, 19
41,2017,4.,Ervin Santana, 19
42,2017,8.,Ivan Nova, 18
43,2017,9.,Kyle Hendricks, 17
44,2017,9.,Mike Leake, 17
45,2016,1.,Carlos Martinez, 25
46,2016,2.,Mike Leake, 24
47,2016,3.,Jhoulys Chacin, 21
48,2016,3.,Michael Wacha, 21
49,2016,3.,Johnny Cueto, 21
50,2016,6.,Zack Greinke, 20
51,2016,6.,Ervin Santana, 20
52,2016,8.,Adam Wainwright, 19
53,2016,8.,Corey Kluber, 19
54,2016,10.,Jerad Eickhoff, 18
55,2016,10.,Jon Lester, 18
56,2015,1.,Sonny Gray, 37
57,2015,2.,Jake Arrieta, 33
58,2015,3.,Rubby De La Rosa, 26
59,2015,4.,Anibal Sanchez, 21
60,2015,4.,Johnny Cueto, 21
61,2015,6.,John Lackey, 20
62,2015,6.,Joe Kelly, 20
63,2015,8.,Mike Leake, 19
64,2015,8.,Zack Greinke, 19
65,2015,10.,Dallas Keuchel, 18
66,2015,10.,Michael Wacha, 18
67,2015,10.,Carlos Martinez, 18
68,2014,1.,Kyle Gibson, 30
69,2014,2.,Zack Greinke, 28
70,2014,3.,Yordano Ventura, 26
71,2014,3.,Mike Leake, 26
72,2014,5.,Jake Peavy, 23
73,2014,6.,Tom Koehler, 22
74,2014,7.,Nathan Eovaldi, 21
75,2014,7.,Johnny Cueto, 21
76,2014,9.,Jarred Cosart, 20
77,2014,9.,Clay Buchholz, 20
78,2014,9.,Adam Wainwright, 20
79,2014,9.,Wily Peralta, 20
80,2013,1.,Mike Leake, 26
81,2013,1.,Mat Latos, 26
82,2013,3.,Adam Wainwright, 25
83,2013,4.,Jeff Samardzija, 23
84,2013,4.,Doug Fister, 23
85,2013,6.,Jose Fernandez, 22
86,2013,6.,Ervin Santana, 22
87,2013,8.,Justin Masterson, 21
88,2013,9.,Homer Bailey, 20
89,2013,9.,Travis Wood, 20
90,2012,1.,Clay Buchholz, 29
91,2012,2.,Mike Leake, 25
92,2012,2.,Josh Johnson, 25
93,2012,2.,Justin Verlander, 25
94,2012,5.,Justin Masterson, 24
95,2012,6.,Kevin Correia, 23
96,2012,7.,Ricky Nolasco, 22
97,2012,7.,Zack Greinke, 22
98,2012,9.,A.J. Burnett, 21
99,2012,10.,Yu Darvish, 19
100,2012,10.,Johnny Cueto, 19
101,2012,10.,Luis Mendoza, 19
102,2011,1.,Brett Myers, 33
103,2011,2.,Jake Westbrook, 29
104,2011,3.,Chris Carpenter, 28
105,2011,4.,Felix Hernandez, 27
106,2011,5.,Jhoulys Chacin, 26
107,2011,6.,Doug Fister, 24
108,2011,6.,Kyle Lohse, 24
109,2011,8.,Bud Norris, 22
110,2011,8.,Bronson Arroyo, 22
111,2011,10.,Tim Stauffer, 21
112,2010,1.,Chris Carpenter, 35
113,2010,2.,Brett Myers, 25
114,2010,3.,Ryan Dempster, 23
115,2010,4.,John Lackey, 22
116,2010,4.,Roberto Hernandez, 22
117,2010,4.,Justin Masterson, 22
118,2010,7.,Clay Buchholz, 21
119,2010,7.,Jon Garland, 21
120,2010,7.,Adam Wainwright, 21
121,2010,10.,Carl Pavano, 19
122,2010,10.,Josh Johnson, 19
123,2010,10.,Evan Meek, 19
124,2009,1.,Felix Hernandez, 29
125,2009,2.,Joel Pineiro, 27
126,2009,2.,Adam Wainwright, 27
127,2009,4.,Roy Halladay, 26
128,2009,5.,Nick Blackburn, 25
129,2009,6.,Kevin Correia, 22
130,2009,7.,Jon Garland, 21
131,2009,7.,Chris Carpenter, 21
132,2009,9.,Kyle Lohse, 20
133,2009,10.,Dan Haren, 19
134,2009,10.,Carlos Zambrano, 19
135,2009,10.,Aaron Cook, 19
136,2008,1.,Roy Halladay, 33
137,2008,2.,Kenny Rogers, 26
138,2008,3.,Jon Garland, 25
139,2008,4.,Roy Oswalt, 24
140,2008,5.,Kyle Lohse, 23
141,2008,5.,Jesse Litsch, 23
142,2008,7.,Carlos Zambrano, 21
143,2008,8.,Braden Looper, 20
144,2008,9.,Edwin Jackson, 19
145,2008,9.,Jeremy Guthrie, 19
146,2008,9.,Ervin Santana, 19
147,2008,9.,Todd Wellemeyer, 19
148,2008,9.,Andy Sonnanstine, 19
149,2008,9.,Jon Lester, 19
150,2008,9.,James Shields, 19
151,2007,1.,James Shields, 30
152,2007,2.,Tim Hudson, 27
153,2007,2.,Chris Sampson, 27
154,2007,4.,Roberto Hernandez, 23
155,2007,4.,Dave Bush, 23
156,2007,6.,John Lackey, 22
157,2007,6.,Chad Gaudin, 22
158,2007,8.,Jake Peavy, 21
159,2007,9.,Carlos Zambrano, 20
160,2007,9.,Brandon Webb, 20
161,2007,9.,Roy Oswalt, 20
162,2007,9.,Roy Halladay, 20
163,2007,9.,Jon Garland, 20
164,2006,1.,Jake Westbrook, 33
165,2006,2.,Bronson Arroyo, 29
166,2006,3.,Roy Halladay, 25
167,2006,4.,Joel Pineiro, 24
168,2006,5.,Jake Peavy, 22
169,2006,5.,Aaron Cook, 22
170,2006,7.,Brad Radke, 20
171,2006,7.,Matt Morris, 20
172,2006,7.,John Smoltz, 20
173,2006,10.,Dan Haren, 19
174,2006,10.,Derek Lowe, 19
175,2005,1.,Jake Westbrook, 31
176,2005,2.,Tim Wakefield, 30
177,2005,3.,Josh Towers, 29
178,2005,4.,Tim Hudson, 27
179,2005,5.,Joel Pineiro, 23
180,2005,6.,Matt Clement, 22
181,2005,6.,John Smoltz, 22
182,2005,6.,Kirk Saarloos, 22
183,2005,6.,Dan Haren, 22
184,2005,10.,Carlos Zambrano, 21
185,2005,10.,Brian Moehler, 21
186,2005,10.,Derek Lowe, 21
187,2005,10.,Bronson Arroyo, 21
188,2004,1.,Bronson Arroyo, 24
189,2004,1.,Jake Westbrook, 24
190,2004,3.,Tim Hudson, 22
191,2004,3.,Derek Lowe, 22
192,2004,5.,Jon Garland, 21
193,2004,5.,Greg Maddux, 21
194,2004,5.,Jason Marquis, 21
195,2004,5.,Liván Hernández, 21
196,2004,5.,Sidney Ponson, 21
197,2004,10.,Woody Williams, 20
198,2003,1.,Roy Halladay, 23
199,2003,2.,Ben Sheets, 22
200,2003,3.,Sidney Ponson, 21
201,2003,4.,Joel Pineiro, 20
202,2003,4.,Derek Lowe, 20
203,2003,4.,Freddy Garcia, 20
204,2003,4.,Kenny Rogers, 20
205,2003,4.,Matt Clement, 20
206,2003,4.,Tim Hudson, 20
207,2003,10.,Jamie Moyer, 19
208,2003,10.,Carlos Zambrano, 19
209,2003,10.,Brad Penny, 19
210,2003,10.,Adam Eaton, 19
211,2002,1.,Ben Sheets, 28
212,2002,2.,Tim Hudson, 26
213,2002,3.,Tomo Ohka, 24
214,2002,4.,Odalis Perez, 23
215,2002,4.,Jeff Suppan, 23
216,2002,6.,Roy Halladay, 22
217,2002,6.,Jamie Moyer, 22
218,2002,6.,Tom Glavine, 22
219,2002,6.,Kenny Rogers, 22
220,2002,6.,Brian Lawrence, 22
221,2002,6.,Wade Miller, 22
222,2001,1.,Freddy Garcia, 29
223,2001,2.,Javier Vazquez, 24
224,2001,3.,Tim Hudson, 21
225,2001,3.,Jeff Weaver, 21
226,2001,5.,Steve Sparks, 20
227,2001,5.,Kevin Jarvis, 20
228,2001,5.,Chad Durbin, 20
229,2001,8.,Greg Maddux, 19
230,2001,8.,Pat Rapp, 19
231,2001,8.,Roy Oswalt, 19
232,2000,1.,Kevin Brown, 35
233,2000,2.,Jon Lieber, 30
234,2000,3.,Brad Radke, 29
235,2000,4.,Matt Clement, 27
236,2000,5.,Greg Maddux, 25
237,2000,6.,Steve Trachsel, 20
238,2000,6.,Chan Ho Park, 20
239,2000,6.,Pedro Astacio, 20
240,2000,6.,Mac Suzuki, 20
241,2000,10.,Aaron Sele, 19
242,2000,10.,Darren Dreifort, 19
243,1999,1.,Kevin Brown, 41
244,1999,2.,Greg Maddux, 29
245,1999,3.,Scott Erickson, 24
246,1999,4.,Charles Nagy, 21
247,1999,4.,Brad Radke, 21
248,1999,6.,Dave Burba, 20
249,1999,6.,Dustin Hermanson, 20
250,1999,6.,Bartolo Colon, 20
251,1999,9.,Orel Hershiser, 19
252,1999,10.,Jon Lieber, 18
253,1999,10.,Shawn Estes, 18
