,Year,Rank,Name,Stat
0,2020,1.,Jordan Montgomery, 3
1,2020,1.,German Marquez, 3
2,2020,3.,Cal Quantrill, 2
3,2020,3.,J.B. Wendelken, 2
4,2020,3.,Craig Stammen, 2
5,2020,3.,Zack Britton, 2
6,2020,3.,Alex Cobb, 2
7,2020,3.,Matt Shoemaker, 2
8,2020,3.,Corbin Burnes, 2
9,2020,3.,Max Scherzer, 2
10,2020,3.,Trevor Williams, 2
11,2020,3.,Jordan Lyles, 2
12,2020,3.,Brady Singer, 2
13,2020,3.,Deivi Garcia, 2
14,2020,3.,James Hoyt, 2
15,2020,3.,Derek Holland, 2
16,2020,3.,Freddy Peralta, 2
17,2020,3.,Madison Bumgarner, 2
18,2020,3.,Framber Valdez, 2
19,2020,3.,Elieser Hernandez, 2
20,2019,1.,Julio Urias, 4
21,2019,1.,Vince Velasquez, 4
22,2019,1.,Anibal Sanchez, 4
23,2019,1.,Joe Kelly, 4
24,2019,1.,Joe Musgrove, 4
25,2019,1.,Marcus Stroman, 4
26,2019,1.,Noah Syndergaard, 4
27,2019,1.,Merrill Kelly, 4
28,2019,1.,Robert Stephenson, 4
29,2019,1.,Sandy Alcantara, 4
30,2018,1.,Ivan Nova, 5
31,2018,2.,Jake Arrieta, 4
32,2018,2.,Nick Kingham, 4
33,2018,2.,Bartolo Colon, 4
34,2018,2.,Dylan Covey, 4
35,2018,6.,Trevor Williams, 3
36,2018,6.,CC Sabathia, 3
37,2018,6.,David Hess, 3
38,2018,6.,Steven Matz, 3
39,2018,6.,Juan Minaya, 3
40,2018,6.,Zack Godley, 3
41,2018,6.,Bud Norris, 3
42,2018,6.,Bryan Shaw, 3
43,2018,6.,Carlos Martinez, 3
44,2018,6.,Mike Leake, 3
45,2018,6.,Nick Pivetta, 3
46,2018,6.,Clayton Richard, 3
47,2018,6.,Jacob Barnes, 3
48,2018,6.,Dellin Betances, 3
49,2018,6.,Jaime Garcia, 3
50,2017,1.,Dallas Keuchel, 5
51,2017,2.,Robert Gsellman, 4
52,2017,2.,Adalberto Mejia, 4
53,2017,2.,Charlie Morton, 4
54,2017,2.,Alex Wood, 4
55,2017,2.,Carlos Martinez, 4
56,2017,2.,Taijuan Walker, 4
57,2017,8.,Sonny Gray, 3
58,2017,8.,Steve Cishek, 3
59,2017,8.,Ariel Miranda, 3
60,2017,8.,Julio Urias, 3
61,2017,8.,Kyle Freeland, 3
62,2017,8.,Bryan Mitchell, 3
63,2017,8.,Kenta Maeda, 3
64,2017,8.,Matt Moore, 3
65,2017,8.,Drew Pomeranz, 3
66,2017,8.,Anibal Sanchez, 3
67,2017,8.,Derek Holland, 3
68,2017,8.,Jacob Barnes, 3
69,2017,8.,Julio Teheran, 3
70,2016,1.,Yordano Ventura, 5
71,2016,1.,Jimmy Nelson, 5
72,2016,3.,Adam Morgan, 4
73,2016,3.,Marcus Stroman, 4
74,2016,3.,Clayton Richard, 4
