,Year,Rank,Name,Stat
0,2020,1.,Roberto Perez, 7
1,2020,2.,J.T. Realmuto, 4
2,2020,3.,Willson Contreras, 3
3,2020,4.,Tucker Barnhart, 3
4,2020,5.,Manny Pina, 3
5,2020,6.,Jonah Heim, 2
6,2020,7.,Austin Hedges, 2
7,2020,8.,Mitch Garver, 2
8,2020,9.,Yasmani Grandal, 2
9,2020,10.,Jacob Stallings, 2
10,2019,1.,J.T. Realmuto, 17
11,2019,2.,Roberto Perez, 14
12,2019,3.,Buster Posey, 8
13,2019,4.,Alex Avila, 7
14,2019,4.,Robinson Chirinos, 7
15,2019,6.,Jacob Stallings, 6
16,2019,7.,Tony Wolters, 5
17,2019,7.,Yan Gomes, 5
18,2019,7.,Yadier Molina, 5
19,2019,10.,Mike Zunino, 4
20,2019,10.,Tom Murphy, 4
21,2019,10.,Matt Wieters, 4
22,2018,1.,Manny Pina, 9
23,2018,1.,Willson Contreras, 9
24,2018,3.,Salvador Perez, 8
25,2018,4.,J.T. Realmuto, 6
26,2018,4.,James McCann, 6
27,2018,4.,Bryan Holaday, 6
28,2018,4.,Buster Posey, 6
29,2018,8.,Tucker Barnhart, 5
30,2018,8.,Pedro Severino, 5
31,2018,8.,Yan Gomes, 5
32,2018,8.,Matt Wieters, 5
33,2017,1.,Martin Maldonado, 12
34,2017,2.,Yadier Molina, 11
35,2017,2.,Tucker Barnhart, 11
36,2017,4.,Manny Pina, 10
37,2017,5.,Buster Posey, 9
38,2017,6.,Yan Gomes, 7
39,2017,7.,Austin Hedges, 6
40,2017,7.,Yasmani Grandal, 6
41,2017,9.,Welington Castillo, 5
42,2017,9.,J.T. Realmuto, 5
43,2017,9.,Christian Vazquez, 5
44,2016,1.,Salvador Perez, 16
45,2016,2.,Buster Posey, 15
46,2016,3.,James McCann, 12
47,2016,4.,Carlos Perez, 10
48,2016,5.,Jonathan Lucroy, 8
49,2016,6.,Martin Maldonado, 7
50,2016,6.,Sandy Leon, 7
51,2016,6.,Roberto Perez, 7
52,2016,9.,Carlos Ruiz, 6
53,2016,9.,Wilson Ramos, 6
54,2015,1.,Wilson Ramos, 11
55,2015,2.,James McCann, 9
56,2015,2.,Yadier Molina, 9
57,2015,4.,Salvador Perez, 7
58,2015,4.,Buster Posey, 7
59,2015,6.,A.J. Ellis, 5
60,2015,6.,Caleb Joseph, 5
61,2015,6.,Brian McCann, 5
62,2015,6.,Sandy Leon, 5
63,2015,6.,Jesus Sucre, 5
64,2014,1.,Yadier Molina, 13
65,2014,2.,Robinson Chirinos, 10
66,2014,3.,Alex Avila, 9
67,2014,3.,Salvador Perez, 9
68,2014,3.,Wilson Ramos, 9
69,2014,6.,Brian McCann, 7
70,2014,7.,Russell Martin, 6
71,2014,8.,Caleb Joseph, 5
72,2014,8.,Buster Posey, 5
73,2014,8.,Christian Vazquez, 5
74,2014,8.,Brayan Pena, 5
75,2013,1.,Yadier Molina, 13
76,2013,2.,Matt Wieters, 10
77,2013,3.,Yan Gomes, 8
78,2013,3.,A.J. Ellis, 8
79,2013,5.,Salvador Perez, 7
80,2013,5.,Joe Mauer, 7
81,2013,5.,Russell Martin, 7
82,2013,8.,Ryan Hanigan, 6
83,2013,8.,Brian McCann, 6
84,2013,10.,Jeff Mathis, 5
85,2013,10.,John Buck, 5
86,2012,1.,Ryan Hanigan, 18
87,2012,2.,Yadier Molina, 15
88,2012,3.,Matt Wieters, 12
89,2012,4.,Salvador Perez, 9
90,2012,4.,Miguel Montero, 9
91,2012,6.,John Buck, 8
92,2012,6.,Carlos Ruiz, 8
93,2012,8.,A.J. Ellis, 7
94,2012,9.,Erik Kratz, 6
95,2012,9.,Jeff Mathis, 6
96,2011,1.,Matt Wieters, 11
97,2011,1.,Kelly Shoppach, 11
98,2011,3.,Miguel Montero, 9
99,2011,4.,Nick Hundley, 7
100,2011,5.,Yadier Molina, 6
101,2011,5.,Lou Marson, 6
102,2011,7.,Ramon Hernandez, 5
103,2011,7.,Ryan Hanigan, 5
104,2011,7.,Chris Stewart, 5
105,2011,10.,Carlos Ruiz, 4
106,2011,10.,Mike Napoli, 4
107,2011,10.,Chris Iannetta, 4
108,2010,1.,Yadier Molina, 16
109,2010,2.,Yorvit Torrealba, 9
110,2010,2.,Humberto Quintero, 9
111,2010,2.,Ivan Rodriguez, 9
112,2010,5.,Carlos Ruiz, 8
113,2010,6.,Matt Wieters, 7
114,2010,7.,Lou Marson, 6
115,2010,7.,Miguel Olivo, 6
116,2010,9.,Buster Posey, 5
117,2010,10.,Ryan Hanigan, 4
118,2010,10.,Russell Martin, 4
119,2010,10.,Joe Mauer, 4
120,2010,10.,Henry Blanco, 4
121,2010,10.,Brian McCann, 4
122,2009,1.,Yadier Molina, 11
123,2009,2.,Gerald Laird, 10
124,2009,3.,Kenji Johjima, 8
125,2009,4.,David Ross, 7
126,2009,5.,Ryan Hanigan, 6
127,2009,5.,Ramon Hernandez, 6
128,2009,5.,Raul Chavez, 6
129,2009,8.,Koyie Hill, 5
130,2009,8.,Lou Marson, 5
131,2009,10.,Carlos Ruiz, 4
132,2009,10.,Ramon Castro, 4
133,2009,10.,Humberto Quintero, 4
134,2009,10.,Landon Powell, 4
135,2009,10.,Kurt Suzuki, 4
136,2009,10.,Henry Blanco, 4
137,2008,1.,Kurt Suzuki, 17
138,2008,2.,Jason Kendall, 13
139,2008,3.,Rod Barajas, 8
140,2008,4.,Joe Mauer, 7
141,2008,4.,Dioner Navarro, 7
142,2008,4.,Jose Molina, 7
143,2008,7.,Yadier Molina, 6
144,2008,8.,Humberto Quintero, 5
145,2008,9.,Bengie Molina, 4
146,2008,9.,Rob Bowen, 4
147,2008,9.,Raul Chavez, 4
148,2008,9.,J.R. Towles, 4
149,2008,9.,Ivan Rodriguez, 4
150,2007,1.,Kenji Johjima, 17
151,2007,2.,Yadier Molina, 13
152,2007,3.,Joe Mauer, 9
153,2007,4.,Mike Redmond, 8
154,2007,4.,Gerald Laird, 8
155,2007,6.,Russell Martin, 7
156,2007,6.,Jason Varitek, 7
157,2007,6.,David Ross, 7
158,2007,6.,Victor Martinez, 7
159,2007,6.,Chris Snyder, 7
160,2006,1.,Yadier Molina, 13
161,2006,2.,Ivan Rodriguez, 11
162,2006,3.,Joe Mauer, 7
163,2006,3.,Yorvit Torrealba, 7
164,2006,5.,Miguel Olivo, 6
165,2006,6.,Gerald Laird, 5
166,2006,6.,Henry Blanco, 5
167,2006,6.,Matt Treanor, 5
168,2006,9.,Jason LaRue, 4
169,2006,9.,Kenji Johjima, 4
170,2006,9.,Brian Schneider, 4
171,2005,1.,Yadier Molina, 12
172,2005,1.,Ivan Rodriguez, 12
173,2005,3.,Mike Matheny, 10
174,2005,4.,Joe Mauer, 7
175,2005,4.,Brian Schneider, 7
176,2005,6.,Yorvit Torrealba, 6
177,2005,6.,Brad Ausmus, 6
178,2005,6.,Henry Blanco, 6
179,2005,9.,Danny Ardoin, 5
180,2005,9.,Mike Redmond, 5
181,2004,1.,Brian Schneider, 16
182,2004,2.,Jose Molina, 10
183,2004,3.,Damian Miller, 9
184,2004,4.,Henry Blanco, 6
185,2004,5.,Jason Kendall, 5
186,2004,5.,Dan Wilson, 5
187,2004,5.,Mike Matheny, 5
188,2004,5.,Rod Barajas, 5
189,2004,9.,Eddie Perez, 4
190,2004,9.,Jason Phillips, 4
191,2003,1.,Bengie Molina, 10
192,2003,1.,Paul Lo Duca, 10
193,2003,1.,Brian Schneider, 10
194,2003,4.,Brad Ausmus, 9
195,2003,5.,Charles Johnson, 6
196,2003,6.,Yorvit Torrealba, 5
197,2003,6.,Brandon Inge, 5
198,2003,6.,Ramon Hernandez, 5
199,2003,6.,Rod Barajas, 5
200,2003,6.,Dan Wilson, 5
201,2002,1.,Bengie Molina, 10
202,2002,2.,Ramon Hernandez, 9
203,2002,3.,Mike Redmond, 6
204,2002,3.,Vance Wilson, 6
205,2002,3.,Mike Matheny, 6
206,2002,6.,Brad Ausmus, 5
207,2002,7.,Ben Davis, 4
208,2002,7.,Dan Wilson, 4
209,2002,7.,Brian Schneider, 4
210,2002,7.,Javy Lopez, 4
211,2002,7.,Jason Varitek, 4
212,2001,1.,Brad Ausmus, 12
213,2001,1.,Ivan Rodriguez, 12
214,2001,3.,Einar Diaz, 9
215,2001,4.,Jason LaRue, 8
216,2001,5.,Brandon Inge, 7
217,2001,5.,Mike Matheny, 7
218,2001,7.,Charles Johnson, 6
219,2001,7.,Dan Wilson, 6
220,2001,7.,Ramon Hernandez, 6
221,2001,10.,Tom Prince, 5
222,2001,10.,Darrin Fletcher, 5
223,2001,10.,Joe Girardi, 5
224,2001,10.,Henry Blanco, 5
225,2000,1.,Mike Matheny, 19
226,2000,2.,Brad Ausmus, 15
227,2000,3.,Henry Blanco, 13
228,2000,4.,Damian Miller, 9
229,2000,5.,Joe Girardi, 6
230,2000,5.,Ivan Rodriguez, 6
231,2000,5.,Bengie Molina, 6
232,2000,8.,Mike Lieberthal, 5
233,2000,9.,Mark Johnson, 4
234,2000,9.,Alberto Castillo, 4
235,2000,9.,Paul Lo Duca, 4
236,2000,9.,Dan Wilson, 4
237,2000,9.,Jeff Reed, 4
238,2000,9.,Doug Mirabelli, 4
239,1999,1.,Ivan Rodriguez, 20
240,1999,2.,John Flaherty, 11
241,1999,3.,Charles Johnson, 10
242,1999,4.,Jorge Fabregas, 9
243,1999,4.,Brad Ausmus, 9
244,1999,4.,Henry Blanco, 9
245,1999,7.,Eli Marrero, 8
246,1999,7.,Alberto Castillo, 8
247,1999,9.,Mike Redmond, 7
248,1999,10.,Jason Kendall, 5
249,1999,10.,Eddie Perez, 5
250,1998,1.,Ivan Rodriguez, 19
251,1998,2.,Charles Johnson, 7
252,1998,2.,Jorge Posada, 7
253,1998,4.,John Flaherty, 6
254,1998,4.,Alberto Castillo, 6
255,1998,6.,Eli Marrero, 5
256,1998,6.,Sandy Alomar, 5
257,1998,6.,Terry Steinbach, 5
258,1998,6.,Jorge Fabregas, 5
259,1998,6.,Kelly Stinnett, 5
260,1998,6.,Mike Difelice, 5
261,1997,1.,Ivan Rodriguez, 21
262,1997,2.,Charles Johnson, 19
263,1997,3.,Charlie O'Brien, 16
264,1997,4.,Brad Ausmus, 14
265,1997,5.,Dan Wilson, 11
266,1997,6.,Rick Wilkins, 9
267,1997,7.,Jim Leyritz, 7
268,1997,8.,Scott Servais, 6
269,1997,8.,Tom Prince, 6
270,1997,8.,Mike Matheny, 6
271,1996,1.,Ivan Rodriguez, 25
272,1996,2.,Charles Johnson, 14
273,1996,2.,Dan Wilson, 14
274,1996,4.,Kirt Manwaring, 10
275,1996,5.,Ron Karkovice, 9
276,1996,6.,Tom Pagnozzi, 8
277,1996,7.,Tom Lampkin, 7
278,1996,7.,Charlie O'Brien, 7
279,1996,9.,Randy Knorr, 4
280,1996,10.,Sandy Alomar, 3
281,1996,10.,Tony Pena, 3
282,1996,10.,Scott Servais, 3
283,1996,10.,Mike Macfarlane, 3
284,1996,10.,Greg Myers, 3
285,1995,1.,Charles Johnson, 12
286,1995,2.,Ivan Rodriguez, 10
287,1995,3.,Brad Ausmus, 9
288,1995,4.,Terry Steinbach, 8
289,1995,4.,Chris Hoiles, 8
290,1995,6.,Dan Wilson, 7
291,1995,7.,Mike LaValliere, 5
292,1995,7.,Rick Wilkins, 5
293,1995,7.,Tom Pagnozzi, 5
294,1995,10.,Jeff Reed, 4
295,1995,10.,Ron Karkovice, 4
296,1995,10.,Lance Parrish, 4
297,1994,1.,Terry Steinbach, 10
298,1994,2.,Benito Santiago, 8
299,1994,3.,Chris Hoiles, 7
300,1994,3.,Matt Walbeck, 7
301,1994,3.,Tom Pagnozzi, 7
302,1994,6.,Greg Myers, 6
303,1994,7.,Kirt Manwaring, 5
304,1994,7.,Ivan Rodriguez, 5
305,1994,9.,Dan Wilson, 4
306,1994,9.,Mike Stanley, 4
307,1994,9.,Brian Dorsett, 4
308,1993,1.,Kirt Manwaring, 15
309,1993,2.,Ron Karkovice, 14
310,1993,2.,Rick Wilkins, 14
311,1993,4.,Mike Piazza, 8
312,1993,5.,Mike LaValliere, 7
313,1993,5.,Dave Valle, 7
314,1993,7.,Chris Hoiles, 6
315,1993,7.,Junior Ortiz, 6
316,1993,9.,Ivan Rodriguez, 5
317,1993,9.,Joe Oliver, 5
318,1992,1.,Kirt Manwaring, 15
319,1992,2.,Ivan Rodriguez, 9
320,1992,2.,Sandy Alomar, 9
321,1992,4.,Charlie O'Brien, 8
322,1992,4.,B.J. Surhoff, 8
323,1992,6.,Mike LaValliere, 6
324,1992,6.,Terry Steinbach, 6
325,1992,6.,Ron Tingley, 6
326,1992,9.,Greg Olson, 5
327,1992,9.,Benito Santiago, 5
328,1991,1.,Tom Pagnozzi, 19
329,1991,2.,Gil Reyes, 11
330,1991,3.,Terry Kennedy, 7
331,1991,4.,Ron Karkovice, 6
332,1991,5.,Kirt Manwaring, 5
333,1991,5.,Don Slaught, 5
334,1991,5.,Chris Hoiles, 5
335,1991,8.,Rick Cerone, 4
336,1991,8.,Carlton Fisk, 4
337,1991,8.,Andy Allanson, 4
338,1991,8.,Ron Tingley, 4
339,1991,8.,Benito Santiago, 4
340,1991,8.,Rick Wilkins, 4
341,1991,8.,Tim Spehr, 4
342,1990,1.,Tom Pagnozzi, 10
343,1990,2.,Lance Parrish, 9
344,1990,3.,Ron Karkovice, 8
345,1990,4.,Pat Borders, 7
346,1990,4.,Joe Oliver, 7
347,1990,6.,Carlton Fisk, 6
348,1990,7.,Benito Santiago, 5
349,1990,7.,Ron Hassey, 5
350,1990,7.,Bob Melvin, 5
351,1990,7.,Darren Daulton, 5
352,1990,7.,Mike LaValliere, 5
353,1990,7.,Charlie O'Brien, 5
354,1990,7.,Joe Girardi, 5
355,1989,1.,Dave Valle, 10
356,1989,2.,Bob Boone, 9
357,1989,3.,Mike Scioscia, 8
358,1989,3.,Benito Santiago, 8
359,1989,3.,Charlie O'Brien, 8
360,1989,6.,Damon Berryhill, 7
361,1989,6.,Terry Kennedy, 7
362,1989,8.,Bruce Benedict, 6
363,1989,8.,Tony Pena, 6
364,1989,8.,Don Slaught, 6
365,1988,1.,Benito Santiago, 15
366,1988,2.,Mike Scioscia, 12
367,1988,3.,Bob Boone, 7
368,1988,3.,Damon Berryhill, 7
369,1988,5.,Andy Allanson, 6
370,1988,5.,Mike LaValliere, 6
371,1988,5.,Bo Diaz, 6
372,1988,5.,Rich Gedman, 6
373,1988,9.,Nelson Santovenia, 5
374,1988,9.,Bruce Benedict, 5
375,1988,9.,Ron Karkovice, 5
376,1987,1.,Mike LaValliere, 15
377,1987,2.,Bo Diaz, 11
378,1987,3.,Bob Boone, 10
379,1987,4.,Bob Melvin, 9
380,1987,5.,Carlton Fisk, 8
381,1987,6.,Ernie Whitt, 7
382,1987,6.,Larry Owen, 7
383,1987,8.,Mike Scioscia, 6
384,1987,8.,Steve Lake, 6
385,1987,8.,Dave Valle, 6
386,1986,1.,Jody Davis, 21
387,1986,2.,Bob Boone, 17
388,1986,3.,Rich Gedman, 13
389,1986,4.,Rick Cerone, 7
390,1986,4.,Tony Pena, 7
391,1986,4.,Bob Kearney, 7
392,1986,4.,Jim Sundberg, 7
393,1986,4.,Bob Melvin, 7
394,1986,4.,Mike LaValliere, 7
395,1986,10.,Jamie Quirk, 6
396,1985,1.,Bob Boone, 14
397,1985,2.,Tony Pena, 13
398,1985,3.,Terry Kennedy, 11
399,1985,3.,Rich Gedman, 11
400,1985,5.,Steve Lake, 9
401,1985,5.,Gary Carter, 9
402,1985,7.,Butch Wynegar, 7
403,1985,8.,Steve Yeager, 6
404,1985,8.,Dann Bilardello, 6
405,1985,8.,Bob Kearney, 6
406,1985,8.,Jody Davis, 6
407,1984,1.,Tony Pena, 13
408,1984,2.,Jim Sundberg, 11
409,1984,3.,Mike Scioscia, 9
410,1984,4.,Tim Laudner, 7
411,1984,5.,Bob Boone, 6
412,1984,6.,Rich Gedman, 5
413,1984,6.,Gary Carter, 5
414,1984,6.,Lance Parrish, 5
415,1984,6.,Alex Trevino, 5
416,1984,10.,Jim Essian, 4
417,1984,10.,Don Slaught, 4
418,1984,10.,Dann Bilardello, 4
419,1983,1.,Gary Carter, 27
420,1983,2.,Lance Parrish, 12
421,1983,3.,Steve Yeager, 11
422,1983,4.,Ernie Whitt, 9
423,1983,4.,Jim Sundberg, 9
424,1983,6.,Dann Bilardello, 8
425,1983,6.,Bob Boone, 8
426,1983,6.,Rick Dempsey, 8
427,1983,9.,Alex Trevino, 5
428,1983,9.,Darrell Porter, 5
429,1983,9.,Steve Lake, 5
430,1982,1.,Bob Boone, 20
431,1982,2.,Gary Carter, 14
432,1982,3.,John Stearns, 9
433,1982,3.,Jody Davis, 9
434,1982,5.,Steve Yeager, 7
435,1982,5.,Buck Martinez, 7
436,1982,7.,Milt May, 6
437,1982,7.,Gary Allenson, 6
438,1982,7.,Jim Sundberg, 6
439,1982,7.,Tony Pena, 6
440,1981,1.,Gary Carter, 13
