,Year,Rank,Name,Stat
0,2020,1.,Tucker Barnhart, 11.765
1,2020,2.,Andrew Knapp, 11.361
2,2020,3.,Curt Casali, 11.299
3,2020,4.,Wilson Ramos, 11.135
4,2020,5.,Sandy Leon, 10.984
5,2020,6.,Roberto Perez, 10.969
6,2020,7.,Mike Zunino, 10.808
7,2020,8.,Omar Narvaez, 10.800
8,2020,9.,Jacob Stallings, 10.451
9,2020,10.,Ryan Jeffers, 10.389
10,2019,1.,Sandy Leon, 10.936
11,2019,2.,Curt Casali, 10.761
12,2019,3.,Robinson Chirinos, 10.519
13,2019,4.,Travis d'Arnaud, 10.455
14,2019,5.,Mike Zunino, 10.453
15,2019,6.,Christian Vazquez, 10.441
16,2019,7.,Jacob Stallings, 10.373
17,2019,8.,Roberto Perez, 10.271
18,2019,9.,Austin Romine, 10.161
19,2019,10.,Yan Gomes, 10.098
20,2018,1.,Brian McCann, 11.014
21,2018,2.,Max Stassi, 10.726
22,2018,3.,Sandy Leon, 10.671
23,2018,4.,Gary Sanchez, 10.557
24,2018,5.,Austin Romine, 10.541
25,2018,6.,Austin Barnes, 10.208
26,2018,7.,Christian Vazquez, 10.088
27,2018,8.,Yasmani Grandal, 10.073
28,2018,9.,Martin Maldonado, 9.998
29,2018,10.,Pedro Severino, 9.932
30,2017,1.,Roberto Perez, 10.803
31,2017,2.,Yan Gomes, 10.493
32,2017,3.,Sandy Leon, 10.411
33,2017,4.,Brian McCann, 10.367
34,2017,5.,Yasmani Grandal, 10.294
35,2017,6.,Gary Sanchez, 10.165
36,2017,7.,Rene Rivera, 10.100
37,2017,8.,Austin Romine, 9.858
38,2017,9.,Christian Vazquez, 9.817
39,2017,10.,Matt Wieters, 9.559
40,2016,1.,Yasmani Grandal, 10.157
41,2016,2.,Roberto Perez, 10.063
42,2016,3.,Brian McCann, 9.618
43,2016,4.,Wilson Ramos, 9.482
44,2016,5.,Miguel Montero, 9.462
45,2016,6.,Travis d'Arnaud, 9.414
46,2016,7.,J.T. Realmuto, 9.291
47,2016,8.,Curt Casali, 9.236
48,2016,9.,Jason Castro, 9.092
49,2016,10.,Buster Posey, 8.986
50,2015,1.,A.J. Ellis, 10.317
51,2015,2.,Roberto Perez, 10.198
52,2015,3.,Tyler Flowers, 9.632
53,2015,4.,Miguel Montero, 9.546
54,2015,5.,Rene Rivera, 9.314
55,2015,6.,Wilson Ramos, 9.206
56,2015,7.,Travis d'Arnaud, 9.184
57,2015,8.,Derek Norris, 9.072
58,2015,9.,Brian McCann, 9.058
59,2015,10.,Yan Gomes, 9.045
60,2014,1.,Jose Molina, 9.869
61,2014,2.,A.J. Ellis, 9.365
62,2014,3.,Yan Gomes, 9.358
63,2014,4.,Brian McCann, 9.324
64,2014,5.,Rene Rivera, 9.147
65,2014,6.,Jose Lobaton, 9.072
66,2014,7.,Hank Conger, 8.981
67,2014,8.,Mike Zunino, 8.783
68,2014,9.,Evan Gattis, 8.696
69,2014,10.,Carlos Ruiz, 8.625
70,2013,1.,Brayan Pena, 9.606
71,2013,2.,Yan Gomes, 9.228
72,2013,3.,Carlos Santana, 9.181
73,2013,4.,Alex Avila, 9.079
74,2013,5.,Tyler Flowers, 8.926
75,2013,6.,Ryan Hanigan, 8.715
76,2013,7.,Jose Lobaton, 8.613
77,2013,8.,A.J. Ellis, 8.590
