,Year,Rank,Name,Stat
0,2020,1.,Roberto Perez, 1.0000
1,2020,1.,Austin Romine, 1.0000
2,2020,1.,Salvador Perez, 1.0000
3,2020,1.,Tucker Barnhart, 1.0000
4,2020,1.,Will Smith, 1.0000
5,2020,1.,Kurt Suzuki, 1.0000
6,2020,7.,Wilson Ramos, .9975
7,2020,8.,Christian Vazquez, .9974
8,2020,9.,Max Stassi, .9961
9,2020,10.,Michael Perez, .9960
10,2019,1.,Christian Vazquez, .9991
11,2019,2.,Yadier Molina, .9989
12,2019,3.,Tony Wolters, .9988
13,2019,4.,Tucker Barnhart, .9977
14,2019,5.,Buster Posey, .9976
15,2019,6.,Roberto Perez, .9974
16,2019,7.,Josh Phegley, .9973
17,2019,8.,Travis d'Arnaud, .9959
18,2019,9.,Tyler Flowers, .9958
19,2019,10.,Yan Gomes, .9955
20,2018,1.,Salvador Perez, 1.0000
21,2018,2.,Sandy Leon, .9988
22,2018,3.,Yadier Molina, .9980
23,2018,4.,Tucker Barnhart, .9978
24,2018,5.,Mike Zunino, .9978
25,2018,6.,Buster Posey, .9972
26,2018,7.,Max Stassi, .9972
27,2018,8.,Francisco Cervelli, .9963
28,2018,9.,Martin Maldonado, .9963
29,2018,10.,Robinson Chirinos, .9960
30,2017,1.,Tucker Barnhart, .9990
31,2017,2.,Martin Maldonado, .9982
32,2017,3.,James McCann, .9974
33,2017,4.,Jason Castro, .9960
34,2017,5.,Russell Martin, .9957
35,2017,6.,Jonathan Lucroy, .9952
36,2017,7.,Travis d'Arnaud, .9950
37,2017,8.,Buster Posey, .9949
38,2017,9.,Brian McCann, .9948
39,2017,10.,Yasmani Grandal, .9948
40,2016,1.,Yadier Molina, .9983
41,2016,2.,Wilson Ramos, .9974
42,2016,3.,Buster Posey, .9972
43,2016,4.,Salvador Perez, .9963
44,2016,5.,Russell Martin, .9962
45,2016,6.,Jason Castro, .9957
46,2016,7.,Yasmani Grandal, .9954
47,2016,8.,Tyler Flowers, .9953
48,2016,9.,Carlos Perez, .9951
49,2016,10.,Brian McCann, .9951
50,2015,1.,James McCann, 1.0000
51,2015,2.,Jason Castro, .9988
52,2015,3.,Brayan Pena, .9986
53,2015,4.,Buster Posey, .9976
54,2015,5.,A.J. Pierzynski, .9974
55,2015,6.,Yasmani Grandal, .9966
56,2015,7.,Kurt Suzuki, .9965
57,2015,8.,Yan Gomes, .9963
58,2015,9.,Salvador Perez, .9963
59,2015,10.,Caleb Joseph, .9962
60,2014,1.,Brian McCann, .9978
61,2014,2.,Yadier Molina, .9977
62,2014,3.,Chris Iannetta, .9974
63,2014,4.,Devin Mesoraco, .9966
64,2014,5.,Dioner Navarro, .9963
65,2014,6.,Jonathan Lucroy, .9963
66,2014,7.,Mike Zunino, .9955
67,2014,8.,Jason Castro, .9952
68,2014,9.,A.J. Ellis, .9951
69,2014,10.,Kurt Suzuki, .9949
70,2013,1.,Russell Martin, .9980
71,2013,2.,A.J. Pierzynski, .9979
72,2013,3.,Chris Stewart, .9975
73,2013,4.,Matt Wieters, .9972
74,2013,5.,A.J. Ellis, .9968
75,2013,6.,Yadier Molina, .9962
76,2013,7.,Yan Gomes, .9959
77,2013,8.,Carlos Ruiz, .9957
78,2013,9.,Jose Lobaton, .9956
79,2013,10.,Derek Norris, .9950
80,2012,1.,Brian McCann, .9978
81,2012,2.,Yadier Molina, .9972
82,2012,3.,Ryan Hanigan, .9952
83,2012,4.,A.J. Ellis, .9945
84,2012,5.,Michael McKenry, .9944
85,2012,6.,Kurt Suzuki, .9943
86,2012,7.,Jose Molina, .9943
87,2012,8.,J.P. Arencibia, .9941
88,2012,9.,Russell Martin, .9939
89,2012,10.,A.J. Pierzynski, .9939
90,2011,1.,Ramon Hernandez, .9982
91,2011,2.,Chris Iannetta, .9976
92,2011,3.,Josh Thole, .9972
93,2011,4.,Rod Barajas, .9971
94,2011,5.,Carlos Ruiz, .9961
95,2011,6.,A.J. Pierzynski, .9955
96,2011,7.,Brian McCann, .9953
97,2011,8.,John Buck, .9953
98,2011,9.,Alex Avila, .9951
99,2011,10.,Jeff Mathis, .9947
100,2010,1.,Joe Mauer, .9959
101,2010,2.,Yorvit Torrealba, .9959
102,2010,3.,Rod Barajas, .9958
103,2010,4.,Geovany Soto, .9951
104,2010,5.,Yadier Molina, .9949
105,2010,6.,Ivan Rodriguez, .9948
106,2010,7.,A.J. Pierzynski, .9946
107,2010,8.,Chris Snyder, .9946
108,2010,9.,Matt Treanor, .9944
109,2010,10.,Matt Wieters, .9940
110,2009,1.,Ryan Hanigan, .9981
111,2009,2.,Gerald Laird, .9968
112,2009,3.,Jason Varitek, .9967
113,2009,4.,Carlos Ruiz, .9960
114,2009,5.,Joe Mauer, .9960
115,2009,6.,Bengie Molina, .9951
116,2009,7.,Kurt Suzuki, .9950
117,2009,8.,Yadier Molina, .9949
118,2009,9.,A.J. Pierzynski, .9946
119,2009,10.,Omir Santos, .9944
120,2008,1.,Chris Iannetta, 1.0000
121,2008,1.,Chris Snyder, 1.0000
122,2008,3.,Joe Mauer, .9966
