,Year,Rank,Name,Stat
0,2020,1.,Jonathan Schoop, 7
1,2020,2.,Ozzie Albies, 6
2,2020,3.,Kolten Wong, 6
3,2020,4.,Adam Frazier, 6
4,2020,5.,Enrique Hernandez, 5
5,2020,6.,Cesar Hernandez, 5
6,2020,7.,Luis Arraez, 3
7,2020,8.,Chris Taylor, 3
8,2020,9.,Danny Mendick, 2
9,2020,10.,Cavan Biggio, 2
10,2019,1.,Yolmer Sanchez, 16
11,2019,2.,DJ LeMahieu, 9
12,2019,2.,Kolten Wong, 9
13,2019,4.,Enrique Hernandez, 8
14,2019,5.,Adam Frazier, 7
15,2019,6.,Mike Freeman, 6
16,2019,7.,Brock Holt, 5
17,2019,8.,Hanser Alberto, 5
18,2019,8.,Daniel Robertson, 5
19,2019,10.,David Bote, 5
20,2019,10.,Ildemaro Vargas, 5
21,2018,1.,DJ LeMahieu, 23
22,2018,2.,Rougned Odor, 12
23,2018,2.,Ketel Marte, 12
24,2018,4.,Kolten Wong, 11
25,2018,5.,Joey Wendle, 11
26,2018,6.,Robinson Cano, 9
27,2018,7.,Daniel Robertson, 7
28,2018,8.,Jed Lowrie, 7
29,2018,9.,Wilmer Difo, 6
30,2018,9.,Ozzie Albies, 6
31,2017,1.,Jose Altuve, 13
32,2017,2.,DJ LeMahieu, 13
33,2017,3.,Jonathan Schoop, 9
34,2017,4.,Tyler Saladino, 8
35,2017,5.,Rougned Odor, 7
36,2017,6.,Dustin Pedroia, 6
37,2017,7.,Ben Zobrist, 6
38,2017,8.,Ronald Torreyes, 5
39,2017,8.,Yoan Moncada, 5
40,2017,10.,Carlos Asuaje, 5
41,2016,1.,Joe Panik, 15
42,2016,2.,Robinson Cano, 14
43,2016,3.,Kolten Wong, 13
44,2016,4.,Jason Kipnis, 12
45,2016,5.,Jonathan Schoop, 10
46,2016,6.,Dustin Pedroia, 8
47,2016,7.,Devon Travis, 8
48,2016,8.,Jedd Gyorko, 6
49,2016,9.,Jean Segura, 6
50,2016,10.,Jose Altuve, 6
51,2015,1.,Jose Altuve, 13
52,2015,2.,Ian Kinsler, 11
53,2015,3.,DJ LeMahieu, 7
54,2015,4.,Neil Walker, 6
55,2015,5.,Dustin Pedroia, 6
56,2015,6.,Danny Espinosa, 5
57,2015,7.,Jose Ramirez, 5
58,2015,8.,Aaron Hill, 5
59,2015,9.,Ryan Goins, 4
60,2015,10.,Jedd Gyorko, 4
61,2015,10.,Brandon Phillips, 4
62,2014,1.,Dustin Pedroia, 15
63,2014,2.,Ian Kinsler, 14
64,2014,3.,Jonathan Schoop, 13
65,2014,4.,Brandon Hicks, 8
66,2014,5.,DJ LeMahieu, 8
67,2014,6.,Ryan Goins, 8
68,2014,7.,Robinson Cano, 8
69,2014,8.,Eric Sogard, 7
70,2014,8.,Jason Kipnis, 7
71,2014,10.,Howie Kendrick, 6
72,2013,1.,Dustin Pedroia, 11
73,2013,2.,Brandon Phillips, 10
74,2013,3.,Ian Kinsler, 8
75,2013,4.,Nick Franklin, 8
76,2013,5.,DJ LeMahieu, 7
77,2013,6.,Brian Roberts, 7
78,2013,7.,Darwin Barney, 7
79,2013,8.,Donovan Solano, 6
80,2013,9.,Chris Getz, 6
81,2013,10.,Ryan Flaherty, 6
82,2012,1.,Darwin Barney, 16
83,2012,2.,Aaron Hill, 16
84,2012,3.,Danny Espinosa, 12
85,2012,4.,Jason Kipnis, 10
86,2012,5.,Robinson Cano, 10
87,2012,6.,Dustin Pedroia, 10
88,2012,7.,Mark Ellis, 10
89,2012,8.,Dan Uggla, 9
90,2012,9.,Howie Kendrick, 8
91,2012,9.,Omar Infante, 8
92,2011,1.,Omar Infante, 14
93,2011,2.,Mark Ellis, 12
94,2011,3.,Ian Kinsler, 12
95,2011,4.,Howie Kendrick, 10
96,2011,5.,Aaron Hill, 9
97,2011,6.,Dustin Pedroia, 9
98,2011,7.,Chase Utley, 7
99,2011,8.,Danny Espinosa, 6
100,2011,9.,Alexi Casilla, 6
101,2011,10.,Orlando Cabrera, 5
102,2010,1.,Dustin Pedroia, 12
103,2010,2.,Mark Ellis, 8
104,2010,3.,Chase Utley, 7
105,2010,4.,David Eckstein, 6
106,2010,5.,Will Rhymes, 6
107,2010,6.,Ian Kinsler, 6
108,2010,7.,Wilson Valdez, 5
109,2010,7.,Adam Kennedy, 5
110,2010,9.,Luis Valbuena, 5
111,2010,10.,Andres Blanco, 5
112,2009,1.,Ian Kinsler, 14
113,2009,2.,Placido Polanco, 12
114,2009,3.,Dustin Pedroia, 11
115,2009,4.,Chase Utley, 10
116,2009,5.,Aaron Hill, 10
117,2009,6.,Clint Barmes, 9
118,2009,7.,Robinson Cano, 6
119,2009,8.,Kelly Johnson, 6
120,2009,9.,Ben Zobrist, 5
121,2009,10.,Felipe Lopez, 5
122,2008,1.,Asdrubal Cabrera, 13
123,2008,2.,Chase Utley, 12
124,2008,3.,Placido Polanco, 11
125,2008,4.,Mark Ellis, 11
126,2008,5.,Adam Kennedy, 8
127,2008,6.,Jose Lopez, 7
128,2008,7.,Kelly Johnson, 5
129,2008,8.,Aaron Miles, 5
130,2008,8.,Clint Barmes, 5
131,2008,10.,Jamey Carroll, 4
132,2007,1.,Aaron Hill, 20
133,2007,2.,Kazuo Matsui, 19
134,2007,3.,Robinson Cano, 15
135,2007,4.,Mark Ellis, 15
136,2007,5.,Chase Utley, 9
137,2007,6.,Dustin Pedroia, 7
138,2007,7.,Jose Lopez, 6
139,2007,8.,Damion Easley, 6
