,Year,Rank,Name,Stat
0,2020,1.,Enrique Hernandez, 4.861
1,2020,2.,Ryan McMahon, 4.573
2,2020,3.,Nicky Lopez, 4.436
3,2020,4.,DJ LeMahieu, 4.422
4,2020,5.,Jonathan Schoop, 4.378
5,2020,6.,Kolten Wong, 4.262
6,2020,7.,Jean Segura, 4.212
7,2020,8.,Ketel Marte, 4.198
8,2020,9.,Hanser Alberto, 4.166
9,2020,10.,Jose Altuve, 4.114
10,2019,1.,Whit Merrifield, 5.051
11,2019,2.,Kolten Wong, 4.984
12,2019,3.,Ryan McMahon, 4.762
13,2019,4.,Yolmer Sanchez, 4.755
14,2019,5.,Jonathan Villar, 4.369
15,2019,6.,Cavan Biggio, 4.272
16,2019,7.,Dee Strange-Gordon, 4.234
17,2019,8.,Hanser Alberto, 4.233
18,2019,9.,Luis Rengifo, 4.211
19,2019,10.,Ozzie Albies, 4.209
20,2018,1.,Dee Strange-Gordon, 4.924
21,2018,2.,Scooter Gennett, 4.865
22,2018,3.,Jonathan Schoop, 4.838
23,2018,4.,DJ LeMahieu, 4.738
24,2018,5.,Kolten Wong, 4.728
25,2018,6.,Javier Baez, 4.721
26,2018,7.,Rougned Odor, 4.597
27,2018,8.,Whit Merrifield, 4.453
28,2018,9.,Ketel Marte, 4.447
29,2018,10.,Devon Travis, 4.426
30,2017,1.,Jonathan Schoop, 5.036
31,2017,2.,DJ LeMahieu, 4.984
32,2017,3.,Josh Harrison, 4.945
33,2017,4.,Rougned Odor, 4.940
34,2017,5.,Kolten Wong, 4.776
35,2017,6.,Carlos Asuaje, 4.773
36,2017,7.,Ian Kinsler, 4.669
37,2017,8.,Cesar Hernandez, 4.605
38,2017,9.,Brian Dozier, 4.593
39,2017,10.,Jonathan Villar, 4.590
40,2016,1.,Kolten Wong, 5.496
41,2016,2.,Josh Harrison, 5.245
42,2016,3.,Ian Kinsler, 5.092
43,2016,4.,DJ LeMahieu, 5.055
44,2016,5.,Rougned Odor, 5.035
45,2016,6.,Jace Peterson, 4.990
46,2016,7.,Joe Panik, 4.962
47,2016,8.,Robinson Cano, 4.839
48,2016,9.,Jed Lowrie, 4.777
49,2016,10.,Brian Dozier, 4.767
50,2015,1.,DJ LeMahieu, 5.271
51,2015,2.,Danny Espinosa, 5.233
52,2015,3.,Dee Strange-Gordon, 5.152
53,2015,4.,Kolten Wong, 5.082
