,Year,Rank,Name,Stat
0,2020,1.,Jonathan Schoop, .9943
1,2020,2.,Ketel Marte, .9936
2,2020,3.,Adam Frazier, .9935
3,2020,4.,Nicky Lopez, .9905
4,2020,5.,Tony Kemp, .9905
5,2020,6.,Hanser Alberto, .9896
6,2020,7.,Kolten Wong, .9895
7,2020,8.,Brandon Lowe, .9839
8,2020,9.,Cesar Hernandez, .9810
9,2020,10.,Jose Altuve, .9794
10,2019,1.,Ozzie Albies, .9939
11,2019,2.,Jason Kipnis, .9902
12,2019,3.,Adam Frazier, .9892
13,2019,4.,Joe Panik, .9888
14,2019,5.,Brian Dozier, .9874
15,2019,6.,Yolmer Sanchez, .9866
16,2019,7.,Kolten Wong, .9866
17,2019,8.,Cesar Hernandez, .9812
18,2019,9.,Dee Strange-Gordon, .9796
19,2019,10.,Starlin Castro, .9793
20,2018,1.,DJ LeMahieu, .9932
21,2018,2.,Jed Lowrie, .9925
22,2018,3.,Wilmer Difo, .9918
23,2018,4.,Ketel Marte, .9899
24,2018,5.,Ozzie Albies, .9845
25,2018,6.,Rougned Odor, .9840
26,2018,7.,Jose Altuve, .9836
27,2018,8.,Scooter Gennett, .9835
28,2018,9.,Ian Kinsler, .9831
29,2018,10.,Jason Kipnis, .9817
30,2017,1.,Brian Dozier, .9926
31,2017,2.,Jed Lowrie, .9909
32,2017,3.,DJ LeMahieu, .9890
33,2017,4.,Joe Panik, .9847
34,2017,5.,Daniel Murphy, .9845
35,2017,6.,Brandon Phillips, .9843
36,2017,7.,Robinson Cano, .9834
37,2017,8.,Ian Kinsler, .9833
38,2017,9.,Jose Altuve, .9822
39,2017,10.,Dee Strange-Gordon, .9820
40,2016,1.,Robinson Cano, .9960
41,2016,2.,Joe Panik, .9917
42,2016,3.,DJ LeMahieu, .9915
43,2016,4.,Dustin Pedroia, .9902
44,2016,5.,Chase Utley, .9893
45,2016,6.,Jonathan Schoop, .9891
46,2016,7.,Josh Harrison, .9890
47,2016,8.,Brian Dozier, .9888
48,2016,9.,Ian Kinsler, .9879
49,2016,10.,Jose Altuve, .9878
50,2015,1.,Jose Altuve, .9925
51,2015,2.,Dee Strange-Gordon, .9918
52,2015,3.,Robinson Cano, .9914
53,2015,4.,Chris Owings, .9911
54,2015,5.,Brandon Phillips, .9909
55,2015,6.,Yolmer Sanchez, .9900
56,2015,7.,Howie Kendrick, .9899
57,2015,8.,Brian Dozier, .9896
58,2015,9.,Neil Walker, .9894
59,2015,10.,DJ LeMahieu, .9882
60,2014,1.,Dustin Pedroia, .9969
61,2014,2.,Brandon Phillips, .9962
62,2014,3.,Neil Walker, .9921
63,2014,4.,DJ LeMahieu, .9911
64,2014,5.,Jason Kipnis, .9888
65,2014,6.,Ian Kinsler, .9883
66,2014,7.,Aaron Hill, .9877
67,2014,8.,Jonathan Schoop, .9873
68,2014,9.,Robinson Cano, .9871
69,2014,10.,Jose Altuve, .9864
70,2013,1.,Darwin Barney, .9934
71,2013,2.,Ben Zobrist, .9928
72,2013,3.,Dustin Pedroia, .9927
73,2013,4.,Jedd Gyorko, .9920
74,2013,5.,Brian Dozier, .9918
75,2013,6.,Robinson Cano, .9909
76,2013,7.,Neil Walker, .9894
77,2013,8.,Mark Ellis, .9887
78,2013,9.,Brandon Phillips, .9874
79,2013,10.,Jose Altuve, .9867
80,2012,1.,Darwin Barney, .9973
81,2012,2.,Mark Ellis, .9939
82,2012,3.,Brandon Phillips, .9922
83,2012,4.,Aaron Hill, .9921
84,2012,5.,Dustin Pedroia, .9920
85,2012,6.,Robinson Cano, .9917
86,2012,7.,Jason Kipnis, .9913
87,2012,8.,Gordon Beckham, .9900
88,2012,9.,Dustin Ackley, .9890
89,2012,10.,Danny Espinosa, .9886
90,2011,1.,Mark Ellis, .9953
91,2011,2.,Orlando Hudson, .9927
92,2011,3.,Neil Walker, .9923
93,2011,4.,Brandon Phillips, .9917
94,2011,5.,Dustin Pedroia, .9903
95,2011,6.,Omar Infante, .9891
96,2011,7.,Aaron Hill, .9890
97,2011,8.,Gordon Beckham, .9889
98,2011,9.,Ben Zobrist, .9888
99,2011,10.,Chris Getz, .9879
100,2010,1.,David Eckstein, 1.0000
101,2010,2.,Robinson Cano, .9961
102,2010,3.,Brandon Phillips, .9957
103,2010,4.,Mark Ellis, .9945
104,2010,5.,Freddy Sanchez, .9913
105,2010,6.,Jeff Keppinger, .9895
106,2010,7.,Kelly Johnson, .9882
107,2010,8.,Orlando Hudson, .9874
108,2010,9.,Ryan Theriot, .9861
109,2010,10.,Howie Kendrick, .9858
110,2009,1.,Placido Polanco, .9973
111,2009,2.,David Eckstein, .9964
112,2009,3.,Aaron Hill, .9912
113,2009,4.,Dustin Pedroia, .9910
114,2009,5.,Kazuo Matsui, .9909
115,2009,6.,Freddy Sanchez, .9904
116,2009,7.,Orlando Hudson, .9884
117,2009,8.,Brandon Phillips, .9876
118,2009,9.,Ian Kinsler, .9845
119,2009,10.,Chase Utley, .9845
120,2008,1.,Mark Ellis, .9930
121,2008,2.,Dustin Pedroia, .9918
122,2008,3.,Brandon Phillips, .9901
123,2008,4.,Akinori Iwamura, .9898
124,2008,5.,Freddy Sanchez, .9893
125,2008,6.,Brian Roberts, .9892
126,2008,7.,Placido Polanco, .9887
127,2008,8.,Chase Utley, .9841
128,2008,9.,Jose Lopez, .9838
129,2008,10.,Robinson Cano, .9838
130,2007,1.,Placido Polanco, 1.0000
131,2007,2.,Mark Ellis, .9938
132,2007,3.,Luis Castillo, .9913
133,2007,4.,Brian Roberts, .9906
134,2007,5.,Dustin Pedroia, .9904
135,2007,6.,Tadahito Iguchi, .9900
136,2007,7.,Brandon Phillips, .9898
137,2007,8.,Ronnie Belliard, .9895
138,2007,9.,Jose Lopez, .9887
139,2007,10.,Mark Grudzielanek, .9878
140,2006,1.,Mark Ellis, .9968
141,2006,2.,Jamey Carroll, .9949
142,2006,3.,Mark Loretta, .9937
143,2006,4.,Mark Grudzielanek, .9937
144,2006,5.,Luis Castillo, .9908
145,2006,6.,Craig Biggio, .9893
146,2006,7.,Tadahito Iguchi, .9877
147,2006,8.,Josh Barfield, .9868
148,2006,9.,Aaron Hill, .9867
149,2006,10.,Brian Roberts, .9849
150,2005,1.,Placido Polanco, .9947
151,2005,2.,Orlando Hudson, .9914
152,2005,3.,Adam Kennedy, .9912
153,2005,4.,Mark Grudzielanek, .9899
154,2005,5.,Craig Counsell, .9896
155,2005,6.,Mark Ellis, .9889
156,2005,7.,Luis Castillo, .9884
157,2005,8.,Brian Roberts, .9879
158,2005,9.,Marcus Giles, .9839
159,2005,10.,Ray Durham, .9817
160,2004,1.,Placido Polanco, .9947
161,2004,2.,Marco Scutaro, .9945
162,2004,3.,Luis Rivas, .9940
163,2004,4.,Luis Castillo, .9913
164,2004,5.,D'Angelo Jimenez, .9899
165,2004,6.,Jeff Kent, .9893
166,2004,7.,Brian Roberts, .9880
167,2004,8.,Miguel Cairo, .9874
168,2004,9.,Alex Cora, .9869
169,2004,10.,Mark Loretta, .9866
170,2003,1.,Adam Kennedy, .9902
171,2003,2.,Bret Boone, .9900
172,2003,3.,Mark Loretta, .9899
173,2003,4.,Michael Young, .9873
174,2003,5.,Luis Castillo, .9863
175,2003,6.,Mark Grudzielanek, .9860
176,2003,7.,Roberto Alomar, .9852
177,2003,8.,Orlando Hudson, .9841
178,2003,9.,D'Angelo Jimenez, .9838
179,2003,10.,Jose Vidro, .9835
180,2002,1.,Todd Walker, .9895
181,2002,2.,Bret Boone, .9891
182,2002,3.,Mark Grudzielanek, .9888
183,2002,4.,Craig Biggio, .9881
184,2002,5.,Pokey Reese, .9878
185,2002,6.,Michael Young, .9876
186,2002,7.,Jose Vidro, .9858
187,2002,8.,Adam Kennedy, .9831
188,2002,9.,Roberto Alomar, .9826
189,2002,10.,Jerry Hairston, .9819
190,2001,1.,Roberto Alomar, .9928
191,2001,2.,Fernando Vina, .9872
192,2001,3.,Jeff Kent, .9865
193,2001,4.,Edgardo Alfonzo, .9865
194,2001,5.,Ray Durham, .9864
195,2001,6.,Damian Jackson, .9860
196,2001,7.,Bret Boone, .9858
197,2001,8.,Adam Kennedy, .9839
198,2001,9.,Craig Biggio, .9838
199,2001,10.,Mark Grudzielanek, .9837
200,2000,1.,Damion Easley, .9902
201,2000,2.,Mickey Morandini, .9887
202,2000,3.,Fernando Vina, .9882
203,2000,4.,Mike Lansing, .9880
204,2000,5.,Jay Bell, .9876
205,2000,6.,Mark McLemore, .9870
206,2000,7.,Jose Vidro, .9860
207,2000,8.,Jeff Kent, .9858
208,2000,9.,Edgardo Alfonzo, .9855
209,2000,10.,Luis Castillo, .9833
210,1999,1.,Edgardo Alfonzo, .9930
211,1999,2.,Roberto Alomar, .9919
212,1999,3.,Mickey Morandini, .9911
213,1999,4.,Pokey Reese, .9906
214,1999,5.,Damion Easley, .9891
215,1999,6.,Miguel Cairo, .9859
216,1999,7.,Craig Biggio, .9850
217,1999,8.,Homer Bush, .9845
218,1999,9.,Jeff Kent, .9837
219,1999,10.,Eric Young Sr., .9835
220,1998,1.,Mickey Morandini, .9926
221,1998,2.,Bret Boone, .9881
222,1998,3.,Mike Lansing, .9872
223,1998,4.,Quilvio Veras, .9866
224,1998,5.,Fernando Vina, .9864
225,1998,6.,Carlos Baerga, .9859
226,1998,7.,Damion Easley, .9850
227,1998,8.,Roberto Alomar, .9845
228,1998,9.,Delino DeShields, .9830
229,1998,10.,David Bell, .9822
230,1997,1.,Bret Boone, .9967
231,1997,2.,Mickey Morandini, .9902
232,1997,3.,Scott Spiezio, .9900
233,1997,4.,Roberto Alomar, .9882
234,1997,5.,Mike Lansing, .9868
235,1997,6.,Chuck Knoblauch, .9847
236,1997,7.,Ryne Sandberg, .9843
237,1997,8.,Quilvio Veras, .9841
238,1997,9.,Damion Easley, .9811
239,1997,10.,Tony Fernandez, .9805
240,1996,1.,Bret Boone, .9915
241,1996,2.,Ryne Sandberg, .9908
242,1996,3.,Chuck Knoblauch, .9880
243,1996,4.,Craig Biggio, .9877
244,1996,5.,Jody Reed, .9871
245,1996,6.,Mark Lewis, .9869
246,1996,7.,Mike Lansing, .9854
247,1996,8.,Roberto Alomar, .9850
248,1996,9.,Mark McLemore, .9850
249,1996,10.,Eric Young Sr., .9847
250,1995,1.,Bret Boone, .9941
251,1995,2.,Jody Reed, .9940
252,1995,3.,Roberto Alomar, .9938
253,1995,4.,Mike Lansing, .9912
254,1995,5.,Mark Lemke, .9903
255,1995,6.,Mickey Morandini, .9886
256,1995,7.,Rey Sanchez, .9871
257,1995,8.,Craig Biggio, .9863
258,1995,9.,Quilvio Veras, .9855
259,1995,10.,Chuck Knoblauch, .9849
260,1994,1.,Jody Reed, .9949
261,1994,2.,Mark Lemke, .9941
262,1994,3.,Chuck Knoblauch, .9937
263,1994,4.,Roberto Alomar, .9912
264,1994,5.,Craig Biggio, .9877
265,1994,6.,Jose Lind, .9877
266,1994,7.,Delino DeShields, .9863
267,1994,8.,Mickey Morandini, .9846
268,1994,9.,Mike Lansing, .9831
269,1994,10.,Mark McLemore, .9812
270,1993,1.,Jose Lind, .9937
271,1993,2.,Jody Reed, .9928
272,1993,3.,Mickey Morandini, .9900
273,1993,4.,Robby Thompson, .9880
274,1993,5.,Chuck Knoblauch, .9877
275,1993,6.,Ryne Sandberg, .9876
276,1993,7.,Harold Reynolds, .9860
277,1993,8.,Carlos Garcia, .9831
278,1993,9.,Delino DeShields, .9827
279,1993,10.,Jeff Gardner, .9826
280,1992,1.,Roberto Alomar, .9925
281,1992,2.,Jose Lind, .9919
282,1992,3.,Chuck Knoblauch, .9917
283,1992,4.,Mickey Morandini, .9913
284,1992,5.,Ryne Sandberg, .9904
285,1992,6.,Lou Whitaker, .9844
286,1992,7.,Craig Biggio, .9844
287,1992,8.,Mark Lemke, .9842
288,1992,9.,Jody Reed, .9823
289,1992,10.,Harold Reynolds, .9823
290,1991,1.,Ryne Sandberg, .9949
291,1991,2.,Lou Whitaker, .9935
292,1991,3.,Steve Sax, .9903
293,1991,4.,Mike Gallego, .9887
294,1991,5.,Jose Lind, .9887
295,1991,6.,Jose Oquendo, .9883
296,1991,7.,Robby Thompson, .9850
297,1991,8.,Casey Candaele, .9822
298,1991,9.,Jody Reed, .9818
299,1991,10.,Roberto Alomar, .9811
300,1990,1.,Jose Oquendo, .9956
301,1990,2.,Manuel Lee, .9927
302,1990,3.,Jose Lind, .9911
303,1990,4.,Lou Whitaker, .9910
304,1990,5.,Jody Reed, .9899
305,1990,6.,Ryne Sandberg, .9894
306,1990,7.,Robby Thompson, .9891
307,1990,8.,Tom Herr, .9889
308,1990,9.,Bill Doran, .9881
309,1990,10.,Scott Fletcher, .9880
310,1989,1.,Jose Oquendo, .9941
311,1989,2.,Ryne Sandberg, .9922
312,1989,3.,Tom Herr, .9900
313,1989,4.,Robby Thompson, .9892
314,1989,5.,Steve Sax, .9872
315,1989,6.,Jim Gantner, .9869
316,1989,7.,Willie Randolph, .9868
317,1989,8.,Billy Ripken, .9850
318,1989,9.,Lou Whitaker, .9850
319,1989,10.,Frank White, .9847
320,1988,1.,Frank White, .9945
321,1988,2.,Marty Barrett, .9903
322,1988,3.,Willie Randolph, .9883
323,1988,4.,Bill Doran, .9875
324,1988,5.,Ryne Sandberg, .9867
325,1988,6.,Jose Lind, .9865
326,1988,7.,Jim Gantner, .9856
327,1988,8.,Fred Manrique, .9853
328,1988,9.,Lou Whitaker, .9843
329,1988,10.,Billy Ripken, .9842
330,1987,1.,Bill Doran, .9919
331,1987,2.,Tom Herr, .9894
332,1987,3.,Marty Barrett, .9883
333,1987,4.,Frank White, .9873
334,1987,5.,Glenn Hubbard, .9858
335,1987,6.,Ryne Sandberg, .9853
336,1987,7.,Steve Sax, .9820
337,1987,8.,Johnny Ray, .9816
338,1987,9.,Willie Randolph, .9811
339,1987,10.,Jerry Browne, .9803
340,1986,1.,Ryne Sandberg, .9938
341,1986,2.,Johnny Ray, .9935
342,1986,3.,Steve Lombardozzi, .9915
343,1986,4.,Tom Herr, .9884
344,1986,5.,Frank White, .9869
345,1986,6.,Jim Gantner, .9849
346,1986,7.,Lou Whitaker, .9845
347,1986,8.,Marty Barrett, .9817
348,1986,9.,Steve Sax, .9804
349,1986,10.,Tony Bernazard, .9790
350,1985,1.,Bobby Grich, .9967
351,1985,2.,Toby Harrah, .9895
352,1985,3.,Wally Backman, .9892
353,1985,4.,Ron Oester, .9892
354,1985,5.,Glenn Hubbard, .9887
355,1985,6.,Jim Gantner, .9881
356,1985,7.,Marty Barrett, .9870
357,1985,8.,Ryne Sandberg, .9861
358,1985,9.,Jack Perconte, .9858
359,1985,10.,Willie Randolph, .9851
360,1985,10.,Lou Whitaker, .9851
361,1984,1.,Ryne Sandberg, .9931
362,1984,2.,Tom Herr, .9924
363,1984,3.,Glenn Hubbard, .9877
364,1984,4.,Marty Barrett, .9866
365,1984,5.,Bill Doran, .9855
366,1984,6.,Frank White, .9850
367,1984,7.,Jim Gantner, .9846
368,1984,8.,Tim Teufel, .9840
369,1984,9.,Johnny Ray, .9838
370,1984,10.,Willie Randolph, .9830
371,1983,1.,Frank White, .9905
372,1983,2.,John Castino, .9902
373,1983,3.,Jerry Remy, .9897
374,1983,4.,Rich Dauer, .9884
375,1983,5.,Manny Trillo, .9865
376,1983,6.,Ryne Sandberg, .9858
377,1983,7.,Juan Bonilla, .9855
378,1983,8.,Glenn Hubbard, .9852
379,1983,9.,Jim Gantner, .9844
380,1983,10.,Johnny Ray, .9834
381,1982,1.,Manny Trillo, .9937
382,1982,2.,Joe Morgan, .9888
383,1982,3.,Lou Whitaker, .9877
384,1982,4.,Tom Herr, .9871
385,1982,5.,Rich Dauer, .9869
386,1982,6.,Julio Cruz, .9869
387,1982,7.,Bobby Grich, .9862
388,1982,8.,Doug Flynn, .9858
389,1982,9.,Tony Bernazard, .9851
390,1982,10.,Glenn Hubbard, .9832
391,1981,1.,Tom Herr, .9915
392,1981,2.,Joe Morgan, .9909
393,1981,3.,Glenn Hubbard, .9907
394,1981,4.,Rich Dauer, .9891
395,1981,5.,Frank White, .9879
396,1981,6.,Tony Bernazard, .9874
397,1981,7.,Manny Trillo, .9870
398,1981,8.,Doug Flynn, .9867
399,1981,9.,Lou Whitaker, .9847
400,1981,10.,Jerry Remy, .9841
401,1980,1.,Rob Wilfong, .9948
402,1980,2.,Rich Dauer, .9914
403,1980,3.,Doug Flynn, .9909
404,1980,4.,Bobby Grich, .9887
405,1980,5.,Joe Morgan, .9883
406,1980,6.,Frank White, .9883
407,1980,7.,Dave Cash, .9872
408,1980,8.,Manny Trillo, .9869
409,1980,9.,Lou Whitaker, .9846
410,1980,10.,Bump Wills, .9843
411,1979,1.,Duane Kuiper, .9877
412,1979,2.,Lou Whitaker, .9863
413,1979,3.,Ken Oberkfell, .9853
414,1979,4.,Willie Randolph, .9846
415,1979,5.,Manny Trillo, .9846
416,1979,6.,Bobby Grich, .9836
417,1979,7.,Doug Flynn, .9829
418,1979,8.,Frank White, .9818
419,1979,9.,Davey Lopes, .9811
420,1979,10.,Joe Morgan, .9800
421,1978,1.,Julio Cruz, .9870
422,1978,2.,Dave Cash, .9858
423,1978,3.,Doug Flynn, .9856
424,1978,4.,Jorge Orta, .9843
425,1978,5.,Dave McKay, .9836
426,1978,6.,Jerry Remy, .9834
427,1978,7.,Bob Randall, .9829
428,1978,8.,Bobby Grich, .9828
429,1978,9.,Bump Wills, .9810
430,1978,10.,Joe Morgan, .9801
431,1977,1.,Joe Morgan, .9930
432,1977,2.,Frank White, .9894
433,1977,3.,Dave Cash, .9862
434,1977,4.,Ted Sizemore, .9860
435,1977,5.,Duane Kuiper, .9849
436,1977,6.,Bump Wills, .9819
437,1977,7.,Rennie Stennett, .9815
438,1977,8.,Don Money, .9808
439,1977,9.,Willie Randolph, .9805
440,1977,10.,Davey Lopes, .9794
441,1976,1.,Dave Cash, .9881
442,1976,2.,Duane Kuiper, .9866
443,1976,3.,Bobby Grich, .9850
444,1976,4.,Jack Brohamer, .9835
445,1976,5.,Joe Morgan, .9812
446,1976,6.,Rennie Stennett, .9811
447,1976,7.,Manny Trillo, .9810
448,1976,8.,Denny Doyle, .9774
449,1976,9.,Jerry Remy, .9772
450,1976,10.,Felix Millan, .9766
451,1975,1.,Joe Morgan, .9861
452,1975,2.,Marty Perez, .9852
453,1975,3.,Sandy Alomar, .9847
454,1975,4.,Jerry Remy, .9820
455,1975,5.,Dave Cash, .9811
456,1975,6.,Cookie Rojas, .9799
457,1975,7.,Rennie Stennett, .9791
