,Year,Rank,Name,Stat
0,2020,1.,Miguel Rojas, 4.718
1,2020,2.,Javier Baez, 4.698
2,2020,3.,Trevor Story, 4.561
3,2020,4.,J.P. Crawford, 4.315
4,2020,5.,Brandon Crawford, 4.159
5,2020,6.,Andrew Velazquez, 4.158
6,2020,7.,Adalberto Mondesi, 4.147
7,2020,8.,Marcus Semien, 4.108
8,2020,9.,Didi Gregorius, 4.040
9,2020,10.,Carlos Correa, 3.998
10,2019,1.,Adalberto Mondesi, 4.570
11,2019,2.,Tim Anderson, 4.337
12,2019,3.,Trevor Story, 4.281
13,2019,4.,Javier Baez, 4.280
14,2019,5.,J.P. Crawford, 4.275
15,2019,6.,Andrelton Simmons, 4.256
16,2019,7.,Paul DeJong, 4.238
17,2019,8.,Freddy Galvis, 4.109
18,2019,9.,Elvis Andrus, 4.108
19,2019,10.,Brandon Crawford, 4.058
20,2018,1.,Brandon Crawford, 4.482
21,2018,2.,JT Riddle, 4.452
22,2018,3.,Miguel Rojas, 4.354
23,2018,4.,Elvis Andrus, 4.345
24,2018,5.,Nick Ahmed, 4.334
25,2018,6.,Andrelton Simmons, 4.304
26,2018,7.,Addison Russell, 4.224
27,2018,8.,Orlando Arcia, 4.192
28,2018,9.,Marcus Semien, 4.147
29,2018,10.,Trevor Story, 4.019
30,2017,1.,Elvis Andrus, 4.865
31,2017,2.,Orlando Arcia, 4.847
32,2017,3.,Trevor Story, 4.548
33,2017,4.,Brandon Crawford, 4.459
34,2017,5.,Erick Aybar, 4.426
35,2017,6.,Marcus Semien, 4.410
36,2017,7.,Andrelton Simmons, 4.409
37,2017,8.,Alcides Escobar, 4.294
38,2017,9.,José Iglesias, 4.281
39,2017,10.,Ryan Goins, 4.243
40,2016,1.,Nick Ahmed, 4.791
41,2016,2.,Trevor Story, 4.724
42,2016,3.,Jonathan Villar, 4.649
43,2016,4.,Marcus Semien, 4.626
44,2016,5.,Andrelton Simmons, 4.608
45,2016,6.,Zack Cozart, 4.581
46,2016,7.,Elvis Andrus, 4.465
47,2016,8.,José Iglesias, 4.403
48,2016,9.,Francisco Lindor, 4.366
49,2016,10.,Jordy Mercer, 4.322
50,2015,1.,Elvis Andrus, 4.895
51,2015,2.,Nick Ahmed, 4.818
52,2015,3.,Andrelton Simmons, 4.777
53,2015,4.,Brandon Crawford, 4.634
54,2015,5.,Alexi Amarista, 4.585
55,2015,6.,Jordy Mercer, 4.553
56,2015,7.,Brad Miller, 4.534
57,2015,8.,Troy Tulowitzki, 4.512
58,2015,9.,Clint Barmes, 4.488
59,2015,10.,Alexei Ramírez, 4.454
60,2014,1.,Troy Tulowitzki, 4.721
61,2014,2.,Ruben Tejada, 4.657
