,Year,Rank,Name,Stat
0,2020,1.,Tyler O'Neill, 10
1,2020,2.,Alex Gordon, 10
2,2020,3.,Lourdes Gurriel Jr., 8
3,2020,4.,David Peralta, 5
4,2020,5.,Michael Brantley, 4
5,2020,6.,Kyle Tucker, 4
6,2020,7.,Chris Taylor, 4
7,2020,8.,Christin Stewart, 4
8,2020,9.,Austin Hays, 3
9,2020,10.,Eloy Jimenez, 3
10,2019,1.,Robbie Grossman, 15
11,2019,2.,David Peralta, 11
12,2019,3.,Alex Gordon, 10
13,2019,4.,Ronald Acuna Jr., 8
14,2019,5.,Joey Gallo, 8
15,2019,6.,Greg Allen, 7
16,2019,7.,Kyle Schwarber, 6
17,2019,8.,Hunter Renfroe, 6
18,2019,9.,Derek Fisher, 6
19,2019,10.,Jay Bruce, 5
20,2019,10.,Austin Meadows, 5
21,2018,1.,Andrew Benintendi, 17
22,2018,2.,Corey Dickerson, 16
23,2018,3.,Adam Duvall, 13
24,2018,4.,Chad Pinder, 12
25,2018,5.,Ryan Braun, 11
26,2018,6.,Alex Gordon, 11
27,2018,7.,JaCoby Jones, 9
28,2018,8.,Justin Upton, 9
29,2018,9.,Kyle Schwarber, 8
30,2018,10.,Marcell Ozuna, 8
31,2017,1.,Alex Gordon, 20
32,2017,2.,Brett Gardner, 11
33,2017,3.,Eddie Rosario, 9
34,2017,4.,Danny Santana, 9
35,2017,5.,Corey Dickerson, 8
36,2017,6.,Justin Upton, 8
37,2017,7.,Nicky Delmonico, 7
38,2017,8.,Andrew Romine, 6
39,2017,9.,Brandon Nimmo, 6
40,2017,10.,Ryan Rua, 5
41,2016,1.,Colby Rasmus, 9
42,2016,2.,Adam Duvall, 9
43,2016,3.,Kris Bryant, 9
44,2016,4.,Michael Conforto, 8
45,2016,5.,Angel Pagan, 7
46,2016,6.,Yoenis Céspedes, 7
47,2016,7.,Chris Coghlan, 7
48,2016,8.,Shane Robinson, 7
49,2016,9.,Alex Gordon, 5
50,2016,10.,Corey Dickerson, 5
51,2015,1.,Yoenis Céspedes, 15
52,2015,2.,Christian Yelich, 10
53,2015,3.,Michael Conforto, 9
54,2015,4.,Eddie Rosario, 9
55,2015,5.,Scott Van Slyke, 8
56,2015,6.,Alex Gordon, 8
57,2015,7.,Ender Inciarte, 8
58,2015,8.,Sam Fuld, 6
59,2015,9.,Nori Aoki, 6
60,2015,10.,Michael A. Taylor, 6
61,2014,1.,Alex Gordon, 25
62,2014,2.,Khris Davis, 13
63,2014,3.,Eric Young Jr., 11
64,2014,4.,Justin Upton, 9
65,2014,5.,Christian Yelich, 9
66,2014,6.,Dustin Ackley, 9
67,2014,7.,Chris Heisey, 8
68,2014,8.,Chris Young, 8
69,2014,9.,Steve Pearce, 7
70,2014,10.,Ender Inciarte, 7
71,2014,10.,Gregor Blanco, 7
72,2013,1.,Alex Gordon, 15
73,2013,2.,Chris Heisey, 11
74,2013,3.,Matt Holliday, 8
75,2013,4.,Andres Torres, 8
76,2013,5.,Derrick Robinson, 7
77,2013,6.,Eric Young Jr., 7
78,2013,7.,Carl Crawford, 7
79,2013,8.,Starling Marte, 7
80,2013,9.,Jose Tabata, 6
81,2013,9.,Logan Schafer, 6
82,2012,1.,Martin Prado, 15
83,2012,2.,Alfonso Soriano, 11
84,2012,3.,David Murphy, 10
85,2012,4.,Dayán Viciedo, 8
86,2012,5.,Trayvon Robinson, 8
87,2012,6.,Desmond Jennings, 8
88,2012,7.,Charlie Blackmon, 7
89,2012,8.,Jesus Guzman, 6
90,2012,9.,Daniel Nava, 6
91,2012,10.,Jose Constanza, 6
92,2011,1.,Brett Gardner, 34
93,2011,2.,Alex Gordon, 12
94,2011,3.,Ryan Raburn, 11
95,2011,4.,Carlos Lee, 9
96,2011,5.,Gerardo Parra, 8
97,2011,6.,Corey Patterson, 8
98,2011,7.,Alfonso Soriano, 7
99,2011,8.,Josh Hamilton, 6
100,2011,9.,Sam Fuld, 6
101,2011,10.,Jose Tabata, 6
102,2010,1.,Brett Gardner, 20
103,2010,2.,Juan Pierre, 16
104,2010,3.,Gerardo Parra, 12
105,2010,4.,Aubrey Huff, 10
106,2010,5.,Pat Burrell, 8
107,2010,6.,Laynce Nix, 8
108,2010,7.,Carl Crawford, 7
109,2010,8.,Reed Johnson, 7
110,2010,9.,Andres Torres, 6
111,2010,10.,Darnell McDonald, 6
112,2009,1.,David DeJesus, 17
113,2009,2.,Carl Crawford, 16
114,2009,3.,Laynce Nix, 12
115,2009,4.,David Murphy, 11
116,2009,5.,Johnny Damon, 11
117,2009,6.,Randy Winn, 9
118,2009,7.,Nyjer Morgan, 8
119,2009,8.,Michael Saunders, 7
120,2009,9.,Jason Kubel, 7
121,2009,10.,Marlon Byrd, 7
122,2008,1.,Jay Payton, 18
123,2008,2.,Carl Crawford, 17
124,2008,3.,Johnny Damon, 14
125,2008,4.,David DeJesus, 14
126,2008,5.,Conor Jackson, 10
127,2008,6.,Xavier Nady, 9
128,2008,7.,Juan Pierre, 8
129,2008,8.,Garret Anderson, 8
