,Year,Rank,Name,Stat
0,2020,1.,Lourdes Gurriel Jr., 1.943
1,2020,2.,David Peralta, 1.933
2,2020,3.,Kyle Tucker, 1.878
3,2020,4.,Tyler O'Neill, 1.854
4,2020,5.,Robbie Grossman, 1.848
5,2020,6.,Raimel Tapia, 1.833
6,2020,7.,Bryan Reynolds, 1.784
7,2020,8.,Eddie Rosario, 1.745
8,2020,9.,Alex Gordon, 1.735
9,2020,10.,Justin Upton, 1.667
10,2019,1.,David Peralta, 2.194
11,2019,2.,Alex Gordon, 1.884
12,2019,3.,Juan Soto, 1.820
13,2019,4.,Dwight Smith Jr., 1.814
14,2019,5.,Robbie Grossman, 1.777
15,2019,6.,Eloy Jimenez, 1.719
16,2019,7.,Curtis Granderson, 1.624
17,2019,8.,Raimel Tapia, 1.593
18,2019,9.,Kyle Schwarber, 1.579
19,2019,10.,Eddie Rosario, 1.573
20,2018,1.,Justin Upton, 2.150
21,2018,2.,Corey Dickerson, 2.113
22,2018,3.,Alex Gordon, 2.064
23,2018,4.,Trey Mancini, 1.969
24,2018,5.,Brett Gardner, 1.907
25,2018,6.,Eddie Rosario, 1.888
26,2018,7.,Juan Soto, 1.851
27,2018,8.,Adam Duvall, 1.842
28,2018,9.,Marcell Ozuna, 1.837
29,2018,10.,Michael Conforto, 1.798
30,2017,1.,Justin Upton, 2.166
31,2017,2.,Marcell Ozuna, 2.072
32,2017,3.,Corey Dickerson, 2.000
33,2017,4.,Alex Gordon, 1.907
34,2017,5.,Adam Duvall, 1.868
35,2017,6.,Khris Davis, 1.845
36,2017,7.,Trey Mancini, 1.784
37,2017,8.,Brett Gardner, 1.762
38,2017,9.,Melky Cabrera, 1.740
39,2017,10.,Tommy Pham, 1.733
40,2016,1.,Adam Duvall, 2.029
41,2016,2.,Angel Pagan, 1.813
42,2016,3.,Alex Gordon, 1.810
43,2016,4.,Justin Upton, 1.760
44,2016,5.,Brett Gardner, 1.755
45,2016,6.,Khris Davis, 1.753
46,2016,7.,Ryan Braun, 1.732
47,2016,8.,Melky Cabrera, 1.660
48,2016,9.,Nori Aoki, 1.657
49,2016,10.,Christian Yelich, 1.642
50,2015,1.,Eddie Rosario, 1.965
51,2015,2.,Alex Gordon, 1.951
52,2015,3.,Yoenis Céspedes, 1.918
53,2015,4.,Christian Yelich, 1.816
54,2015,5.,Michael Brantley, 1.772
55,2015,6.,Marlon Byrd, 1.761
56,2015,7.,David Peralta, 1.726
57,2015,8.,Ben Revere, 1.696
58,2015,9.,Justin Upton, 1.671
59,2015,10.,Nori Aoki, 1.616
60,2014,1.,Alex Gordon, 2.237
61,2014,2.,Khris Davis, 1.896
62,2014,3.,Christian Yelich, 1.891
63,2014,4.,Dustin Ackley, 1.872
64,2014,5.,Yoenis Céspedes, 1.856
65,2014,6.,Justin Upton, 1.840
66,2014,7.,Melky Cabrera, 1.827
67,2014,8.,Brett Gardner, 1.825
68,2014,9.,J.D. Martinez, 1.807
69,2014,10.,Alejandro De Aza, 1.765
70,2013,1.,Alex Gordon, 2.194
71,2013,2.,Yoenis Céspedes, 2.085
72,2013,3.,Alfonso Soriano, 2.075
73,2013,4.,Eric Young Jr., 1.968
74,2013,5.,Andy Dirks, 1.879
75,2013,6.,Nate McLouth, 1.868
76,2013,7.,Michael Brantley, 1.775
77,2013,8.,Carlos Gonzalez, 1.726
78,2013,9.,Raul Ibanez, 1.717
79,2013,10.,Bryce Harper, 1.660
80,2012,1.,Alex Gordon, 2.100
81,2012,2.,Josh Willingham, 2.042
82,2012,3.,Dayán Viciedo, 1.878
83,2012,4.,Ryan Braun, 1.868
84,2012,5.,Alfonso Soriano, 1.828
85,2012,6.,Melky Cabrera, 1.802
86,2012,7.,Ryan Ludwick, 1.769
87,2012,8.,Alex Presley, 1.716
88,2012,9.,Carlos Gonzalez, 1.634
89,2012,10.,Desmond Jennings, 1.604
90,2011,1.,Alex Gordon, 2.243
91,2011,2.,Gerardo Parra, 2.232
92,2011,3.,Vernon Wells, 2.207
93,2011,4.,Brett Gardner, 2.020
94,2011,5.,Delmon Young, 1.922
95,2011,6.,Carl Crawford, 1.858
96,2011,7.,Josh Hamilton, 1.847
97,2011,8.,Jason Bay, 1.836
98,2011,9.,Juan Pierre, 1.826
99,2011,10.,Ryan Braun, 1.816
100,2010,1.,Carl Crawford, 2.129
101,2010,2.,Juan Pierre, 2.087
102,2010,3.,Jose Tabata, 2.086
103,2010,4.,Juan Rivera, 2.072
104,2010,5.,Scott Podsednik, 2.047
105,2010,6.,Josh Hamilton, 2.022
106,2010,7.,Austin Kearns, 1.890
107,2010,8.,Ryan Braun, 1.863
