,Year,Rank,Name,Stat
0,2020,1.,Byron Buxton, 3.016
1,2020,2.,Cedric Mullins, 3.013
2,2020,3.,Ramon Laureano, 2.940
3,2020,4.,Victor Reyes, 2.862
4,2020,5.,Luis Robert, 2.851
5,2020,6.,Cody Bellinger, 2.789
6,2020,7.,Delino DeShields, 2.779
7,2020,8.,Leody Taveras, 2.703
8,2020,9.,Victor Robles, 2.598
9,2020,10.,Mauricio Dubon, 2.574
10,2019,1.,Byron Buxton, 2.887
11,2019,2.,Delino DeShields, 2.750
12,2019,3.,Oscar Mercado, 2.615
13,2019,4.,Mike Trout, 2.559
14,2019,5.,Mallex Smith, 2.514
15,2019,6.,Ramon Laureano, 2.497
16,2019,7.,Victor Robles, 2.470
17,2019,8.,Harrison Bader, 2.444
18,2019,9.,Jake Marisnick, 2.419
19,2019,10.,JaCoby Jones, 2.406
20,2018,1.,Delino DeShields, 3.049
21,2018,2.,Adam Engel, 2.898
22,2018,3.,Kevin Kiermaier, 2.854
23,2018,4.,Kevin Pillar, 2.756
24,2018,5.,Lewis Brinson, 2.753
25,2018,6.,Michael A. Taylor, 2.641
26,2018,7.,Gorkys Hernandez, 2.639
27,2018,8.,Albert Almora, 2.627
28,2018,9.,Starling Marte, 2.618
29,2018,10.,Billy Hamilton, 2.616
30,2017,1.,Byron Buxton, 3.110
31,2017,2.,Lorenzo Cain, 3.078
32,2017,3.,Adam Engel, 2.906
33,2017,4.,Ender Inciarte, 2.760
34,2017,5.,Jarrod Dyson, 2.694
35,2017,6.,Juan Lagares, 2.684
36,2017,7.,Kevin Kiermaier, 2.679
37,2017,8.,Odubel Herrera, 2.588
38,2017,9.,Michael A. Taylor, 2.546
39,2017,10.,Mike Trout, 2.449
40,2016,1.,Ender Inciarte, 2.966
41,2016,2.,Byron Buxton, 2.850
42,2016,3.,Kevin Kiermaier, 2.796
43,2016,4.,Billy Hamilton, 2.722
44,2016,5.,Odubel Herrera, 2.649
45,2016,6.,Mike Trout, 2.621
46,2016,7.,Cameron Maybin, 2.589
47,2016,8.,Leonys Martín, 2.569
48,2016,9.,Travis Jankowski, 2.492
49,2016,10.,Jackie Bradley Jr., 2.473
50,2015,1.,Kevin Kiermaier, 3.256
51,2015,2.,Leonys Martín, 3.088
52,2015,3.,Lorenzo Cain, 3.030
53,2015,4.,Kevin Pillar, 2.993
54,2015,5.,Odubel Herrera, 2.924
55,2015,6.,Mike Trout, 2.873
56,2015,7.,Anthony Gose, 2.861
57,2015,8.,Aaron Hicks, 2.730
58,2015,9.,Austin Jackson, 2.693
59,2015,10.,Cameron Maybin, 2.693
60,2014,1.,Leonys Martín, 3.074
61,2014,2.,Jarrod Dyson, 3.025
62,2014,3.,Colby Rasmus, 2.965
63,2014,4.,Lorenzo Cain, 2.961
64,2014,5.,Jackie Bradley Jr., 2.902
65,2014,6.,Juan Lagares, 2.848
66,2014,7.,Jacoby Ellsbury, 2.787
67,2014,8.,Adam Eaton, 2.768
68,2014,9.,Desmond Jennings, 2.691
69,2014,10.,Peter Bourjos, 2.689
70,2013,1.,Coco Crisp, 3.026
71,2013,2.,Brandon Barnes, 3.016
72,2013,3.,Lorenzo Cain, 3.003
73,2013,4.,Juan Lagares, 2.976
74,2013,5.,Carlos Gomez, 2.920
75,2013,6.,Aaron Hicks, 2.875
76,2013,7.,Ben Revere, 2.873
77,2013,8.,Alejandro De Aza, 2.775
78,2013,9.,Colby Rasmus, 2.774
79,2013,10.,Leonys Martín, 2.753
80,2012,1.,Jarrod Dyson, 3.077
81,2012,2.,Peter Bourjos, 2.978
82,2012,3.,Denard Span, 2.893
83,2012,4.,Adam Jones, 2.753
84,2012,5.,Craig Gentry, 2.722
85,2012,6.,Mike Trout, 2.703
86,2012,7.,Angel Pagan, 2.701
87,2012,8.,Coco Crisp, 2.668
88,2012,9.,Andres Torres, 2.656
89,2012,10.,Alejandro De Aza, 2.653
90,2011,1.,Carlos Gomez, 2.974
91,2011,2.,Franklin Gutierrez, 2.878
92,2011,3.,Ben Revere, 2.852
93,2011,4.,Andrew McCutchen, 2.812
94,2011,5.,Adam Jones, 2.775
95,2011,6.,Rick Ankiel, 2.773
96,2011,7.,Austin Jackson, 2.756
97,2011,8.,Nyjer Morgan, 2.732
98,2011,9.,Angel Pagan, 2.644
99,2011,10.,Dexter Fowler, 2.643
100,2010,1.,Angel Pagan, 3.022
101,2010,2.,Adam Jones, 3.009
102,2010,3.,Franklin Gutierrez, 2.924
103,2010,4.,Chris Young, 2.853
104,2010,5.,Drew Stubbs, 2.833
105,2010,6.,Alex Rios, 2.816
106,2010,7.,Austin Jackson, 2.808
107,2010,8.,Michael Bourn, 2.777
108,2010,9.,Julio Borbon, 2.768
109,2010,10.,Melvin Upton Jr., 2.766
110,2009,1.,Adam Jones, 3.206
111,2009,2.,Carlos Gomez, 3.182
112,2009,3.,Tony Gwynn, 3.026
113,2009,4.,Franklin Gutierrez, 2.999
114,2009,5.,Willy Taveras, 2.929
115,2009,6.,Grady Sizemore, 2.902
116,2009,7.,Mitch Maier, 2.899
117,2009,8.,Mike Cameron, 2.897
118,2009,9.,Torii Hunter, 2.855
119,2009,10.,Rajai Davis, 2.806
