,Year,Rank,Name,Stat
0,2020,1.,Mookie Betts, 13
1,2020,2.,Joey Gallo, 12
2,2020,3.,Max Kepler, 10
3,2020,4.,Jason Heyward, 9
4,2020,5.,Whit Merrifield, 6
5,2020,6.,Clint Frazier, 6
6,2020,7.,Dylan Carlson, 6
7,2020,8.,Anthony Santander, 5
8,2020,9.,Gregory Polanco, 5
9,2020,10.,Victor Reyes, 4
10,2019,1.,Aaron Judge, 20
11,2019,2.,Max Kepler, 12
12,2019,3.,George Springer, 8
13,2019,4.,Mookie Betts, 8
14,2019,5.,Austin Slater, 7
15,2019,6.,Tyler Naquin, 7
16,2019,7.,Mark Canha, 7
17,2019,8.,Ramon Laureano, 7
18,2019,9.,Bryce Harper, 7
19,2019,10.,Aristides Aquino, 6
20,2018,1.,Mookie Betts, 16
21,2018,2.,Max Kepler, 15
22,2018,3.,Aaron Judge, 11
23,2018,4.,Kole Calhoun, 10
24,2018,5.,Jason Heyward, 10
25,2018,6.,Nick Markakis, 10
26,2018,7.,Carlos Gonzalez, 9
27,2018,8.,Randal Grichuk, 8
28,2018,9.,Mitch Haniger, 7
29,2018,10.,Christian Yelich, 6
30,2017,1.,Mookie Betts, 22
31,2017,2.,Jason Heyward, 21
32,2017,3.,Aaron Judge, 20
33,2017,4.,Max Kepler, 13
34,2017,5.,Yasiel Puig, 13
35,2017,6.,Nick Markakis, 11
36,2017,7.,Avisail Garcia, 9
37,2017,8.,Joey Rickard, 9
38,2017,9.,Kole Calhoun, 8
39,2017,10.,Hunter Pence, 8
40,2016,1.,Adam Eaton, 22
41,2016,1.,Nick Markakis, 22
42,2016,3.,Jason Heyward, 22
43,2016,4.,Mookie Betts, 17
44,2016,5.,Bryce Harper, 12
45,2016,6.,Avisail Garcia, 11
46,2016,7.,Nomar Mazara, 10
47,2016,8.,Paulo Orlando, 8
48,2016,9.,Max Kepler, 6
49,2016,10.,Jabari Blash, 5
50,2015,1.,Kole Calhoun, 14
51,2015,2.,Lonnie Chisenhall, 13
52,2015,3.,Ichiro Suzuki, 13
53,2015,4.,Bryce Harper, 12
54,2015,5.,Yasiel Puig, 10
55,2015,6.,Jose Bautista, 7
56,2015,6.,Domonic Brown, 7
57,2015,8.,J.D. Martinez, 7
58,2015,9.,Rusney Castillo, 5
59,2015,10.,Alex Rios, 5
60,2014,1.,Jason Heyward, 27
61,2014,2.,Giancarlo Stanton, 14
62,2014,3.,Michael Saunders, 11
63,2014,4.,Ryan Braun, 10
64,2014,5.,Jake Marisnick, 9
65,2014,6.,Nate Schierholtz, 7
66,2014,7.,Brandon Barnes, 7
67,2014,8.,Daniel Nava, 6
68,2014,9.,Kevin Kiermaier, 6
69,2014,10.,Brock Holt, 5
70,2013,1.,Nori Aoki, 26
71,2013,2.,Jay Bruce, 23
72,2013,3.,Shane Victorino, 18
73,2013,4.,Cody Ross, 15
74,2013,5.,Gerardo Parra, 14
75,2013,6.,Josh Reddick, 12
76,2013,7.,Jose Bautista, 12
77,2013,8.,Chris Denorfia, 9
78,2013,9.,Ichiro Suzuki, 7
79,2013,10.,Jordan Schafer, 6
80,2012,1.,Alex Rios, 27
81,2012,2.,Jason Heyward, 24
82,2012,3.,Nori Aoki, 12
83,2012,4.,Ben Revere, 11
84,2012,5.,Giancarlo Stanton, 10
85,2012,6.,Jose Bautista, 9
86,2012,7.,Dave Sappelt, 9
87,2012,8.,Nelson Cruz, 8
88,2012,9.,Darin Mastroianni, 7
89,2012,10.,Ryan Sweeney, 6
90,2011,1.,Kosuke Fukudome, 19
91,2011,2.,Giancarlo Stanton, 17
92,2011,3.,Nick Swisher, 11
93,2011,4.,Chris Denorfia, 10
94,2011,5.,Corey Hart, 9
95,2011,6.,Carlos Quentin, 9
96,2011,7.,Jason Heyward, 9
97,2011,8.,Jason Bourgeois, 7
98,2011,9.,Allen Craig, 6
99,2011,9.,Josh Reddick, 6
100,2010,1.,Jay Bruce, 19
101,2010,2.,Justin Upton, 18
102,2010,3.,Giancarlo Stanton, 16
103,2010,4.,Shin-Soo Choo, 8
104,2010,5.,Jason Repko, 8
105,2010,6.,Ichiro Suzuki, 7
106,2010,7.,David DeJesus, 7
107,2010,8.,Andruw Jones, 7
108,2010,9.,J.D. Drew, 7
109,2010,10.,Gerardo Parra, 6
110,2009,1.,Nelson Cruz, 24
111,2009,2.,Brett Carroll, 15
112,2009,3.,Will Venable, 14
113,2009,4.,Ichiro Suzuki, 13
114,2009,5.,Justin Upton, 12
115,2009,6.,Gabe Gross, 11
116,2009,7.,Randy Winn, 11
117,2009,8.,Ben Zobrist, 10
118,2009,9.,Kosuke Fukudome, 9
119,2009,10.,Elijah Dukes, 9
120,2008,1.,Franklin Gutierrez, 21
121,2008,2.,Denard Span, 17
122,2008,3.,Ryan Sweeney, 11
123,2008,4.,Gabe Gross, 11
124,2008,5.,Kosuke Fukudome, 11
125,2008,6.,Jacoby Ellsbury, 10
126,2008,7.,Randy Winn, 10
127,2008,8.,Jayson Werth, 10
128,2008,9.,Endy Chavez, 9
129,2008,10.,Nick Markakis, 9
130,2007,1.,Jeff Francoeur, 16
131,2007,2.,Luke Scott, 15
132,2007,3.,Austin Kearns, 14
133,2007,4.,Carlos Quentin, 12
134,2007,5.,Vladimir Guerrero, 12
135,2007,5.,Magglio Ordonez, 12
136,2007,7.,Jeremy Hermida, 10
137,2007,8.,Alex Rios, 8
138,2007,9.,J.D. Drew, 7
139,2007,9.,Delmon Young, 7
140,2006,1.,Jeff Francoeur, 19
141,2006,2.,Nick Markakis, 17
142,2006,3.,Alex Rios, 13
143,2006,4.,Ryan Freel, 12
144,2006,5.,Austin Kearns, 11
145,2006,6.,Jason Lane, 10
146,2006,7.,Randy Winn, 9
147,2006,8.,Emil Brown, 8
148,2006,8.,Trot Nixon, 8
149,2006,10.,Shin-Soo Choo, 8
150,2005,1.,Ichiro Suzuki, 17
151,2005,2.,Jeff Francoeur, 13
152,2005,3.,Vladimir Guerrero, 13
153,2005,4.,Jason Lane, 11
154,2005,5.,Austin Kearns, 11
155,2005,6.,Alex Rios, 10
156,2005,7.,Jay Gibbons, 7
157,2005,8.,Gary Matthews, 7
158,2005,9.,Jose Cruz, 7
159,2005,10.,Nick Swisher, 6
160,2004,1.,Ichiro Suzuki, 27
161,2004,2.,Jose Cruz, 17
162,2004,3.,Kevin Mench, 10
163,2004,4.,Bobby Higginson, 10
164,2004,5.,Jay Gibbons, 10
165,2004,6.,J.D. Drew, 8
166,2004,7.,Craig Monroe, 8
