,Year,Rank,Name,Stat
0,2020,1.,Joey Gallo, 2.321
1,2020,2.,Anthony Santander, 2.200
2,2020,3.,Mookie Betts, 2.192
3,2020,4.,Kole Calhoun, 2.146
4,2020,5.,Charlie Blackmon, 2.100
5,2020,6.,Jason Heyward, 2.000
6,2020,7.,Adam Eaton, 1.976
7,2020,8.,Mike Yastrzemski, 1.936
8,2020,9.,Michael Conforto, 1.885
9,2020,10.,Jo Adell, 1.853
10,2019,1.,Mookie Betts, 2.136
11,2019,2.,Kole Calhoun, 2.113
12,2019,3.,Nicholas Castellanos, 2.095
13,2019,4.,Aaron Judge, 2.000
14,2019,5.,Bryce Harper, 1.954
15,2019,6.,Adam Eaton, 1.942
16,2019,7.,Franmil Reyes, 1.942
17,2019,8.,Nomar Mazara, 1.941
18,2019,9.,Stephen Piscotty, 1.889
19,2019,10.,Michael Conforto, 1.886
20,2018,1.,Avisail Garcia, 2.195
21,2018,2.,Nicholas Castellanos, 2.092
22,2018,3.,Mookie Betts, 2.042
23,2018,3.,Mitch Haniger, 2.042
24,2018,5.,Nick Markakis, 2.032
25,2018,6.,Aaron Judge, 1.989
26,2018,7.,Carlos Gomez, 1.960
27,2018,8.,Nomar Mazara, 1.947
28,2018,9.,Brian Anderson, 1.923
29,2018,10.,Gregory Polanco, 1.911
30,2017,1.,Mookie Betts, 2.444
31,2017,2.,Mitch Haniger, 2.213
32,2017,3.,Giancarlo Stanton, 2.208
33,2017,4.,Avisail Garcia, 2.091
34,2017,4.,Kole Calhoun, 2.091
35,2017,6.,Hunter Pence, 2.088
36,2017,7.,Jose Bautista, 1.986
37,2017,8.,Max Kepler, 1.964
38,2017,9.,Jay Bruce, 1.925
39,2017,10.,Aaron Judge, 1.915
40,2016,1.,Adam Eaton, 2.570
41,2016,2.,Mookie Betts, 2.293
42,2016,3.,Nomar Mazara, 2.161
43,2016,4.,George Springer, 2.150
44,2016,5.,Steven Souza Jr., 2.108
45,2016,6.,Nick Markakis, 2.107
46,2016,7.,Max Kepler, 2.102
47,2016,8.,Giancarlo Stanton, 2.076
48,2016,9.,Kole Calhoun, 2.046
49,2016,10.,Jay Bruce, 1.993
50,2015,1.,Kole Calhoun, 2.248
51,2015,2.,Shin-Soo Choo, 2.162
52,2015,3.,Alex Rios, 2.086
53,2015,4.,Jay Bruce, 2.073
54,2015,5.,Jason Heyward, 1.993
55,2015,6.,Bryce Harper, 1.979
56,2015,7.,Nick Markakis, 1.954
57,2015,8.,Avisail Garcia, 1.939
58,2015,9.,Curtis Granderson, 1.933
59,2015,10.,Jose Bautista, 1.932
60,2014,1.,Jason Heyward, 2.510
61,2014,2.,Giancarlo Stanton, 2.280
62,2014,3.,Marlon Byrd, 2.248
63,2014,4.,Alex Rios, 2.246
64,2014,5.,Jose Bautista, 2.099
65,2014,6.,Nick Markakis, 2.082
66,2014,7.,Ryan Braun, 2.000
67,2014,8.,Oswaldo Arcia, 1.990
68,2014,9.,Hunter Pence, 1.969
69,2014,10.,Kole Calhoun, 1.943
70,2013,1.,Shane Victorino, 2.482
71,2013,2.,Hunter Pence, 2.321
72,2013,3.,Josh Reddick, 2.239
73,2013,4.,Gerardo Parra, 2.203
74,2013,5.,Alex Rios, 2.168
75,2013,6.,Jay Bruce, 2.144
76,2013,7.,Josh Hamilton, 2.096
77,2013,8.,Giancarlo Stanton, 2.069
78,2013,9.,Nick Markakis, 2.058
79,2013,10.,Jason Heyward, 2.047
80,2012,1.,Giancarlo Stanton, 2.248
81,2012,2.,Jason Heyward, 2.221
82,2012,3.,Alex Rios, 2.192
83,2012,4.,Josh Reddick, 2.125
84,2012,5.,Ben Revere, 2.119
85,2012,6.,Justin Upton, 2.114
86,2012,7.,Nick Swisher, 2.000
87,2012,8.,Jay Bruce, 1.981
88,2012,9.,Nelson Cruz, 1.954
89,2012,10.,Shin-Soo Choo, 1.948
90,2011,1.,Jeff Francoeur, 2.242
91,2011,2.,Jayson Werth, 2.216
92,2011,3.,Justin Upton, 2.164
93,2011,4.,Shin-Soo Choo, 2.129
94,2011,5.,Jose Bautista, 2.121
95,2011,6.,Nick Markakis, 2.070
96,2011,7.,Kosuke Fukudome, 2.069
97,2011,8.,David DeJesus, 2.043
98,2011,9.,Giancarlo Stanton, 2.042
99,2011,10.,Jay Bruce, 2.039
100,2010,1.,Nelson Cruz, 2.457
101,2010,2.,Jay Bruce, 2.397
102,2010,3.,Giancarlo Stanton, 2.337
103,2010,4.,Ichiro Suzuki, 2.256
104,2010,5.,Hunter Pence, 2.252
105,2010,6.,Nick Markakis, 2.132
106,2010,7.,Justin Upton, 2.078
107,2010,8.,Nick Swisher, 2.052
108,2010,9.,Ryan Ludwick, 2.024
109,2010,10.,Shin-Soo Choo, 1.979
110,2009,1.,Nelson Cruz, 2.542
111,2009,2.,Shin-Soo Choo, 2.339
112,2009,3.,Jayson Werth, 2.308
113,2009,4.,Ichiro Suzuki, 2.221
114,2009,5.,Justin Upton, 2.191
115,2009,6.,Jay Bruce, 2.153
116,2009,7.,Hunter Pence, 2.115
117,2009,8.,Alex Rios, 2.109
118,2009,9.,Bobby Abreu, 2.056
119,2009,10.,Ryan Sweeney, 2.000
120,2008,1.,Randy Winn, 2.361
121,2008,2.,Franklin Gutierrez, 2.351
122,2008,3.,Xavier Nady, 2.348
123,2008,4.,Denard Span, 2.318
124,2008,5.,Hunter Pence, 2.282
125,2008,6.,Ryan Church, 2.253
126,2008,7.,Austin Kearns, 2.235
127,2008,8.,Nick Markakis, 2.205
128,2008,9.,Mark Teahen, 2.054
129,2008,10.,Jeremy Hermida, 2.046
130,2007,1.,Mark Teahen, 2.445
131,2007,2.,Austin Kearns, 2.424
132,2007,3.,Corey Hart, 2.266
133,2007,4.,Ken Griffey Jr., 2.226
134,2007,5.,Jeremy Hermida, 2.190
135,2007,6.,Jermaine Dye, 2.170
136,2007,7.,Jeff Francoeur, 2.136
137,2007,8.,Shane Victorino, 2.097
138,2007,9.,Randy Winn, 2.039
139,2007,10.,Bobby Abreu, 2.032
140,2006,1.,Austin Kearns, 2.451
141,2006,2.,Casey Blake, 2.323
142,2006,3.,Randy Winn, 2.135
143,2006,4.,Ichiro Suzuki, 2.132
144,2006,5.,J.D. Drew, 2.126
145,2006,6.,Jermaine Dye, 2.123
146,2006,7.,Milton Bradley, 2.075
147,2006,8.,Vladimir Guerrero, 2.048
148,2006,9.,Brad Hawpe, 2.041
149,2006,10.,Jeff Francoeur, 2.031
150,2005,1.,Ichiro Suzuki, 2.475
151,2005,2.,Austin Kearns, 2.290
152,2005,3.,Geoff Jenkins, 2.201
153,2005,4.,Jose Guillen, 2.200
154,2005,5.,Jacque Jones, 2.195
155,2005,6.,Aubrey Huff, 2.165
156,2005,7.,Richard Hidalgo, 2.133
157,2005,8.,Brian Giles, 2.105
158,2005,9.,Trot Nixon, 2.102
159,2005,10.,Casey Blake, 2.101
160,2004,1.,Ichiro Suzuki, 2.430
161,2004,2.,Jacque Jones, 2.262
162,2004,3.,Vladimir Guerrero, 2.245
163,2004,4.,Jose Cruz, 2.133
164,2004,5.,Alex Rios, 2.111
165,2004,6.,Jody Gerut, 2.110
166,2004,7.,J.D. Drew, 2.087
167,2004,8.,Brian Giles, 2.076
168,2004,9.,Gary Sheffield, 2.074
169,2004,10.,Bobby Higginson, 2.052
170,2003,1.,Jose Cruz, 2.255
171,2003,2.,Aaron Guiel, 2.218
172,2003,3.,Ichiro Suzuki, 2.195
173,2003,4.,Richard Hidalgo, 2.183
174,2003,5.,Juan Encarnacion, 2.168
175,2003,6.,Bobby Higginson, 2.154
176,2003,7.,Magglio Ordonez, 2.097
177,2003,8.,Jay Gibbons, 2.028
178,2003,9.,Vladimir Guerrero, 2.027
179,2003,10.,Jose Guillen, 2.010
180,2002,1.,Matt Lawton, 2.224
181,2002,2.,Ichiro Suzuki, 2.220
182,2002,3.,Austin Kearns, 2.200
183,2002,3.,Robert Fick, 2.200
184,2002,5.,Reggie Sanders, 2.190
185,2002,6.,Shawn Green, 2.180
186,2002,7.,Ben Grieve, 2.161
187,2002,8.,Dustan Mohr, 2.096
188,2002,9.,Larry Walker, 1.976
189,2002,10.,Richard Hidalgo, 1.955
190,2001,1.,Brian Jordan, 2.292
191,2001,2.,Ichiro Suzuki, 2.257
192,2001,3.,Tim Salmon, 2.136
193,2001,4.,Vladimir Guerrero, 2.114
194,2001,5.,Sammy Sosa, 2.088
195,2001,6.,Matt Lawton, 2.056
196,2001,7.,Bubba Trammell, 2.039
197,2001,8.,Jeromy Burnitz, 2.013
198,2001,9.,Shawn Green, 2.006
199,2001,10.,Reggie Sanders, 1.983
200,2000,1.,Bobby Abreu, 2.309
201,2000,2.,Tim Salmon, 2.307
202,2000,3.,Brian Jordan, 2.269
203,2000,4.,Dave Martinez, 2.246
204,2000,5.,Raul Mondesi, 2.156
205,2000,6.,Paul O'Neill, 2.129
206,2000,7.,Jeromy Burnitz, 2.089
207,2000,8.,Sammy Sosa, 2.083
208,2000,9.,Vladimir Guerrero, 2.060
209,2000,10.,Dante Bichette, 2.041
210,1999,1.,Jermaine Dye, 2.414
211,1999,2.,Tim Salmon, 2.371
212,1999,3.,Shawn Green, 2.270
213,1999,4.,Magglio Ordonez, 2.242
214,1999,5.,Sammy Sosa, 2.240
215,1999,6.,Vladimir Guerrero, 2.169
216,1999,7.,Jeromy Burnitz, 2.126
217,1999,8.,Tony Womack, 2.066
218,1999,9.,Mark Kotsay, 2.054
219,1999,10.,Raul Mondesi, 2.038
220,1998,1.,Matt Lawton, 2.730
221,1998,2.,Garret Anderson, 2.213
222,1998,3.,Sammy Sosa, 2.167
223,1998,4.,Bobby Higginson, 2.132
224,1998,5.,Vladimir Guerrero, 2.127
225,1998,6.,Mark Kotsay, 2.084
226,1998,7.,Magglio Ordonez, 2.066
227,1998,8.,Manny Ramirez, 2.041
228,1998,9.,Paul O'Neill, 2.040
229,1998,10.,Bobby Abreu, 2.007
230,1997,1.,Tim Salmon, 2.405
231,1997,2.,Reggie Sanders, 2.224
232,1997,3.,Raul Mondesi, 2.176
233,1997,4.,Sammy Sosa, 2.118
234,1997,5.,Orlando Merced, 2.083
235,1997,6.,Paul O'Neill, 2.041
236,1997,7.,Troy O'Leary, 1.958
237,1997,8.,Jay Buhner, 1.942
238,1997,9.,Melvin Nieves, 1.910
239,1997,10.,Vladimir Guerrero, 1.869
